bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,ones,twos,threes,wides,noballs,economy,strike_rate,bpb,dot_%,3+_wkts,4+_wkts,5+_wkts,points,best_performance
AR Patel,CSK,17,458,348,33,41,16,130,138,15,8,6,0,7.9,10.55,6.11,37.36,6,2,2,559.57,5-29 (24)
T Natarajan,CSK,17,457,333,32,40,14,113,134,23,9,5,1,8.23,10.41,6.17,33.93,7,1,0,541.89,4-16 (18)
HH Pandya,MI,14,392,286,23,29,20,116,102,12,7,8,1,8.22,12.43,5.84,40.56,3,1,1,432.96,5-18 (24)
Washington Sundar,PBKS,13,380,264,23,38,15,91,105,14,1,2,0,8.64,11.48,4.98,34.47,4,3,2,419.47,5-28 (24)
MA Starc,KKR,14,444,300,23,49,18,131,79,16,7,7,1,8.88,13.04,4.48,43.67,3,1,1,425.59,5-33 (20)
Suryansh Shedge,CSK,11,392,246,23,26,17,88,67,30,18,5,0,9.56,10.7,5.72,35.77,4,1,0,429.83,4-37 (24)
M Pathirana,RCB,13,384,306,20,37,10,123,109,19,8,5,0,7.53,15.3,6.51,40.2,3,0,0,394.66,3-30 (24)
B Kumar,KKR,14,522,314,20,47,28,110,106,16,7,7,0,9.97,15.7,4.19,35.03,2,1,1,357.14,5-34 (23)
Kuldeep Yadav,SRH,16,509,360,19,40,21,119,155,16,9,8,1,8.48,18.95,5.9,33.06,2,1,0,350.8,4-20 (24)
CV Varun,PBKS,13,397,266,19,27,20,86,108,19,6,5,0,8.95,14.0,5.66,32.33,2,0,0,360.6,3-35 (24)
HV Patel,PBKS,16,458,304,19,39,20,105,116,16,8,9,1,9.04,16.0,5.15,34.54,1,0,0,354.89,3-29 (18)
Jagjit Singh,CSK,12,372,267,17,39,12,107,86,16,7,5,0,8.36,15.71,5.24,40.07,2,0,0,346.88,3-25 (24)
Fazalhaq Farooqi,CSK,12,391,279,17,43,12,110,95,17,2,11,1,8.41,16.41,5.07,39.43,1,1,0,342.32,4-21 (24)
JJ Bumrah,RCB,14,434,316,16,42,11,107,129,22,5,12,0,8.24,19.75,5.96,33.86,2,2,0,318.97,4-26 (22)
PJ Cummins,MI,14,421,300,16,43,12,118,95,27,5,12,1,8.42,18.75,5.45,39.33,2,1,0,327.7,4-18 (24)
Sandeep Sharma,RR,14,483,328,15,49,15,108,131,19,6,10,0,8.84,21.87,5.12,32.93,1,1,0,293.38,4-41 (24)
J Anderson,MI,9,377,192,15,29,21,56,55,21,10,8,0,11.78,12.8,3.84,29.17,2,1,0,294.84,4-31 (24)
C Sakariya,SRH,13,393,278,14,29,18,80,137,10,4,0,0,8.48,19.86,5.91,28.78,0,0,0,282.83,2-26 (18)
JR Hazlewood,RR,12,413,276,14,32,20,94,111,12,7,6,3,8.98,19.71,5.31,34.06,2,0,0,288.17,3-28 (24)
LS Livingstone,SRH,15,438,282,14,37,17,74,129,21,4,4,1,9.32,20.14,5.22,26.24,1,0,0,271.39,3-38 (24)
BA Stokes,LSG,11,320,204,14,34,10,58,86,11,5,1,0,9.41,14.57,4.64,28.43,3,1,0,286.5,4-47 (24)
KH Pandya,SRH,16,462,348,13,30,16,97,175,26,4,6,1,7.97,26.77,7.57,27.87,1,1,0,271.81,4-30 (24)
Rashid Khan,GT,14,403,295,13,34,13,92,136,15,5,7,1,8.2,22.69,6.28,31.19,1,0,0,275.51,3-24 (24)
Shahbaz Ahmed,LSG,11,362,246,13,26,19,79,107,13,2,5,0,8.83,18.92,5.47,32.11,2,0,0,275.82,3-26 (24)
Mustafizur Rahman,DC,13,412,276,13,36,17,85,122,13,3,8,1,8.96,21.23,5.21,30.8,0,0,0,267.36,2-24 (24)
Ravi Bishnoi,PBKS,9,212,179,12,10,7,70,67,17,8,4,1,7.11,14.92,10.53,39.11,1,0,0,322.45,3-14 (11)
A Zampa,LSG,15,471,340,12,26,21,95,169,23,6,8,0,8.31,28.33,7.23,27.94,0,0,0,254.71,2-33 (24)
TA Boult,PBKS,16,542,365,12,64,13,121,147,17,3,17,1,8.91,30.42,4.74,33.15,1,0,0,245.16,3-24 (24)
GJ Maxwell,RR,12,397,264,12,27,17,69,124,24,3,6,0,9.02,22.0,6.0,26.14,1,0,0,250.84,3-51 (24)
Arshdeep Singh,LSG,15,548,354,12,58,19,117,133,24,3,10,2,9.29,29.5,4.6,33.05,0,0,0,242.81,2-37 (24)
Harpreet Brar,RCB,14,384,271,11,27,16,86,121,17,4,13,0,8.5,24.64,6.3,31.73,1,0,0,249.77,3-27 (24)
M Siddharth,CSK,8,240,178,10,17,6,65,68,9,13,10,1,8.09,17.8,7.74,36.52,2,2,0,269.94,4-23 (24)
RA Jadeja,DC,14,429,317,10,32,14,93,153,21,4,9,1,8.12,31.7,6.89,29.34,0,0,0,231.22,2-28 (18)
