Date,Match_Num,Home,Away,Winner,POTM_performance,Top_Scorer,Top_Bowler,Match_Report
2025-01-30,1,DC,LSG,LSG,V Kohli (DC) -> 73* off 43,Shubman Gill (LSG) -> 78* off 55,NT Ellis (LSG) -> 2-50 (4.0),LSG 168-1 (20.0) beat DC 164-4 (20.0) by 4 runs!
2025-01-30,2,KKR,MI,MI,Abhishek Sharma (MI) -> 96 off 43,Abhishek Sharma (MI) -> 96 off 43,HH Pandya (MI) -> 3-20 (4.0),MI 182-3 (20.0) beat KKR 158-10 (19.1) by 24 runs!
2025-01-31,3,RR,CSK,CSK,T Natarajan (CSK) -> 4-16 (3.0),Tilak Varma (CSK) -> 77* off 48,T Natarajan (CSK) -> 4-16 (3.0),CSK 142-3 (15.5) beat RR 141-10 (16.3) by 7 wickets!
2025-01-31,4,PBKS,SRH,SRH,HV Patel (PBKS) -> 20 off 11 ; 3-29 (3.0),VR Iyer (SRH) -> 66* off 44,HV Patel (PBKS) -> 3-29 (3.0),SRH 172-7 (20.0) beat PBKS 145-8 (20.0) by 27 runs!
2025-02-01,5,GT,RCB,GT,PD Salt (RCB) -> 89* off 49,PD Salt (RCB) -> 89* off 49,Harpreet Brar (RCB) -> 2-27 (3.0),GT 173-2 (19.0) beat RCB 172-5 (20.0) by 8 wickets!
2025-02-01,6,KKR,DC,KKR,V Kohli (DC) -> 80 off 54,V Kohli (DC) -> 80 off 54,B Kumar (KKR) -> 3-38 (4.0),KKR 183-3 (20.0) beat DC 176-6 (20.0) by 7 runs!
2025-02-02,7,CSK,MI,CSK,M Siddharth (CSK) -> 4-22 (4.0),AR Patel (CSK) -> 38* off 20,M Siddharth (CSK) -> 4-22 (4.0),CSK 121-5 (12.3) beat MI 119-10 (16.0) by 5 wickets!
2025-02-02,8,LSG,RR,LSG,Shahbaz Ahmed (LSG) -> 3 off 4 ; 3-38 (4.0),Shubman Gill (LSG) -> 51 off 34,Shahbaz Ahmed (LSG) -> 3-38 (4.0),LSG 179-6 (20.0) beat RR 178-5 (20.0) by 4 wickets!
2025-02-03,9,RCB,DC,RCB,RD Gaikwad (RCB) -> 96* off 55,RD Gaikwad (RCB) -> 96* off 55,M Pathirana (RCB) -> 2-23 (4.0),RCB 193-4 (20.0) beat DC 176-6 (20.0) by 17 runs!
2025-02-03,10,GT,KKR,KKR,Ishan Kishan (KKR) -> 83 off 41,Ishan Kishan (KKR) -> 83 off 41,Rashid Khan (GT) -> 2-36 (4.0),KKR 195-4 (18.4) beat GT 194-7 (20.0) by 6 wickets!
2025-02-04,11,MI,RR,RR,Abhishek Sharma (MI) -> 92* off 54,Abhishek Sharma (MI) -> 92* off 54,M Theekshana (MI) -> 3-48 (4.0),RR 185-7 (19.2) beat MI 180-2 (20.0) by 3 wickets!
2025-02-04,12,CSK,SRH,SRH,LS Livingstone (SRH) -> 97* off 58 ; 1-49 (4.0),LS Livingstone (SRH) -> 97* off 58,Kuldeep Yadav (SRH) -> 4-20 (4.0),SRH 187-2 (18.3) beat CSK 186-10 (20.0) by 8 wickets!
2025-02-05,13,PBKS,LSG,PBKS,BA Stokes (LSG) -> 56 off 29 ; 3-37 (4.0),BA Stokes (LSG) -> 56 off 29,Rasikh Salam (LSG) -> 3-24 (4.0),PBKS 179-7 (20.0) beat LSG 173-10 (20.0) by 6 runs!
2025-02-05,14,KKR,RCB,KKR,JC Buttler (KKR) -> 100* off 51,JC Buttler (KKR) -> 100* off 51,MJ Santner (KKR) -> 2-20 (4.0),KKR 213-2 (20.0) beat RCB 164-8 (20.0) by 49 runs!
2025-02-06,15,CSK,DC,DC,F du Plessis (CSK) -> 84* off 62,F du Plessis (CSK) -> 84* off 62,RA Jadeja (DC) -> 2-20 (4.0),DC 156-2 (16.5) beat CSK 153-5 (20.0) by 8 wickets!
2025-02-06,16,SRH,GT,GT,LS Livingstone (SRH) -> 61* off 41 ; 3-38 (4.0),DP Conway (GT) -> 72* off 46,LS Livingstone (SRH) -> 3-38 (4.0),GT 202-5 (20.0) beat SRH 183-5 (20.0) by 19 runs!
2025-02-07,17,PBKS,MI,PBKS,RR Pant (PBKS) -> 67 off 34,RR Pant (PBKS) -> 67 off 34,Washington Sundar (PBKS) -> 3-39 (4.0),PBKS 220-4 (20.0) beat MI 162-9 (20.0) by 58 runs!
2025-02-07,18,RR,RCB,RCB,GJ Maxwell (RR) -> 60 off 41 ; 2-31 (4.0),GJ Maxwell (RR) -> 60 off 41,Sandeep Sharma (RR) -> 4-41 (4.0),RCB 175-9 (19.5) beat RR 173-5 (20.0) by 1 wicket!
2025-02-08,19,DC,GT,GT,Mohammad Ghazanfar (GT) -> 4-23 (3.0),Naman Dhir (GT) -> 63* off 36,Mohammad Ghazanfar (GT) -> 4-23 (3.0),GT 187-5 (20.0) beat DC 158-10 (19.1) by 29 runs!
2025-02-08,20,LSG,KKR,LSG,Noor Ahmad (KKR) -> 0 off 1 ; 3-45 (4.0),Abdul Samad (LSG) -> 38* off 14,Noor Ahmad (KKR) -> 3-45 (4.0),LSG 154-4 (16.2) beat KKR 153-9 (20.0) by 6 wickets!
2025-02-09,21,RCB,CSK,CSK,TM Head (CSK) -> 98* off 66,TM Head (CSK) -> 98* off 66,M Pathirana (RCB) -> 3-12 (4.0),CSK 175-5 (20.0) beat RCB 134-10 (17.1) by 41 runs!
2025-02-09,22,MI,SRH,MI,B Sai Sudharsan (MI) -> 77 off 46,B Sai Sudharsan (MI) -> 77 off 46,Mohammed Siraj (MI) -> 3-22 (4.0),MI 179-4 (20.0) beat SRH 168-9 (20.0) by 11 runs!
2025-02-10,23,RR,PBKS,PBKS,Azmatullah Omarzai (RR) -> 30* off 20 ; 1-31 (3.1),H Klaasen (PBKS) -> 43* off 32,CV Varun (PBKS) -> 2-38 (4.0),PBKS 167-4 (18.1) beat RR 166-10 (19.4) by 6 wickets!
2025-02-10,24,GT,LSG,GT,Shubman Gill (LSG) -> 102* off 57,Shubman Gill (LSG) -> 102* off 57,NT Ellis (LSG) -> 1-24 (3.0),GT 196-3 (20.0) beat LSG 191-3 (20.0) by 5 runs!
2025-02-11,25,DC,MI,DC,SA Yadav (DC) -> 97* off 56,SA Yadav (DC) -> 97* off 56,M Prasidh Krishna (DC) -> 2-15 (4.0),DC 192-3 (20.0) beat MI 149-8 (20.0) by 43 runs!
2025-02-11,26,KKR,CSK,CSK,Suryansh Shedge (CSK) -> 4-37 (4.0),Tilak Varma (CSK) -> 73* off 44,Suryansh Shedge (CSK) -> 4-37 (4.0),CSK 146-2 (15.3) beat KKR 142-10 (17.3) by 8 wickets!
2025-02-12,27,SRH,PBKS,PBKS,Washington Sundar (PBKS) -> 5-52 (4.0),H Klaasen (PBKS) -> 74* off 52,Washington Sundar (PBKS) -> 5-52 (4.0),PBKS 198-2 (20.0) beat SRH 154-10 (19.0) by 44 runs!
2025-02-12,28,RCB,RR,RR,GJ Maxwell (RR) -> 84 off 55 ; 0-30 (4.0),GJ Maxwell (RR) -> 84 off 55,JR Hazlewood (RR) -> 2-36 (4.0),RR 157-3 (18.1) beat RCB 155-5 (20.0) by 7 wickets!
2025-02-13,29,MI,KKR,KKR,PJ Cummins (MI) -> 4-18 (4.0),B Sai Sudharsan (MI) -> 71 off 55,PJ Cummins (MI) -> 4-18 (4.0),KKR 173-7 (19.3) beat MI 172-3 (20.0) by 3 wickets!
2025-02-13,30,CSK,GT,CSK,Jagjit Singh (CSK) -> 3-25 (4.0),Tilak Varma (CSK) -> 57 off 44,T Natarajan (CSK) -> 3-24 (3.0),CSK 163-4 (20.0) beat GT 156-10 (19.0) by 7 runs!
2025-02-14,31,PBKS,RCB,PBKS,Washington Sundar (PBKS) -> 7 off 13 ; 4-30 (4.0),RG Sharma (PBKS) -> 27 off 20,Washington Sundar (PBKS) -> 4-30 (4.0),PBKS 97-8 (16.1) beat RCB 93-10 (12.0) by 2 wickets!
2025-02-14,32,SRH,LSG,SRH,LS Livingstone (SRH) -> 58 off 35 ; 1-33 (3.0),LS Livingstone (SRH) -> 58 off 35,JG Bethell (SRH) -> 2-10 (2.0),SRH 187-5 (20.0) beat LSG 149-8 (20.0) by 38 runs!
2025-02-15,33,GT,MI,GT,DP Conway (GT) -> 68 off 37,DP Conway (GT) -> 68 off 37,K Kartikeya (GT) -> 2-25 (4.0),GT 166-3 (17.3) beat MI 165-4 (20.0) by 7 wickets!
2025-02-15,34,CSK,RR,CSK,TM Head (CSK) -> 73 off 40,TM Head (CSK) -> 73 off 40,T Natarajan (CSK) -> 3-31 (3.2),CSK 169-7 (20.0) beat RR 165-10 (19.2) by 4 runs!
2025-02-16,35,LSG,PBKS,LSG,Shubman Gill (LSG) -> 89* off 62,Shubman Gill (LSG) -> 89* off 62,Arshdeep Singh (LSG) -> 2-26 (4.0),LSG 161-3 (20.0) beat PBKS 157-6 (20.0) by 7 wickets!
2025-02-16,36,DC,SRH,SRH,KL Rahul (SRH) -> 111* off 67,KL Rahul (SRH) -> 111* off 67,C Sakariya (SRH) -> 2-30 (4.0),SRH 198-2 (20.0) beat DC 194-4 (20.0) by 8 wickets!
2025-02-17,37,RCB,MI,MI,HH Pandya (MI) -> 23* off 16 ; 5-18 (4.0),B Sai Sudharsan (MI) -> 49 off 33,HH Pandya (MI) -> 5-18 (4.0),MI 153-7 (18.1) beat RCB 147-10 (18.1) by 3 wickets!
2025-02-17,38,CSK,KKR,CSK,Tilak Varma (CSK) -> 75* off 49,Tilak Varma (CSK) -> 75* off 49,T Natarajan (CSK) -> 2-15 (2.0),CSK 160-3 (17.5) beat KKR 159-10 (16.3) by 7 wickets!
2025-02-18,39,LSG,GT,LSG,WG Jacks (LSG) -> 67 off 40,WG Jacks (LSG) -> 67 off 40,BA Stokes (LSG) -> 2-29 (4.0),LSG 167-3 (19.0) beat GT 166-9 (20.0) by 7 wickets!
2025-02-18,40,SRH,RR,SRH,GJ Maxwell (RR) -> 90 off 55 ; 0-25 (3.0),GJ Maxwell (RR) -> 90 off 55,KH Pandya (SRH) -> 2-24 (4.0),SRH 181-3 (17.5) beat RR 178-6 (20.0) by 7 wickets!
2025-02-19,41,DC,CSK,DC,AR Patel (CSK) -> 3-23 (4.0),T Stubbs (CSK) -> 63* off 38,AR Patel (CSK) -> 3-23 (4.0),DC 159-4 (17.5) beat CSK 156-3 (20.0) by 6 wickets!
2025-02-19,42,MI,PBKS,PBKS,Shashank Singh (PBKS) -> 60* off 25,Shashank Singh (PBKS) -> 60* off 25,PJ Cummins (MI) -> 3-54 (4.0),PBKS 170-7 (17.2) beat MI 169-3 (20.0) by 3 wickets!
2025-02-20,43,RCB,KKR,KKR,B Kumar (KKR) -> 12* off 10 ; 5-34 (3.5),C Green (RCB) -> 44 off 26,B Kumar (KKR) -> 5-34 (3.5),KKR 160-10 (17.4) beat RCB 146-10 (16.5) by 14 runs!
2025-02-20,44,RR,SRH,SRH,YBK Jaiswal (RR) -> 79* off 51,YBK Jaiswal (RR) -> 79* off 51,Kuldeep Yadav (SRH) -> 3-36 (4.0),SRH 174-3 (18.1) beat RR 172-7 (20.0) by 7 wickets!
2025-02-21,45,MI,GT,MI,J Anderson (MI) -> 4-31 (4.0),R Parag (MI) -> 69* off 52,J Anderson (MI) -> 4-31 (4.0),MI 150-4 (20.0) beat GT 149-10 (19.2) by 6 wickets!
2025-02-21,46,LSG,CSK,LSG,AR Patel (CSK) -> 32 off 20 ; 1-35 (4.0),SS Iyer (LSG) -> 50* off 34,A Zampa (LSG) -> 2-33 (4.0),LSG 184-5 (17.4) beat CSK 180-5 (20.0) by 5 wickets!
2025-02-22,47,RCB,PBKS,PBKS,RG Sharma (PBKS) -> 85* off 47,PD Salt (RCB) -> 86* off 54,HV Patel (PBKS) -> 2-44 (4.0),PBKS 213-4 (20.0) beat RCB 185-3 (20.0) by 28 runs!
2025-02-22,48,DC,RR,DC,GJ Maxwell (RR) -> 34 off 23 ; 3-51 (4.0),S Dube (RR) -> 85* off 46,GJ Maxwell (RR) -> 3-51 (4.0),DC 199-4 (19.0) beat RR 197-3 (20.0) by 6 wickets!
2025-02-23,49,MI,LSG,LSG,WG Jacks (LSG) -> 103 off 55 ; 1-27 (2.0),Abhishek Sharma (MI) -> 108 off 64,HH Pandya (MI) -> 2-36 (4.0),LSG 212-3 (20.0) beat MI 210-3 (20.0) by 2 runs!
2025-02-23,50,GT,CSK,CSK,Fazalhaq Farooqi (CSK) -> 4-21 (4.0),TM Head (CSK) -> 49* off 34,Fazalhaq Farooqi (CSK) -> 4-21 (4.0),CSK 123-3 (14.3) beat GT 120-10 (15.3) by 7 wickets!
2025-02-24,51,SRH,RCB,SRH,LS Livingstone (SRH) -> 71* off 50 ; 2-24 (3.0),KL Rahul (SRH) -> 91 off 56,Tanush Kotian (SRH) -> 3-28 (3.0),SRH 191-2 (20.0) beat RCB 152-8 (20.0) by 39 runs!
2025-02-24,52,RR,KKR,KKR,MA Starc (KKR) -> 5-33 (3.2),MK Pandey (KKR) -> 35* off 24,MA Starc (KKR) -> 5-33 (3.2),KKR 172-6 (20.0) beat RR 149-10 (14.2) by 23 runs!
2025-02-25,53,PBKS,CSK,CSK,AR Patel (CSK) -> 1 off 3 ; 5-29 (4.0),Shashank Singh (PBKS) -> 63 off 31,AR Patel (CSK) -> 5-29 (4.0),CSK 186-7 (20.0) beat PBKS 185-10 (18.5) by 1 run!
2025-02-25,54,GT,SRH,GT,SV Samson (GT) -> 83* off 59,SV Samson (GT) -> 83* off 59,Rashid Khan (GT) -> 3-24 (4.0),GT 172-1 (19.2) beat SRH 171-8 (20.0) by 9 wickets!
2025-02-26,55,RR,MI,RR,S Dube (RR) -> 67* off 35,S Dube (RR) -> 67* off 35,Swapnil Singh (RR) -> 3-38 (4.0),RR 183-4 (19.0) beat MI 182-8 (20.0) by 6 wickets!
2025-02-26,56,LSG,DC,DC,SS Iyer (LSG) -> 84* off 47,SS Iyer (LSG) -> 84* off 47,BA Stokes (LSG) -> 4-47 (4.0),DC 205-6 (20.0) beat LSG 176-3 (20.0) by 29 runs!
2025-02-27,57,KKR,SRH,KKR,VG Arora (KKR) -> 3-38 (4.0),AK Markram (SRH) -> 46 off 25,VG Arora (KKR) -> 3-38 (4.0),KKR 181-6 (20.0) beat SRH 179-10 (17.4) by 2 runs!
2025-02-27,58,RCB,GT,GT,GD Phillips (GT) -> 45* off 19 ; 1-7 (1.0),RD Gaikwad (RCB) -> 46 off 39,KK Ahmed (GT) -> 3-27 (4.0),GT 149-8 (18.0) beat RCB 147-8 (20.0) by 2 wickets!
2025-02-28,59,MI,DC,MI,Abhishek Sharma (MI) -> 59* off 45 ; 3-25 (3.4),RK Singh (MI) -> 74* off 61,Abhishek Sharma (MI) -> 3-25 (3.4),MI 157-2 (19.5) beat DC 153-10 (17.4) by 8 wickets!
2025-02-28,60,CSK,PBKS,CSK,TM Head (CSK) -> 97* off 65,TM Head (CSK) -> 97* off 65,AR Patel (CSK) -> 3-24 (3.5),CSK 184-2 (20.0) beat PBKS 128-10 (17.5) by 56 runs!
2025-03-01,61,LSG,RCB,RCB,RD Gaikwad (RCB) -> 106* off 66,RD Gaikwad (RCB) -> 106* off 66,JJ Bumrah (RCB) -> 2-21 (4.0),RCB 178-4 (20.0) beat LSG 173-6 (20.0) by 5 runs!
