striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,ones,twos,threes,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,30+_scores,50+_scores,100+_scores,points,high_score
GJ Maxwell,RR,17,771,418,12,61,39,76,217,29,6,184.45,34.83,64.25,4.18,18.18,10,6,1,530.94,130* (64)
N Pooran,MI,14,724,434,9,57,31,97,215,34,9,166.82,48.22,80.44,4.93,22.35,12,7,0,496.0,92* (60)
KL Rahul,SRH,15,667,418,6,55,25,96,206,38,5,159.57,69.67,111.17,5.22,22.97,10,7,0,470.17,78 (40)
BM Duckett,SRH,11,652,389,9,48,25,77,195,53,3,167.61,43.22,72.44,5.33,19.79,8,6,1,453.42,110 (55)
RD Rickelton,RR,17,646,405,17,53,31,127,155,36,7,159.51,23.82,38.0,4.82,31.36,11,4,0,434.97,92 (64)
V Kohli,DC,15,640,384,12,53,26,92,178,38,6,166.67,32.0,53.33,4.86,23.96,9,5,1,441.5,103* (58)
SA Yadav,DC,16,621,355,12,55,24,68,184,26,7,174.93,29.58,51.75,4.49,19.15,8,6,0,438.15,92* (49)
DP Conway,GT,14,620,386,14,65,18,109,167,29,9,160.62,27.57,44.29,4.65,28.24,8,5,1,423.15,117 (62)
RD Gaikwad,RCB,14,601,378,13,55,21,98,177,30,6,158.99,29.08,46.23,4.97,25.93,8,6,0,413.29,94 (55)
SS Iyer,LSG,14,588,369,13,48,23,93,185,23,9,159.35,28.38,45.23,5.2,25.2,9,5,0,405.86,95 (55)
SV Samson,GT,14,587,377,13,51,20,103,165,37,8,155.7,29.0,45.15,5.31,27.32,8,6,0,401.62,94 (50)
Abhishek Sharma,MI,15,565,333,11,54,21,83,156,20,9,169.67,30.27,51.36,4.44,24.92,7,5,0,402.78,92* (51)
PP Shaw,MI,15,546,363,14,59,14,114,149,31,5,150.41,25.93,39.0,4.97,31.4,8,5,0,374.14,93* (59)
AM Rahane,KKR,14,537,368,12,47,19,115,163,24,8,145.92,30.67,44.75,5.58,31.25,8,5,1,368.26,102* (67)
PD Salt,RCB,13,536,324,13,51,23,99,129,22,7,165.43,24.92,41.23,4.38,30.56,7,4,0,380.5,89 (58)
S Dube,RR,15,534,329,11,39,28,96,147,21,7,162.31,29.91,48.55,4.91,29.18,9,3,0,379.54,87* (50)
Shubman Gill,LSG,14,534,338,12,46,22,101,139,29,7,157.99,28.17,44.5,4.97,29.88,9,4,1,374.71,101* (63)
P Simran Singh,SRH,16,527,334,16,45,21,95,151,23,8,157.78,20.88,32.94,5.06,28.44,8,3,0,367.4,67 (37)
Naman Dhir,GT,13,513,311,8,35,19,52,171,26,12,164.95,38.88,64.12,5.76,16.72,7,5,0,375.31,85* (46)
JC Buttler,KKR,14,483,299,14,51,18,103,120,18,5,161.54,21.36,34.5,4.33,34.45,8,5,0,345.58,68 (34)
YBK Jaiswal,RR,17,472,268,11,38,23,67,110,27,6,176.12,24.36,42.91,4.39,25.0,9,3,0,353.63,63 (32)
Abishek Porel,DC,14,464,255,11,38,26,70,102,24,2,181.96,23.18,42.18,3.98,27.45,6,3,0,353.16,78* (30)
Tilak Varma,CSK,14,464,286,12,46,19,97,113,16,7,162.24,23.83,38.67,4.4,33.92,6,5,0,337.05,93* (53)
RM Patidar,RR,17,464,318,15,38,19,98,148,19,4,145.91,21.2,30.93,5.58,30.82,8,2,0,325.02,55 (27)
TM Head,CSK,14,457,314,13,50,12,103,135,22,2,145.54,24.15,35.15,5.06,32.8,6,4,0,322.05,88* (60)
Q de Kock,PBKS,13,430,271,12,33,23,89,110,16,6,158.67,22.58,35.83,4.84,32.84,6,4,0,316.0,78* (45)
F du Plessis,CSK,14,415,334,13,27,15,119,144,29,5,124.25,25.69,31.92,7.95,35.63,6,4,1,281.63,107 (66)
Ishan Kishan,KKR,14,398,261,14,41,18,106,86,11,6,152.49,18.64,28.43,4.42,40.61,7,2,0,290.76,89 (51)
VR Iyer,SRH,13,395,260,7,39,15,76,121,11,2,151.92,37.14,56.43,4.81,29.23,5,2,0,302.14,82* (56)
Smaran Ravichandran,PBKS,11,388,228,9,27,15,53,91,30,13,170.18,25.33,43.11,5.43,23.25,6,3,0,301.26,72 (44)
N Sindhu,DC,13,361,205,12,28,20,63,75,15,8,176.1,17.08,30.08,4.27,30.73,5,2,0,287.36,68* (40)
RR Rossouw,MI,11,356,222,9,28,13,57,108,20,6,160.36,24.67,39.56,5.41,25.68,5,5,0,277.85,86* (50)
T Stubbs,CSK,8,356,224,6,26,16,55,123,12,3,158.93,37.33,59.33,5.33,24.55,6,4,0,285.28,80* (47)
H Klaasen,PBKS,14,346,225,8,28,14,59,111,18,1,153.78,28.12,43.25,5.36,26.22,6,2,0,271.55,57 (23)
B Sai Sudharsan,RCB,12,344,246,11,21,19,87,103,17,3,139.84,22.36,31.27,6.15,35.37,5,2,0,254.76,77 (40)
R Powell,KKR,13,334,193,9,24,21,58,79,12,3,173.06,21.44,37.11,4.29,30.05,7,1,0,274.38,60* (30)
RG Sharma,PBKS,14,331,237,13,34,11,88,95,11,4,139.66,18.23,25.46,5.27,37.13,5,1,0,245.65,53 (31)
Urvil Patel,DC,15,316,214,11,22,13,65,88,19,8,147.66,19.45,28.73,6.11,30.37,5,1,0,243.52,51* (40)
RK Singh,RCB,13,307,196,7,23,12,48,99,19,2,156.63,28.0,43.86,5.6,24.49,4,1,0,251.8,60* (37)
SP Narine,LSG,8,281,167,6,17,17,50,66,21,1,168.26,27.83,46.83,4.91,29.94,4,2,0,243.51,91 (41)
KA Pollard,CSK,11,238,154,5,17,13,50,68,6,4,154.55,30.8,47.6,5.13,32.47,2,1,0,212.69,50* (35)
BA Stokes,LSG,12,236,174,10,18,11,71,68,9,4,135.63,17.4,23.6,6.0,40.8,2,2,0,188.37,69 (37)
JP Inglis,GT,7,233,143,4,14,12,40,56,20,3,162.94,35.75,58.25,5.5,27.97,3,2,0,217.65,69* (43)
WG Jacks,LSG,11,226,145,10,24,9,57,51,8,3,155.86,14.5,22.6,4.39,39.31,2,1,0,196.48,65 (35)
N Rana,KKR,9,222,166,7,20,7,60,67,12,3,133.73,23.71,31.71,6.15,36.14,3,2,0,184.67,55* (34)
AD Russell,DC,9,211,116,3,17,12,30,48,7,3,181.9,38.67,70.33,4.0,25.86,3,0,0,223.02,43* (26)
Shashank Singh,PBKS,12,210,114,9,14,11,30,42,11,8,184.21,12.67,23.33,4.56,26.32,2,1,0,207.61,52 (27)
R Parag,GT,12,205,135,5,16,9,47,51,12,4,151.85,27.0,41.0,5.4,34.81,2,1,0,188.8,62* (42)
Washington Sundar,PBKS,9,198,151,7,18,9,66,46,10,2,131.13,21.57,28.29,5.59,43.71,3,1,0,167.07,57* (31)
J Fraser-McGurk,RCB,5,195,120,5,15,9,36,49,10,4,162.5,24.0,39.0,5.0,30.0,3,2,0,191.0,90 (45)
C Green,RCB,8,194,124,4,20,7,36,57,6,1,156.45,31.0,48.5,4.59,29.03,1,0,0,192.7,36* (15)
JM Sharma,RCB,10,180,98,4,10,14,35,44,6,0,183.67,24.5,45.0,4.08,35.71,2,1,0,194.41,51* (31)
LS Livingstone,SRH,9,179,138,9,14,9,51,59,5,0,129.71,15.33,19.89,6.0,36.96,2,0,0,156.18,40 (29)
MP Stoinis,PBKS,8,176,129,8,17,6,49,48,9,2,136.43,16.12,22.0,5.61,37.98,2,0,0,157.65,48 (33)
AK Markram,SRH,9,169,115,5,17,6,41,49,5,2,146.96,23.0,33.8,5.0,35.65,3,0,0,165.34,37 (28)
FH Allen,MI,8,165,102,8,16,8,36,38,6,1,161.76,12.75,20.62,4.25,35.29,2,1,0,168.35,57 (32)
Sikandar Raza,DC,6,163,110,5,13,8,40,42,9,1,148.18,22.0,32.6,5.24,36.36,2,0,0,161.57,36 (20)
Priyansh Arya,SRH,4,159,86,4,10,11,27,29,6,4,184.88,21.5,39.75,4.1,31.4,3,2,0,184.05,67 (36)
Nithish Kumar Reddy,GT,10,159,115,7,8,8,38,51,8,4,138.26,16.43,22.71,7.19,33.04,1,0,0,149.98,31 (20)
AR Patel,CSK,10,158,125,6,16,5,48,54,2,2,126.4,20.83,26.33,5.95,38.4,1,0,0,144.48,43* (23)
BJ McMullen,DC,4,150,111,4,8,8,39,47,10,1,135.14,27.75,37.5,6.94,35.14,3,0,0,148.57,46 (26)
MS Dhoni,CSK,9,133,97,6,10,5,34,39,6,4,137.11,16.17,22.17,6.47,35.05,2,0,0,134.84,36* (22)
Ramandeep Singh,LSG,7,127,68,3,3,11,18,29,7,2,186.76,22.67,42.33,4.86,26.47,1,0,0,168.87,31* (12)
Jay Gohil,MI,8,126,61,5,8,10,18,20,4,2,206.56,12.2,25.2,3.39,29.51,1,0,0,176.42,31* (18)
Dhruv Jurel,LSG,7,120,75,3,8,8,25,34,3,0,160.0,25.0,40.0,4.69,33.33,1,1,0,149.16,52 (30)
HH Pandya,MI,12,110,79,8,4,8,30,33,5,1,139.24,9.88,13.75,6.58,37.97,1,0,0,119.38,33* (15)
D Brevis,PBKS,4,101,84,4,9,3,31,39,1,2,120.24,21.0,25.25,7.0,36.9,2,1,0,109.87,61 (48)
Sameer Rizvi,LSG,3,96,57,2,10,4,20,19,5,1,168.42,28.5,48.0,4.07,35.09,2,0,0,142.19,47 (29)
RA Bawa,KKR,7,88,50,5,6,7,21,13,3,1,176.0,10.0,17.6,3.85,42.0,0,0,0,129.79,20* (4)
MK Lomror,SRH,5,83,59,2,7,3,16,29,4,0,140.68,29.5,41.5,5.9,27.12,1,1,0,122.04,55* (32)
MG Bracewell,DC,6,79,52,5,3,6,19,19,3,2,151.92,10.4,15.8,5.78,36.54,0,0,0,111.14,22* (5)
SM Curran,KKR,11,74,72,5,5,2,32,36,3,0,102.78,14.4,14.8,10.29,44.44,0,0,0,76.04,17 (8)
DJ Hooda,GT,5,61,34,4,3,5,12,12,2,1,179.41,8.5,15.25,4.25,35.29,1,0,0,118.3,33 (19)
MK Pandey,KKR,3,60,56,3,5,1,21,24,5,0,107.14,18.67,20.0,9.33,37.5,1,0,0,77.51,30 (35)
Ashutosh Sharma,RCB,4,58,46,3,6,1,16,18,5,0,126.09,15.33,19.33,6.57,34.78,1,0,0,88.45,49 (36)
PJ Cummins,PBKS,5,57,43,2,4,2,15,19,2,2,132.56,21.5,28.5,7.17,34.88,0,0,0,93.58,23 (16)
MA Agarwal,KKR,3,57,45,3,3,3,17,20,2,1,126.67,15.0,19.0,7.5,37.78,1,0,0,85.58,42 (27)
Suryansh Shedge,CSK,6,56,31,5,6,4,16,8,0,0,180.65,6.2,11.2,3.1,51.61,1,0,0,110.09,40 (16)
DA Miller,RR,5,56,51,3,2,3,19,24,3,0,109.8,17.0,18.67,10.2,37.25,1,0,0,75.95,32* (19)
Shakib Al Hasan,PBKS,5,55,46,3,2,5,25,11,3,0,119.57,15.33,18.33,6.57,54.35,0,0,0,72.95,15 (13)
R Ashwin,KKR,6,49,37,4,3,3,15,13,3,0,132.43,9.25,12.25,6.17,40.54,0,0,0,81.37,15 (5)
Anmolpreet Singh,CSK,4,47,33,3,7,0,9,17,1,0,142.42,11.0,15.67,4.71,27.27,0,0,0,96.21,28 (19)
Harpreet Brar,RCB,4,44,33,0,4,2,15,12,2,0,133.33,inf,inf,5.5,45.45,0,0,0,88.99,15* (11)
RA Tripathi,PBKS,3,43,41,3,1,3,19,19,0,1,104.88,13.67,14.33,10.25,46.34,0,0,0,59.6,28 (20)
Arslan Khan,MI,4,40,28,4,6,0,11,8,1,2,142.86,7.0,10.0,4.67,39.29,0,0,0,83.56,22 (12)
TH David,LSG,4,39,29,4,1,2,8,16,2,1,134.48,7.25,9.75,9.67,27.59,0,0,0,80.23,17 (13)
Shahbaz Ahmed,LSG,4,37,38,3,4,1,22,9,3,0,97.37,12.67,12.33,7.6,57.89,0,0,0,46.86,22* (19)
AS Roy,LSG,5,36,26,3,2,3,13,7,0,1,138.46,8.67,12.0,5.2,50.0,0,0,0,73.18,18* (8)
DA Warner,DC,1,36,33,1,2,2,15,12,2,0,109.09,33.0,36.0,8.25,45.45,1,0,0,69.34,36 (33)
Abdul Samad,LSG,3,34,30,2,3,0,7,20,1,0,113.33,15.0,17.0,10.0,23.33,0,0,0,72.92,28 (21)
KH Pandya,SRH,1,33,19,1,1,3,6,9,1,0,173.68,19.0,33.0,4.75,31.58,1,0,0,0.0,33 (19)
Sanvir Singh,SRH,4,32,25,3,1,2,10,8,4,0,128.0,8.33,10.67,8.33,40.0,0,0,0,67.42,11 (4)
Swapnil Singh,RR,6,32,25,5,2,2,13,6,3,0,128.0,5.0,6.4,6.25,52.0,0,0,0,60.8,21 (12)
SB Dubey,GT,1,28,18,1,4,0,5,7,1,1,155.56,18.0,28.0,4.5,27.78,0,0,0,0.0,28 (18)
PWH de Silva,DC,3,28,23,0,2,1,9,9,1,1,121.74,inf,inf,7.67,39.13,0,0,0,0.0,16* (12)
