bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,ones,twos,threes,wides,noballs,economy,strike_rate,bpb,dot_%,3+_wkts,4+_wkts,5+_wkts,points
B Kumar,KKR,12,453,267,22,47,19,77,105,16,3,5,0,10.18,12.14,4.05,28.84,4,1,0,342.3133441609513
M Pathirana,RCB,14,581,329,22,50,30,89,134,19,7,8,0,10.6,14.95,4.11,27.05,3,1,0,327.1587783176627
JJ Bumrah,MI,13,374,267,20,24,15,76,124,23,5,3,0,8.4,13.35,6.85,28.46,3,1,0,337.1839454253612
R Shepherd,GT,11,428,258,19,33,22,78,97,23,5,6,0,9.95,13.58,4.69,30.23,3,0,0,306.7071025081223
YS Chahal,RCB,8,291,177,18,17,16,51,73,14,6,7,1,9.86,9.83,5.36,28.81,3,1,1,317.8426877278852
M Prasidh Krishna,DC,13,449,306,17,38,10,72,153,27,6,12,0,8.8,18.0,6.38,23.53,2,0,0,283.1594141414141
CV Varun,PBKS,10,350,207,17,29,15,59,80,16,8,8,0,10.14,12.18,4.7,28.5,4,0,0,289.2628360587246
Shakib Al Hasan,PBKS,9,284,200,16,18,16,79,70,13,4,8,0,8.52,12.5,5.88,39.5,1,1,0,292.3370892018779
TA Boult,MI,12,430,278,16,46,15,100,92,18,7,7,0,9.28,17.38,4.56,35.97,2,2,0,264.9265617237411
DAJ Bracewell,MI,10,357,228,16,35,15,74,92,9,3,8,0,9.39,14.25,4.56,32.46,1,0,0,271.7633465612914
AD Russell,DC,15,454,222,16,29,33,40,107,10,3,4,0,12.27,13.88,3.58,18.02,1,1,1,249.135014005247
Rasikh Salam,GT,11,397,256,15,26,15,62,120,23,10,7,0,9.3,17.07,6.24,24.22,3,1,0,259.2758422435135
GJ Maxwell,RR,12,463,273,15,34,24,66,123,22,4,4,0,10.18,18.2,4.71,24.18,3,0,0,242.3537101837259
AK Markram,SRH,10,392,222,15,27,18,49,95,24,9,5,1,10.59,14.8,4.93,22.07,2,0,0,252.8686544164561
MA Starc,KKR,11,459,255,15,44,24,73,94,18,2,3,0,10.8,17.0,3.75,28.63,2,1,0,239.0990239651416
Akash Vasisht,MI,7,190,138,14,13,7,42,61,13,2,3,0,8.26,9.86,6.9,30.43,3,0,0,283.8244766783394
DS Rathi,KKR,7,203,162,13,15,6,55,71,12,3,3,0,7.52,12.46,7.71,33.95,3,0,0,268.0962832553533
Arshdeep Singh,LSG,14,506,336,13,56,13,101,136,25,5,3,0,9.04,25.85,4.87,30.06,1,0,0,214.7903066705466
R Sai Kishore,GT,12,421,269,13,35,16,77,111,24,6,8,0,9.39,20.69,5.27,28.62,0,0,0,224.0878911586475
HH Pandya,MI,10,330,180,13,28,17,45,74,14,2,7,1,11.0,13.85,4.0,25.0,1,1,0,227.1919921234001
A Zampa,SRH,9,290,216,12,19,12,73,93,13,6,4,1,8.06,18.0,6.97,33.8,1,0,0,234.5647256685966
Rashid Khan,GT,8,275,186,12,22,13,63,77,7,4,6,0,8.87,15.5,5.31,33.87,2,1,0,228.4040216750918
T Natarajan,CSK,6,217,144,12,22,9,56,46,7,4,3,0,9.04,12.0,4.65,38.89,1,1,0,239.3126135693215
Ashutosh Sharma,RCB,15,395,252,12,34,16,82,88,25,7,4,0,9.4,21.0,5.04,32.54,0,0,0,212.6718216818642
Fazalhaq Farooqi,CSK,10,358,228,12,30,14,71,86,20,7,7,0,9.42,19.0,5.18,31.14,1,0,0,217.0155007263382
WG Jacks,LSG,7,242,150,12,23,9,38,69,9,2,3,0,9.68,12.5,4.69,25.33,2,0,0,228.7285785123967
LS Livingstone,SRH,10,233,144,12,19,13,44,59,7,2,0,0,9.71,12.0,4.5,30.56,0,0,0,231.551327840714
MP Yadav,CSK,8,260,159,12,17,15,54,56,12,5,6,1,9.81,13.25,4.97,33.96,1,0,0,231.4055289750543
AJ Tye,DC,6,216,120,12,15,15,40,41,6,3,4,0,10.8,10.0,4.0,33.33,2,1,0,238.0072592592593
A Nortje,RCB,9,404,209,12,31,26,50,87,11,4,3,0,11.6,17.42,3.67,23.92,2,1,0,199.2753302981116
SP Narine,LSG,13,448,312,11,28,12,67,160,39,6,8,0,8.62,28.36,7.8,21.47,1,0,0,205.6133935185337
JR Hazlewood,RR,10,368,240,11,40,12,84,82,18,4,5,1,9.2,21.82,4.62,35.0,1,0,0,199.384322320966
Ravi Bishnoi,PBKS,9,299,192,11,24,15,62,79,11,1,8,1,9.34,17.45,4.92,32.29,1,0,0,207.3339332445715
AR Patel,CSK,13,454,282,11,29,19,61,142,20,11,8,1,9.66,25.64,5.88,21.63,0,0,0,192.9807469049073
Mayank Dagar,RR,10,403,234,11,30,19,55,99,24,7,0,1,10.33,21.27,4.78,23.5,0,0,0,191.6878293694085
Suryansh Shedge,CSK,12,412,248,10,33,22,72,103,15,3,6,0,9.97,24.8,4.51,29.03,0,0,0,175.9093805933931
NT Ellis,LSG,5,193,114,10,20,7,36,36,11,4,1,0,10.16,11.4,4.22,31.58,1,1,1,210.2501688078464
