player,team,points_bat,points_ball,total_points
GJ Maxwell,RR,376.7425375302664,242.3537101837259,619.0962477139923
Ashutosh Sharma,RCB,307.6076969696969,212.6718216818642,520.2795186515611
Abhishek Sharma,MI,451.4425785123967,55.58129332216743,507.0238718345641
LS Livingstone,SRH,265.3526148867314,231.551327840714,496.9039427274454
JP Inglis,GT,447.970688172043,0.0,447.970688172043
SV Samson,GT,443.4449016393443,0.0,443.4449016393443
AD Russell,DC,191.4488095238095,249.135014005247,440.5838235290565
AK Markram,SRH,186.1477943925234,252.8686544164561,439.0164488089795
Shashank Singh,PBKS,248.817081300813,179.8148349817118,428.6319162825248
SP Narine,LSG,220.7658684807256,205.6133935185337,426.3792619992593
HH Pandya,MI,181.9642158590308,227.1919921234001,409.1562079824309
DAJ Bracewell,MI,133.6729280742459,271.7633465612914,405.4362746355374
Naman Dhir,GT,403.9055216400911,0.0,403.9055216400911
B Sai Sudharsan,RCB,397.5379808102346,0.0,397.5379808102346
BJ McMullen,DC,313.3848899082569,81.94169143850499,395.3265813467619
N Sindhu,DC,390.843220338983,0.0,390.843220338983
PHKD Mendis,KKR,190.4367142857143,199.0218845265435,389.4585988122577
AR Patel,CSK,196.0325091575092,192.9807469049073,389.0132560624164
SA Yadav,DC,388.187328320802,0.0,388.187328320802
V Suryavanshi,PBKS,387.8519016393442,0.0,387.8519016393442
Shubman Gill,LSG,385.3389069767442,0.0,385.3389069767442
R Shepherd,GT,73.64699999999999,306.7071025081223,380.3541025081223
Akash Vasisht,MI,95.86295505617979,283.8244766783394,379.6874317345191
PD Salt,RCB,376.3343441108545,0.0,376.3343441108545
FH Allen,LSG,373.8449869646182,0.0,373.8449869646182
C Green,RCB,205.6602278481013,167.5322690478865,373.1924968959878
N Pooran,MI,370.1456660341556,0.0,370.1456660341556
Priyansh Arya,SRH,367.7356817155756,0.0,367.7356817155756
R Parag,GT,314.8562709359607,44.96522033898305,359.8214912749437
Aniket Verma,RR,357.6929782016349,0.0,357.6929782016349
WG Jacks,LSG,127.2597277147488,228.7285785123967,355.9883062271455
V Kohli,DC,348.5586817155756,0.0,348.5586817155756
N Rana,KKR,235.6880116550117,108.9147787971458,344.6027904521575
B Kumar,KKR,0.0,342.3133441609513,342.3133441609513
PP Shaw,MI,337.7447606837607,0.0,337.7447606837607
JJ Bumrah,MI,0.0,337.1839454253612,337.1839454253612
Washington Sundar,PBKS,160.2195913200723,176.4475522637109,336.6671435837833
Suryansh Shedge,CSK,153.7314501216545,175.9093805933931,329.6408307150476
Shakib Al Hasan,PBKS,35.86201268742791,292.3370892018779,328.1991018893058
M Pathirana,RCB,0.0,327.1587783176627,327.1587783176627
P Simran Singh,SRH,322.4893309692671,0.0,322.4893309692671
YBK Jaiswal,RR,321.0071927710844,0.0,321.0071927710844
Tilak Varma,CSK,318.9459113680154,0.0,318.9459113680154
YS Chahal,RCB,0.0,317.8426877278852,317.8426877278852
BA Stokes,LSG,112.7935190311419,202.1588123725847,314.9523314037265
TM Head,CSK,314.0777142857143,0.0,314.0777142857143
Arshad Khan,KKR,159.575527593819,145.1073146107871,304.6828422046061
JM Sharma,RCB,304.5839469026549,0.0,304.5839469026549
KA Pollard,CSK,303.1315785123967,0.0,303.1315785123967
RD Rickelton,RR,301.4436823266219,0.0,301.4436823266219
JM Bairstow,KKR,301.0983157894737,0.0,301.0983157894737
RA Jadeja,DC,172.2847142857143,125.527536291847,297.8122505775613
CV Varun,PBKS,0.0,289.2628360587246,289.2628360587246
BM Duckett,CSK,285.6695652173913,0.0,285.6695652173913
Rashid Khan,GT,57.20240740740741,228.4040216750918,285.6064290824992
SS Iyer,LSG,284.7378095238095,0.0,284.7378095238095
M Prasidh Krishna,DC,0.0,283.1594141414141,283.1594141414141
AM Rahane,KKR,282.6084681238615,0.0,282.6084681238615
Abdul Samad,LSG,167.603,110.5745614035088,278.1775614035088
Abishek Porel,DC,275.3449122807017,0.0,275.3449122807017
JC Buttler,KKR,272.3581441774492,0.0,272.3581441774492
GD Phillips,GT,167.4556823266219,102.0704428467229,269.5261251733449
RD Gaikwad,RCB,269.1479016393443,0.0,269.1479016393443
DS Rathi,KKR,0.0,268.0962832553533,268.0962832553533
KL Rahul,SRH,267.4716148867313,0.0,267.4716148867313
TA Boult,MI,0.0,264.9265617237411,264.9265617237411
RM Patidar,RR,259.6349380804953,0.0,259.6349380804953
Rasikh Salam,GT,0.0,259.2758422435135,259.2758422435135
R Ashwin,KKR,112.2565674255692,146.0632466008056,258.3198140263748
Ishan Kishan,KKR,258.1465196850393,0.0,258.1465196850393
MP Stoinis,PBKS,217.4321958568738,37.17490909090909,254.6071049477829
VR Iyer,SRH,253.0929808102345,0.0,253.0929808102345
WL Madsen,MI,249.9491441774492,0.0,249.9491441774492
RK Singh,RCB,244.1255913200723,0.0,244.1255913200723
Q de Kock,PBKS,240.5420085470085,0.0,240.5420085470085
T Natarajan,CSK,0.0,239.3126135693215,239.3126135693215
MA Starc,KKR,0.0,239.0990239651416,239.0990239651416
AJ Turner,MI,87.23034328358209,151.8446769865841,239.0750202701662
KH Pandya,SRH,53.75033333333333,185.0912981021285,238.8416314354619
AJ Tye,DC,0.0,238.0072592592593,238.0072592592593
M Jansen,RR,114.9325979381443,120.3914915837128,235.3240895218572
S Dube,RR,234.8377958412098,0.0,234.8377958412098
A Zampa,SRH,0.0,234.5647256685966,234.5647256685966
H Klaasen,PBKS,231.5269847328244,0.0,231.5269847328244
MP Yadav,CSK,0.0,231.4055289750543,231.4055289750543
R Sai Kishore,GT,0.0,224.0878911586475,224.0878911586475
