bowler,team,score,rank
A Zampa,SRH,24.89505350315155,1
M Pathirana,RCB,23.27097874775361,2
Kuldeep Yadav,SRH,21.31039223164484,3
GJ Maxwell,RR,20.61238084940045,4
Fazalhaq Farooqi,CSK,20.45996744250906,5
Mohammad Nabi,GT,20.33964653133513,6
JJ Bumrah,MI,19.7833907306503,7
Arshad Khan,KKR,18.98910208688899,8
Mayank Dagar,RR,18.34672728801374,9
Ravi Bishnoi,PBKS,17.99130864759887,10
M Siddharth,CSK,17.96133574768108,11
MP Yadav,CSK,17.45401377440373,12
M Prasidh Krishna,DC,17.07208484811716,13
Washington Sundar,PBKS,16.80861683428683,14
AR Patel,CSK,16.51119278932713,15
MA Starc,KKR,16.07909505672205,16
Rashid Khan,GT,16.00330319989973,17
C Sakariya,SRH,15.17636897806885,18
Sandeep Sharma,RR,13.74765563368065,19
A Nortje,RCB,13.34475680512438,20
AK Markram,SRH,13.28169292269063,21
HH Pandya,MI,13.06499184824076,22
RA Jadeja,DC,13.01589344016277,23
Arshdeep Singh,LSG,12.83240925289293,24
JC Archer,LSG,12.34299065391604,25
Shakib Al Hasan,PBKS,12.07226104542437,26
Rasikh Salam,GT,12.0383791860008,27
Mustafizur Rahman,DC,11.54727548545863,28
WG Jacks,LSG,11.52297796219238,29
JR Hazlewood,RR,11.49116456055938,30
Harpreet Brar,RCB,11.49092168661653,31
R Sai Kishore,GT,11.42065035955567,32
Suryansh Shedge,CSK,11.33649827718918,33
T Natarajan,CSK,11.05676065610642,34
M Theekshana,MI,10.86319029368566,35
KH Pandya,SRH,10.76070143588412,36
B Kumar,KKR,10.48398000156271,37
HV Patel,PBKS,10.13682692114534,38
M Markande,PBKS,10.10381562214436,39
TA Boult,MI,9.966683826358118,40
PJ Cummins,PBKS,9.121080353513127,41
Mujeeb Ur Rahman,CSK,8.60164743365322,42
SZ Mulani,MI,8.411904032311089,43
Mohammed Shami,PBKS,8.334403523659919,44
Yash Thakur,PBKS,8.309654932769671,45
SH Johnson,SRH,8.2712010854559,46
Jagjit Singh,CSK,7.701875616693037,47
CV Varun,PBKS,7.285023525301181,48
Harshit Rana,CSK,7.169933241222804,49
Abhishek Sharma,MI,6.728169217997898,50
Ashutosh Sharma,RCB,6.712600276665921,51
GF Linde,RR,6.619607268660578,52
Suyash Sharma,MI,6.613007572431865,53
Swapnil Singh,RR,6.300905367005818,54
JD Unadkat,SRH,6.103995742558128,55
SP Narine,LSG,6.000348478529332,56
Shashank Singh,PBKS,5.917277647776245,57
Mohammed Siraj,RCB,5.787247910556776,58
Akash Deep,SRH,5.399139371837664,59
VG Arora,KKR,5.17802604482857,60
Ravi Teja,LSG,4.356226991610944,61
LS Livingstone,SRH,4.316815359108844,62
AS Roy,SRH,3.392341437080151,63
K Kartikeya,GT,3.252076371904578,64
R Parag,GT,3.136656603958671,65
M Jansen,RR,3.064418058347117,66
Ramandeep Singh,LSG,2.997475055019418,67
MG Bracewell,DC,2.552697414816439,68
I Sharma,GT,2.026700050271864,69
C Green,RCB,1.925637331831343,70
HR Shokeen,RR,0.3749196621448836,71
AD Russell,DC,0.0163472514154792,72
MM Ali,KKR,-0.0665327088232802,73
Mohsin Khan,RCB,-0.3705461519378563,74
Azmatullah Omarzai,RR,-1.050140021189454,75
GD Phillips,GT,-2.335937033971334,76
MP Stoinis,PBKS,-3.039279989724264,77
MR Marsh,DC,-3.336850574676874,78
DL Chahar,PBKS,-5.75860271544379,79
Yash Dayal,LSG,-7.327187658915229,80
VR Iyer,SRH,-7.413859949204112,81
