striker,batting_team,num_innings,50+_scores,runs,strike_rate,100+_scores
SA Yadav,DC,5,2,205,186.36,0
B Sai Sudharsan,RCB,4,2,198,160.98,0
N Sindhu,DC,5,2,197,156.35,0
TM Head,CSK,5,2,184,154.62,0
RM Patidar,RR,5,2,182,135.82,0
N Pooran,MI,5,2,171,161.32,0
KL Rahul,SRH,5,2,169,157.94,0
AM Rahane,KKR,5,2,145,151.04,0
VR Iyer,SRH,4,2,127,160.76,0
FH Allen,LSG,4,1,204,175.86,1
PP Shaw,MI,5,1,199,159.2,0
Tilak Varma,CSK,5,1,196,175.0,1
Priyansh Arya,SRH,5,1,194,177.98,1
JC Buttler,KKR,5,1,186,167.57,0
SV Samson,GT,5,1,180,160.71,1
Aniket Verma,RR,5,1,179,190.43,0
JP Inglis,GT,5,1,175,166.67,0
H Klaasen,PBKS,5,1,171,159.81,0
Ashutosh Sharma,RCB,4,1,169,189.89,0
P Simran Singh,SRH,5,1,163,175.27,0
Naman Dhir,GT,5,1,149,169.32,0
SP Narine,LSG,4,1,145,157.61,0
MP Stoinis,PBKS,5,1,143,152.13,0
RD Rickelton,RR,5,1,142,167.06,0
JM Bairstow,KKR,5,1,122,122.0,0
Q de Kock,PBKS,5,1,121,137.5,0
GJ Maxwell,RR,5,1,119,156.58,0
Urvil Patel,DC,4,1,117,158.11,0
V Suryavanshi,PBKS,5,1,115,145.57,0
LG Pretorius,GT,4,1,113,150.67,0
F du Plessis,CSK,3,1,112,131.76,0
RD Gaikwad,RCB,4,1,111,140.51,0
R Parag,GT,5,1,101,162.9,0
Shubman Gill,LSG,4,1,99,190.38,0
V Kohli,DC,4,1,96,188.24,0
Arshad Khan,KKR,5,1,94,156.67,0
Ishan Kishan,KKR,3,1,90,155.17,0
PD Salt,RCB,4,1,88,160.0,0
WL Madsen,MI,2,1,79,154.9,0
