match_id,innings,runs,balls,SR,final_score,total_balls,wkts,exit_pt_score,win,PP_perf,Middle_perf,Death_perf,batter,team
S03M005,1,36,26,138.46,178,120,5,71-3(9.3),0,13 off 11,23 off 15,,SV Samson,GT
S03M010,1,107,59,181.36,216,120,4,193-3(18.0),1,31 off 18,56 off 28,20 off 13,SV Samson,GT
S03M001,2,58,39,148.72,207,113,5,,1,1 off 3,43 off 28,14 off 8,RM Patidar,RR
S03M007,1,60,42,142.86,202,120,6,142-4(15.0),1,20 off 13,40 off 29,,RM Patidar,RR
S03M004,2,15,12,125.0,202,120,6,89-3(9.4),0,4 off 2,11 off 10,,SP Narine,LSG
S03M007,2,84,52,161.54,194,120,4,166-4(16.5),0,11 off 13,55 off 31,18 off 8,SP Narine,LSG
S03M003,1,32,21,152.38,194,120,4,114-3(12.5),1,,32 off 21,,Ashutosh Sharma,RCB
S03M009,2,64,27,237.04,198,111,4,121-3(11.2),1,8 off 5,56 off 22,,Ashutosh Sharma,RCB
S03M005,2,79,44,179.55,180,118,5,,1,12 off 4,43 off 28,24 off 12,H Klaasen,PBKS
S03M009,1,4,4,100.0,195,120,6,30-2(3.0),0,4 off 4,,,H Klaasen,PBKS
S03M003,1,0,1,0.0,194,120,4,0-1(0.1),1,0 off 1,,,PD Salt,RCB
S03M009,2,82,47,174.47,198,111,4,,1,38 off 18,25 off 20,19 off 9,PD Salt,RCB
S03M005,1,59,31,190.32,178,120,5,155-4(17.4),0,,41 off 21,18 off 10,Naman Dhir,GT
S03M010,1,22,15,146.67,216,120,4,132-2(12.0),1,,22 off 15,,Naman Dhir,GT
S03M004,2,47,25,188.0,202,120,6,180-5(18.1),0,,27 off 16,20 off 9,Kartik Sharma,LSG
S03M007,2,33,19,173.68,194,120,4,,0,,19 off 8,14 off 11,Kartik Sharma,LSG
S03M003,1,79,46,171.74,194,120,4,152-4(16.0),1,25 off 18,41 off 23,13 off 5,B Sai Sudharsan,RCB
S03M009,2,1,3,33.33,198,111,4,7-1(1.0),1,1 off 3,,,B Sai Sudharsan,RCB
S03M002,2,63,37,170.27,193,111,7,148-4(14.1),1,32 off 17,31 off 20,,TM Head,CSK
S03M008,1,16,9,177.78,138,120,8,31-1(2.5),1,16 off 9,,,TM Head,CSK
S03M005,1,51,36,141.67,178,120,5,176-5(19.3),0,11 off 6,21 off 18,19 off 12,JP Inglis,GT
S03M010,1,28,18,155.56,216,120,4,214-4(19.4),1,,10 off 8,18 off 10,JP Inglis,GT
S03M004,1,70,41,170.73,216,120,5,172-5(16.4),1,17 off 9,49 off 28,4 off 4,Ishan Kishan,KKR
S03M008,2,7,5,140.0,137,99,10,33-2(5.3),0,7 off 5,,,Ishan Kishan,KKR
S03M001,1,37,21,176.19,205,120,6,184-5(18.3),0,,17 off 10,20 off 11,T Stubbs,SRH
S03M006,1,39,23,169.57,171,120,8,135-7(15.5),1,,23 off 18,16 off 5,T Stubbs,SRH
S03M003,2,72,33,218.18,183,120,8,85-3(7.4),0,65 off 27,7 off 6,,V Kohli,DC
S03M010,2,2,2,100.0,191,120,8,2-1(0.2),0,2 off 2,,,V Kohli,DC
S03M001,2,66,36,183.33,207,113,5,106-2(9.5),1,40 off 23,26 off 13,,GJ Maxwell,RR
S03M007,1,7,5,140.0,202,120,6,9-1(1.1),1,7 off 5,,,GJ Maxwell,RR
S03M004,2,47,30,156.67,202,120,6,88-2(9.3),0,27 off 19,20 off 11,,FH Allen,LSG
S03M007,2,23,20,115.0,194,120,4,72-2(9.2),0,16 off 12,7 off 8,,FH Allen,LSG
S03M003,2,10,8,125.0,183,120,8,75-2(6.1),0,10 off 7,0 off 1,,SA Yadav,DC
S03M010,2,56,30,186.67,191,120,8,132-5(12.4),0,30 off 12,26 off 18,,SA Yadav,DC
S03M001,1,54,30,180.0,205,120,6,,0,,21 off 17,33 off 13,VR Iyer,SRH
S03M006,1,12,8,150.0,171,120,8,95-5(11.5),1,,12 off 8,,VR Iyer,SRH
S03M001,2,22,14,157.14,207,113,5,161-3(15.2),1,,22 off 13,0 off 1,S Dube,RR
S03M007,1,42,27,155.56,202,120,6,137-3(13.4),1,10 off 5,32 off 22,,S Dube,RR
S03M002,1,57,33,172.73,192,120,5,180-4(18.2),0,,27 off 21,30 off 12,N Pooran,MI
S03M006,2,7,9,77.78,165,118,10,58-3(6.2),0,7 off 7,0 off 2,,N Pooran,MI
S03M005,2,4,2,200.0,180,118,5,169-5(18.4),1,,,4 off 2,MP Stoinis,PBKS
S03M009,1,59,34,173.53,195,120,6,177-6(18.4),0,,29 off 20,30 off 14,MP Stoinis,PBKS
S03M005,2,46,30,153.33,180,118,5,102-2(10.5),1,33 off 18,13 off 12,,Shashank Singh,PBKS
S03M009,1,17,9,188.89,195,120,6,36-3(3.3),0,17 off 9,,,Shashank Singh,PBKS
S03M002,1,44,25,176.0,192,120,5,66-1(6.2),0,44 off 23,0 off 2,,PP Shaw,MI
S03M006,2,17,11,154.55,165,118,10,38-2(3.3),0,17 off 11,,,PP Shaw,MI
S03M004,1,41,15,273.33,216,120,5,,1,,,41 off 15,N Rana,KKR
S03M008,2,15,4,375.0,137,99,10,56-5(7.0),0,,15 off 4,,N Rana,KKR
S03M004,1,3,6,50.0,216,120,5,,1,,,3 off 6,Arshad Khan,KKR
S03M008,2,53,28,189.29,137,99,10,131-9(15.5),0,,53 off 27,0 off 1,Arshad Khan,KKR
S03M002,1,16,13,123.08,192,120,5,181-5(18.4),0,,4 off 4,12 off 9,HH Pandya,MI
S03M006,2,40,22,181.82,165,118,10,165-10(19.4),0,,26 off 14,14 off 8,HH Pandya,MI
S03M004,1,51,27,188.89,216,120,5,164-3(15.3),1,,47 off 25,4 off 2,AM Rahane,KKR
S03M008,2,4,3,133.33,137,99,10,37-3(6.0),0,4 off 3,,,AM Rahane,KKR
S03M002,1,27,18,150.0,192,120,5,85-2(8.2),0,22 off 13,5 off 5,,Abhishek Sharma,MI
S03M006,2,28,17,164.71,165,118,10,59-4(6.4),0,28 off 16,0 off 1,,Abhishek Sharma,MI
S03M001,1,12,9,133.33,205,120,6,71-2(6.5),0,7 off 5,5 off 4,,LS Livingstone,SRH
S03M006,1,41,34,120.59,171,120,8,78-4(9.5),1,23 off 21,18 off 13,,LS Livingstone,SRH
S03M001,2,26,10,260.0,207,113,5,57-1(4.3),1,26 off 10,,,RD Rickelton,RR
S03M007,1,25,13,192.31,202,120,6,41-2(4.3),1,25 off 13,,,RD Rickelton,RR
S03M005,2,12,13,92.31,180,118,5,127-3(14.5),1,,12 off 13,,Smaran Ravichandran,PBKS
S03M009,1,38,30,126.67,195,120,6,120-5(13.3),0,15 off 11,23 off 19,,Smaran Ravichandran,PBKS
S03M002,2,31,23,134.78,193,111,7,125-3(11.3),1,5 off 4,26 off 19,,F du Plessis,CSK
S03M008,1,19,24,79.17,138,120,8,99-4(12.1),1,0 off 4,19 off 20,,F du Plessis,CSK
