bowler,bowling_team,num_innings,wkts,balls,strike_rate,wkt_contribution_%
Avesh Khan,GT,8,12,186,15.5,28.57
Noor Ahmad,GT,7,12,168,14.0,28.57
Naveen-ul-Haq,SRH,5,14,120,8.57,24.14
M Pathirana,RCB,6,13,142,10.92,23.21
WG Jacks,LSG,9,15,196,13.07,23.08
Sikandar Raza,MI,5,8,102,12.75,21.05
C Green,KKR,6,10,114,11.4,20.0
Arshdeep Singh,LSG,9,12,210,17.5,18.46
YS Chahal,RCB,6,10,132,13.2,17.86
Harsh Dubey,RR,6,11,132,12.0,17.74
Shashank Singh,PBKS,9,10,172,17.2,17.24
S Lamichhane,DC,4,9,77,8.56,16.98
Mohammad Nabi,LSG,5,11,108,9.82,16.92
B Kumar,KKR,8,8,161,20.12,16.0
R Sai Kishore,MI,5,6,120,20.0,15.79
Suryansh Shedge,CSK,5,7,102,14.57,15.56
AR Patel,CSK,6,7,144,20.57,15.56
Tanush Kotian,CSK,7,7,132,18.86,15.56
Ashwani Kumar,RR,5,9,108,12.0,14.52
Swapnil Singh,GT,5,6,120,20.0,14.29
SL Malinga,PBKS,5,8,107,13.38,13.79
C Sakariya,SRH,4,8,96,12.0,13.79
T Natarajan,CSK,9,6,216,36.0,13.33
Yash Thakur,CSK,6,6,111,18.5,13.33
AK Markram,DC,3,7,72,10.29,13.21
MP Yadav,PBKS,5,7,96,13.71,12.07
MA Starc,KKR,4,6,91,15.17,12.0
Suyash Sharma,KKR,4,6,90,15.0,12.0
MJ Owen,DC,6,6,80,13.33,11.32
Fazalhaq Farooqi,CSK,5,5,112,22.4,11.11
Ravi Bishnoi,LSG,6,7,144,20.57,10.77
DAJ Bracewell,RCB,4,6,96,16.0,10.71
HH Pandya,MI,4,4,78,19.5,10.53
JJ Bumrah,MI,4,4,96,24.0,10.53
Shakib Al Hasan,PBKS,5,6,102,17.0,10.34
Washington Sundar,PBKS,7,6,132,22.0,10.34
DS Rathi,KKR,4,5,84,16.8,10.0
A Zampa,RR,5,6,114,19.0,9.68
Mayank Dagar,RR,4,6,83,13.83,9.68
GJ Maxwell,RR,8,6,144,24.0,9.68
AD Russell,DC,5,5,63,12.6,9.43
SZ Mulani,LSG,5,6,84,14.0,9.23
DS Airee,RCB,4,5,78,15.6,8.93
JJ Smit,PBKS,2,5,48,9.6,8.62
KA Maharaj,SRH,3,5,66,13.2,8.62
PHKD Mendis,SRH,5,5,92,18.4,8.62
CV Varun,PBKS,5,5,108,21.6,8.62
Arshad Khan,RR,7,5,102,20.4,8.06
Z Khan,KKR,3,4,56,14.0,8.0
SP Narine,KKR,5,4,96,24.0,8.0
V Nigam,MI,4,3,78,26.0,7.89
SA Abbott,DC,5,4,120,30.0,7.55
M Prasidh Krishna,DC,7,4,168,42.0,7.55
RA Jadeja,RCB,8,4,102,25.5,7.14
Khrievitso Kense,RCB,5,4,120,30.0,7.14
