bowler,bowling_team,num_innings,economy,balls,wkts
Khrievitso Kense,RCB,1,3.5,24,1
Jagjit Singh,SRH,1,5.75,24,0
AK Markram,DC,1,6.75,24,1
C Sakariya,SRH,1,7.5,24,2
Akash Vasisht,DC,1,7.5,24,0
Shakib Al Hasan,PBKS,1,7.75,24,1
CV Varun,PBKS,1,7.75,24,0
Naveen-ul-Haq,SRH,1,8.25,24,2
Akash Madhwal,CSK,1,8.5,24,1
DS Rathi,KKR,1,8.5,24,1
JC Archer,LSG,1,8.5,24,1
Bilal Zalmai,MI,1,8.75,24,0
R Sai Kishore,MI,1,9.0,24,1
B Kumar,KKR,1,9.0,24,0
Mohammed Shami,GT,1,9.5,24,0
Ashutosh Aman,RCB,1,9.75,24,0
GJ Maxwell,RR,1,9.75,24,0
NT Ellis,SRH,1,10.0,24,2
Noor Ahmad,GT,1,10.25,24,3
WG Jacks,LSG,1,10.5,24,4
HV Patel,RR,1,10.5,24,2
Atharva Ankolekar,MI,1,10.5,24,1
Washington Sundar,PBKS,1,10.5,24,1
Rashid Khan,GT,1,11.25,24,0
T Natarajan,CSK,1,11.5,24,2
Abid Mushtaq,DC,1,12.0,24,2
JR Hazlewood,RR,1,12.25,24,1
Harsh Dubey,RR,1,12.5,24,4
Avesh Khan,GT,1,12.5,24,2
Sikandar Raza,MI,1,12.75,24,1
Arshdeep Singh,LSG,1,13.5,24,2
Ravi Bishnoi,LSG,1,13.5,24,1
