Date,Match_Num,Home,Away,Winner,POTM_performance,Top_Scorer,Top_Bowler,Match_Report,Match_Rating
2025-08-24,1,GT,MI,GT,Ishan Kishan (MI) -> 95 off 60,Ishan Kishan (MI) -> 95 off 60,Noor Ahmad (GT) -> 3-41 (4.0),GT 226-3 (20.0) beat MI 212-5 (20.0) by 14 runs!,6.7/10
2025-08-24,2,RCB,DC,DC,JM Sharma (RCB) -> 58 off 30,JM Sharma (RCB) -> 58 off 30,S Lamichhane (DC) -> 3-22 (2.0),DC 198-6 (20.0) beat RCB 151-10 (18.0) by 47 runs!,3.9/10
2025-08-24,3,CSK,SRH,CSK,Suryansh Shedge (CSK) -> 8 off 10 ; 3-6 (3.0),SPD Smith (CSK) -> 46 off 40,Suryansh Shedge (CSK) -> 3-6 (3.0),CSK 158-7 (20.0) beat SRH 106-10 (15.3) by 52 runs!,3.7/10
2025-08-24,4,PBKS,KKR,PBKS,V Suryavanshi (PBKS) -> 98 off 48,V Suryavanshi (PBKS) -> 98 off 48,Suyash Sharma (KKR) -> 3-31 (3.0),PBKS 191-5 (18.0) beat KKR 186-5 (20.0) by 5 wickets!,7.5/10
2025-08-24,5,RR,LSG,LSG,WG Jacks (LSG) -> 39 off 24 ; 4-42 (4.0),Aniket Verma (RR) -> 96 off 51,WG Jacks (LSG) -> 4-42 (4.0),LSG 225-8 (20.0) beat RR 217-8 (20.0) by 8 runs!,7.5/10
2025-08-25,6,DC,SRH,SRH,MJ Owen (DC) -> 63 off 35 ; 2-44 (3.2),Priyansh Arya (SRH) -> 75 off 42,Naveen-ul-Haq (SRH) -> 4-28 (4.0),SRH 199-5 (19.2) beat DC 198-6 (20.0) by 5 wickets!,8.4/10
2025-08-25,7,RCB,LSG,RCB,Sameer Rizvi (LSG) -> 67 off 28,Sameer Rizvi (LSG) -> 67 off 28,DAJ Bracewell (RCB) -> 3-41 (4.0),RCB 187-5 (20.0) beat LSG 183-9 (20.0) by 5 wickets!,9.5/10
2025-08-26,8,MI,PBKS,PBKS,MP Yadav (PBKS) -> 3-46 (4.0),BM Duckett (PBKS) -> 55 off 41,MP Yadav (PBKS) -> 3-46 (4.0),PBKS 204-4 (19.3) beat MI 198-6 (20.0) by 6 wickets!,7.7/10
2025-08-26,9,GT,KKR,GT,SP Narine (KKR) -> 46 off 28 ; 3-37 (4.0),R Parag (GT) -> 70 off 32,Noor Ahmad (GT) -> 3-31 (4.0),GT 190-9 (17.3) beat KKR 188-7 (20.0) by 1 wicket!,7.2/10
2025-08-27,10,RR,CSK,RR,AB de Villiers (RR) -> 107* off 61,AB de Villiers (RR) -> 107* off 61,Mayank Dagar (RR) -> 3-28 (2.2),RR 216-3 (20.0) beat CSK 161-10 (17.2) by 55 runs!,4.5/10
2025-08-27,11,SRH,RCB,RCB,PHKD Mendis (SRH) -> 19 off 11 ; 3-22 (2.0),KL Rahul (SRH) -> 67* off 42,PHKD Mendis (SRH) -> 3-22 (2.0),RCB 181-7 (19.4) beat SRH 178-7 (20.0) by 3 wickets!,8.8/10
2025-08-28,12,LSG,DC,LSG,AK Markram (DC) -> 30 off 19 ; 3-29 (4.0),Shubman Gill (LSG) -> 74 off 50,S Lamichhane (DC) -> 3-19 (2.5),LSG 195-6 (19.5) beat DC 189-7 (20.0) by 4 wickets!,8.5/10
2025-08-28,13,KKR,MI,KKR,C Green (KKR) -> 3 off 4 ; 5-28 (4.0),Q de Kock (KKR) -> 51 off 36,C Green (KKR) -> 5-28 (4.0),KKR 169-5 (20.0) beat MI 153-10 (18.1) by 16 runs!,5.8/10
2025-08-29,14,PBKS,GT,GT,RD Gaikwad (GT) -> 83 off 47,RD Gaikwad (GT) -> 83 off 47,MA Wood (PBKS) -> 2-33 (3.0),GT 213-5 (20.0) beat PBKS 190-6 (20.0) by 23 runs!,3.7/10
2025-08-29,15,CSK,RR,RR,GJ Maxwell (RR) -> 108 off 57 ; 0-13 (1.0),GJ Maxwell (RR) -> 108 off 57,Ashwani Kumar (RR) -> 4-29 (3.0),RR 198-3 (20.0) beat CSK 159-10 (18.4) by 39 runs!,3.6/10
2025-08-30,16,LSG,SRH,LSG,WG Jacks (LSG) -> 44 off 33 ; 2-23 (4.0),SS Iyer (LSG) -> 82 off 52,Mohammad Nabi (LSG) -> 3-29 (4.0),LSG 157-6 (19.2) beat SRH 152-9 (20.0) by 4 wickets!,7.2/10
2025-08-30,17,DC,RCB,RCB,MJ Owen (DC) -> 46* off 31 ; 1-13 (2.0),Abishek Porel (DC) -> 51 off 27,SA Abbott (DC) -> 2-38 (4.0),RCB 209-5 (20.0) beat DC 206-4 (20.0) by 3 runs!,8.8/10
2025-08-31,18,LSG,RCB,LSG,WG Jacks (LSG) -> 49 off 31 ; 2-31 (4.0),RD Rickelton (LSG) -> 62 off 35,Mohammad Nabi (LSG) -> 2-23 (4.0),LSG 189-3 (20.0) beat RCB 162-8 (20.0) by 27 runs!,4.2/10
2025-08-31,19,KKR,RR,KKR,C Green (KKR) -> 49 off 23 ; 2-30 (4.0),S Dube (RR) -> 62* off 46,MA Starc (KKR) -> 3-38 (4.0),KKR 183-7 (20.0) beat RR 172-9 (20.0) by 11 runs!,7.0/10
2025-08-31,20,SRH,PBKS,SRH,PHKD Mendis (SRH) -> 81 off 43 ; 0-19 (2.0),PHKD Mendis (SRH) -> 81 off 43,C Sakariya (SRH) -> 3-43 (4.0),SRH 179-4 (18.5) beat PBKS 175-9 (20.0) by 6 wickets!,6.5/10
2025-08-31,21,MI,CSK,MI,AM Rahane (MI) -> 85 off 55,AM Rahane (MI) -> 85 off 55,Sikandar Raza (MI) -> 4-51 (4.0),MI 206-3 (17.4) beat CSK 200-6 (20.0) by 7 wickets!,5.1/10
2025-08-31,22,DC,GT,DC,SV Samson (GT) -> 91 off 48,SV Samson (GT) -> 91 off 48,S Lamichhane (DC) -> 2-46 (4.0),DC 238-5 (20.0) beat GT 232-4 (20.0) by 6 runs!,8.0/10
2025-09-01,23,GT,CSK,GT,B Sai Sudharsan (CSK) -> 131 off 66,B Sai Sudharsan (CSK) -> 131 off 66,Noor Ahmad (GT) -> 2-40 (4.0),GT 209-4 (19.0) beat CSK 206-5 (20.0) by 6 wickets!,7.8/10
