match_id,innings,runs,balls,SR,final_score,total_balls,wkts,post_1st_strike_score,exit_pt_score,win,PP_perf,Middle_perf,Death_perf,batter,team
S04M002,1,56,27,207.41,198,120,6,92-4(10.5),186-5(19.1),1,,25 off 13,31 off 14,MJ Owen,DC
S04M006,1,63,35,180.0,198,120,6,37-3(4.3),155-6(15.5),0,15 off 8,48 off 25,0 off 2,MJ Owen,DC
S04M012,1,35,18,194.44,189,120,7,96-3(10.2),139-4(15.0),0,,35 off 18,,MJ Owen,DC
S04M017,2,46,31,148.39,206,120,4,77-3(9.3),,0,,26 off 17,20 off 14,MJ Owen,DC
S04M002,2,58,30,193.33,151,108,10,15-3(3.3),90-6(11.0),0,17 off 10,41 off 20,,JM Sharma,RCB
S04M007,2,27,15,180.0,187,120,5,115-3(13.5),152-5(17.5),1,,6 off 4,21 off 11,JM Sharma,RCB
S04M011,2,41,26,157.69,181,118,7,89-3(9.5),,1,,21 off 14,20 off 12,JM Sharma,RCB
S04M017,1,47,23,204.35,209,120,5,114-3(11.2),,1,,30 off 14,17 off 9,JM Sharma,RCB
S04M001,2,61,32,190.62,212,120,5,6-0(0.3),125-1(12.3),0,28 off 13,33 off 19,,Abhishek Sharma,MI
S04M008,1,50,26,192.31,198,120,6,2-0(0.1),59-1(5.4),0,50 off 26,,,Abhishek Sharma,MI
S04M013,2,46,22,209.09,153,109,10,13-0(1.1),84-3(8.1),0,36 off 15,10 off 7,,Abhishek Sharma,MI
S04M005,2,96,51,188.24,217,120,8,22-1(2.3),212-7(19.0),0,20 off 14,69 off 30,7 off 7,Aniket Verma,RR
S04M010,1,0,1,0.0,216,120,3,9-2(1.2),9-2(1.2),1,0 off 1,,,Aniket Verma,RR
S04M015,1,60,46,130.43,198,120,3,26-1(3.3),175-2(18.1),1,15 off 13,34 off 24,11 off 9,Aniket Verma,RR
S04M004,2,61,31,196.77,191,108,5,75-2(7.5),,1,,37 off 23,24 off 8,Smaran Ravichandran,PBKS
S04M008,2,39,24,162.5,204,117,4,89-2(7.4),165-4(16.4),1,,28 off 19,11 off 5,Smaran Ravichandran,PBKS
S04M014,2,55,38,144.74,190,120,6,19-2(2.5),123-4(15.0),0,11 off 11,44 off 27,,Smaran Ravichandran,PBKS
S04M003,2,37,21,176.19,106,93,10,5-0(0.2),50-1(4.4),0,37 off 21,,,KL Rahul,SRH
S04M006,2,7,6,116.67,199,116,5,140-1(14.1),190-4(17.5),1,,2 off 2,5 off 4,KL Rahul,SRH
S04M011,1,67,42,159.52,178,120,7,44-1(3.4),,0,8 off 8,35 off 22,24 off 12,KL Rahul,SRH
S04M016,1,41,23,178.26,152,120,9,1-1(0.4),63-4(8.2),0,35 off 18,6 off 5,,KL Rahul,SRH
S04M001,1,53,33,160.61,226,120,3,0-0(0.1),102-1(10.4),1,33 off 20,20 off 13,,RD Gaikwad,GT
S04M009,2,15,13,115.38,190,105,9,0-0(0.1),20-1(3.0),1,15 off 13,,,RD Gaikwad,GT
S04M014,1,83,47,176.6,213,120,5,4-0(0.1),127-3(13.1),1,42 off 24,41 off 23,,RD Gaikwad,GT
S04M005,1,75,36,208.33,225,120,8,5-0(0.3),130-2(12.0),1,46 off 19,29 off 17,,RD Rickelton,LSG
S04M007,1,13,12,108.33,183,120,9,10-0(1.3),46-2(5.5),0,13 off 12,,,RD Rickelton,LSG
S04M012,2,55,26,211.54,195,119,6,5-0(0.2),90-1(7.5),1,52 off 20,3 off 6,,RD Rickelton,LSG
S04M016,2,6,4,150.0,157,116,6,9-1(0.4),12-2(1.1),1,6 off 4,,,RD Rickelton,LSG
S04M005,1,39,24,162.5,225,120,8,106-1(9.2),162-3(15.2),1,,37 off 22,2 off 2,WG Jacks,LSG
S04M007,1,16,13,123.08,183,120,9,38-1(4.4),73-3(9.5),0,8 off 4,8 off 9,,WG Jacks,LSG
S04M012,2,45,26,173.08,195,119,6,91-1(8.0),176-2(16.3),1,,33 off 21,12 off 5,WG Jacks,LSG
S04M016,2,44,33,133.33,157,116,6,4-1(0.2),108-3(12.4),1,23 off 14,21 off 19,,WG Jacks,LSG
S04M004,2,98,48,204.17,191,108,5,1-0(0.1),185-3(17.2),1,43 off 16,37 off 26,18 off 6,V Suryavanshi,PBKS
S04M008,2,41,24,170.83,204,117,4,4-0(0.1),87-2(7.3),1,39 off 21,2 off 3,,V Suryavanshi,PBKS
S04M014,2,3,7,42.86,190,120,6,0-0(0.1),15-2(2.4),0,3 off 7,,,V Suryavanshi,PBKS
S04M002,1,37,27,137.04,198,120,6,89-3(9.5),,1,,10 off 16,27 off 11,Abishek Porel,DC
S04M006,1,16,10,160.0,198,120,6,115-4(12.2),150-5(15.1),0,,16 off 9,0 off 1,Abishek Porel,DC
S04M012,1,35,13,269.23,189,120,7,144-5(15.3),,0,,,35 off 13,Abishek Porel,DC
S04M017,2,51,27,188.89,206,120,4,38-1(4.4),150-4(15.4),0,2 off 2,49 off 24,0 off 1,Abishek Porel,DC
S04M005,1,38,25,152.0,225,120,8,0-0(0.1),104-1(9.0),1,30 off 17,8 off 8,,Shubman Gill,LSG
S04M007,1,25,19,131.58,183,120,9,0-0(0.1),38-1(4.3),0,25 off 19,,,Shubman Gill,LSG
S04M012,2,74,50,148.0,195,119,6,1-0(0.1),180-4(17.4),1,24 off 16,44 off 27,6 off 7,Shubman Gill,LSG
S04M016,2,0,1,0.0,157,116,6,0-1(0.1),0-1(0.1),1,0 off 1,,,Shubman Gill,LSG
S04M005,2,13,6,216.67,217,120,8,81-2(7.3),107-3(9.4),0,,13 off 6,,AB de Villiers,RR
S04M010,1,107,61,175.41,216,120,3,9-2(1.3),,1,21 off 20,31 off 25,55 off 16,AB de Villiers,RR
S04M015,1,14,11,127.27,198,120,3,10-0(1.0),26-1(3.2),1,14 off 11,,,AB de Villiers,RR
S04M004,1,58,37,156.76,186,120,5,1-0(0.4),121-2(13.3),0,18 off 13,40 off 24,,Q de Kock,KKR
S04M009,1,25,24,104.17,188,120,7,2-0(0.2),74-2(8.5),0,19 off 16,6 off 8,,Q de Kock,KKR
S04M013,1,51,36,141.67,169,120,5,13-0(1.1),96-3(12.5),1,22 off 16,29 off 20,,Q de Kock,KKR
S04M002,2,0,4,0.0,151,108,10,1-0(0.2),1-1(0.5),0,0 off 4,,,PD Salt,RCB
S04M007,2,47,30,156.67,187,120,5,2-0(0.1),87-1(9.5),1,28 off 19,19 off 11,,PD Salt,RCB
S04M011,2,65,30,216.67,181,118,7,2-0(0.2),84-1(8.4),1,52 off 22,13 off 8,,PD Salt,RCB
S04M017,1,16,7,228.57,209,120,5,6-0(1.0),24-1(2.3),1,16 off 7,,,PD Salt,RCB
S04M001,2,95,60,158.33,212,120,5,4-0(0.1),189-3(18.1),0,36 off 23,39 off 26,20 off 11,Ishan Kishan,MI
S04M013,2,29,21,138.1,153,109,10,0-0(0.1),65-1(6.0),0,29 off 21,,,Ishan Kishan,MI
S04M005,2,14,10,140.0,217,120,8,1-0(0.1),22-1(2.2),0,14 off 10,,,GJ Maxwell,RR
S04M010,1,1,2,50.0,216,120,3,1-0(0.1),9-1(1.1),1,1 off 2,,,GJ Maxwell,RR
