match_id,innings,runs,balls,wkts,Eco,final_score,total_balls,wkts_lost,win,PP_perf,Middle_perf,Death_perf,bowler,team
S04M003,1,33,24,2,8.25,158,120,7,0,0-9(6),,2-24(18),Naveen-ul-Haq,SRH
S04M006,1,28,24,4,7.0,198,120,6,1,2-2(6),,2-26(18),Naveen-ul-Haq,SRH
S04M001,2,41,24,3,10.25,212,120,5,1,,2-21(12),1-20(12),Noor Ahmad,GT
S04M009,1,31,24,3,7.75,188,120,7,1,,2-10(12),1-21(12),Noor Ahmad,GT
S04M005,2,42,24,4,10.5,217,120,8,1,,2-25(12),2-17(12),WG Jacks,LSG
S04M007,2,43,24,2,10.75,187,120,5,0,,1-14(12),1-29(12),WG Jacks,LSG
S04M004,2,31,18,3,10.33,191,108,5,0,,0-2(6),3-29(12),Suyash Sharma,KKR
S04M009,2,37,24,1,9.25,190,105,9,0,1-11(12),0-6(6),0-20(6),Suyash Sharma,KKR
S04M001,2,50,24,2,12.5,212,120,5,1,0-19(12),,2-31(12),Avesh Khan,GT
S04M009,1,29,24,2,7.25,188,120,7,1,0-10(12),,2-19(12),Avesh Khan,GT
S04M005,1,50,24,4,12.5,225,120,8,0,,0-25(12),4-25(12),Harsh Dubey,RR
S04M003,1,30,24,2,7.5,158,120,7,0,,2-30(24),,C Sakariya,SRH
S04M006,1,37,24,1,9.25,198,120,6,1,,1-37(24),,C Sakariya,SRH
S04M004,1,17,12,2,8.5,186,120,5,1,0-11(6),,2-6(6),Shashank Singh,PBKS
S04M008,1,34,18,1,11.33,198,120,6,1,1-34(18),,,Shashank Singh,PBKS
S04M007,1,41,24,3,10.25,183,120,9,1,0-7(6),1-10(6),2-24(12),DAJ Bracewell,RCB
S04M004,2,34,24,1,8.5,191,108,5,0,1-29(18),0-5(6),,DS Rathi,KKR
S04M009,2,41,18,2,13.67,190,105,9,0,0-27(12),,2-14(6),DS Rathi,KKR
S04M008,1,46,24,3,11.5,198,120,6,1,0-7(6),,3-39(18),MP Yadav,PBKS
S04M004,2,47,18,0,15.67,191,108,5,0,0-28(12),,0-19(6),SP Narine,KKR
S04M009,2,37,24,3,9.25,190,105,9,0,,3-37(24),,SP Narine,KKR
S04M008,2,36,24,2,9.0,204,117,4,0,,1-25(18),1-11(6),JJ Bumrah,MI
S04M007,1,37,24,2,9.25,183,120,9,1,0-9(6),0-4(6),2-24(12),M Pathirana,RCB
S04M005,2,54,24,2,13.5,217,120,8,1,1-38(18),,1-16(6),Arshdeep Singh,LSG
S04M007,2,29,24,0,7.25,187,120,5,0,0-19(18),,0-10(6),Arshdeep Singh,LSG
S04M005,1,42,24,2,10.5,225,120,8,0,0-19(12),1-5(6),1-18(6),HV Patel,RR
S04M004,2,24,18,1,8.0,191,108,5,0,,1-24(18),,R Tewatia,KKR
S04M009,2,41,18,1,13.67,190,105,9,0,,1-41(18),,R Tewatia,KKR
S04M003,2,46,24,2,11.5,106,93,10,1,1-35(18),1-11(6),,T Natarajan,CSK
S04M003,1,40,24,2,10.0,158,120,7,0,1-18(12),0-14(6),1-8(6),NT Ellis,SRH
S04M006,1,55,24,0,13.75,198,120,6,1,0-23(12),0-20(6),0-12(6),NT Ellis,SRH
