match_id,innings,runs,balls,SR,post_1st_strike_score,exit_pt_score,win,PP_perf,Middle_perf,Death_perf,batter,team,team_total
S05M002,1,61,32,190.62,14-0(1.1),131-2(11.4),1,21 off 10,40 off 22,,Tarang Gohel,DC,4-221 (120)
S05M006,2,49,22,222.73,27-1(2.3),110-2(8.2),0,33 off 15,16 off 7,,Tarang Gohel,DC,10-198 (116)
S05M012,1,88,37,237.84,2-0(0.3),159-6(13.0),0,36 off 14,52 off 23,,Tarang Gohel,DC,9-212 (120)
S05M003,1,61,52,117.31,41-2(3.3),,0,15 off 12,29 off 27,17 off 13,Abdul Samad,LSG,8-152 (120)
S05M008,1,87,53,164.15,4-2(0.4),158-4(16.5),0,36 off 23,47 off 28,4 off 2,Abdul Samad,LSG,6-180 (120)
S05M010,2,29,11,263.64,178-2(16.4),,0,,,29 off 11,Abdul Samad,LSG,4-219 (120)
S05M001,2,91,47,193.62,8-1(1.2),171-2(15.4),1,26 off 15,51 off 28,14 off 4,S Dube,RR,3-194 (107)
S05M008,2,39,25,156.0,35-1(2.4),101-3(10.2),1,14 off 10,25 off 15,,S Dube,RR,9-181 (115)
S05M012,2,40,16,250.0,56-1(3.2),103-2(7.0),1,30 off 11,10 off 5,,S Dube,RR,8-213 (104)
S05M001,2,81,47,172.34,0-0(0.1),,1,32 off 17,42 off 26,7 off 4,GJ Maxwell,RR,3-194 (107)
S05M008,2,36,17,211.76,1-0(0.1),55-2(5.1),1,36 off 17,,,GJ Maxwell,RR,9-181 (115)
S05M012,2,28,11,254.55,4-0(0.1),52-1(3.1),1,28 off 11,,,GJ Maxwell,RR,8-213 (104)
S05M004,1,37,24,154.17,77-4(7.3),149-6(15.1),1,,37 off 23,0 off 1,VR Iyer,SRH,10-189 (109)
S05M010,1,107,51,209.8,27-3(3.5),,1,37 off 9,27 off 26,43 off 16,VR Iyer,SRH,5-222 (120)
S05M003,1,18,10,180.0,4-0(0.1),41-2(3.2),0,18 off 10,,,Shubman Gill,LSG,8-152 (120)
S05M008,1,45,29,155.17,8-2(1.1),119-3(13.0),0,10 off 10,35 off 19,,Shubman Gill,LSG,6-180 (120)
S05M010,2,75,40,187.5,3-0(0.1),161-2(16.0),0,21 off 12,53 off 26,1 off 2,Shubman Gill,LSG,4-219 (120)
S05M004,2,80,51,156.86,28-3(5.0),169-6(19.2),0,1 off 3,45 off 31,34 off 17,JM Sharma,RCB,7-171 (120)
S05M009,2,48,23,208.7,92-3(12.0),171-6(18.4),0,,18 off 11,30 off 12,JM Sharma,RCB,10-171 (120)
S05M005,2,82,52,157.69,1-0(0.4),145-9(17.1),0,22 off 17,46 off 27,14 off 8,SP Narine,KKR,10-145 (105)
S05M009,1,31,18,172.22,8-0(1.1),44-1(5.0),1,31 off 18,,,SP Narine,KKR,6-176 (120)
S05M002,1,89,46,193.48,44-1(4.3),,1,12 off 8,57 off 24,20 off 14,N Sindhu,DC,4-221 (120)
S05M006,2,0,1,0.0,110-3(8.3),110-3(8.3),0,,0 off 1,,N Sindhu,DC,10-198 (116)
S05M012,1,16,9,177.78,14-1(1.4),60-2(4.5),0,16 off 9,,,N Sindhu,DC,9-212 (120)
S05M002,1,25,18,138.89,0-0(0.1),44-1(4.2),1,25 off 18,,,V Kohli,DC,4-221 (120)
S05M006,2,68,41,165.85,4-0(0.1),159-6(14.5),0,39 off 16,29 off 25,,V Kohli,DC,10-198 (116)
S05M012,1,11,7,157.14,0-0(0.1),13-1(1.3),0,11 off 7,,,V Kohli,DC,9-212 (120)
S05M003,1,30,16,187.5,10-1(1.2),64-3(6.2),0,30 off 14,0 off 2,,WG Jacks,LSG,8-152 (120)
S05M008,1,0,1,0.0,0-2(0.3),0-2(0.3),0,0 off 1,,,WG Jacks,LSG,6-180 (120)
S05M010,2,71,45,157.78,51-1(4.3),182-3(17.1),0,15 off 8,36 off 28,20 off 9,WG Jacks,LSG,4-219 (120)
S05M001,2,5,4,125.0,172-2(15.5),180-3(16.5),1,,,5 off 4,BJ McMullen,RR,3-194 (107)
S05M008,2,33,23,143.48,57-2(5.2),149-6(15.1),1,5 off 4,28 off 18,0 off 1,BJ McMullen,RR,9-181 (115)
S05M012,2,56,24,233.33,105-2(7.2),194-5(14.3),1,,56 off 24,,BJ McMullen,RR,8-213 (104)
S05M005,2,30,17,176.47,51-3(7.0),107-4(12.2),0,,30 off 17,,RG Sharma,KKR,10-145 (105)
S05M009,1,58,29,200.0,52-3(6.0),145-5(15.4),1,0 off 1,56 off 26,2 off 2,RG Sharma,KKR,6-176 (120)
S05M004,1,42,27,155.56,77-5(7.5),189-10(18.1),1,,34 off 22,8 off 5,Nithish Kumar Reddy,SRH,10-189 (109)
S05M010,1,42,24,175.0,90-4(7.4),156-5(15.1),1,,42 off 23,0 off 1,Nithish Kumar Reddy,SRH,5-222 (120)
S05M004,2,38,25,152.0,3-0(1.1),60-4(8.5),0,16 off 15,22 off 10,,PD Salt,RCB,7-171 (120)
S05M009,2,39,32,121.88,9-0(0.3),76-2(9.3),0,30 off 20,9 off 12,,PD Salt,RCB,10-171 (120)
S05M001,1,71,44,161.36,41-4(4.4),,0,2 off 4,35 off 23,34 off 17,Shashank Singh,PBKS,8-193 (120)
S05M007,2,0,1,0.0,99-5(10.3),99-5(10.3),1,,0 off 1,,Shashank Singh,PBKS,7-156 (102)
S05M001,1,11,11,100.0,6-2(0.5),41-4(4.3),0,11 off 11,,,Smaran Ravichandran,PBKS,8-193 (120)
S05M007,2,56,26,215.38,64-2(7.3),154-7(16.1),1,,56 off 25,0 off 1,Smaran Ravichandran,PBKS,7-156 (102)
S05M001,2,2,4,50.0,1-0(0.3),6-1(1.1),1,2 off 4,,,YBK Jaiswal,RR,3-194 (107)
S05M008,2,7,5,140.0,2-0(0.2),34-1(2.3),1,7 off 5,,,YBK Jaiswal,RR,9-181 (115)
