match_id,innings,runs,balls,wkts,Eco,win,PP_perf,Middle_perf,Death_perf,bowler,team,team_total
S05M008,2,30,19,0,9.47,0.0,0-15(6),0-9(6),0-6(7),Arshdeep Singh,LSG,9-181 (115)
S05M010,1,43,24,2,10.75,0.0,2-5(6),0-15(6),0-23(12),Arshdeep Singh,LSG,5-222 (120)
S05M016,2,26,24,5,6.5,1.0,2-10(12),,3-16(12),Arshdeep Singh,LSG,10-172 (116)
S05M023,2,39,24,2,9.75,1.0,0-27(12),,2-12(12),Arshdeep Singh,LSG,10-154 (114)
S05M025,2,38,18,1,12.67,1.0,1-26(12),,0-12(6),Arshdeep Singh,LSG,10-162 (113)
S05M029,2,14,12,1,7.0,0.0,1-14(12),,,Arshdeep Singh,LSG,6-162 (102)
S05M033,1,36,24,1,9.0,1.0,0-16(12),,1-20(12),Arshdeep Singh,LSG,9-182 (120)
S05M037,2,33,24,1,8.25,1.0,0-16(12),,1-17(12),Arshdeep Singh,LSG,8-187 (120)
S05M041,1,29,24,1,7.25,0.0,0-17(12),,1-12(12),Arshdeep Singh,LSG,6-201 (120)
S05M052,1,30,24,1,7.5,0.0,1-17(12),,0-13(12),Arshdeep Singh,LSG,3-241 (120)
S05M057,2,30,24,3,7.5,1.0,0-24(12),,3-6(12),Arshdeep Singh,LSG,10-147 (120)
S05M066,1,36,24,0,9.0,0.0,0-17(12),,0-19(12),Arshdeep Singh,LSG,1-202 (120)
S05M072,2,42,24,3,10.5,1.0,1-30(12),,2-12(12),Arshdeep Singh,LSG,9-194 (120)
S05M075,2,39,24,2,9.75,1.0,0-20(12),,2-19(12),Arshdeep Singh,LSG,9-182 (120)
S05M081,2,35,24,2,8.75,1.0,1-14(12),,1-21(12),Arshdeep Singh,LSG,8-179 (120)
S05M084,2,46,24,3,11.5,1.0,2-21(12),,1-25(12),Arshdeep Singh,LSG,5-219 (120)
S05M008,2,33,24,4,8.25,0.0,0-6(6),1-14(6),3-13(12),JC Archer,LSG,9-181 (115)
S05M010,1,54,18,0,18.0,0.0,0-21(6),0-12(6),0-21(6),JC Archer,LSG,5-222 (120)
S05M016,2,31,20,1,9.3,1.0,,0-5(6),1-26(14),JC Archer,LSG,10-172 (116)
S05M023,2,30,18,3,10.0,1.0,,1-10(6),2-20(12),JC Archer,LSG,10-154 (114)
S05M029,2,39,18,0,13.0,0.0,,0-23(12),0-16(6),JC Archer,LSG,6-162 (102)
S05M033,1,33,24,4,8.25,1.0,,2-14(12),2-19(12),JC Archer,LSG,9-182 (120)
S05M037,2,39,24,3,9.75,1.0,,0-18(12),3-21(12),JC Archer,LSG,8-187 (120)
S05M052,1,58,24,0,14.5,0.0,,0-21(12),0-37(12),JC Archer,LSG,3-241 (120)
S05M066,1,41,24,1,10.25,0.0,,1-23(12),0-18(12),JC Archer,LSG,1-202 (120)
S05M072,2,42,24,1,10.5,1.0,1-27(12),,0-15(12),JC Archer,LSG,9-194 (120)
S05M075,2,25,24,4,6.25,1.0,1-13(12),,3-12(12),JC Archer,LSG,9-182 (120)
S05M081,2,24,24,4,6.0,1.0,1-10(12),,3-14(12),JC Archer,LSG,8-179 (120)
