bowling_team,phase,wkts,eco,SR
CSK,Death,35,11.37,14.63
CSK,Middle,51,8.7,19.06
CSK,PP,33,9.78,19.64
DC,Death,46,11.01,10.3
DC,Middle,51,9.17,19.06
DC,PP,14,10.14,46.29
GT,Death,45,11.23,10.36
GT,Middle,36,9.43,27.0
GT,PP,40,9.83,16.2
KKR,Death,45,11.07,9.33
KKR,Middle,51,8.57,18.78
KKR,PP,28,9.46,23.14
LSG,Middle,59,9.21,19.22
LSG,PP,35,9.87,21.6
LSG,Death,58,10.07,9.78
MI,Death,45,10.36,9.78
MI,Middle,39,9.5,24.92
MI,PP,28,10.26,23.14
PBKS,Death,41,10.3,10.93
PBKS,Middle,44,8.5,21.34
PBKS,PP,32,9.32,20.25
RCB,Death,43,10.31,10.88
RCB,Middle,61,8.43,17.7
RCB,PP,33,9.92,21.82
RR,Death,52,9.96,10.73
RR,Middle,60,9.54,18.0
RR,PP,32,9.86,22.5
SRH,Middle,47,8.89,21.13
SRH,Death,41,10.35,11.83
SRH,PP,30,9.0,22.8
