batting_team,phase,outs,avg,SR
CSK,Death,29,17.62,189.26
CSK,Middle,25,29.56,136.85
CSK,PP,13,45.0,162.5
DC,Death,27,18.11,175.9
DC,Middle,24,36.88,156.08
DC,PP,18,42.61,193.69
GT,Death,40,16.42,205.31
GT,Middle,27,35.89,149.54
GT,PP,24,29.12,161.81
KKR,Death,35,12.74,152.22
KKR,Middle,28,33.0,155.56
KKR,PP,16,37.69,152.27
LSG,Middle,20,45.5,153.2
LSG,PP,20,32.4,163.64
LSG,Death,34,14.38,161.39
MI,Death,25,17.88,164.34
MI,Middle,32,26.66,145.07
MI,PP,14,43.93,155.3
PBKS,Death,25,19.8,165.55
PBKS,Middle,38,25.92,155.36
PBKS,PP,24,28.33,157.41
RCB,Death,30,15.4,195.76
RCB,Middle,32,23.66,149.31
RCB,PP,20,25.85,143.61
RR,Death,18,26.94,188.72
RR,Middle,23,44.17,171.04
RR,PP,15,46.47,176.01
SRH,Middle,21,33.67,145.47
SRH,Death,26,15.19,183.72
SRH,PP,19,28.05,164.51
