bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,wides,noballs,economy,strike_rate,bpb,dot_%,points,best_performance,3w-4w-5w hauls
Arshdeep Singh,LSG,13,478,290,30,46,25,112,7,0,9.89,9.67,4.08,38.62,456.39,6-36 (24),7-3-1
Noor Ahmad,MI,13,454,307,24,34,22,105,12,0,8.87,12.79,5.48,34.2,378.79,4-23 (24),5-2-0
B Kumar,KKR,12,416,269,23,40,16,99,12,0,9.28,11.7,4.8,36.8,369.09,6-29 (23),3-1-1
MP Yadav,PBKS,12,329,224,22,25,13,80,7,1,8.81,10.18,5.89,35.71,373.59,5-28 (24),3-2-1
AR Ramjani,PBKS,11,314,238,20,22,11,81,9,1,7.92,11.9,7.21,34.03,350.11,4-22 (24),3-1-0
PWH de Silva,RCB,11,436,258,19,43,17,75,11,0,10.14,13.58,4.3,29.07,303.87,4-13 (18),3-1-0
NT Ellis,SRH,9,316,210,18,21,14,70,5,1,9.03,11.67,6.0,33.33,316.67,4-37 (24),2-1-0
Karan Lal,RR,10,338,221,18,21,16,68,6,0,9.18,12.28,5.97,30.77,311.67,4-37 (24),2-1-0
S Dube,RR,12,397,242,18,26,21,65,8,0,9.84,13.44,5.15,26.86,297.23,3-11 (16),2-0-0
Shaheen Shah Afridi,MI,12,508,288,18,54,22,91,7,1,10.58,16.0,3.79,31.6,279.11,4-33 (24),2-1-0
HJ Manenti,CSK,9,305,204,17,34,10,72,5,2,8.97,12.0,4.64,35.29,296.19,4-21 (18),2-2-0
JR Hazlewood,RR,10,352,234,15,29,12,59,8,0,9.03,15.6,5.71,25.21,261.05,3-21 (24),2-0-0
V Nigam,GT,13,495,294,15,31,29,77,10,0,10.1,19.6,4.9,26.19,240.88,3-52 (24),1-0-0
JA Duffy,GT,8,284,188,14,28,12,73,5,1,9.06,13.43,4.7,38.83,257.07,3-28 (24),3-0-0
MA Starc,KKR,5,138,108,13,17,4,56,4,0,7.67,8.31,5.14,51.85,286.27,4-16 (12),2-1-0
Imran Tahir,CSK,6,195,136,13,15,12,59,3,0,8.6,10.46,5.04,43.38,263.41,4-16 (24),3-1-0
A Nagwaswalla,RR,9,311,204,13,38,10,85,2,0,9.15,15.69,4.25,41.67,237.05,3-17 (18),1-0-0
Tanush Kotian,CSK,12,390,252,13,37,10,65,10,0,9.29,19.38,5.36,25.79,227.09,2-15 (24),0-0-0
JC Archer,LSG,10,347,218,12,33,16,85,3,0,9.55,18.17,4.45,38.99,217.38,4-23 (24),1-1-0
CV Varun,PBKS,9,311,192,12,32,10,54,6,0,9.72,16.0,4.57,28.12,218.26,3-35 (18),1-0-0
LS Livingstone,KKR,6,260,139,12,31,7,39,5,0,11.22,11.58,3.66,28.06,225.98,4-39 (24),1-1-0
A Zampa,SRH,7,222,156,11,13,9,42,3,3,8.54,14.18,7.09,26.92,228.32,3-31 (24),1-0-0
JJ Smit,PBKS,6,186,127,11,14,9,43,2,0,8.79,11.55,5.52,33.86,232.08,4-30 (24),1-1-0
SP Narine,KKR,10,319,204,11,19,13,38,2,0,9.38,18.55,6.38,18.63,206.94,3-28 (18),1-0-0
WG Jacks,LSG,13,403,246,11,30,18,64,3,0,9.83,22.36,5.12,26.02,194.75,3-13 (12),1-0-0
JG Bethell,RR,11,395,210,11,38,14,52,13,0,11.29,19.09,4.04,24.76,191.11,2-33 (18),0-0-0
Arshad Khan,DC,13,397,204,11,41,19,58,6,0,11.68,18.55,3.4,28.43,187.32,3-38 (24),1-0-0
H Ssenyondo,LSG,5,138,120,10,6,6,46,3,0,6.9,12.0,10.0,38.33,249.66,3-17 (24),2-0-0
YK Pathan,KKR,13,318,246,10,19,10,66,6,0,7.76,24.6,8.48,26.83,206.96,2-29 (18),0-0-0
AK Markram,DC,5,164,114,10,11,7,31,3,0,8.63,11.4,6.33,27.19,222.16,3-18 (24),2-0-0
GF Linde,GT,5,176,120,10,17,6,46,7,0,8.8,12.0,5.22,38.33,219.88,5-35 (24),2-1-1
KA Maharaj,SRH,6,196,121,10,14,10,33,1,0,9.72,12.1,5.04,27.27,209.67,2-21 (17),0-0-0
JJ Bumrah,DC,8,270,174,9,24,11,50,2,2,9.31,19.33,4.97,28.74,179.7,4-29 (24),1-1-0
R Sai Kishore,MI,9,375,210,9,36,16,45,6,0,10.71,23.33,4.04,21.43,159.33,2-33 (18),0-0-0
Harshit Rana,KKR,7,227,159,8,23,9,61,1,0,8.57,19.88,4.97,38.36,174.44,3-28 (24),2-0-0
C Green,KKR,8,231,154,8,13,8,38,4,0,9.0,19.25,7.33,24.68,181.29,3-17 (16),1-0-0
Harsh Dubey,RCB,4,148,96,8,10,8,28,2,0,9.25,12.0,5.33,29.17,190.13,3-42 (24),1-0-0
T Natarajan,CSK,6,185,105,8,13,11,26,0,0,10.57,13.12,4.38,24.76,175.58,4-20 (15),1-1-0
Shahbaz Ahmed,LSG,7,265,150,8,15,13,26,7,0,10.6,18.75,5.36,17.33,163.05,2-38 (18),0-0-0
JM Coles,MI,7,190,144,7,9,7,42,2,0,7.92,20.57,9.0,29.17,181.19,3-34 (24),2-0-0
Tanay Thyagarajan,RCB,5,164,120,7,10,9,42,1,0,8.2,17.14,6.32,35.0,174.47,2-30 (24),0-0-0
Ashwin Das,LSG,4,131,85,7,9,6,24,2,0,9.25,12.14,5.67,28.24,179.54,4-20 (13),1-1-0
Utkarsh Singh,PBKS,7,170,107,7,4,12,27,2,0,9.53,15.29,6.69,25.23,172.28,2-16 (12),0-0-0
Ravi Bishnoi,GT,5,193,119,7,15,9,31,0,0,9.73,17.0,4.96,26.05,159.37,3-41 (24),1-0-0
RR Patel,RCB,8,298,180,7,34,7,38,4,0,9.93,25.71,4.39,21.11,139.63,3-44 (24),1-0-0
Ravi Teja,RCB,8,292,175,7,16,15,32,8,0,10.01,25.0,5.65,18.29,145.21,2-32 (24),0-0-0
R Shepherd,GT,5,208,114,7,23,9,32,0,0,10.95,16.29,3.56,28.07,151.72,3-29 (24),1-0-0
Pulkit Narang,RR,2,19,27,6,0,0,15,0,0,4.22,4.5,inf,55.56,378.14,3-6 (12),2-0-0
Sufiyan Muqeem,GT,3,76,72,6,3,3,33,4,0,6.33,12.0,12.0,45.83,217.71,2-18 (24),0-0-0
Chirag Jani,CSK,9,199,132,6,17,8,36,2,0,9.05,22.0,5.28,27.27,143.29,1-0 (6),0-0-0
Shashank Singh,PBKS,13,301,198,6,36,9,80,7,1,9.12,33.0,4.4,40.4,133.86,3-28 (24),1-0-0
TA Boult,MI,6,244,144,6,31,7,50,4,0,10.17,24.0,3.79,34.72,134.2,2-33 (24),0-0-0
Shivam Shukla,MI,5,204,120,6,18,9,32,4,0,10.2,20.0,4.44,26.67,139.01,3-39 (24),1-0-0
MJ Owen,DC,13,282,153,6,19,17,31,3,0,11.06,25.5,4.25,20.26,123.81,2-11 (12),0-0-0
M Pathirana,RCB,7,289,156,6,26,15,42,2,0,11.12,26.0,3.8,26.92,124.38,2-38 (24),0-0-0
HV Patel,GT,5,224,120,6,14,13,28,3,0,11.2,20.0,4.44,23.33,135.13,2-38 (24),0-0-0
YS Chahal,RCB,4,149,78,6,15,7,23,4,0,11.46,13.0,3.55,29.49,150.38,3-33 (18),1-0-0
Samant Jakhar,DC,7,181,90,6,25,6,28,6,1,12.07,15.0,2.9,31.11,140.53,2-17 (12),0-0-0
LI Meriwala,DC,7,191,150,5,15,2,45,8,0,7.64,30.0,8.82,30.0,149.61,2-36 (24),0-0-0
Akash Vasisht,SRH,8,242,162,5,16,8,40,10,0,8.96,32.4,6.75,24.69,129.66,2-22 (18),0-0-0
Mohit Redkar,CSK,4,152,96,5,7,8,21,2,0,9.5,19.2,6.4,21.88,138.45,2-36 (24),0-0-0
S Lamichhane,DC,8,286,175,5,22,15,47,2,0,9.81,35.0,4.73,26.86,113.75,2-43 (24),0-0-0
Usman Khan (2),CSK,2,59,36,5,7,3,16,0,0,9.83,7.2,3.6,44.44,183.53,4-23 (18),1-1-0
R Ashwin,KKR,4,166,96,5,18,7,33,1,0,10.38,19.2,3.84,34.38,130.0,4-30 (24),1-1-0
Tripuresh Singh,RCB,3,116,66,5,7,7,22,7,0,10.55,13.2,4.71,33.33,148.16,3-36 (24),1-0-0
Swapnil Singh,CSK,5,196,108,5,18,8,24,0,0,10.89,21.6,4.15,22.22,120.41,2-29 (18),0-0-0
V Puthur,DC,3,63,60,4,6,1,24,0,0,6.3,15.0,8.57,40.0,164.06,2-26 (18),0-0-0
M Siddharth,CSK,2,48,36,4,5,1,16,0,0,8.0,9.0,6.0,44.44,172.97,3-36 (24),1-0-0
SL Malinga,PBKS,4,117,84,4,12,2,33,4,1,8.36,21.0,6.0,39.29,135.35,2-23 (24),0-0-0
JN Loftie-Eaton,RR,4,131,90,4,21,0,30,1,0,8.73,22.5,4.29,33.33,119.87,2-30 (24),0-0-0
