batter,team,score,rank
Salil Arora,RCB,27.9853,1
Abhishek Sharma,MI,25.9891,2
Sameer Rizvi,LSG,24.4281,3
Naman Dhir,GT,22.2921,4
YBK Jaiswal,RR,21.7304,5
TP Ura,PBKS,20.8984,6
C Green,KKR,20.6015,7
PWH de Silva,RCB,20.433,8
CH Gayle,CSK,19.9702,9
GJ Maxwell,DC,19.6449,10
JP Inglis,GT,19.5486,11
KL Rahul,SRH,19.0591,12
PD Salt,RCB,18.412,13
SA Yadav,DC,18.3788,14
N Pooran,MI,17.855,15
Shubman Gill,LSG,17.5495,16
FH Allen,PBKS,17.3383,17
JM Sharma,RCB,16.8279,18
J Fraser-McGurk,KKR,16.639,19
N Sindhu,DC,16.5357,20
V Suryavanshi,PBKS,16.2748,21
RG Sharma,KKR,16.2416,22
KA Pollard,CSK,16.2306,23
Tilak Varma,CSK,16.035,24
Aniket Verma,RR,15.9447,25
Priyansh Arya,RCB,15.7977,26
Tanush Kotian,CSK,15.7342,27
Tarang Gohel,DC,15.7115,28
MP Stoinis,KKR,15.6126,29
RD Gaikwad,GT,15.4577,30
Kartik Sharma,SRH,15.3914,31
SV Samson,GT,15.3398,32
VR Iyer,SRH,14.9869,33
BM Duckett,SRH,14.7112,34
Shashank Singh,PBKS,14.6644,35
D Wiese,GT,14.5727,36
Atharva Taide,MI,14.5672,37
PHKD Mendis,DC,13.9936,38
V Kohli,RR,13.6972,39
Abishek Porel,RR,13.6259,40
Shadab Khan,SRH,13.319,41
MJ Owen,DC,13.0309,42
P Simran Singh,SRH,12.9601,43
RK Singh,MI,12.9304,44
N Rana,PBKS,12.9232,45
MW Short,MI,12.5121,46
Jay Gohil,LSG,12.3919,47
RD Rickelton,LSG,12.3481,48
R Powell,LSG,12.224,49
Chirag Jani,CSK,11.9313,50
WL Madsen,MI,11.9097,51
Sakibul Gani,RCB,11.8481,52
JC Buttler,LSG,11.8132,53
GD Phillips,GT,11.7729,54
H Klaasen,CSK,11.7671,55
R Parag,GT,11.7142,56
S Dube,RR,11.6555,57
V Nigam,GT,11.6183,58
AB de Villiers,RR,11.4193,59
T Stubbs,CSK,11.0665,60
Arshad Khan,DC,10.9661,61
RR Rossouw,SRH,10.8068,62
TH David,PBKS,10.6974,63
Karan Shinde,RCB,10.6101,64
KD Karthik,RR,10.5946,65
Smaran Ravichandran,PBKS,10.5937,66
HH Pandya,MI,10.5277,67
SP Narine,KKR,10.4435,68
WG Jacks,LSG,10.4338,69
SS Iyer,LSG,10.0387,70
B Sai Sudharsan,PBKS,9.7164,71
TM Head,RR,9.6788,72
AM Rahane,MI,9.5304,73
Nithish Kumar Reddy,SRH,9.528,74
Ishan Kishan,MI,9.2408,75
Urvil Patel,MI,9.184,76
AD Russell,DC,8.9664,77
RM Patidar,KKR,8.4844,78
MS Dhoni,CSK,8.4829,79
Anmolpreet Singh,CSK,8.1726,80
AK Markram,DC,7.4374,81
DS Airee,CSK,7.229,82
BJ McMullen,RR,7.2109,83
Rahul Singh,RCB,7.1301,84
Hassan Nawaz,RCB,6.692,85
Suryansh Shedge,CSK,6.4506,86
BA Stokes,RR,6.3851,87
RA Jadeja,SRH,6.311,88
Ishaan Gadekar,SRH,5.9957,89
Abdul Samad,LSG,5.9718,90
Utkarsh Singh,PBKS,5.8695,91
GF Linde,GT,5.8047,92
Dhruv Jurel,KKR,5.6202,93
RA Bawa,SRH,5.3798,94
Ramandeep Singh,LSG,4.9435,95
D Padikkal,KKR,4.5769,96
JG Bethell,RR,4.3077,97
Ravi Singh,KKR,4.146,98
Ashutosh Sharma,RCB,3.9381,99
D Brevis,LSG,3.7328,100
HS Desai,CSK,3.42,101
LS Livingstone,KKR,3.3632,102
N Wadhera,KKR,2.919,103
JJ Smit,PBKS,2.849,104
RR Pant,GT,2.8048,105
Akash Vasisht,SRH,2.1328,106
Mohammad Nabi,LSG,1.6975,107
AR Patel,CSK,1.658,108
HV Patel,GT,1.3159,109
Washington Sundar,PBKS,0.5111,110
YK Pathan,KKR,0.3883,111
Shahbaz Ahmed,LSG,0.3148,112
R Ashwin,KKR,-0.2834,113
TA Boult,MI,-0.4238,114
Harpreet Brar,GT,-0.7593,115
Rashid Khan,MI,-1.2232,116
RK Bhui,KKR,-1.2731,117
KH Pandya,RR,-1.5245,118
Shakib Al Hasan,PBKS,-4.2033,119
