team,highest_batting_total,best_bowling_performance
CSK,195-4 (120) vs GT in S06M004,178-9 (120) vs GT in S06M004
DC,205-6 (120) vs PBKS in S06M002,224-4 (120) vs PBKS in S06M002
GT,188-8 (120) vs RCB in S06M010,189-7 (113) vs RCB in S06M010
KKR,177-8 (120) vs PBKS in S06M009,158-10 (119) vs SRH in S06M003
LSG,204-4 (120) vs SRH in S06M006,186-10 (120) vs RR in S06M001
MI,223-3 (120) vs RCB in S06M005,173-8 (120) vs DC in S06M008
PBKS,224-4 (120) vs DC in S06M002,177-8 (120) vs KKR in S06M009
RCB,225-5 (120) vs MI in S06M005,188-8 (120) vs GT in S06M010
RR,211-7 (120) vs CSK in S06M007,190-8 (120) vs CSK in S06M007
SRH,210-3 (114) vs LSG in S06M006,175-7 (120) vs KKR in S06M003
