striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,points,high_score,30s-50s-100s,strike_rotations
RM Patidar,RCB,1,104,39,0,12,6,11,266.67,inf,inf,2.17,28.21,216.95,104* (39),1-1-1,13
KL Rahul,SRH,1,88,57,1,12,1,18,154.39,57.0,88.0,4.38,31.58,145.66,88 (57),1-1-0,28
S Dube,RR,1,86,52,0,9,3,16,165.38,inf,inf,4.33,30.77,148.53,86* (52),1-1-0,27
Naman Dhir,GT,1,82,47,1,9,1,4,174.47,47.0,82.0,4.7,8.51,160.02,82 (47),1-1-0,34
JP Inglis,GT,1,77,31,1,7,5,3,248.39,31.0,77.0,2.58,9.68,196.02,77 (31),1-1-0,16
GJ Maxwell,DC,1,74,42,1,7,3,10,176.19,42.0,74.0,4.2,23.81,146.96,74 (42),1-1-0,22
N Rana,PBKS,1,74,51,0,3,4,11,145.1,inf,inf,7.29,21.57,131.72,74* (51),1-1-0,33
Tilak Varma,CSK,1,72,38,1,4,4,6,189.47,38.0,72.0,4.75,15.79,153.79,72 (38),1-1-0,26
Tarang Gohel,DC,1,72,39,1,7,3,6,184.62,39.0,72.0,3.9,15.38,154.65,72 (39),1-1-0,23
V Suryavanshi,PBKS,1,72,48,1,6,2,8,150.0,48.0,72.0,6.0,16.67,135.83,72 (48),1-1-0,32
FH Allen,LSG,1,66,37,1,6,2,9,178.38,37.0,66.0,4.62,24.32,139.42,66 (37),1-1-0,22
C Green,KKR,1,56,34,1,4,3,7,164.71,34.0,56.0,4.86,20.59,127.79,56 (34),1-1-0,21
B Sai Sudharsan,CSK,1,54,35,1,5,0,5,154.29,35.0,54.0,7.0,14.29,121.46,54 (35),1-1-0,25
SA Yadav,DC,1,53,21,0,3,4,1,252.38,inf,inf,3.0,4.76,0.0,53* (21),1-1-0,13
Abhishek Sharma,MI,1,53,30,1,6,2,7,176.67,30.0,53.0,3.75,23.33,131.67,53 (30),1-1-0,16
N Sindhu,DC,1,49,18,0,4,3,2,272.22,inf,inf,2.57,11.11,0.0,49* (18),1-0-0,10
D Wiese,KKR,1,47,15,0,6,3,2,313.33,inf,inf,1.67,13.33,0.0,47* (15),1-0-0,4
Aniket Verma,RR,1,45,25,1,2,2,3,180.0,25.0,45.0,6.25,12.0,127.3,45 (25),1-0-0,19
Salil Arora,RCB,1,42,24,1,7,0,4,175.0,24.0,42.0,3.43,16.67,0.0,42 (24),1-0-0,13
Ramandeep Singh,KKR,1,41,21,1,5,2,7,195.24,21.0,41.0,3.0,33.33,0.0,41 (21),1-0-0,9
Ishan Kishan,KKR,1,41,28,1,4,1,13,146.43,28.0,41.0,5.6,46.43,90.29,41 (28),1-0-0,11
WG Jacks,LSG,1,41,36,1,1,2,13,113.89,36.0,41.0,12.0,36.11,79.2,41 (36),1-0-0,21
R Parag,GT,1,40,17,1,2,3,2,235.29,17.0,40.0,3.4,11.76,0.0,40 (17),1-0-0,11
Kartik Sharma,SRH,1,34,16,1,1,3,4,212.5,16.0,34.0,4.0,25.0,0.0,34 (16),1-0-0,9
JM Sharma,RCB,1,31,13,1,3,2,1,238.46,13.0,31.0,2.6,7.69,0.0,31 (13),1-0-0,7
RG Sharma,KKR,1,31,14,1,1,3,2,221.43,14.0,31.0,3.5,14.29,0.0,31 (14),1-0-0,8
Priyansh Arya,RCB,1,31,20,1,6,0,8,155.0,20.0,31.0,3.33,40.0,0.0,31 (20),1-0-0,7
N Pooran,MI,1,29,15,1,3,1,4,193.33,15.0,29.0,3.75,26.67,0.0,29 (15),0-0-0,8
GD Phillips,RR,1,27,11,0,3,1,2,245.45,inf,inf,2.75,18.18,0.0,27* (11),0-0-0,5
Abishek Porel,LSG,1,27,13,1,2,2,4,207.69,13.0,27.0,3.25,30.77,0.0,27 (13),0-0-0,5
MR Marsh,MI,1,24,14,1,2,2,7,171.43,14.0,24.0,3.5,50.0,0.0,24 (14),0-0-0,3
