Player,Team,TI,B.Impact,Bo.Impact
Shubman Gill,LSG,998.53,998.53,0.0
V Suryavanshi,PBKS,863.66,863.66,0.0
P Simran Singh,SRH,838.62,838.62,0.0
Naman Dhir,GT,820.89,833.52,-12.63
S Dube,RR,813.9300000000001,611.1800000000001,202.75
GJ Maxwell,DC,813.26,826.4599999999999,-13.19
N Sindhu,DC,716.91,727.61,-10.71
PWH de Silva,RCB,692.88,426.0,266.88
Ishan Kishan,KKR,683.55,683.55,0.0
Urvil Patel,MI,658.55,658.55,0.0
CH Gayle,RCB,651.36,619.86,31.5
KK Nair,CSK,606.3,606.3,0.0
NT Ellis,SRH,599.27,-4.83,604.09
JJ Bumrah,DC,596.41,7.680000000000001,588.74
Tanush Kotian,CSK,575.07,271.35,303.73
GD Phillips,RR,567.9,430.33,137.59
C Green,KKR,557.75,278.68,279.08
Sufiyan Muqeem,GT,551.13,-1.02,552.15
Aniket Verma,RR,534.96,534.96,0.0
Tilak Varma,CSK,518.5600000000001,518.5600000000001,0.0
Harsh Dubey,DC,509.94,1.18,508.77
KL Rahul,SRH,506.5,506.5,0.0
Arshdeep Singh,LSG,505.7,9.44,496.26
Karan Lal,RR,502.1,7.92,494.18
JJ Smit,PBKS,497.53,35.07,462.47
MR Marsh,MI,496.15,265.83,230.31
Tarang Gohel,DC,487.23,487.23,0.0
VR Iyer,SRH,484.12,418.98,65.15
SV Samson,GT,483.69,483.69,0.0
B Kumar,KKR,478.39,-5.02,483.41
Shashank Singh,PBKS,474.48,254.55,219.95
AK Markram,DC,472.52,51.7,420.84
Tushar Raheja,MI,468.09,468.09,0.0
H Ssenyondo,LSG,449.0,-2.98,451.99
Fazalhaq Farooqi,CSK,448.2,7.56,440.65
Chirag Jani,RCB,438.08,147.4,290.68
GF Linde,GT,436.78,30.25,406.52
Abhishek Sharma,MI,432.46,432.46,0.0
Kartik Sharma,SRH,430.62,430.62,0.0
Abishek Porel,LSG,421.73,421.73,0.0
YBK Jaiswal,RR,416.85,416.85,0.0
H Klaasen,CSK,408.45,408.45,0.0
B Sai Sudharsan,CSK,407.36,391.76,15.61
JP Inglis,GT,401.71,401.71,0.0
DR Mousley,LSG,388.41,383.7,4.71
WG Jacks,LSG,387.1,272.92,114.18
Kuldeep Yadav,LSG,385.51,-7.03,392.55
RD Gaikwad,CSK,373.5,373.5,0.0
Abrar Ahmed,RCB,372.14,-1.7,373.83
Geet Puri,CSK,371.51,-1.79,373.3
A Zampa,SRH,366.35,-1.77,368.12
Harshit Rana,GT,363.19,-2.7,365.89
R Parag,GT,357.27,341.11,16.15
AR Ramjani,PBKS,354.23,10.51,343.7
FH Allen,LSG,353.72,353.72,0.0
V Nigam,GT,346.82,326.55,20.26000000000001
SA Yadav,DC,340.83,340.83,0.0
MP Yadav,PBKS,339.66,4.51,335.18
J Fraser-McGurk,KKR,339.65,339.65,0.0
Salil Arora,RCB,336.03,336.03,0.0
RG Sharma,KKR,334.37,334.37,0.0
HJ Manenti,RCB,331.62,1.32,330.31
HH Pandya,SRH,330.78,156.0,174.77
Sahil Parakh,SRH,324.3,324.3,0.0
RM Patidar,RCB,319.05,319.05,0.0
Pulkit Narang,KKR,309.78,0.14,309.64
SS Ghosh,RCB,308.15,7.56,300.59
Mohammad Ghazanfar,RR,300.73,-6.83,307.57
RD Rickelton,RR,299.37,299.37,0.0
Suryansh Shedge,KKR,295.2,45.19,250.01
SH Johnson,RCB,295.02,-1.21,296.23
Rasikh Salam,SRH,285.35,-1.31,286.66
CV Varun,PBKS,274.24,-0.8499999999999999,275.09
KA Maharaj,RCB,272.59,20.47,252.11
Vansh Bedi,PBKS,267.49,267.49,0.0
Sanvir Singh,PBKS,266.95,61.47000000000001,205.48
Smaran Ravichandran,MI,257.96,257.96,0.0
AJ Hosein,MI,253.04,60.06,192.98
Shaheen Shah Afridi,DC,252.18,3.06,249.13
N Pooran,MI,242.63,242.63,0.0
Ehsan Khan,MI,239.83,5.000000000000001,234.81
D Wiese,KKR,232.38,167.75,64.63
Atharva Taide,RCB,224.61,224.61,0.0
Priyansh Arya,RCB,222.19,222.19,0.0
Ashwin Das,LSG,217.41,3.01,214.41
SP Narine,PBKS,217.32,147.12,70.2
PHKD Mendis,PBKS,216.48,191.52,24.96
Noor Ahmad,MI,214.61,-8.68,223.3
JM Sharma,RCB,213.31,213.31,0.0
Abhishek Pathak,RCB,212.81,212.81,0.0
PD Salt,RR,209.93,209.93,0.0
RE van der Merwe,CSK,207.54,24.82,182.72
Abhishek Tanwar,MI,205.47,22.29,183.18
Utkarsh Singh,PBKS,205.19,3.72,201.47
Rohan Kunnummal,KKR,203.15,203.15,0.0
Tanay Thyagarajan,CSK,201.1,23.78,177.33
AD Russell,DC,199.68,71.08999999999999,128.59
J Overton,GT,195.77,26.1,169.68
Sonu Yadav,CSK,194.86,7.06,187.81
KA Pollard,CSK,191.16,49.76,141.42
N Rana,PBKS,187.05,187.05,0.0
DS Rathi,KKR,183.97,0.8900000000000003,183.08
MW Short,SRH,183.73,101.97,81.76
MA Starc,KKR,180.92,-3.37,184.28
S Lamichhane,KKR,179.9,18.57,161.33
Jay Gohil,LSG,179.25,179.25,0.0
R Sai Kishore,SRH,178.67,17.67,160.99
YS Chahal,CSK,175.34,-3.58,178.92
Ashwin Shelke,DC,172.98,4.67,168.31
Ramandeep Singh,KKR,168.75,109.73,59.0
TL Seifert,PBKS,168.46,168.46,0.0
Zeeshan Ansari,RR,168.26,-3.99,172.25
SS Iyer,MI,168.07,168.07,0.0
Shivam Shukla,MI,165.55,0.0,165.55
Gurnoor Brar,DC,163.13,-3.71,166.84
JR Hazlewood,MI,160.9,1.2,159.7
Sameer Rizvi,LSG,155.28,155.28,0.0
Ravi Teja,MI,145.51,-2.67,148.19
TH David,GT,145.16,145.16,0.0
WL Madsen,KKR,145.13,145.13,0.0
Mangesh Yadav,GT,139.06,0.0,139.06
B Muzarabani,GT,136.94,0.0,136.94
Atharva Ankolekar,RR,132.77,5.85,126.92
Mohammad Amir,LSG,132.1,0.0,132.1
LS Livingstone,KKR,130.81,35.52,95.29
Esakkimuthu A,RCB,130.32,-2.08,132.4
Imran Tahir,RCB,129.83,13.23,116.6
TP Ura,PBKS,128.2,128.2,0.0
T Natarajan,RR,127.4,-1.76,129.16
JM Coles,MI,122.25,10.47,111.79
Tripuresh Singh,SRH,118.58,7.61,110.97
Saim Ayub,SRH,117.83,18.13,99.69999999999999
A Nagwaswalla,RR,117.35,-1.72,119.07
