player,team,points
S Dube,RR,1026
Shubman Gill,LSG,1014
P Simran Singh,SRH,949
GJ Maxwell,DC,930
V Suryavanshi,PBKS,918
Naman Dhir,GT,890
JJ Bumrah,DC,879
B Kumar,KKR,861
N Sindhu,DC,860
PWH de Silva,RCB,834
Urvil Patel,MI,834
GF Linde,GT,821
Arshdeep Singh,LSG,804
NT Ellis,SRH,783
JJ Smit,PBKS,772
AK Markram,DC,760
Ishan Kishan,KKR,739
CH Gayle,RCB,718
Tilak Varma,CSK,714
Aniket Verma,RR,690
KK Nair,CSK,686
Sufiyan Muqeem,GT,672
C Green,KKR,670
MR Marsh,MI,660
Karan Lal,RR,645
Harsh Dubey,DC,622
A Zampa,SRH,595
JP Inglis,GT,591
Tanush Kotian,CSK,590
KL Rahul,SRH,586
GD Phillips,RR,585
SV Samson,GT,582
Geet Puri,CSK,574
AR Ramjani,PBKS,572
H Ssenyondo,LSG,563
Tushar Raheja,MI,560
R Parag,GT,547
HJ Manenti,RCB,545
Shashank Singh,PBKS,541
Chirag Jani,RCB,539
Fazalhaq Farooqi,CSK,525
Tarang Gohel,DC,519
Mohammad Ghazanfar,RR,514
Abhishek Sharma,MI,511
DR Mousley,LSG,507
WG Jacks,LSG,506
VR Iyer,SRH,503
Sahil Parakh,SRH,487
B Sai Sudharsan,CSK,478
Abrar Ahmed,RCB,475
Abishek Porel,LSG,472
Kartik Sharma,SRH,467
MP Yadav,PBKS,461
Ehsan Khan,MI,459
SS Ghosh,RCB,459
Harshit Rana,GT,458
RD Gaikwad,CSK,456
V Nigam,GT,453
RG Sharma,KKR,451
HH Pandya,SRH,431
Suryansh Shedge,KKR,424
H Klaasen,CSK,423
YBK Jaiswal,RR,421
CV Varun,PBKS,415
SH Johnson,RCB,414
FH Allen,LSG,407
Kuldeep Yadav,LSG,404
KA Maharaj,RCB,401
J Overton,GT,401
Salil Arora,RCB,390
MA Starc,KKR,389
SA Yadav,DC,363
RM Patidar,RCB,361
Pulkit Narang,KKR,358
Rasikh Salam,SRH,355
RD Rickelton,RR,339
AJ Hosein,MI,338
Sonu Yadav,CSK,329
RE van der Merwe,CSK,328
R Sai Kishore,SRH,325
PHKD Mendis,PBKS,310
Utkarsh Singh,PBKS,310
Shivam Shukla,MI,305
J Fraser-McGurk,KKR,303
S Lamichhane,KKR,301
Vansh Bedi,PBKS,297
Smaran Ravichandran,MI,290
Tanay Thyagarajan,CSK,288
AD Russell,DC,273
Abhishek Pathak,RCB,273
D Wiese,KKR,270
Ashwin Shelke,DC,268
Atharva Taide,RCB,266
Sanvir Singh,PBKS,266
Priyansh Arya,RCB,259
Shaheen Shah Afridi,DC,259
TL Seifert,PBKS,255
JM Sharma,RCB,249
MW Short,SRH,244
PD Salt,RR,238
N Pooran,MI,235
Zeeshan Ansari,RR,235
Mangesh Yadav,GT,234
N Rana,PBKS,228
Naman Tiwari,CSK,227
Ashwin Das,LSG,222
Ravi Teja,MI,221
Abhishek Tanwar,MI,220
Cheepurapalli Stephen,RR,218
SP Narine,PBKS,218
LS Livingstone,KKR,215
Rohan Kunnummal,KKR,215
Gurnoor Brar,DC,214
JR Hazlewood,MI,213
DS Rathi,KKR,210
Mohammad Amir,LSG,207
Atharva Ankolekar,RR,205
YS Chahal,CSK,204
SS Iyer,MI,201
Noor Ahmad,MI,197
Jay Gohil,LSG,196
Ramandeep Singh,KKR,192
B Muzarabani,GT,186
Saim Ayub,SRH,184
JM Coles,MI,172
KA Pollard,CSK,169
L Ngidi,RR,167
Esakkimuthu A,RCB,167
Shadab Khan,SRH,165
Sameer Rizvi,LSG,164
D Brevis,GT,154
T Natarajan,RR,148
Taskin Ahmed,MI,143
Shubhang Hegde,LSG,143
Imran Tahir,RCB,142
WL Madsen,KKR,142
TH David,GT,139
Ashutosh Sharma,GT,138
C Sakariya,RR,138
Akash Vasisht,DC,137
Tripuresh Singh,SRH,135
TP Ura,PBKS,132
A Nagwaswalla,RR,131
JC Buttler,SRH,130
Parth Chandan,DC,129
RR Rossouw,PBKS,127
BJ McMullen,DC,124
SR Watson,LSG,116
F du Plessis,CSK,116
DJ Willey,MI,116
Washington Sundar,GT,115
Nithish Kumar Reddy,GT,106
Rituraj Sharma,DC,105
M Prasidh Krishna,KKR,105
T Stubbs,PBKS,101
Rishabh Chouhan,GT,101
