striker,batting_team,num_innings,runs,strike_rate,bat_avg,run_contribution_%
V Suryavanshi,PBKS,12,626,163.87,62.6,31.36
Shubman Gill,LSG,12,718,187.47,65.27,30.8
P Simran Singh,SRH,12,694,168.04,69.4,29.25
Ishan Kishan,KKR,12,538,154.15,53.8,25.74
Naman Dhir,GT,12,603,175.8,54.82,25.38
GJ Maxwell,DC,12,565,198.94,51.36,24.96
S Dube,RR,12,480,160.54,53.33,23.43
Urvil Patel,MI,12,513,143.7,51.3,22.99
N Sindhu,DC,12,488,190.62,54.22,21.55
CH Gayle,RCB,9,462,191.7,66.0,20.43
KK Nair,CSK,11,444,174.8,74.0,19.86
Tilak Varma,CSK,12,417,162.26,34.75,18.65
Aniket Verma,RR,11,380,181.82,42.22,18.55
KL Rahul,SRH,10,421,169.08,52.62,17.74
Tarang Gohel,DC,12,390,168.1,43.33,17.23
B Sai Sudharsan,CSK,12,354,149.37,35.4,15.83
Tushar Raheja,MI,10,350,194.44,35.0,15.69
Abhishek Sharma,MI,12,343,196.0,31.18,15.37
DR Mousley,LSG,11,348,148.72,34.8,14.93
SV Samson,GT,12,348,198.86,29.0,14.65
JP Inglis,GT,11,343,155.91,31.18,14.44
H Klaasen,CSK,8,309,155.28,38.62,13.82
GD Phillips,RR,10,279,193.75,55.8,13.62
FH Allen,LSG,8,309,152.97,38.62,13.26
RD Gaikwad,CSK,10,290,155.91,29.0,12.97
Kartik Sharma,SRH,12,305,189.44,30.5,12.85
Sahil Parakh,SRH,7,302,160.64,43.14,12.73
YBK Jaiswal,RR,12,257,186.23,23.36,12.54
PWH de Silva,RCB,10,282,190.54,40.29,12.47
RG Sharma,KKR,11,259,191.85,25.9,12.39
SA Yadav,DC,11,277,183.44,27.7,12.23
RD Rickelton,RR,10,248,149.4,24.8,12.1
C Green,KKR,11,249,132.45,22.64,11.91
VR Iyer,SRH,10,280,195.8,70.0,11.8
RM Patidar,RCB,7,265,205.43,66.25,11.72
Abishek Porel,LSG,11,264,176.0,33.0,11.33
R Parag,GT,11,258,176.71,25.8,10.86
Salil Arora,RCB,10,241,189.76,30.12,10.66
MR Marsh,MI,7,237,166.9,59.25,10.62
Smaran Ravichandran,MI,8,232,147.77,33.14,10.4
V Nigam,GT,11,240,196.72,34.29,10.1
WG Jacks,LSG,9,221,135.58,27.62,9.48
Atharva Taide,RCB,6,213,152.14,42.6,9.42
N Rana,PBKS,7,187,140.6,31.17,9.37
PD Salt,RR,9,189,131.25,21.0,9.22
Abhishek Pathak,RCB,9,203,159.84,25.38,8.98
J Fraser-McGurk,KKR,7,187,228.05,26.71,8.95
Shashank Singh,PBKS,9,172,165.38,28.67,8.62
Priyansh Arya,RCB,5,184,195.74,36.8,8.14
Rohan Kunnummal,KKR,6,167,159.05,33.4,7.99
N Pooran,MI,8,177,186.32,22.12,7.93
SS Iyer,MI,9,168,147.37,18.67,7.53
Vansh Bedi,PBKS,10,147,170.93,24.5,7.36
PHKD Mendis,PBKS,5,145,147.96,36.25,7.26
TL Seifert,PBKS,4,136,152.81,34.0,6.81
Tanush Kotian,CSK,11,151,247.54,30.2,6.75
JM Sharma,RCB,9,148,146.53,21.14,6.55
SP Narine,PBKS,5,119,154.55,23.8,5.96
Jay Gohil,LSG,7,139,207.46,46.33,5.96
D Wiese,KKR,8,113,194.83,18.83,5.41
WL Madsen,KKR,4,112,160.0,37.33,5.36
RR Rossouw,PBKS,4,106,123.26,26.5,5.31
TP Ura,PBKS,5,100,185.19,25.0,5.01
Sameer Rizvi,LSG,11,109,178.69,13.62,4.68
TH David,GT,7,106,170.97,17.67,4.46
T Stubbs,PBKS,8,86,132.31,14.33,4.31
Chirag Jani,RCB,6,96,192.0,32.0,4.25
MW Short,SRH,5,97,144.78,19.4,4.09
Nithish Kumar Reddy,GT,6,94,140.3,23.5,3.96
HH Pandya,SRH,6,93,206.67,31.0,3.92
Ramandeep Singh,KKR,4,77,175.0,19.25,3.68
D Brevis,GT,2,82,190.7,inf,3.45
AB de Villiers,CSK,7,76,118.75,12.67,3.4
V Kohli,RR,9,69,104.55,8.62,3.37
BJ McMullen,DC,6,66,132.0,11.0,2.92
SR Watson,LSG,5,67,142.55,16.75,2.87
AK Markram,DC,5,65,130.0,16.25,2.87
BM Duckett,KKR,4,60,150.0,15.0,2.87
AD Russell,DC,7,64,160.0,16.0,2.83
Salman Nizar,KKR,3,57,135.71,28.5,2.73
JC Buttler,SRH,4,64,160.0,32.0,2.7
KA Pollard,CSK,5,59,122.92,11.8,2.64
LS Livingstone,KKR,6,55,98.21,11.0,2.63
Karan Shinde,DC,5,55,196.43,13.75,2.43
Sanvir Singh,PBKS,3,48,200.0,inf,2.4
AGS Gous,DC,3,54,120.0,18.0,2.39
Rishabh Chouhan,GT,3,56,180.65,56.0,2.36
Akhil Singh Rawat,KKR,2,45,173.08,45.0,2.15
Suryansh Shedge,KKR,4,43,100.0,21.5,2.06
MS Pepper,KKR,1,39,111.43,39.0,1.87
GF Linde,GT,5,42,131.25,10.5,1.77
AJ Hosein,MI,4,39,121.88,39.0,1.75
KA Maharaj,RCB,2,39,82.98,39.0,1.72
Rituraj Sharma,DC,2,35,134.62,17.5,1.55
MJ Owen,DC,3,34,147.83,11.33,1.5
Tejaswi Dahiya,LSG,2,31,110.71,31.0,1.33
Ashutosh Sharma,GT,2,31,124.0,31.0,1.3
JG Bethell,GT,1,30,90.91,30.0,1.26
Yashvardhan Dalal,DC,2,28,100.0,14.0,1.24
J Overton,GT,3,27,150.0,27.0,1.14
RK Singh,GT,3,27,135.0,9.0,1.14
AA Kulkarni,GT,3,27,112.5,9.0,1.14
S Lamichhane,KKR,3,21,123.53,10.5,1.0
A Manohar,MI,2,22,157.14,22.0,0.99
BA Stokes,RR,2,20,125.0,inf,0.98
T Banton,SRH,2,23,209.09,11.5,0.97
Sunny Sandhu,DC,3,22,88.0,11.0,0.97
Saim Ayub,SRH,2,22,146.67,11.0,0.93
SE Rutherford,DC,1,20,133.33,inf,0.88
Akshat Raghuwanshi,RCB,1,20,181.82,20.0,0.88
Anmolpreet Singh,RR,2,18,85.71,9.0,0.88
Karan Lal,RR,5,18,66.67,6.0,0.88
Atharva Ankolekar,RR,4,17,54.84,5.67,0.83
LR Chethan,LSG,2,19,100.0,9.5,0.82
Ehsan Khan,MI,5,18,52.94,6.0,0.81
AR Ramjani,PBKS,4,16,76.19,8.0,0.8
JJ Smit,PBKS,1,16,400.0,16.0,0.8
RE van der Merwe,CSK,3,17,212.5,8.5,0.76
Abhishek Tanwar,MI,1,17,242.86,17.0,0.76
Harnoor Singh,RCB,1,17,94.44,17.0,0.75
AHT Donald,PBKS,3,15,100.0,5.0,0.75
JM Coles,MI,3,16,84.21,5.33,0.72
RA Jadeja,LSG,1,16,200.0,inf,0.69
KD Karthik,RR,1,14,233.33,inf,0.68
TK Curran,GT,1,16,177.78,inf,0.67
TM Head,CSK,1,15,78.95,15.0,0.67
Tanay Thyagarajan,CSK,4,14,107.69,3.5,0.63
