striker,batting_team,num_innings,strike_rate,runs,outs
J Fraser-McGurk,KKR,6,245.33,184,6
Tanush Kotian,CSK,10,237.93,138,5
HH Pandya,SRH,6,206.67,93,3
Jay Gohil,LSG,6,206.38,97,2
RM Patidar,RCB,7,205.43,265,4
GJ Maxwell,DC,11,200.35,565,10
V Nigam,GT,10,199.13,229,6
Abhishek Sharma,MI,11,196.88,315,10
Karan Shinde,DC,5,196.43,55,4
Priyansh Arya,RCB,5,195.74,184,5
D Wiese,KKR,8,194.83,113,6
SV Samson,GT,11,193.48,267,11
RG Sharma,KKR,10,193.02,249,10
N Sindhu,DC,11,192.49,487,8
Chirag Jani,RCB,6,192.0,96,3
CH Gayle,RCB,9,191.7,462,7
Salil Arora,RCB,10,189.76,241,8
GD Phillips,RR,9,188.06,252,5
PWH de Silva,RCB,9,187.14,262,6
VR Iyer,SRH,9,186.76,254,4
N Pooran,MI,8,186.32,177,8
Shubman Gill,LSG,11,185.54,616,10
Tushar Raheja,MI,9,185.54,308,9
TP Ura,PBKS,5,185.19,100,4
Kartik Sharma,SRH,11,185.14,274,9
Aniket Verma,RR,10,184.39,378,8
SA Yadav,DC,11,183.44,277,10
YBK Jaiswal,RR,11,181.89,231,10
Rishabh Chouhan,GT,3,180.65,56,1
Abishek Porel,LSG,10,180.15,236,7
Ramandeep Singh,KKR,3,179.07,77,3
R Parag,GT,10,176.39,254,9
Naman Dhir,GT,11,176.31,573,10
Sameer Rizvi,LSG,10,174.58,103,7
MR Marsh,MI,6,173.85,226,3
TH David,GT,7,170.97,106,6
KL Rahul,SRH,9,170.95,412,7
Vansh Bedi,PBKS,10,170.93,147,6
KK Nair,CSK,10,169.05,355,6
Tarang Gohel,DC,11,167.7,379,8
P Simran Singh,SRH,11,165.56,596,10
Shashank Singh,PBKS,9,165.38,172,6
Abhishek Pathak,RCB,8,165.29,200,7
Tilak Varma,CSK,11,163.0,370,11
H Klaasen,CSK,7,160.85,304,7
WL Madsen,KKR,4,160.0,112,3
JC Buttler,SRH,4,160.0,64,2
AD Russell,DC,7,160.0,64,4
S Dube,RR,11,159.09,420,8
Rohan Kunnummal,KKR,6,159.05,167,5
V Suryavanshi,PBKS,11,158.1,517,10
Sahil Parakh,SRH,6,157.72,235,6
JP Inglis,GT,10,157.62,331,10
SP Narine,PBKS,5,154.55,119,5
TL Seifert,PBKS,3,153.75,123,3
Atharva Taide,RCB,5,153.24,213,4
FH Allen,LSG,8,152.97,309,8
SS Iyer,MI,8,152.81,136,8
SR Watson,LSG,4,152.27,67,3
RD Gaikwad,CSK,9,151.91,278,9
B Sai Sudharsan,CSK,11,151.38,330,9
Smaran Ravichandran,MI,7,150.38,200,6
DR Mousley,LSG,10,150.0,336,9
BM Duckett,KKR,4,150.0,60,4
Ishan Kishan,KKR,11,149.31,433,9
JM Sharma,RCB,8,148.96,143,6
N Rana,PBKS,6,146.49,167,5
RD Rickelton,RR,9,146.41,224,9
MW Short,SRH,5,144.78,97,5
Urvil Patel,MI,11,142.2,492,9
Nithish Kumar Reddy,GT,6,140.3,94,4
PHKD Mendis,PBKS,4,137.35,114,4
Salman Nizar,KKR,3,135.71,57,2
WG Jacks,LSG,9,135.58,221,8
T Stubbs,PBKS,8,132.31,86,6
KA Pollard,CSK,4,131.71,54,4
C Green,KKR,10,131.46,234,10
AK Markram,DC,5,130.0,65,4
BJ McMullen,DC,5,129.27,53,5
PD Salt,RR,8,129.13,133,8
RR Rossouw,PBKS,3,121.88,78,3
AGS Gous,DC,3,120.0,54,3
AB de Villiers,CSK,7,118.75,76,6
V Kohli,RR,9,104.55,69,8
LS Livingstone,KKR,6,98.21,55,5
