batting_team,Bowl_Type,outs,avg,SR
CSK,Pace,15,23.6,151.93
CSK,Spin,14,27.43,168.42
DC,Pace,7,37.14,159.51
DC,Spin,10,57.2,192.59
GT,Pace,15,34.47,181.4
GT,Spin,23,19.17,147.0
KKR,Pace,21,18.81,159.92
KKR,Spin,11,25.45,153.01
LSG,Spin,12,28.42,145.73
LSG,Pace,14,31.14,182.43
MI,Pace,22,21.27,159.73
MI,Spin,7,32.43,140.12
PBKS,Pace,19,21.95,161.0
PBKS,Spin,25,21.6,175.32
RCB,Pace,18,21.44,169.3
RCB,Spin,9,32.33,148.47
RR,Pace,14,37.86,169.33
RR,Spin,16,26.31,156.51
SRH,Pace,17,37.12,178.75
SRH,Spin,6,59.0,171.01
