partners,batting_team,runs,balls,outs,fours,sixes,SR,Bat_avg,bpb
GJ Maxwell  - SA Yadav,DC,391,207,6,33,17,188.89,65.17,4.14
KL Rahul  - Kartik Sharma,SRH,367,225,5,23,16,163.11,73.4,5.77
Ishan Kishan  - WL Madsen,KKR,328,188,4,37,6,174.47,82.0,4.37
Aniket Verma  - S Dube,RR,305,195,5,25,8,156.41,61.0,5.91
TL Seifert  - V Suryavanshi,PBKS,235,129,7,34,6,182.17,33.57,3.22
DP Conway  - Shubman Gill,LSG,228,138,5,25,7,165.22,45.6,4.31
JM Vince  - Tilak Varma,CSK,226,111,2,24,8,203.6,113.0,3.47
Abishek Porel  - Shubman Gill,LSG,223,137,4,19,6,162.77,55.75,5.48
Atharva Taide  - Priyansh Arya,RCB,218,131,4,29,4,166.41,54.5,3.97
HH Pandya  - Sameer Rizvi,LSG,217,110,4,15,12,197.27,54.25,4.07
Abhishek Sharma  - Urvil Patel,MI,216,138,4,18,5,156.52,54.0,6.0
KL Rahul  - VR Iyer,SRH,210,92,0,24,8,228.26,inf,2.88
Aniket Verma  - PD Salt,RR,209,111,6,24,10,188.29,34.83,3.26
Abhishek Sharma  - Rohan Kunnummal,MI,207,112,3,26,5,184.82,69.0,3.61
PHKD Mendis  - TL Seifert,PBKS,197,121,2,18,6,162.81,98.5,5.04
AM Rahane  - Tilak Varma,CSK,190,128,3,22,5,148.44,63.33,4.74
JP Inglis  - Naman Dhir,GT,185,99,2,19,6,186.87,92.5,3.96
Naman Dhir  - SV Samson,GT,183,97,6,31,1,188.66,30.5,3.03
GJ Maxwell  - Tarang Gohel,DC,176,93,4,26,6,189.25,44.0,2.91
Abishek Porel  - Ajay Rohera,LSG,174,116,3,10,5,150.0,58.0,7.73
JP Inglis  - SV Samson,GT,170,101,6,19,5,168.32,28.33,4.21
GJ Maxwell  - N Sindhu,DC,169,98,2,14,6,172.45,84.5,4.9
Tushar Raheja  - Urvil Patel,MI,161,81,5,22,6,198.77,32.2,2.89
T Stubbs  - Tilak Varma,CSK,152,120,4,8,6,126.67,38.0,8.57
FH Allen  - Shubman Gill,LSG,145,90,5,19,5,161.11,29.0,3.75
Priyansh Arya  - RM Patidar,RCB,145,76,2,14,6,190.79,72.5,3.8
P Simran Singh  - SU Parakh,SRH,144,97,6,21,0,148.45,24.0,4.62
Shashank Singh  - Vansh Bedi,PBKS,137,69,4,14,6,198.55,34.25,3.45
R Smaran  - TL Seifert,PBKS,137,78,2,11,4,175.64,68.5,5.2
Abishek Porel  - Sameer Rizvi,LSG,136,92,6,16,2,147.83,22.67,5.11
S Dube  - YBK Jaiswal,RR,136,67,3,11,8,202.99,45.33,3.53
C Green  - WL Madsen,KKR,133,89,3,8,5,149.44,44.33,6.85
T Stubbs  - V Kohli,CSK,129,87,2,13,3,148.28,64.5,5.44
BM Duckett  - SU Parakh,SRH,129,91,1,7,5,141.76,129.0,7.58
N Sindhu  - Tarang Gohel,DC,128,51,1,11,5,250.98,128.0,3.19
MR Marsh  - Urvil Patel,MI,125,71,2,8,6,176.06,62.5,5.07
Atharva Taide  - CH Gayle,RCB,125,97,4,10,3,128.87,31.25,7.46
Jay Gohil  - SS Iyer,KKR,123,59,1,15,5,208.47,123.0,2.95
SA Yadav  - Sunny Sandhu,DC,118,73,1,10,4,161.64,118.0,5.21
P Simran Singh  - VR Iyer,SRH,111,50,0,11,5,222.0,inf,3.12
C Green  - Ishan Kishan,KKR,108,72,5,9,4,150.0,21.6,5.54
Aniket Verma  - RD Rickelton,RR,106,63,2,9,7,168.25,53.0,3.94
KL Rahul  - SU Parakh,SRH,104,59,4,12,3,176.27,26.0,3.93
D Brevis  - SV Samson,GT,103,62,3,12,3,166.13,34.33,4.13
JC Buttler  - SA Yadav,DC,102,53,2,8,4,192.45,51.0,4.42
Ishan Kishan  - J Fraser-McGurk,KKR,99,62,4,11,3,159.68,24.75,4.43
KL Rahul  - P Simran Singh,SRH,98,57,4,8,5,171.93,24.5,4.38
JC Buttler  - N Sindhu,DC,96,34,1,6,9,282.35,96.0,2.27
Kartik Sharma  - P Simran Singh,SRH,96,59,2,10,3,162.71,48.0,4.54
