match_id,innings,runs,balls,SR,post_1st_strike_score,exit_pt_score,win,PP_perf,Middle_perf,Death_perf,batter,team,team_total,pitch
S09M003,1,32,27,118.52,72-3(7.0),139-5(15.4),0,,28 off 23,4 off 4,Abhishek Pathak,RCB,5-190 (120),spin
S09M008,1,112,53,211.32,20-3(1.4),,0,20 off 11,36 off 22,56 off 20,Abhishek Pathak,RCB,9-190 (120),pace
S09M003,2,99,58,170.69,0-0(0.1),,1,31 off 22,40 off 25,28 off 11,SV Samson,GT,3-196 (115),spin
S09M007,2,0,1,0.0,0-1(0.1),0-1(0.1),1,0 off 1,,,SV Samson,GT,3-193 (107),spin
S09M015,1,41,36,113.89,4-0(0.1),76-2(9.2),1,21 off 21,20 off 15,,SV Samson,GT,6-188 (120),spin
S09M005,2,31,21,147.62,2-0(0.4),63-2(7.0),0,30 off 19,1 off 2,,Tilak Varma,CSK,10-166 (116),spin
S09M010,1,86,47,182.98,2-0(0.2),167-2(18.0),0,31 off 14,42 off 25,13 off 8,Tilak Varma,CSK,2-207 (120),pace
S09M013,2,20,11,181.82,2-0(0.2),49-2(4.3),0,20 off 11,,,Tilak Varma,CSK,7-192 (120),spin
S09M008,2,63,35,180.0,62-2(6.2),159-4(16.3),1,,52 off 29,11 off 6,S Dube,RR,5-196 (112),pace
S09M013,1,71,38,186.84,74-2(7.4),202-5(19.2),1,,24 off 21,47 off 17,S Dube,RR,5-217 (120),spin
S09M002,2,32,12,266.67,4-0(0.1),49-2(3.5),1,32 off 12,,,GJ Maxwell,DC,8-210 (118),spin
S09M006,1,46,29,158.62,0-0(0.1),67-3(7.1),0,40 off 25,6 off 4,,GJ Maxwell,DC,5-187 (120),pace
S09M014,1,54,22,245.45,1-0(0.1),73-2(5.3),1,54 off 22,,,GJ Maxwell,DC,9-220 (120),pace
S09M003,2,44,36,122.22,53-2(5.0),147-3(16.0),1,1 off 2,40 off 29,3 off 5,D Brevis,GT,3-196 (115),spin
S09M007,2,74,52,142.31,58-2(4.3),,1,4 off 7,52 off 37,18 off 8,D Brevis,GT,3-193 (107),spin
S09M015,1,6,11,54.55,76-2(9.3),104-3(13.2),1,,6 off 11,,D Brevis,GT,6-188 (120),spin
S09M004,2,34,16,212.5,4-0(0.1),48-2(4.3),1,34 off 16,,,Aniket Verma,RR,3-218 (117),pace
S09M008,2,34,24,141.67,4-0(0.1),101-3(11.0),1,21 off 11,13 off 13,,Aniket Verma,RR,5-196 (112),pace
S09M013,1,54,23,234.78,1-0(0.1),73-2(7.3),1,43 off 17,11 off 6,,Aniket Verma,RR,5-217 (120),spin
S09M005,2,50,27,185.19,53-1(5.4),113-3(12.1),0,7 off 2,43 off 25,,KK Nair,CSK,10-166 (116),spin
S09M010,1,23,8,287.5,162-1(17.3),,0,,,23 off 8,KK Nair,CSK,2-207 (120),pace
S09M013,2,47,38,123.68,17-1(1.2),130-4(14.3),0,22 off 13,25 off 25,,KK Nair,CSK,7-192 (120),spin
S09M002,1,90,40,225.0,50-3(5.2),,0,1 off 2,48 off 24,41 off 14,Sameer Rizvi,LSG,5-209 (120),spin
S09M010,2,0,1,0.0,100-4(7.4),100-4(7.4),1,,0 off 1,,Sameer Rizvi,LSG,6-211 (102),pace
S09M014,2,24,15,160.0,88-3(7.2),122-4(11.5),0,,24 off 15,,Sameer Rizvi,LSG,10-189 (116),pace
S09M002,2,11,11,100.0,50-2(4.0),76-3(7.3),1,5 off 7,6 off 4,,N Sindhu,DC,8-210 (118),spin
S09M006,1,27,15,180.0,67-3(7.2),104-4(11.2),0,,27 off 15,,N Sindhu,DC,5-187 (120),pace
S09M014,1,76,44,172.73,13-1(1.2),198-6(17.2),1,8 off 7,56 off 29,12 off 8,N Sindhu,DC,9-220 (120),pace
S09M002,1,48,47,102.13,6-0(0.3),156-4(16.4),0,9 off 12,34 off 30,5 off 5,V Kohli,LSG,5-209 (120),spin
S09M010,2,37,17,217.65,2-0(0.3),82-2(6.0),1,37 off 17,,,V Kohli,LSG,6-211 (102),pace
S09M014,2,22,12,183.33,13-1(1.0),66-2(5.0),0,22 off 12,,,V Kohli,LSG,10-189 (116),pace
S09M003,2,21,10,210.0,8-1(0.5),53-2(4.5),1,21 off 10,,,Naman Dhir,GT,3-196 (115),spin
S09M007,2,27,11,245.45,4-1(0.2),58-2(4.2),1,27 off 11,,,Naman Dhir,GT,3-193 (107),spin
S09M015,1,57,35,162.86,9-1(0.4),108-4(14.3),1,27 off 14,30 off 21,,Naman Dhir,GT,6-188 (120),spin
S09M004,2,95,49,193.88,42-1(3.4),,1,15 off 10,57 off 28,23 off 11,WG Jacks,RR,3-218 (117),pace
S09M008,2,9,12,75.0,51-1(4.0),60-2(6.0),1,9 off 12,,,WG Jacks,RR,5-196 (112),pace
S09M005,1,19,17,111.76,1-0(0.1),73-1(5.5),1,19 off 17,,,PD Salt,PBKS,6-209 (120),spin
S09M009,1,32,19,168.42,1-0(0.1),55-1(5.2),1,32 off 19,,,PD Salt,PBKS,7-199 (120),pace
S09M015,2,52,30,173.33,2-0(0.1),89-3(8.4),0,48 off 22,4 off 8,,PD Salt,PBKS,8-184 (120),spin
S09M002,1,24,10,240.0,157-5(17.0),,0,,,24 off 10,DR Mousley,LSG,5-209 (120),spin
S09M010,2,47,25,188.0,108-5(8.2),205-6(16.5),1,,40 off 21,7 off 4,DR Mousley,LSG,6-211 (102),pace
S09M014,2,28,11,254.55,139-5(14.0),,0,,3 off 3,25 off 8,DR Mousley,LSG,10-189 (116),pace
S09M003,2,23,9,255.56,156-3(16.3),,1,,,23 off 9,R Parag,GT,3-196 (115),spin
S09M007,2,41,22,186.36,92-3(9.0),,1,,19 off 12,22 off 10,R Parag,GT,3-193 (107),spin
S09M015,1,35,18,194.44,105-3(13.3),187-5(19.3),1,,3 off 5,32 off 13,R Parag,GT,6-188 (120),spin
S09M002,2,40,31,129.03,110-5(9.4),194-7(18.1),1,,33 off 22,7 off 9,AD Russell,DC,8-210 (118),spin
S09M006,1,39,17,229.41,117-5(13.2),,0,,3 off 3,36 off 14,AD Russell,DC,5-187 (120),pace
S09M014,1,13,6,216.67,189-5(16.3),217-7(18.4),1,,,13 off 6,AD Russell,DC,9-220 (120),pace
S09M004,1,68,37,183.78,0-0(0.1),180-5(16.4),0,29 off 19,31 off 14,8 off 4,Urvil Patel,MI,7-215 (120),pace
S09M006,2,21,8,262.5,1-0(0.1),24-1(2.5),1,21 off 8,,,Urvil Patel,MI,1-191 (114),pace
S09M004,1,30,19,157.89,4-1(0.5),70-2(7.1),0,28 off 15,2 off 4,,Abhishek Sharma,MI,7-215 (120),pace
S09M006,2,58,42,138.1,25-1(3.0),,1,10 off 11,39 off 23,9 off 8,Abhishek Sharma,MI,1-191 (114),pace
