striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,ones,twos,threes,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,30+_scores,50+_scores,100+_scores
Shubman Gill,LSG,15,660,462,11,63,20,133,221,26,5,142.86,42.0,60.0,5.57,28.79,9,6,1
LS Livingstone,SRH,16,589,389,13,41,34,126,177,16,4,151.41,29.92,45.31,5.19,32.39,9,5,0
TM Head,CSK,17,569,365,14,66,15,113,151,23,6,155.89,26.07,40.64,4.51,30.96,7,5,0
Tilak Varma,CSK,17,560,394,13,47,27,134,175,16,1,142.13,30.31,43.08,5.32,34.01,9,6,0
Abhishek Sharma,MI,14,554,340,12,44,32,112,134,17,6,162.94,28.33,46.17,4.47,32.94,8,5,1
SA Yadav,DC,14,525,349,11,53,21,130,131,16,8,150.43,31.73,47.73,4.72,37.25,7,4,0
GJ Maxwell,RR,14,511,340,14,55,15,106,140,23,5,150.29,24.29,36.5,4.86,31.18,7,4,0
P Simran Singh,SRH,16,509,296,15,51,25,95,109,17,4,171.96,19.73,33.93,3.89,32.09,7,3,1
AM Rahane,KKR,14,500,323,12,49,19,94,143,19,3,154.8,26.92,41.67,4.75,29.1,7,4,0
PD Salt,RCB,14,499,333,11,46,20,106,147,18,4,149.85,30.27,45.36,5.05,31.83,8,4,0
V Kohli,DC,14,485,339,12,42,16,109,149,24,8,143.07,28.25,40.42,5.84,32.15,7,4,0
H Klaasen,PBKS,15,477,359,11,39,19,126,168,15,3,132.87,32.64,43.36,6.19,35.1,6,3,1
KL Rahul,SRH,15,456,326,13,38,19,110,144,17,4,139.88,25.08,35.08,5.72,33.74,5,4,1
F du Plessis,CSK,17,442,344,16,33,17,119,160,21,2,128.49,21.5,27.62,6.88,34.59,6,2,0
SS Iyer,LSG,15,422,283,10,34,16,82,136,21,4,149.12,28.3,42.2,5.66,28.98,6,3,0
SV Samson,GT,14,417,313,12,41,10,117,124,21,9,133.23,26.08,34.75,6.14,37.38,6,3,0
