bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,ones,twos,threes,wides,noballs,economy,strike_rate,bpb,dot_%,3+_wkts,4+_wkts,5+_wkts
AR Patel,CSK,17,458,348,33,41,16,130,138,15,8,6,0,7.9,10.55,6.11,37.36,6,2,2
T Natarajan,CSK,17,457,333,32,40,14,113,134,23,9,5,1,8.23,10.41,6.17,33.93,7,1,0
HH Pandya,MI,14,392,286,23,29,20,116,102,12,7,8,1,8.22,12.43,5.84,40.56,3,1,1
Washington Sundar,PBKS,13,380,264,23,38,15,91,105,14,1,2,0,8.64,11.48,4.98,34.47,4,3,2
MA Starc,KKR,14,444,300,23,49,18,131,79,16,7,7,1,8.88,13.04,4.48,43.67,3,1,1
Suryansh Shedge,CSK,11,392,246,23,26,17,88,67,30,18,5,0,9.56,10.7,5.72,35.77,4,1,0
M Pathirana,RCB,13,384,306,20,37,10,123,109,19,8,5,0,7.53,15.3,6.51,40.2,3,0,0
B Kumar,KKR,14,522,314,20,47,28,110,106,16,7,7,0,9.97,15.7,4.19,35.03,2,1,1
Kuldeep Yadav,SRH,16,509,360,19,40,21,119,155,16,9,8,1,8.48,18.95,5.9,33.06,2,1,0
CV Varun,PBKS,13,397,266,19,27,20,86,108,19,6,5,0,8.95,14.0,5.66,32.33,2,0,0
HV Patel,PBKS,16,458,304,19,39,20,105,116,16,8,9,1,9.04,16.0,5.15,34.54,1,0,0
Jagjit Singh,CSK,12,372,267,17,39,12,107,86,16,7,5,0,8.36,15.71,5.24,40.07,2,0,0
Fazalhaq Farooqi,CSK,12,391,279,17,43,12,110,95,17,2,11,1,8.41,16.41,5.07,39.43,1,1,0
JJ Bumrah,RCB,14,434,316,16,42,11,107,129,22,5,12,0,8.24,19.75,5.96,33.86,2,2,0
PJ Cummins,MI,14,421,300,16,43,12,118,95,27,5,12,1,8.42,18.75,5.45,39.33,2,1,0
Sandeep Sharma,RR,14,483,328,15,49,15,108,131,19,6,10,0,8.84,21.87,5.12,32.93,1,1,0
J Anderson,MI,9,377,192,15,29,21,56,55,21,10,8,0,11.78,12.8,3.84,29.17,2,1,0
C Sakariya,SRH,13,393,278,14,29,18,80,137,10,4,0,0,8.48,19.86,5.91,28.78,0,0,0
JR Hazlewood,RR,12,413,276,14,32,20,94,111,12,7,6,3,8.98,19.71,5.31,34.06,2,0,0
LS Livingstone,SRH,15,438,282,14,37,17,74,129,21,4,4,1,9.32,20.14,5.22,26.24,1,0,0
BA Stokes,LSG,11,320,204,14,34,10,58,86,11,5,1,0,9.41,14.57,4.64,28.43,3,1,0
KH Pandya,SRH,16,462,348,13,30,16,97,175,26,4,6,1,7.97,26.77,7.57,27.87,1,1,0
Rashid Khan,GT,14,403,295,13,34,13,92,136,15,5,7,1,8.2,22.69,6.28,31.19,1,0,0
Shahbaz Ahmed,LSG,11,362,246,13,26,19,79,107,13,2,5,0,8.83,18.92,5.47,32.11,2,0,0
Mustafizur Rahman,DC,13,412,276,13,36,17,85,122,13,3,8,1,8.96,21.23,5.21,30.8,0,0,0
Ravi Bishnoi,PBKS,9,212,179,12,10,7,70,67,17,8,4,1,7.11,14.92,10.53,39.11,1,0,0
A Zampa,LSG,15,471,340,12,26,21,95,169,23,6,8,0,8.31,28.33,7.23,27.94,0,0,0
TA Boult,PBKS,16,542,365,12,64,13,121,147,17,3,17,1,8.91,30.42,4.74,33.15,1,0,0
GJ Maxwell,RR,12,397,264,12,27,17,69,124,24,3,6,0,9.02,22.0,6.0,26.14,1,0,0
Arshdeep Singh,LSG,15,548,354,12,58,19,117,133,24,3,10,2,9.29,29.5,4.6,33.05,0,0,0
Harpreet Brar,RCB,14,384,271,11,27,16,86,121,17,4,13,0,8.5,24.64,6.3,31.73,1,0,0
M Siddharth,CSK,8,240,178,10,17,6,65,68,9,13,10,1,8.09,17.8,7.74,36.52,2,2,0
RA Jadeja,DC,14,429,317,10,32,14,93,153,21,4,9,1,8.12,31.7,6.89,29.34,0,0,0
KK Ahmed,GT,9,298,216,10,25,14,90,73,11,3,9,1,8.28,21.6,5.54,41.67,1,0,0
JC Archer,GT,12,368,264,10,30,16,102,90,23,3,6,1,8.36,26.4,5.74,38.64,0,0,0
Sikandar Raza,DC,11,343,239,10,28,12,65,116,15,3,4,0,8.61,23.9,5.98,27.2,0,0,0
Mohammed Siraj,MI,12,424,273,10,34,22,88,107,21,1,4,0,9.32,27.3,4.88,32.23,1,0,0
M Prasidh Krishna,DC,13,439,311,9,47,12,106,129,11,6,9,1,8.47,34.56,5.27,34.08,0,0,0
M Theekshana,MI,11,338,235,9,29,12,75,99,16,4,7,0,8.63,26.11,5.73,31.91,1,0,0
Mohammed Shami,GT,11,372,252,9,34,13,81,105,13,6,9,0,8.86,28.0,5.36,32.14,1,0,0
Avesh Khan,RCB,10,352,234,9,30,19,91,79,12,3,6,0,9.03,26.0,4.78,38.89,0,0,0
SH Johnson,SRH,7,260,164,9,25,9,49,66,12,3,5,2,9.51,18.22,4.82,29.88,0,0,0
Noor Ahmad,KKR,3,94,72,8,11,2,34,16,7,2,2,0,7.83,9.0,5.54,47.22,2,1,0
Abhishek Sharma,MI,6,133,88,8,11,6,28,36,7,0,3,0,9.07,11.0,5.18,31.82,2,0,0
Tanush Kotian,SRH,5,180,114,8,11,9,31,53,6,4,5,0,9.47,14.25,5.7,27.19,1,0,0
Mohammad Ghazanfar,GT,8,274,172,8,19,14,47,76,13,3,3,0,9.56,21.5,5.21,27.33,1,1,0
Harshit Rana,PBKS,7,205,162,7,15,9,59,71,7,1,3,0,7.59,23.14,6.75,36.42,0,0,0
TU Deshpande,RR,6,176,126,7,17,6,44,50,8,1,3,0,8.38,18.0,5.48,34.92,1,0,0
Rasikh Salam,LSG,4,154,96,7,16,8,36,32,4,0,2,0,9.62,13.71,4.0,37.5,1,0,0
Yash Thakur,PBKS,4,89,78,6,8,2,30,35,3,0,3,1,6.85,13.0,7.8,38.46,1,0,0
PWH de Silva,DC,11,346,258,6,25,13,82,116,17,5,3,0,8.05,43.0,6.79,31.78,0,0,0
Swapnil Singh,RR,3,109,72,6,13,4,26,26,3,0,1,0,9.08,12.0,4.24,36.11,2,0,0
NT Ellis,LSG,6,225,138,6,16,11,34,66,11,0,6,1,9.78,23.0,5.11,24.64,0,0,0
M Markande,LSG,7,210,150,5,11,10,41,79,7,2,6,1,8.4,30.0,7.14,27.33,0,0,0
Azmatullah Omarzai,RR,7,180,127,5,12,9,45,48,9,4,0,0,8.5,25.4,6.05,35.43,0,0,0
MJ Santner,KKR,9,285,192,5,21,11,56,81,19,4,4,0,8.91,38.4,6.0,29.17,0,0,0
VG Arora,KKR,6,183,114,5,18,7,35,46,3,5,2,0,9.63,22.8,4.56,30.7,1,0,0
JG Bethell,SRH,4,29,30,4,1,0,11,14,2,2,0,1,5.8,7.5,30.0,36.67,0,0,0
YS Chahal,CSK,6,158,113,4,14,6,38,48,4,3,1,0,8.39,28.25,5.65,33.63,1,0,0
A Nortje,LSG,6,193,138,4,14,8,45,58,11,2,3,0,8.39,34.5,6.27,32.61,0,0,0
G Coetzee,KKR,4,110,78,4,12,4,35,21,4,2,2,1,8.46,19.5,4.88,44.87,0,0,0
WG Jacks,LSG,10,170,120,4,13,8,38,56,5,0,4,0,8.5,30.0,5.71,31.67,0,0,0
R Ashwin,KKR,13,368,258,4,18,20,90,99,22,9,6,0,8.56,64.5,6.79,34.88,0,0,0
SM Curran,KKR,7,147,102,4,12,6,36,36,10,2,1,0,8.65,25.5,5.67,35.29,0,0,0
