match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,wicket_type,player_dismissed,legal_balls_bowled,wicket_event,fielder,legality,bowler_wicket,islegal,isDotforBatter,isOne,isTwo,isThree,isStrikeRotation,isFour,isSix,isBowlerWicket,is_striker_Out,is_nonstriker_Out,isWicket,total_runs,runs_scored,wickets_down,run_rate,last_fow,partnership_runs,isno,is_faced_by_batter,last_fow_run_rate,fours,sixes,striker_batting_position,non_striker_batting_position,runs_conceeded,isDotforbowler,legal_balls_remaining,target,runs_remaining,reqd_run_rate
M001,1,30/01/25,DC,1,1,LSG,DC,Shubman Gill,WG Jacks,RA Jadeja,1,0,0,0,0,0,,,1,,,True,False,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,6.0,0,1,False,1,,0,0,1,2,1,0,,,,
M001,1,30/01/25,DC,1,2,LSG,DC,WG Jacks,Shubman Gill,RA Jadeja,0,1,0,0,0,1,,,2,,,True,False,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,6.0,0,2,False,1,,0,0,2,1,0,1,,,,
M001,1,30/01/25,DC,1,3,LSG,DC,Shubman Gill,WG Jacks,RA Jadeja,1,0,0,0,0,0,,,3,,,True,False,1,0,1,0,0,1,0,0,0,0,0,0,1,3,0,6.0,0,3,False,1,,0,0,1,2,1,0,,,,
M001,1,30/01/25,DC,1,4,LSG,DC,WG Jacks,Shubman Gill,RA Jadeja,0,0,0,0,0,0,,,4,,,True,False,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,4.5,0,3,False,1,,0,0,2,1,0,1,,,,
M001,1,30/01/25,DC,1,5,LSG,DC,WG Jacks,Shubman Gill,RA Jadeja,1,0,0,0,0,0,,,5,,,True,False,1,0,1,0,0,1,0,0,0,0,0,0,1,4,0,4.8,0,4,False,1,,0,0,2,1,1,0,,,,
M001,1,30/01/25,DC,1,6,LSG,DC,Shubman Gill,WG Jacks,RA Jadeja,1,0,0,0,0,0,,,6,,,True,False,1,0,1,0,0,1,0,0,0,0,0,0,1,5,0,5.0,0,5,False,1,,0,0,1,2,1,0,,,,
M001,1,30/01/25,DC,1,7,LSG,DC,Shubman Gill,WG Jacks,MM Sharma,1,0,0,0,0,0,,,7,,,True,False,1,0,1,0,0,1,0,0,0,0,0,0,1,6,0,5.142857143,0,6,False,1,,0,0,1,2,1,0,,,,
M001,1,30/01/25,DC,1,8,LSG,DC,WG Jacks,Shubman Gill,MM Sharma,1,0,0,0,0,0,,,8,,,True,False,1,0,1,0,0,1,0,0,0,0,0,0,1,7,0,5.25,0,7,False,1,,0,0,2,1,1,0,,,,
M001,1,30/01/25,DC,1,9,LSG,DC,Shubman Gill,WG Jacks,MM Sharma,0,0,0,0,0,0,,,9,,,True,False,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,4.666666667,0,7,False,1,,0,0,1,2,0,1,,,,
M001,1,30/01/25,DC,1,10,LSG,DC,Shubman Gill,WG Jacks,MM Sharma,1,0,0,0,0,0,,,10,,,True,False,1,0,1,0,0,1,0,0,0,0,0,0,1,8,0,4.8,0,8,False,1,,0,0,1,2,1,0,,,,
M001,1,30/01/25,DC,1,11,LSG,DC,WG Jacks,Shubman Gill,MM Sharma,0,0,0,0,0,0,,,11,,,True,False,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,4.363636364,0,8,False,1,,0,0,2,1,0,1,,,,
M001,1,30/01/25,DC,1,12,LSG,DC,WG Jacks,Shubman Gill,MM Sharma,1,0,0,0,0,0,,,12,,,True,False,1,0,1,0,0,1,0,0,0,0,0,0,1,9,0,4.5,0,9,False,1,,0,0,2,1,1,0,,,,
M001,1,30/01/25,DC,1,13,LSG,DC,WG Jacks,Shubman Gill,AD Russell,0,1,0,0,0,1,,,13,,,True,False,1,1,0,0,0,0,0,0,0,0,0,0,1,10,0,4.615384615,0,10,False,1,,0,0,2,1,0,1,,,,
M001,1,30/01/25,DC,1,14,LSG,DC,Shubman Gill,WG Jacks,AD Russell,2,0,0,0,0,0,,,14,,,True,False,1,0,0,1,0,1,0,0,0,0,0,0,2,12,0,5.142857143,0,12,False,1,,0,0,1,2,2,0,,,,
M001,1,30/01/25,DC,1,15,LSG,DC,Shubman Gill,WG Jacks,AD Russell,2,0,0,0,0,0,,,15,,,True,False,1,0,0,1,0,1,0,0,0,0,0,0,2,14,0,5.6,0,14,False,1,,0,0,1,2,2,0,,,,
M001,1,30/01/25,DC,1,16,LSG,DC,Shubman Gill,WG Jacks,AD Russell,1,0,0,0,0,0,,,16,,,True,False,1,0,1,0,0,1,0,0,0,0,0,0,1,15,0,5.625,0,15,False,1,,0,0,1,2,1,0,,,,
M001,1,30/01/25,DC,1,17,LSG,DC,WG Jacks,Shubman Gill,AD Russell,4,0,0,0,0,0,,,17,,,True,False,1,0,0,0,0,0,1,0,0,0,0,0,4,19,0,6.705882353,0,19,False,1,,1,0,2,1,4,0,,,,
M001,1,30/01/25,DC,1,18,LSG,DC,WG Jacks,Shubman Gill,AD Russell,2,0,0,0,0,0,,,18,,,True,False,1,0,0,1,0,1,0,0,0,0,0,0,2,21,0,7.0,0,21,False,1,,1,0,2,1,2,0,,,,
M001,1,30/01/25,DC,1,19,LSG,DC,Shubman Gill,WG Jacks,PWH de Silva,1,0,0,0,0,0,,,19,,,True,False,1,0,1,0,0,1,0,0,0,0,0,0,1,22,0,6.947368421,0,22,False,1,,1,0,1,2,1,0,,,,
M001,1,30/01/25,DC,1,20,LSG,DC,WG Jacks,Shubman Gill,PWH de Silva,1,0,0,0,0,0,,,20,,,True,False,1,0,1,0,0,1,0,0,0,0,0,0,1,23,0,6.9,0,23,False,1,,1,0,2,1,1,0,,,,
M001,1,30/01/25,DC,1,21,LSG,DC,Shubman Gill,WG Jacks,PWH de Silva,1,0,0,0,0,0,,,21,,,True,False,1,0,1,0,0,1,0,0,0,0,0,0,1,24,0,6.857142857,0,24,False,1,,1,0,1,2,1,0,,,,
M001,1,30/01/25,DC,1,22,LSG,DC,WG Jacks,Shubman Gill,PWH de Silva,0,0,0,0,0,0,,,22,,,True,False,1,1,0,0,0,0,0,0,0,0,0,0,0,24,0,6.545454545,0,24,False,1,,1,0,2,1,0,1,,,,
M001,1,30/01/25,DC,1,23,LSG,DC,WG Jacks,Shubman Gill,PWH de Silva,0,0,0,0,0,0,,,23,,,True,False,1,1,0,0,0,0,0,0,0,0,0,0,0,24,0,6.260869565,0,24,False,1,,1,0,2,1,0,1,,,,
