striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,ones,twos,threes,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,30+_scores,50+_scores,100+_scores
AM Rahane,KKR,7,315,202,6,32,10,58,85,18,2,155.94,33.67,52.5,4.81,28.71,4,3,0
SA Yadav,DC,6,312,211,4,28,14,80,80,9,6,147.87,52.75,78.0,5.02,37.91,5,3,0
PD Salt,RCB,7,304,197,5,30,12,66,83,10,3,154.31,39.4,60.8,4.69,33.5,5,3,0
V Kohli,DC,6,283,184,5,25,12,56,83,11,2,153.8,36.8,56.6,4.97,30.43,4,3,0
Tilak Varma,CSK,7,278,185,5,26,14,70,72,9,0,150.27,37.0,55.6,4.62,37.84,5,3,0
Abhishek Sharma,MI,7,256,151,6,25,12,45,60,9,2,169.54,25.17,42.67,4.08,29.8,3,3,0
DJ Hooda,GT,6,240,158,5,22,9,48,75,7,3,151.9,31.6,48.0,5.1,30.38,5,1,0
Shubman Gill,LSG,5,237,157,3,21,9,48,68,11,3,150.96,52.33,79.0,5.23,30.57,3,3,1
F du Plessis,CSK,7,233,183,6,16,8,58,88,15,1,127.32,30.5,38.83,7.62,31.69,3,2,0
DP Conway,GT,6,227,157,4,23,5,42,80,11,1,144.59,39.25,56.75,5.61,26.75,3,3,0
GJ Maxwell,RR,6,219,145,6,18,8,45,59,14,4,151.03,24.17,36.5,5.58,31.03,2,2,0
N Pooran,MI,7,213,158,4,16,12,68,56,9,1,134.81,39.5,53.25,5.64,43.04,4,2,0
H Klaasen,PBKS,6,213,165,3,17,8,59,80,7,1,129.09,55.0,71.0,6.6,35.76,3,1,0
SV Samson,GT,6,211,155,6,25,4,58,56,8,5,136.13,25.83,35.17,5.34,37.42,4,1,0
LS Livingstone,SRH,5,204,134,3,8,16,44,63,5,1,152.24,44.67,68.0,5.58,32.84,3,2,0
B Sai Sudharsan,MI,7,199,148,7,20,4,44,68,12,1,134.46,21.14,28.43,6.17,29.73,2,2,0
VR Iyer,SRH,5,187,126,3,13,7,31,63,9,4,148.41,42.0,62.33,6.3,24.6,3,2,0
TM Head,CSK,7,181,108,6,20,7,33,42,7,1,167.59,18.0,30.17,4.0,30.56,2,2,0
Shashank Singh,PBKS,5,179,99,2,10,10,16,51,8,4,180.81,49.5,89.5,4.95,16.16,4,2,0
JC Buttler,KKR,7,175,111,6,17,7,34,49,8,0,157.66,18.5,29.17,4.62,30.63,2,1,1
MK Pandey,KKR,7,174,136,6,17,7,68,43,9,1,127.94,22.67,29.0,5.67,50.0,2,1,0
RD Gaikwad,RCB,7,167,100,6,21,5,32,36,7,1,167.0,16.67,27.83,3.85,32.0,2,1,0
RA Tripathi,RR,6,159,113,5,19,4,44,42,7,1,140.71,22.6,31.8,4.91,38.94,3,1,0
N Rana,KKR,6,149,75,3,10,9,17,34,6,3,198.67,25.0,49.67,3.95,22.67,2,0,0
P Simran Singh,SRH,5,148,96,5,15,8,37,35,1,1,154.17,19.2,29.6,4.17,38.54,3,1,0
RG Sharma,PBKS,6,147,109,5,13,4,40,45,4,6,134.86,21.8,29.4,6.41,36.7,1,0,0
Q de Kock,PBKS,5,145,77,5,14,7,20,31,8,0,188.31,15.4,29.0,3.67,25.97,2,2,0
Ishan Kishan,KKR,7,141,92,7,14,6,30,41,4,0,153.26,13.14,20.14,4.6,32.61,1,1,0
Naman Dhir,GT,5,136,68,3,9,9,14,29,4,3,200.0,22.67,45.33,3.78,20.59,2,1,0
Dhruv Jurel,LSG,4,131,97,3,9,3,33,37,14,4,135.05,32.33,43.67,8.08,34.02,2,1,0
Nithish Kumar Reddy,GT,6,130,69,5,2,12,15,31,8,1,188.41,13.8,26.0,4.93,21.74,2,0,0
YBK Jaiswal,RR,6,130,76,6,17,5,28,26,0,2,171.05,12.67,21.67,3.45,36.84,2,1,0
SO Hetmyer,RCB,7,128,105,7,9,5,39,47,6,1,121.9,15.0,18.29,7.5,37.14,2,0,0
RR Pant,PBKS,6,127,83,6,13,5,28,35,5,0,153.01,13.83,21.17,4.61,33.73,1,1,0
SS Iyer,LSG,5,122,84,4,12,3,25,39,7,1,145.24,21.0,30.5,5.6,29.76,2,0,0
C Green,RCB,7,121,82,7,13,6,35,23,5,0,147.56,11.71,17.29,4.32,42.68,2,0,0
RM Patidar,CSK,7,114,83,6,9,5,31,36,6,0,137.35,13.83,19.0,5.93,37.35,1,0,0
S Dube,RR,5,110,87,4,6,7,37,34,5,0,126.44,21.75,27.5,6.69,42.53,1,1,0
RK Singh,MI,5,109,75,3,8,5,23,36,4,1,145.33,25.0,36.33,5.77,30.67,1,0,0
Harpreet Brar,RCB,6,107,73,3,11,6,34,23,2,0,146.58,24.33,35.67,4.29,46.58,1,0,0
AR Patel,CSK,5,104,77,3,9,3,25,33,4,3,135.06,25.67,34.67,6.42,32.47,2,0,0
DA Miller,RR,5,100,64,3,6,5,20,26,7,2,156.25,21.33,33.33,5.82,31.25,1,0,0
Urvil Patel,DC,5,97,51,4,10,4,15,15,3,4,190.2,12.75,24.25,3.64,29.41,1,0,0
HH Pandya,MI,5,97,76,3,5,4,23,39,4,2,127.63,25.33,32.33,8.44,30.26,2,0,0
WG Jacks,LSG,3,96,70,3,14,1,29,21,5,1,137.14,23.33,32.0,4.67,41.43,2,0,0
T Stubbs,CSK,6,92,69,3,6,3,23,29,6,3,133.33,23.0,30.67,7.67,33.33,1,0,0
KK Nair,RR,4,91,63,3,9,3,27,16,6,3,144.44,21.0,30.33,5.25,42.86,1,0,0
DA Warner,DC,5,89,69,5,9,2,25,28,5,1,128.99,13.8,17.8,6.27,36.23,1,1,0
KL Rahul,SRH,4,88,65,4,5,4,20,31,5,1,135.38,16.25,22.0,7.22,30.77,1,1,0
N Wadhera,LSG,4,84,65,3,9,2,26,24,6,0,129.23,21.67,28.0,5.91,40.0,2,0,0
A Badoni,RCB,6,77,75,6,5,3,39,24,3,3,102.67,12.5,12.83,9.38,52.0,1,0,0
Bhanu Pania,MI,2,69,48,2,4,3,20,14,3,5,143.75,24.0,34.5,6.86,41.67,1,0,0
