striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,ones,twos,threes,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,30+_scores,50+_scores,100+_scores
BM Duckett,SRH,1,80,43,1,6,5,9,22,2,0,186.05,43.0,80.0,3.91,20.93,1,1,0
SA Yadav,DC,1,50,24,1,2,4,2,14,2,0,208.33,24.0,50.0,4.0,8.33,1,1,0
P Simran Singh,SRH,1,49,24,1,5,3,7,9,1,0,204.17,24.0,49.0,3.0,29.17,1,0,0
F du Plessis,CSK,1,46,48,1,0,3,23,17,4,1,95.83,48.0,46.0,16.0,47.92,1,0,0
BJ McMullen,DC,1,44,39,1,2,2,14,20,2,0,112.82,39.0,44.0,9.75,35.9,1,0,0
RG Sharma,PBKS,1,43,31,1,6,0,7,17,1,0,138.71,31.0,43.0,5.17,22.58,1,0,0
V Kohli,DC,1,40,22,1,4,3,9,6,0,0,181.82,22.0,40.0,3.14,40.91,1,0,0
KL Rahul,SRH,1,36,18,0,2,2,1,10,3,0,200.0,inf,inf,4.5,5.56,1,0,0
H Klaasen,PBKS,1,36,21,1,2,2,3,12,2,0,171.43,21.0,36.0,5.25,14.29,1,0,0
Q de Kock,PBKS,1,36,27,1,2,1,6,15,2,1,133.33,27.0,36.0,9.0,22.22,1,0,0
Urvil Patel,DC,1,31,23,0,0,1,4,13,3,2,134.78,inf,inf,23.0,17.39,1,0,0
Sikandar Raza,DC,1,28,14,0,3,1,2,8,1,0,200.0,inf,inf,3.5,14.29,0,0,0
RA Tripathi,PBKS,1,28,20,1,0,2,4,14,0,1,140.0,20.0,28.0,10.0,20.0,0,0,0
LS Livingstone,SRH,1,27,21,1,2,1,7,9,2,0,128.57,21.0,27.0,7.0,33.33,0,0,0
Shashank Singh,PBKS,1,23,11,0,1,2,1,7,0,0,209.09,inf,inf,3.67,9.09,0,0,0
VR Iyer,SRH,1,18,7,1,4,0,1,2,0,0,257.14,7.0,18.0,1.75,14.29,0,0,0
TM Head,CSK,1,16,13,1,1,1,6,4,1,0,123.08,13.0,16.0,6.5,46.15,0,0,0
KA Pollard,CSK,1,14,10,1,0,2,6,2,0,0,140.0,10.0,14.0,5.0,60.0,0,0,0
MS Dhoni,CSK,1,13,22,1,1,0,12,9,0,0,59.09,22.0,13.0,22.0,54.55,0,0,0
Suryansh Shedge,CSK,1,9,6,1,2,0,3,1,0,0,150.0,6.0,9.0,3.0,50.0,0,0,0
MK Lomror,SRH,1,8,7,0,1,0,3,2,1,0,114.29,inf,inf,7.0,42.86,0,0,0
Shakib Al Hasan,PBKS,1,8,9,0,1,0,5,2,1,0,88.89,inf,inf,9.0,55.56,0,0,0
T Natarajan,CSK,1,7,3,0,0,1,1,1,0,0,233.33,inf,inf,3.0,33.33,0,0,0
M Siddharth,CSK,1,6,3,1,1,0,1,0,1,0,200.0,3.0,6.0,3.0,33.33,0,0,0
AR Patel,CSK,1,6,5,1,0,1,4,0,0,0,120.0,5.0,6.0,5.0,80.0,0,0,0
Mohammad Ghazanfar,CSK,1,2,3,0,0,0,1,2,0,0,66.67,inf,inf,inf,33.33,0,0,0
Tilak Varma,CSK,1,2,3,1,0,0,1,2,0,0,66.67,3.0,2.0,inf,33.33,0,0,0
KD Karthik,CSK,1,2,5,1,0,0,3,2,0,0,40.0,5.0,2.0,inf,60.0,0,0,0
D Brevis,PBKS,1,0,1,1,0,0,1,0,0,0,0.0,1.0,0.0,inf,100.0,0,0,0
