bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,ones,twos,threes,wides,noballs,economy,strike_rate,bpb,dot_%,3+_wkts,4+_wkts,5+_wkts
M Markande,PBKS,1,16,24,2,0,1,14,8,1,0,0,0,4.0,12.0,24.0,58.33,0,0,0
CV Varun,PBKS,1,27,24,2,1,2,14,4,2,1,0,0,6.75,12.0,8.0,58.33,0,0,0
Washington Sundar,PBKS,1,31,24,2,4,1,11,7,1,0,0,0,7.75,12.0,4.8,45.83,0,0,0
Cheepurapalli Stephen,DC,1,36,24,2,5,0,5,12,2,0,0,0,9.0,12.0,4.8,20.83,0,0,0
AR Patel,CSK,1,46,24,2,1,4,5,13,0,1,2,0,11.5,12.0,4.8,20.83,0,0,0
Shakib Al Hasan,PBKS,1,18,24,1,0,1,12,11,0,0,0,1,4.5,24.0,24.0,50.0,0,0,0
A Zampa,SRH,1,21,18,1,2,0,5,10,1,0,1,0,7.0,18.0,9.0,27.78,0,0,0
Ravi Bishnoi,PBKS,1,32,24,1,0,3,9,10,2,0,0,0,8.0,24.0,8.0,37.5,0,0,0
KH Pandya,SRH,1,33,24,1,4,0,5,15,0,0,1,1,8.25,24.0,6.0,20.83,0,0,0
Suryansh Shedge,CSK,1,35,24,1,2,1,4,14,3,0,1,0,8.75,24.0,8.0,16.67,0,0,0
LS Livingstone,SRH,1,46,24,1,1,3,3,11,5,1,0,0,11.5,24.0,6.0,12.5,0,0,0
RA Jadeja,DC,1,47,24,1,5,3,9,7,0,0,2,0,11.75,24.0,3.0,37.5,0,0,0
DL Chahar,DC,1,68,24,1,6,5,1,10,2,0,0,0,17.0,24.0,2.18,4.17,0,0,0
AD Russell,DC,1,5,6,0,0,0,2,3,1,0,0,0,5.0,inf,inf,33.33,0,0,0
M Siddharth,CSK,1,26,24,0,0,1,9,14,0,1,4,0,6.5,inf,24.0,37.5,0,0,0
Tilak Varma,CSK,1,8,6,0,1,0,1,4,0,0,0,0,8.0,inf,6.0,16.67,0,0,0
Kuldeep Yadav,SRH,1,36,24,0,1,3,8,11,1,0,0,1,9.0,inf,6.0,33.33,0,0,0
Sikandar Raza,DC,1,36,24,0,1,2,4,14,3,0,0,0,9.0,inf,8.0,16.67,0,0,0
T Natarajan,CSK,1,37,24,0,3,1,4,13,3,0,0,0,9.25,inf,6.0,16.67,0,0,0
PWH de Silva,DC,1,28,18,0,3,1,5,8,1,0,0,0,9.33,inf,4.5,27.78,0,0,0
D Ferreira,SRH,1,19,12,0,1,1,3,6,0,1,0,0,9.5,inf,6.0,25.0,0,0,0
Mohammad Ghazanfar,CSK,1,29,18,0,5,0,4,9,0,0,0,0,9.67,inf,3.6,22.22,0,0,0
Harshit Rana,SRH,1,42,18,0,2,4,3,8,1,0,0,0,14.0,inf,3.0,16.67,0,0,0
