batter,team,runs,balls,num_innings,PPI,MDI,DFI,HOI,CCI,ERI,TBI,PVA,ORI,SAI,recent_form,RCI,BHI,DAI,BER,WR,partners,MIQ,score,rank
BM Duckett,SRH,657.0,393.0,12.0,0.2434038986838838,0.8044701692916316,0.10450195634752268,0.2900763358778626,-0.1750054720560339,1.8039179646999173,0.0,2.0833333333333335,0.23406789034526376,0.0,1.0738826838807625,0.5762117936397776,0.026238023814793232,0.6308290592028138,0.9062958583786989,6.57,-0.20833333333333315,10.864397922118187,25.82828808422508,1
Naman Dhir,GT,810.0,477.0,25.0,0.11314253786938178,0.49909829448843257,0.16797365603935854,0.2389937106918239,0.11038399802444743,1.860018077478032,0.3002295492487481,1.5,1.1756664470530556,3.878271099538156,-0.13661694615838216,0.3659539659153516,0.07403493330404243,0.5524731053030825,0.6393152447770958,6.0,-0.7000000000000001,7.442590876325816,24.081528549898447,2
Abhishek Sharma,MI,1119.0,673.0,29.0,0.17177739578235252,0.24693515544639677,-0.019690890356991342,0.2674591381872214,0.009868505177204279,2.3741030776800436,0.0,1.7241379310344829,0.831995028586709,1.82972418833709,1.0033725573587773,0.4407373712030667,0.22284332049398148,0.14574067394114287,0.4867479671609489,5.65,-0.3448275862068967,8.401406547932517,23.442330381758048,3
N Pooran,MI,1104.0,718.0,27.0,-0.21384785760631864,0.11296691560504835,0.22815587555910488,0.18384401114206128,0.002741598911411236,0.061873219648992554,0.0,1.8518518518518516,1.0681544542414105,0.42987528150140997,1.2033274395711253,0.46091683072663475,0.032341524822198764,0.10864336541345199,0.6306493242919049,7.62,-0.2777777777777779,9.770031565362071,23.27374762326458,4
GJ Maxwell,RR,1282.0,758.0,31.0,0.1886262610420597,0.1536270825898638,0.1982627336265994,0.2849604221635884,0.20915228523085116,1.7077647155376163,0.0,2.0161290322580645,0.47257196727839634,0.0,0.698189446131015,0.4561591740264229,0.2223304993772075,0.38262274068252977,0.6051845103487423,7.37,0.24193548387096753,6.187165019812592,21.394681373976518,5
KL Rahul,SRH,1123.0,744.0,30.0,-0.033616571051386046,0.2039373914654865,0.1059953914826266,0.25,0.07941867771006961,-0.05091676632476006,0.0,1.75,0.10510743655320987,0.0,1.8914935285406258,0.4177927736098564,0.0035905521689238995,0.19897904597138605,0.5412766329691587,6.67,0.2500000000000002,8.992789478061148,21.375847571156346,6
SS Iyer,LSG,1010.0,652.0,29.0,-0.04778641605063261,0.13878261645359702,0.13858196061070016,0.20245398773006135,0.16638531039108306,1.1587898146695446,0.0,1.8103448275862069,0.4381137057061011,0.0,0.730863135910641,0.3988026051543271,0.011455329681331117,0.2368454195277172,0.3082432919384943,6.15,0.2586206896551724,8.389908305006502,20.49040458397085,7
Smaran Ravichandran,PBKS,388.0,228.0,11.0,0.12735286814005464,0.26775596509206934,-0.014551362314641492,0.2631578947368421,0.04209835108711513,2.804246019856463,0.0,1.8181818181818183,0.8120857075295387,0.10988336719223146,0.12883895241568344,0.4022399642939508,0.0039761036680283635,0.42812050697869886,0.42979478501333235,3.88,0.0,8.674074971598033,20.177255913469217,8
YBK Jaiswal,RR,809.0,464.0,31.0,0.11047985271018268,0.10061113210319728,0.4193229793360551,0.27155172413793105,0.33752187117723187,2.357427796950563,0.0,1.532258064516129,0.43224744187650366,0.0,2.4507946790660666,0.28820787325253533,0.33904694614836783,0.20341075615474802,0.32675509084928667,4.49,-1.0483870967741937,7.424976896642642,20.036226008147246,9
Abishek Porel,DC,714.0,385.0,24.0,0.037971950205676785,0.13283114846348099,0.27293040716884587,0.35844155844155845,0.0,2.8276338955904956,0.0,1.7708333333333335,1.5935174460091392,0.3543934299065057,1.0430819391270825,0.3103400586279179,0.3873124341594576,0.2172430636967566,0.5427200687201843,4.88,-1.458333333333333,6.379313467982972,19.650230868100074,10
