bowler,team,islegal,match_id,WII,DPI,COI,BER,MIQ_B,ERS,Choke_Rate,PBI,recent_form,DCI,wkt_pt,score,rank
A Zampa,SRH,546,25,0.29670329670329665,1.842948717948718,0.37362637362637363,0.3333281744278886,5.633300495470466,4.162395553455584,0.14285714285714285,0.6,2.0941709724155455,1.6374663072776279,5.4,22.516797034182645,1
M Pathirana,RCB,609,26,0.41182266009852214,2.389983579638752,0.41379310344827586,0.3919050126636982,3.3577969831083885,2.122385803761339,0.2660098522167488,1.25,1.6516301273766392,1.511194029850746,7.6,21.36652115216311,2
JC Archer,LSG,512,23,0.3421875,2.0166015625,0.36328125,0.2622888395357075,2.5097585896038024,0.4287479207340959,0.12890625,1.0869565217391304,5.784859886512425,1.327639751552795,5.8,20.051228072177956,3
Mohammad Nabi,GT,234,10,0.3948717948717949,1.0555555555555556,0.48717948717948717,0.5199295370391197,6.512547637304664,4.480840773524763,0.23076923076923078,1.75,1.2450965426952294,,3.0,19.676790558939846,4
Mayank Dagar,RR,263,11,0.33764258555133086,1.0062737642585553,0.18250950570342206,0.5968527334279636,6.72575520024416,5.170646042427605,0.1596958174904943,1.3636363636363635,0.8463987978740717,,2.8,19.189410810613968,5
Kuldeep Yadav,SRH,623,27,0.3043338683788122,2.5019261637239167,0.30818619582664525,0.10703216604199894,3.6725333962145505,1.6941740735784319,0.14446227929373998,1.2962962962962963,1.9801831789964333,1.1785714285714286,6.0,19.187699046922255,6
Ravi Bishnoi,PBKS,371,17,0.2587601078167116,1.549865229110512,0.2587601078167116,0.2280322892249032,6.322320799482622,4.305617310371064,0.08086253369272237,0.5882352941176471,-0.3301349611263005,0.9428571428571428,3.2,17.405175853363737,7
Fazalhaq Farooqi,CSK,399,17,0.43609022556390975,2.142857142857143,0.37593984962406013,0.14386975412571673,3.2817510302660517,0.8509250073102498,0.21052631578947367,1.4705882352941178,1.6315797331030315,1.0949764521193093,5.6,17.23910374605306,8
Rashid Khan,GT,571,26,0.3110332749562172,1.1760070052539404,0.30472854640980734,-0.05495260921261895,3.0766703158063446,1.692317784183968,0.11558669001751314,0.8653846153846154,2.9197933284419757,1.2159304511278195,5.6,17.222499402369586,9
Washington Sundar,PBKS,516,24,0.5,1.9278100775193798,0.46511627906976744,0.21449794435429445,2.4459841573895282,0.050777709507263825,0.22093023255813954,0.9375,1.0843911064467704,1.0790816326530612,8.0,16.926089139498206,10
AR Patel,CSK,681,31,0.3559471365638766,2.0061674008810573,0.2290748898678414,0.03408728319200854,2.1141076869576962,0.6653798414284211,0.14096916299559473,1.129032258064516,0.1882950664479902,1.0079887218045112,8.4,16.271049448203513,11
JJ Bumrah,MI,652,29,0.3404907975460122,1.7524539877300613,0.24846625766871167,0.06573146827965748,2.000040396894554,0.9882813670047381,0.12883435582822086,0.7758620689655172,1.8333669010726168,1.1192602040816326,6.8,16.052787805071723,12
Yash Thakur,PBKS,126,6,0.3714285714285714,0.667063492063492,0.3333333333333333,0.19253710464809515,5.7943557348899,4.462454212454213,0.09523809523809523,1.6666666666666665,1.0360700874386513,,1.4,16.019147298161016,13
RA Jadeja,DC,557,25,0.2800718132854578,1.5317773788150808,0.40933572710951527,0.023366342092606705,3.0315726877665266,0.9084775572796754,0.118491921005386,0.6,2.9947001556610067,1.2946428571428572,4.8,15.992436440158112,14
