bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,ones,twos,threes,wides,noballs,economy,strike_rate,bpb,dot_%,3+_wkts,4+_wkts,5+_wkts
AK Markram,SRH,13,356,216,20,25,23,74,75,14,5,0,0,9.89,10.8,4.5,34.26,3,1,0
B Kumar,KKR,14,537,313,20,47,25,93,116,24,8,11,0,10.29,15.65,4.35,29.71,2,0,0
MP Yadav,CSK,12,380,266,19,34,16,108,82,23,3,8,3,8.57,14.0,5.32,40.6,2,2,0
JC Archer,LSG,11,382,248,19,28,18,73,103,22,4,3,0,9.24,13.05,5.39,29.44,2,1,1
MA Starc,KKR,13,484,276,19,39,27,83,109,13,5,15,1,10.52,14.53,4.18,30.07,1,1,0
JJ Bumrah,MI,15,529,336,18,35,26,90,156,20,9,10,0,9.45,18.67,5.51,26.79,3,0,0
M Pathirana,RCB,13,481,303,18,39,20,82,131,25,6,6,0,9.52,16.83,5.14,27.06,3,0,0
Washington Sundar,PBKS,11,349,252,17,36,9,82,108,13,4,5,0,8.31,14.82,5.6,32.54,2,0,0
A Zampa,SRH,10,252,206,15,19,9,80,80,17,1,5,0,7.34,13.73,7.36,38.83,2,0,0
Mohammad Nabi,GT,10,327,234,15,29,11,76,100,16,2,7,0,8.38,15.6,5.85,32.48,1,0,0
Rashid Khan,GT,12,425,276,15,40,13,66,133,22,2,4,0,9.24,18.4,5.21,23.91,1,0,0
Mayank Dagar,RR,11,356,263,14,24,13,79,125,14,8,5,0,8.12,18.79,7.11,30.04,2,1,0
Mustafizur Rahman,DC,10,351,228,14,26,17,65,106,10,4,7,0,9.24,16.29,5.3,28.51,2,0,0
SM Curran,KKR,12,470,288,14,41,22,84,119,17,5,6,0,9.79,20.57,4.57,29.17,1,1,0
RA Jadeja,DC,11,394,240,14,30,19,65,102,21,3,7,0,9.85,17.14,4.9,27.08,2,1,0
Swapnil Singh,RR,13,433,274,13,30,18,75,118,23,10,11,0,9.48,21.08,5.71,27.37,1,0,0
Rasikh Salam,GT,8,258,163,13,29,7,45,69,10,3,2,0,9.5,12.54,4.53,27.61,2,2,0
Fazalhaq Farooqi,CSK,5,154,120,11,19,1,40,53,5,2,3,0,7.7,10.91,6.0,33.33,1,1,1
DS Rathi,KKR,12,406,288,11,31,11,69,148,24,5,5,0,8.46,26.18,6.86,23.96,1,0,0
Suryansh Shedge,CSK,14,454,319,11,30,16,92,144,28,9,9,2,8.54,29.0,6.93,28.84,0,0,0
Kuldeep Yadav,SRH,11,377,263,11,32,17,99,95,16,4,6,2,8.6,23.91,5.37,37.64,2,0,0
Arshdeep Singh,LSG,11,356,246,11,35,11,78,103,17,2,7,0,8.68,22.36,5.35,31.71,2,0,0
GJ Maxwell,RR,16,473,298,11,36,22,79,134,25,2,7,0,9.52,27.09,5.14,26.51,1,0,0
Shakib Al Hasan,PBKS,9,225,168,10,23,7,64,61,11,2,1,1,8.04,16.8,5.6,38.1,1,0,0
JR Hazlewood,RR,10,337,210,10,31,12,60,86,17,4,9,0,9.63,21.0,4.88,28.57,1,1,1
Shahbaz Ahmed,LSG,7,264,156,10,21,15,48,61,10,1,6,0,10.15,15.6,4.33,30.77,1,1,0
LS Livingstone,SRH,11,284,163,10,20,14,42,66,15,6,4,2,10.45,16.3,4.79,25.77,1,0,0
M Markande,PBKS,9,277,210,9,17,14,74,89,15,1,3,0,7.91,23.33,6.77,35.24,2,0,0
TA Boult,MI,10,312,227,9,26,12,80,92,14,3,7,0,8.25,25.22,5.97,35.24,1,0,0
R Sai Kishore,GT,8,250,180,9,18,9,61,68,21,3,4,1,8.33,20.0,6.67,33.89,0,0,0
M Prasidh Krishna,DC,12,410,288,9,38,8,77,137,20,8,8,1,8.54,32.0,6.26,26.74,1,1,0
I Sharma,GT,5,181,120,9,12,8,38,44,15,3,2,0,9.05,13.33,6.0,31.67,1,1,0
AR Patel,CSK,14,518,333,9,30,23,77,172,19,12,10,4,9.33,37.0,6.28,23.12,0,0,0
Harpreet Brar,RCB,8,302,192,9,22,12,46,91,15,6,3,0,9.44,21.33,5.65,23.96,0,0,0
HH Pandya,MI,14,486,292,9,49,16,73,125,23,6,5,0,9.99,32.44,4.49,25.0,0,0,0
MG Bracewell,DC,9,311,186,9,33,10,54,68,19,2,7,0,10.03,20.67,4.33,29.03,0,0,0
V Puthur,LSG,5,186,108,9,13,11,38,31,12,3,4,0,10.33,12.0,4.5,35.19,0,0,0
A Nortje,RCB,8,242,171,8,20,7,48,78,14,4,2,0,8.49,21.38,6.33,28.07,1,0,0
Mujeeb Ur Rahman,RCB,5,178,120,8,10,10,41,49,7,3,5,1,8.9,15.0,6.0,34.17,1,0,0
SP Narine,LSG,9,288,193,8,19,14,63,78,13,6,6,0,8.95,24.12,5.85,32.64,1,0,0
Ravi Teja,LSG,5,187,120,8,15,8,30,59,6,2,1,1,9.35,15.0,5.22,25.0,1,0,0
