``` Player | TI | Team | Runs | I.Runs | B.Impact | Bowl | I.Wkts | Bo.Impact ```
``` Abhishek Sharma | 104.92 | MI | 81(40) | 92.83 | 104.92 |  |  | 0.0 ```
``` JR Hazlewood | 99.18 | RR |  |  | 0.0 | 5-26 | 4.54 | 99.18 ```
``` GJ Maxwell | 84.68 | RR | 75(41) | 81.0 | 91.37 | 0-22 | 0.0 | -6.69 ```
``` Mayank Dagar | 83.74 | RR |  |  | 0.0 | 3-43 | 4.14 | 83.74 ```
``` SZ Mulani | 68.5 | MI | 1(3) | -0.21 | -1.45 | 2-37 | 2.98 | 69.95 ```
``` N Pooran | 53.92 | MI | 48(26) | 50.93 | 53.92 |  |  | 0.0 ```
``` YBK Jaiswal | 47.63 | RR | 33(13) | 38.36 | 47.63 |  |  | 0.0 ```
``` JJ Bumrah | 43.16 | MI | 6(2) | 7.73 | 9.49 | 1-41 | 1.76 | 33.67 ```
``` Swapnil Singh | 39.73 | RR |  |  | 0.0 | 1-50 | 2.44 | 39.73 ```
``` RD Rickelton | 38.2 | RR | 44(32) | 41.88 | 38.2 |  |  | 0.0 ```
``` RM Patidar | 38.03 | RR | 32(17) | 34.21 | 38.03 |  |  | 0.0 ```
``` Arslan Khan | 23.77 | MI | 22(12) | 22.88 | 23.77 |  |  | 0.0 ```
``` S Dube | 13.5 | RR | 16(10) | 15.08 | 13.5 |  |  | 0.0 ```
``` Jay Gohil | 13.42 | MI | 14(9) | 13.71 | 13.42 |  |  | 0.0 ```
``` RR Rossouw | 12.37 | MI | 13(8) | 12.69 | 12.37 |  |  | 0.0 ```
``` TA Boult | 6.07 | MI | 9(6) | 8.57 | 8.13 | 0-37 | 0.0 | -2.06 ```
``` PP Shaw | 1.6 | MI | 5(6) | 3.32 | 1.6 |  |  | 0.0 ```
``` Sandeep Sharma | -2.71 | RR |  |  | 0.0 | 0-35 | 0.0 | -2.71 ```
``` HH Pandya | -3.33 | MI | 0(1) | -0.89 | -1.8 | 0-48 | 0.0 | -1.54 ```
``` Azmatullah Omarzai | -6.59 | RR |  |  | 0.0 | 0-24 | 0.0 | -6.59 ```
``` M Theekshana | -8.57 | MI | 0(1) | -0.89 | -1.81 | 0-38 | 0.0 | -6.76 ```
