striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,ones,twos,threes,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,30+_scores,50+_scores,100+_scores
YBK Jaiswal,RR,1,120,64,0,9,6,15,27,6,3,187.5,inf,inf,4.27,23.44,1,1,1
R Ravindra,RR,1,79,49,1,5,3,13,21,7,2,161.22,49.0,79.0,6.12,26.53,1,1,0
SV Samson,GT,1,70,41,1,8,2,9,19,2,1,170.73,41.0,70.0,4.1,21.95,1,1,0
D Padikkal,GT,1,62,41,0,4,3,9,22,3,0,151.22,inf,inf,5.86,21.95,1,1,0
T Stubbs,SRH,1,52,26,0,1,5,6,13,1,1,200.0,inf,inf,4.33,23.08,1,1,0
Q de Kock,PBKS,1,48,23,0,4,2,2,11,3,1,208.7,inf,inf,3.83,8.7,1,0,0
KL Rahul,SRH,1,45,28,1,5,2,10,11,1,0,160.71,28.0,45.0,4.0,35.71,1,0,0
Shashank Singh,PBKS,1,42,26,0,3,2,8,8,5,0,161.54,inf,inf,5.2,30.77,1,0,0
AK Markram,SRH,1,39,25,1,2,2,6,12,2,1,156.0,25.0,39.0,6.25,24.0,1,0,0
RG Sharma,PBKS,1,37,21,1,2,4,10,5,0,0,176.19,21.0,37.0,3.5,47.62,1,0,0
H Klaasen,PBKS,1,29,10,1,5,1,2,1,1,0,290.0,10.0,29.0,1.67,20.0,0,0,0
A Badoni,SRH,1,23,13,0,5,0,6,3,0,0,176.92,inf,inf,2.6,46.15,0,0,0
Kuldeep Yadav,SRH,1,23,13,1,2,1,4,4,1,1,176.92,13.0,23.0,4.33,30.77,0,0,0
Nithish Kumar Reddy,GT,1,12,6,1,1,1,2,2,0,0,200.0,6.0,12.0,3.0,33.33,0,0,0
DP Conway,GT,1,11,12,1,1,0,5,5,1,0,91.67,12.0,11.0,12.0,41.67,0,0,0
MP Stoinis,PBKS,1,8,10,1,1,0,5,4,0,0,80.0,10.0,8.0,10.0,50.0,0,0,0
S Dube,RR,1,7,2,1,0,1,0,1,0,0,350.0,2.0,7.0,2.0,0.0,0,0,0
Naman Dhir,GT,1,7,7,1,1,0,3,3,0,0,100.0,7.0,7.0,7.0,42.86,0,0,0
Ravi Bishnoi,PBKS,1,7,7,1,0,1,6,1,0,0,100.0,7.0,7.0,7.0,85.71,0,0,0
GJ Maxwell,RR,1,5,4,1,0,0,1,2,0,1,125.0,4.0,5.0,inf,25.0,0,0,0
A Manohar,GT,1,5,6,1,1,0,4,1,0,0,83.33,6.0,5.0,6.0,66.67,0,0,0
VR Iyer,SRH,1,4,7,1,0,0,3,4,0,0,57.14,7.0,4.0,inf,42.86,0,0,0
JR Hazlewood,RR,1,2,2,0,0,0,0,2,0,0,100.0,inf,inf,inf,0.0,0,0,0
Rasikh Salam,GT,1,2,2,0,0,0,0,2,0,0,100.0,inf,inf,inf,0.0,0,0,0
KK Ahmed,GT,1,2,3,1,0,0,1,2,0,0,66.67,3.0,2.0,inf,33.33,0,0,0
Rashid Khan,GT,1,1,2,1,0,0,1,1,0,0,50.0,2.0,1.0,inf,50.0,0,0,0
LS Livingstone,SRH,1,1,6,1,0,0,5,1,0,0,16.67,6.0,1.0,inf,83.33,0,0,0
CV Varun,PBKS,1,0,1,1,0,0,1,0,0,0,0.0,1.0,0.0,inf,100.0,0,0,0
HV Patel,PBKS,1,0,4,1,0,0,4,0,0,0,0.0,4.0,0.0,inf,100.0,0,0,0
MK Lomror,SRH,1,0,2,1,0,0,2,0,0,0,0.0,2.0,0.0,inf,100.0,0,0,0
PJ Cummins,PBKS,1,0,1,1,0,0,1,0,0,0,0.0,1.0,0.0,inf,100.0,0,0,0
