Name,Country,Specialism,Price,Func_Name,Spin/Pace,C/VC,C/U/A,CORNERSTONE,injury
SuryaKumar Yadav,India,BATTER,17.5,SA Yadav,0,C,C,1.0,
Andre Russell,West Indies,ALL-ROUNDER,12.0,AD Russell,Pace,,C,,
Nishant Sindhu,India,BATTER,8.0,N Sindhu,Spin,,U,1.0,
Jasprit Bumrah,India,BOWLER,15.5,JJ Bumrah,Pace,,C,,
Glenn Maxwell,Australia,ALL-ROUNDER,24.0,GJ Maxwell,Spin,VC,C,,
Aiden Markram,South Africa,ALL-ROUNDER,12.0,AK Markram,Spin,,C,,
Kamindu Mendis,Sri Lanka,ALL-ROUNDER,3.25,PHKD Mendis,Spin,,C,,
Mohd. Arshad Khan,India,ALL-ROUNDER,6.5,Arshad Khan,Pace,,U,,
Vignesh Puthur,India,BOWLER,0.7,V Puthur,Spin,,U,,
Mitch Owen,Australia,ALL-ROUNDER,3.25,MJ Owen,Pace,,C,1.0,
Mayank Agarawal,India,BATTER,1.2,MA Agarwal,Spin,,C,,
Sandeep Lamichhane,Nepal,BOWLER,1.2,S Lamichhane,Spin,,A,,
Atit Sheth,India,ALL-ROUNDER,0.8,A Sheth,Pace,,U,,
Lukman Meriwala,India,BOWLER,6.25,LI Meriwala,Pace,,U,,
Tarang Gohel,India,WICKETKEEPER,1.0,Tarang Gohel,0,,U,,
Khushdil Shah,Pakistan,ALL-ROUNDER,0.5,Khushdil Shah,Spin,,A,,
Aman Rao,India,BATTER,0.3,Aman Rao,0,,U,,
Samant Jakhar,India,ALL-ROUNDER,17.0,Samant Jakhar,Pace,,U,,
Calvin Savage,USA,ALL-ROUNDER,0.3,CP Savage,Pace,,A,,
Prashant Veer,India,ALL-ROUNDER,0.3,Prashant Veer,Spin,,U,,
Mukul Chaudhary,India,WICKETKEEPER,0.3,Mukul Choudhary,0,,U,,
Yashvardhan Dalal,India,WICKETKEEPER,0.3,Yashvardhan Dalal,0,,U,,
Dan Lawrence,England,ALL-ROUNDER,0.5,DW Lawrence,Spin,,C,,
Raj Limbani,India,ALL-ROUNDER,0.5,Raj Limbani,Pace,,U,,
Ashok Sharma,India,BOWLER,0.3,Ashok Sharma,Pace,,U,,
