Name,Country,Specialism,Price,Func_Name,Spin/Pace,C/VC,C/U/A,CORNERSTONE,injury
Shubman Gill,India,BATTER,20.0,Shubman Gill,0,C,C,1.0,
Daniel Mousley,England,ALL-ROUNDER,0.5,DR Mousley,Spin,,C,,
Shane Watson,Australia,ALL-ROUNDER,12.0,SR Watson,Pace,,,,
Abhishek Porel,India,WICKETKEEPER,1.3,Abishek Porel,0,,C,,
Will Jacks,England,ALL-ROUNDER,13.0,WG Jacks,Spin,,C,,
Sameer Rizvi,India,BATTER,13.0,Sameer Rizvi,Spin,,U,1.0,
Jay Gohil,India,BATTER,3.0,Jay Gohil,0,,U,,
Ravindra Jadeja,India,ALL-ROUNDER,0.5,RA Jadeja,Spin,,C,,
Ashwin Das,India,BOWLER,6.0,Ashwin Das,Pace,,U,,
Arshdeep Singh,India,BOWLER,19.0,Arshdeep Singh,Pace,VC,C,1.0,
Mohammad Amir,Pakistan,BOWLER,0.5,Mohammad Amir,Pace,,A,,
Finn Allen,New Zealand,WICKETKEEPER,12.0,FH Allen,0,,C,,
Shubhang Hegde,India,ALL-ROUNDER,1.4,Shubhang Hegde,Spin,,U,,
Kuldeep Yadav,India,BOWLER,5.25,Kuldeep Yadav,Spin,,C,,
Henry Ssenyondo,Uganda,BOWLER,8.0,H Ssenyondo,Spin,,A,,
Ajay Rohera,India,WICKETKEEPER,1.5,Ajay Rohera,0,,U,,
L.R Chethan,India,WICKETKEEPER,4.0,LR Chethan,Spin,,U,,
Tejasvi Dahiya,India,WICKETKEEPER,2.25,Tejaswi Dahiya,0,,U,,
Mayank Markande,India,BOWLER,1.6,M Markande,Spin,,U,,
Jofra Archer,England,BOWLER,8.25,JC Archer,Pace,,C,,
Avesh Khan,India,BOWLER,2.25,Avesh Khan,Pace,,C,,
Virat Singh,India,BATTER,1.6,Virat Singh,Spin,,U,,
Dinesh Nakrani,Uganda,ALL-ROUNDER,0.5,DM Nakrani,Pace,,A,,
Aaron Johnson,Canada,BATTER,0.5,A Johnson,Spin,,A,,
Vedant Bhardwaj,India,BATTER,1.0,Vedant Bhardwaj,Pace,,U,,
