Name,Country,Specialism,Price,Func_Name,Spin/Pace,C/VC,C/U/A,CORNERSTONE,injury
Ankit Kumar,India,BATTER,5.75,Ankit Kumar,Spin,,U,,
Virat Kohli,India,BATTER,19.0,V Kohli,Pace,,C,,
Shivam Dube,India,ALL-ROUNDER,12.0,S Dube,Pace,VC,C,1.0,
Aniket Verma,India,BATTER,6.0,Aniket Verma,Pace,,U,1.0,
Yashasvi Jaiswal,India,BATTER,15.0,YBK Jaiswal,Spin,C,C,1.0,
Brandon McMullen,Scotland,ALL-ROUNDER,3.5,BJ McMullen,Pace,,A,,
Abhishek Porel,India,WICKETKEEPER,11.0,Abishek Porel,0,,C,,
Jacob Bethell,England,ALL-ROUNDER,3.25,JG Bethell,Spin,,C,,
Syed Khaleel Ahmed,India,BOWLER,1.0,KK Ahmed,Pace,,C,,
Arzan Nagwaswalla,India,BOWLER,1.7,A Nagwaswalla,Pace,,U,,
Josh Hazlewood,Australia,BOWLER,11.0,JR Hazlewood,Pace,,C,,
Dinesh Karthik,India,WICKETKEEPER,1.9,KD Karthik,0,,C,,
AB De Villiers,South Africa,BATTER,12.0,AB de Villiers,Pace,,C,,
Jan Nicol loftie-Eaton,Namibia,ALL-ROUNDER,0.5,JN Loftie-Eaton,Spin,,A,,
Krunal Pandya,India,ALL-ROUNDER,4.25,KH Pandya,Spin,,C,,
Karan Lal,India,ALL-ROUNDER,0.3,Karan Lal,Spin,,U,,
Rishad Hossain,Bangladesh,BOWLER,0.5,Rishad Hossain,Spin,,C,,
Ben Stokes,England,ALL-ROUNDER,1.0,BA Stokes,Pace,,C,,
Travis Head,Australia,BATTER,11.75,TM Head,Spin,,C,,
Mark Adair,Ireland,ALL-ROUNDER,0.5,MR Adair,Pace,,C,,
Prasidh Krishna,India,BOWLER,2.0,M Prasidh Krishna,Pace,,C,,
Ashwani Kumar,India,BOWLER,0.4,Ashwani Kumar,Pace,,U,,
Hritik Shokeen,India,BOWLER,0.4,HR Shokeen,Spin,,U,,
Pulkit Narang,India,BOWLER,0.4,Pulkit Narang,Spin,,U,,
Ninad Rathva,India,ALL-ROUNDER,0.3,NA Rathva,Spin,,U,,
