Name,Country,Specialism,Price,Func_Name,Spin/Pace,C/VC,C/U/A,CORNERSTONE,injury
Sahil Parakh,India,BATTER,0.3,Sahil Parakh,Spin,,U,,
Hardik Pandya,India,ALL-ROUNDER,14.25,HH Pandya,Pace,C,C,,
Saim Ayub,Pakistan,ALL-ROUNDER,0.5,Saim Ayub,Spin,,A,,
Ankit Kumar,India,BATTER,0.3,Ankit Kumar,Spin,,U,,
Jos Buttler,England,WICKETKEEPER,6.0,JC Buttler,0,,C,,
Tom Banton,England,WICKETKEEPER,0.5,T Banton,Spin,,C,,
Abdul Samad,India,ALL-ROUNDER,4.0,Abdul Samad,Spin,,U,,
Raj Angad Bawa,India,ALL-ROUNDER,0.5,RA Bawa,Pace,,U,,
Vidyadhar Patil,India,ALL-ROUNDER,0.3,Vidyadhar Patil,Pace,,U,,
Shadab khan,Pakistan,ALL-ROUNDER,1.3,Shadab Khan,Spin,VC,A,,
Vignesh Puthur,India,BOWLER,4.0,V Puthur,Spin,,U,,
Prabhsimran Singh,India,WICKETKEEPER,15.0,P Simran Singh,0,,C,1.0,1 game (Matchday 14)
KL Rahul,India,WICKETKEEPER,21.0,KL Rahul,0,,C,1.0,2 games (Matchday 7 & 8)
Kartik Sharma,India,WICKETKEEPER,5.0,Kartik Sharma,0,,U,,
Venkatesh Iyer,India,ALL-ROUNDER,16.0,VR Iyer,Pace,,C,1.0,
R. Sai Kishore,India,BOWLER,8.25,R Sai Kishore,Spin,,C,,
Tripuresh Singh,India,BOWLER,1.9,Tripuresh Singh,Pace,,U,,
Rasikh Dar,India,BOWLER,5.25,Rasikh Salam,Pace,,U,,
Adam Zampa,Australia,BOWLER,14.5,A Zampa,Spin,,C,,
Nathan Ellis,Australia,BOWLER,14.5,NT Ellis,Pace,,C,,1 game (Matchday 13)
Matthew Short,Australia,ALL-ROUNDER,3.5,MW Short,Spin,,C,,
Trent Boult,New Zealand,BOWLER,3.0,TA Boult,Pace,,C,,
