striker,num_innings,runs,balls,outs,bat_order,bat_avg,bat_sr,form
A Badoni,5,89,76,4,3,22.25,117.10526315789474,1.0914172734403007
A Mhatre,1,17,11,1,4,17.0,154.54545454545453,1.0557078361583436
AD Russell,5,103,60,1,7,103.0,171.66666666666666,1.223737807709993
AK Markram,5,51,28,2,5,25.5,182.14285714285714,1.100832716382124
AM Rahane,5,254,166,3,3,84.66666666666667,153.0120481927711,1.2734611074981885
AR Patel,5,89,65,2,7,44.5,136.92307692307693,1.109172133095002
AS Roy,2,12,17,2,9,6.0,70.58823529411765,0.8478766948230657
Abdul Samad,4,53,44,2,6,26.5,120.45454545454545,1.05386263238531
Abhishek Sharma,5,141,69,4,1,35.25,204.34782608695653,1.292608935972616
Abishek Porel,5,254,130,2,4,127.0,195.3846153846154,1.3207498872607975
Anmolpreet Singh,3,43,32,3,5,14.333333333333334,134.375,1.0183971469115838
Arshdeep Singh,2,13,24,1,9,13.0,54.166666666666664,0.8911907240904627
Arslan Khan,2,24,16,2,3,12.0,150.0,1.0460445179130975
Ashutosh Sharma,4,60,48,4,1,15.0,125.0,1.1423097514875054
Atharva Taide,3,43,36,3,3,14.333333333333334,119.44444444444444,1.0453795625745201
Avesh Khan,2,9,8,1,9,9.0,112.5,0.9129703597197907
Azmatullah Omarzai,2,73,43,0,6,73.0,169.7674418604651,1.1927243074182725
B Kumar,5,39,35,1,11,39.0,111.42857142857143,1.0379210956106877
B Sai Sudharsan,5,192,130,3,4,64.0,147.69230769230768,1.20863766791964
BA Stokes,5,59,45,4,4,14.75,131.11111111111111,1.037515505999343
BJ McMullen,2,60,46,2,1,30.0,130.43478260869566,1.2199336812231223
BM Duckett,5,331,203,4,1,82.75,163.05418719211823,1.3831103263978242
C Green,5,101,56,3,4,33.666666666666664,180.35714285714286,1.1511771430361544
C Sakariya,1,10,7,1,11,10.0,142.85714285714286,0.9288191058232749
CV Varun,3,5,13,0,10,5.0,38.46153846153846,0.7820618662438796
