bowler,num_innings,runs,balls,wkts,bowl_phase,bowl_sr,bowl_eco,form
A Badoni,3,27,18,0,death,27.0,9.0,0.9027679207410367
A Kamboj,4,173,96,3,middle,32.0,10.8125,0.958003404420104
A Nortje,5,139,114,2,death,57.0,7.315789473684211,0.9166976958598226
A Zampa,5,156,108,3,pp,36.0,8.666666666666666,0.978683469283036
AD Russell,5,108,66,3,death,22.0,9.818181818181818,1.0195381847176472
AK Markram,5,179,96,6,death,16.0,11.1875,1.113439355111974
AR Patel,5,176,120,6,middle,20.0,8.8,1.0985666105251544
AS Roy,5,122,84,1,death,84.0,8.714285714285714,0.8085104500586653
Abhishek Sharma,5,102,64,5,death,12.8,9.5625,1.1356790237129337
Akash Deep,4,126,96,4,middle,24.0,7.875,1.047423601370508
Arshdeep Singh,5,165,120,8,pp,15.0,8.25,1.1841318555664657
Ashutosh Sharma,2,31,18,2,middle,9.0,10.333333333333334,1.0491008563609217
Avesh Khan,5,166,108,3,middle,36.0,9.222222222222221,0.9619685061626044
Azmatullah Omarzai,5,174,90,3,pp,30.0,11.6,0.9680544547567723
B Kumar,5,209,120,5,middle,24.0,10.45,1.041182317997236
BA Stokes,5,153,102,2,middle,51.0,9.0,0.8943021355692562
C Green,4,138,78,2,middle,39.0,10.615384615384615,0.903577696135956
C Sakariya,5,148,114,4,middle,28.5,7.7894736842105265,1.0307022841985933
CV Varun,5,162,108,6,middle,18.0,9.0,1.107710214320064
Cheepurapalli Stephen,4,132,84,3,pp,28.0,9.428571428571429,0.9951701009452181
DL Chahar,3,137,72,2,middle,36.0,11.416666666666666,0.9042350854706128
DS Rathi,5,161,120,2,middle,60.0,8.05,0.889755791026453
Fazalhaq Farooqi,5,151,120,11,middle,10.909090909090908,7.55,1.2592972474521598
GD Phillips,5,131,72,5,middle,14.4,10.916666666666666,1.090973704695334
GF Linde,5,154,114,4,middle,28.5,8.105263157894736,1.0266143675847101
GJ Maxwell,5,146,90,3,middle,30.0,9.733333333333333,0.974397984906137
Gurjapneet Singh,1,48,24,1,pp,24.0,12.0,0.8839065211187159
HH Pandya,5,174,102,4,middle,25.5,10.235294117647058,1.0141553480863204
HV Patel,5,190,120,3,middle,40.0,9.5,0.9490657539922411
Harpreet Brar,5,163,120,8,middle,15.0,8.15,1.1725912490130237
Harshit Rana,4,137,96,3,middle,32.0,8.5625,0.9806174247194179
I Sharma,4,145,96,7,middle,13.714285714285714,9.0625,1.1551282883174225
IC Porel,1,29,18,0,pp,29.0,9.666666666666666,0.8862946191509042
JC Archer,5,170,119,9,death,13.222222222222221,8.571428571428571,1.213738785980413
JD Unadkat,2,92,48,2,death,24.0,11.5,0.9553199275563518
JG Bethell,5,72,42,2,middle,21.0,10.285714285714286,0.964317751045202
JJ Bumrah,5,207,120,9,middle,13.333333333333334,10.35,1.1721923402296315
JR Hazlewood,5,183,108,6,death,18.0,10.166666666666666,1.1109813326586815
Jagjit Singh,5,177,117,9,pp,13.0,9.076923076923077,1.203875668301311
K Kartikeya,1,25,24,2,middle,12.0,6.25,1.0719126841709103
K Rabada,5,186,120,5,pp,24.0,9.3,1.065057777570281
KH Pandya,5,224,120,3,middle,40.0,11.2,0.9335699431673354
KK Ahmed,5,207,114,4,pp,28.5,10.894736842105264,1.0077328721205492
KV Sharma,2,92,48,3,middle,16.0,11.5,1.0204527020783076
Kuldeep Yadav,5,182,114,2,middle,57.0,9.578947368421053,0.8789137770314519
LH Ferguson,4,142,84,2,middle,42.0,10.142857142857142,0.9009995549950002
LS Livingstone,5,118,66,0,middle,118.0,10.727272727272727,0.7539202420698254
M Jansen,4,79,54,2,death,27.0,8.777777777777779,0.9699847594966503
M Markande,5,152,114,6,middle,19.0,8.0,1.1147906128754002
M Pathirana,5,209,120,9,death,13.333333333333334,10.45,1.1889278325411785
M Prasidh Krishna,5,196,120,2,middle,60.0,9.8,0.8724244006857904
M Siddharth,5,153,120,8,pp,15.0,7.65,1.1931067865047138
M Theekshana,5,162,109,4,middle,27.25,8.917431192660551,1.0214283522536511
MA Starc,5,200,117,9,pp,13.0,10.256410256410257,1.1892576781750779
MG Bracewell,4,120,72,4,pp,18.0,10.0,1.0642026483497964
MJ Suthar,1,47,24,2,pp,12.0,11.75,1.0174818595819803
MM Ali,1,43,24,0,death,43.0,10.75,0.8465430599873586
MM Sharma,3,71,42,1,death,42.0,10.142857142857142,0.8534847896653376
MP Stoinis,5,163,96,1,middle,96.0,10.1875,0.7736217145878768
MP Yadav,5,154,120,6,death,20.0,7.7,1.1303158006387333
MR Marsh,1,26,24,3,middle,8.0,6.5,1.1579087290570182
Mayank Dagar,5,163,120,6,middle,20.0,8.15,1.1070287540468862
Mohammad Ghazanfar,5,182,108,1,middle,108.0,10.11111111111111,0.7651388836834545
Mohammad Nabi,5,168,120,6,pp,20.0,8.4,1.1159115780914612
Mohammed Shami,5,160,114,4,pp,28.5,8.421052631578947,1.0340236255448694
Mohammed Siraj,5,188,108,3,pp,36.0,10.444444444444445,0.9605919166004608
Mohsin Khan,1,41,24,1,middle,24.0,10.25,0.8881146337174805
Mujeeb Ur Rahman,3,88,72,5,death,14.4,7.333333333333333,1.1525701142601654
Mukesh Kumar,3,83,54,3,middle,18.0,9.222222222222221,1.0310123167007599
Mustafizur Rahman,5,164,114,8,death,14.25,8.631578947368421,1.1897486843774534
N Sindhu,1,25,12,0,death,25.0,12.5,0.880342651733629
NT Ellis,5,165,108,6,death,18.0,9.166666666666666,1.1225442672089423
Naman Dhir,1,51,24,3,middle,8.0,12.75,1.0824669495492518
Naveen-ul-Haq,1,40,22,2,pp,11.0,10.909090909090908,1.0340236255448694
Nithish Kumar Reddy,5,63,42,3,death,14.0,9.0,1.075998873452611
Noor Ahmad,2,74,48,1,pp,48.0,9.25,0.8464616560289897
PJ Cummins,5,201,108,1,middle,108.0,11.166666666666666,0.757578788010127
PWH de Silva,5,169,114,3,middle,38.0,8.894736842105264,0.9602470735181674
R Ashwin,5,194,120,3,middle,40.0,9.7,0.947090520476532
R Parag,3,103,72,3,middle,24.0,8.583333333333334,1.0089925050872277
R Ravindra,1,40,18,0,death,40.0,13.333333333333334,0.8345202372997526
R Sai Kishore,5,140,114,4,middle,28.5,7.368421052631579,1.0364458250558266
R Tewatia,3,73,42,2,middle,21.0,10.428571428571429,0.9629885534206826
RA Jadeja,5,206,120,7,pp,17.142857142857142,10.3,1.1276214995771983
RS Hangargekar,1,38,24,1,middle,24.0,9.5,0.8948887576152433
Ramandeep Singh,4,63,36,3,middle,12.0,10.5,1.0598334143154644
Rashid Khan,5,197,108,4,middle,27.0,10.944444444444445,1.0016426013172135
Rasikh Salam,5,169,106,6,middle,17.666666666666668,9.566037735849056,1.103034233741036
Ravi Bishnoi,5,94,96,3,middle,32.0,5.875,1.018260453747474
Ravi Teja,3,113,72,4,middle,18.0,9.416666666666666,1.0588917525474757
S Dube,1,48,24,0,middle,48.0,12.0,0.8156808915555286
S Gopal,4,103,60,1,middle,60.0,10.3,0.8099602193380887
SH Johnson,5,127,90,6,pp,15.0,8.466666666666667,1.1475730476552024
SM Curran,5,207,120,5,death,24.0,10.35,1.05808019879581
SN Thakur,1,45,24,1,middle,24.0,11.25,0.8798854991269118
SP Narine,4,142,90,3,middle,30.0,9.466666666666667,0.9771085832537661
SS Ghosh,2,80,48,0,pp,80.0,10.0,0.7980619188249972
SZ Mulani,2,65,48,0,middle,65.0,8.125,0.8227897337317275
Sandeep Sharma,5,196,108,4,death,27.0,10.88888888888889,1.0174381354731266
Sanvir Singh,2,44,30,2,middle,15.0,8.8,1.0129969628549107
Shahbaz Ahmed,5,181,120,5,middle,24.0,9.05,1.0562666192147037
Shakib Al Hasan,4,123,84,5,pp,16.8,8.785714285714286,1.110028044991994
Sikandar Raza,5,170,120,1,middle,120.0,8.5,0.7703756011760006
Suryansh Shedge,5,159,120,2,middle,60.0,7.95,0.8908686956768281
Suyash Sharma,5,170,120,2,middle,60.0,8.5,0.8849291858007238
Swapnil Singh,5,208,120,2,middle,60.0,10.4,0.8672555292976002
T Natarajan,5,179,108,3,middle,36.0,9.944444444444445,0.9547427290326824
TA Boult,5,132,114,4,middle,28.5,6.947368421052632,1.0425623012940695
TU Deshpande,4,126,84,5,death,16.8,9.0,1.1119328657279872
Tanush Kotian,3,127,72,4,middle,18.0,10.583333333333334,1.0465959214026648
Tilak Varma,2,19,12,0,death,19.0,9.5,0.9300130123234818
V Kaverappa,1,31,18,1,pp,18.0,10.333333333333334,0.9234094023603981
V Nigam,3,131,70,4,middle,17.5,11.228571428571428,1.0433554296905805
V Puthur,1,33,24,2,death,12.0,8.25,1.0584643270764742
VG Arora,5,185,120,3,middle,40.0,9.25,0.9516001238527646
VR Iyer,4,139,78,1,middle,78.0,10.692307692307692,0.7860423253632549
WG Jacks,5,128,90,5,middle,18.0,8.533333333333333,1.0935040999035053
Washington Sundar,5,156,108,5,pp,21.6,8.666666666666666,1.0839568712713623
YS Chahal,5,182,120,3,middle,40.0,9.1,0.9531571805073579
Yash Dayal,2,79,48,2,middle,24.0,9.875,0.955412022126597
Yash Thakur,5,140,102,4,middle,25.5,8.235294117647058,1.0364458250558266
