striker,runs,balls,outs,fours,sixes,dots,SR,Bat_avg,bpb,dot_%,pace_index
A Badoni,889,650,32,78,34,279,136.76923076923077,27.78125,5.803571428571429,42.92307692307692,0.9759043878848828
A Manohar,351,254,16,29,16,104,138.18897637795277,21.9375,5.644444444444445,40.94488188976378,0.9538482320145992
A Mhatre,209,107,8,28,10,39,195.3271028037383,26.125,2.8157894736842106,36.44859813084112,1.2991178264697236
A Nortje,143,121,12,15,3,53,118.18181818181819,11.916666666666666,6.722222222222222,43.80165289256198,0.797112090161633
A Raghuvanshi,305,210,12,32,14,84,145.23809523809524,25.416666666666668,4.565217391304348,40.0,1.0519823269851514
A Zampa,128,134,13,11,1,58,95.5223880597015,9.846153846153847,11.166666666666666,43.28358208955224,0.6925862353341726
AD Russell,2881,1616,93,225,225,753,178.27970297029702,30.978494623655912,3.591111111111111,46.59653465346535,1.6510699250970138
AJ Turner,1101,761,39,94,30,229,144.67805519053877,28.23076923076923,6.137096774193548,30.09198423127464,1.1280696748909256
AK Markram,2413,1698,77,229,87,617,142.10836277974087,31.337662337662337,5.3734177215189876,36.33686690223793,1.1492776154800641
AM Hardie,909,639,28,70,38,242,142.25352112676057,32.464285714285715,5.916666666666667,37.8716744913928,1.0934657471952094
AM Rahane,1775,1217,52,180,72,478,145.8504519309778,34.13461538461539,4.829365079365079,39.27691043549712,1.278306020709062
AR Patel,1168,866,55,102,44,348,134.8729792147806,21.236363636363638,5.931506849315069,40.184757505773675,0.9496564337621551
AS Roy,120,66,5,8,7,16,181.8181818181818,24.0,4.4,24.242424242424242,0.9794324318424998
Abdul Samad,813,497,36,67,48,180,163.5814889336016,22.583333333333332,4.321739130434783,36.21730382293762,1.5056626300234295
Abhishek Sharma,2495,1598,74,267,121,683,156.13266583229037,33.71621621621622,4.118556701030927,42.740926157697125,1.4949395281151894
Abishek Porel,866,503,25,95,36,173,172.16699801192843,34.64,3.8396946564885495,34.39363817097416,1.66657795204616
Aniket Verma,99,70,4,8,5,31,141.42857142857142,24.75,5.384615384615385,44.285714285714285,0.8636265290631665
Anmolpreet Singh,535,323,13,65,22,117,165.63467492260062,41.15384615384615,3.7126436781609193,36.22291021671827,1.6656954702231406
Anuj Rawat,546,399,17,57,24,187,136.8421052631579,32.11764705882353,4.925925925925926,46.8671679197995,1.0608244148031993
Arshad Khan,102,70,4,6,7,31,145.71428571428572,25.5,5.384615384615385,44.285714285714285,0.8720547408163682
Arshdeep Singh,111,116,5,11,2,64,95.6896551724138,22.2,8.923076923076923,55.172413793103445,0.724429716606628
Ashutosh Sharma,317,196,10,22,20,79,161.73469387755102,31.7,4.666666666666667,40.30612244897959,1.1826862465994723
Atharva Taide,581,397,14,71,22,181,146.34760705289673,41.5,4.268817204301075,45.5919395465995,1.3984393379966256
Avesh Khan,66,58,7,5,1,25,113.79310344827586,9.428571428571429,9.666666666666666,43.10344827586207,0.7453007177236267
Azmatullah Omarzai,542,401,41,43,27,178,135.16209476309226,13.21951219512195,5.728571428571429,44.38902743142145,0.912907380021745
B Kumar,191,203,18,11,6,95,94.08866995073892,10.61111111111111,11.941176470588236,46.79802955665025,0.6665621539220015
B Sai Sudharsan,1533,1131,37,162,45,441,135.54376657824935,41.432432432432435,5.463768115942029,38.9920424403183,1.1489466490744307
BA Stokes,733,561,34,75,23,243,130.65953654188948,21.558823529411764,5.724489795918367,43.31550802139037,0.9311765627213547
BJ McMullen,471,353,13,36,21,141,133.42776203966005,36.23076923076923,6.192982456140351,39.94334277620396,0.9916849274511204
BM Duckett,1272,878,35,143,27,292,144.874715261959,36.34285714285714,5.1647058823529415,33.25740318906606,1.3437532054900283
C Green,870,559,32,87,37,198,155.6350626118068,27.1875,4.508064516129032,35.42039355992844,1.4425726775483174
CJ Green,781,548,47,66,23,176,142.5182481751825,16.617021276595743,6.157303370786517,32.11678832116788,0.9828832101449285
CJ Jordan,942,615,39,61,54,217,153.17073170731706,24.153846153846153,5.3478260869565215,35.28455284552845,1.2179806642371773
D Brevis,1315,884,55,104,83,390,148.7556561085973,23.90909090909091,4.7272727272727275,44.11764705882353,1.1263008102766838
D Padikkal,1408,1120,60,169,44,557,125.71428571428571,23.466666666666665,5.258215962441315,49.732142857142854,0.9134928653163134
DA Miller,2866,2056,87,233,116,744,139.39688715953307,32.94252873563219,5.891117478510028,36.18677042801556,1.0899973209967746
DAJ Bracewell,467,244,15,36,31,78,191.39344262295083,31.133333333333333,3.6417910447761193,31.9672131147541,1.6724782468274588
DG Nalkande,56,55,5,3,3,25,101.81818181818181,11.2,9.166666666666666,45.45454545454545,0.7381377867739036
DJ Hooda,1235,882,48,122,45,344,140.02267573696145,25.729166666666668,5.281437125748503,39.002267573696145,1.0671991196128825
DL Chahar,106,67,4,9,5,22,158.2089552238806,26.5,4.785714285714286,32.83582089552239,0.9219133394082821
DP Conway,2974,2220,67,338,69,859,133.96396396396398,44.38805970149254,5.454545454545454,38.693693693693696,1.1704464196097808
DS Airee,922,549,18,70,49,173,167.94171220400727,51.22222222222222,4.61344537815126,31.51183970856102,1.6745199424668118
Dhruv Jurel,750,472,21,57,38,155,158.89830508474577,35.714285714285715,4.968421052631579,32.83898305084746,1.5662364875090873
F du Plessis,4151,2765,125,439,165,1081,150.126582278481,33.208,4.577814569536423,39.09584086799277,1.3800310194903982
FH Allen,2513,1441,92,270,144,629,174.39278278972935,27.315217391304348,3.4806763285024154,43.65024288688411,1.6390145627208632
G Coetzee,201,168,22,11,12,80,119.64285714285714,9.136363636363637,7.304347826086956,47.61904761904762,0.7798365413699675
GD Phillips,2140,1478,79,173,110,595,144.79025710419486,27.088607594936708,5.222614840989399,40.25710419485792,1.108147095785038
GF Linde,855,562,30,65,43,198,152.135231316726,28.5,5.203703703703703,35.23131672597865,1.2940493297078703
GJ Maxwell,3223,2039,85,323,141,780,158.0676802354095,37.917647058823526,4.394396551724138,38.254046101029914,1.5816028106157969
H Klaasen,2559,1710,73,214,108,561,149.64912280701753,35.054794520547944,5.3105590062111805,32.80701754385965,1.385560160520591
HC Brook,1425,870,35,137,64,286,163.79310344827587,40.714285714285715,4.3283582089552235,32.87356321839081,1.655433887317154
HH Pandya,2366,1588,93,204,118,615,148.99244332493703,25.440860215053764,4.931677018633541,38.727959697733,1.1872032541499271
HS Desai,56,59,5,7,0,34,94.91525423728814,11.2,8.428571428571429,57.6271186440678,0.725741703825406
HV Patel,346,288,27,34,12,136,120.13888888888889,12.814814814814815,6.260869565217392,47.22222222222222,0.8295961848355734
Harpreet Brar,331,260,14,29,14,121,127.3076923076923,23.642857142857142,6.046511627906977,46.53846153846154,0.8919005795434581
Harshit Rana,43,52,5,3,2,32,82.6923076923077,8.6,10.4,61.53846153846154,0.696424000935482
Ishan Kishan,2549,1816,86,275,112,832,140.363436123348,29.63953488372093,4.69250645994832,45.81497797356828,1.0901646743778515
J Fraser-McGurk,1134,764,56,113,58,363,148.42931937172776,20.25,4.4678362573099415,47.5130890052356,1.0842848289430402
JC Archer,252,174,22,14,17,80,144.82758620689654,11.454545454545455,5.612903225806452,45.97701149425287,0.893144667750892
JC Buttler,4307,2884,108,490,154,1199,149.34119278779474,39.879629629629626,4.478260869565218,41.57420249653259,1.4508975982215964
JD Unadkat,205,130,8,20,9,49,157.69230769230768,25.625,4.482758620689655,37.69230769230769,0.986298353588697
JG Bethell,577,415,28,45,30,166,139.03614457831324,20.607142857142858,5.533333333333333,40.0,0.9786086957055994
JM Bairstow,1639,1117,46,174,71,476,146.7323187108326,35.630434782608695,4.559183673469388,42.61414503133393,1.3072662043811922
JM Sharma,1103,650,39,96,69,261,169.69230769230768,28.28205128205128,3.9393939393939394,40.15384615384615,1.6151154908452563
JO Holder,1050,703,47,81,60,276,149.35988620199146,22.340425531914892,4.98581560283688,39.26031294452347,1.1402658129297034
JP Inglis,1935,1252,53,212,76,483,154.55271565495207,36.509433962264154,4.347222222222222,38.57827476038339,1.5337215760834066
