striker,runs,balls,outs,fours,sixes,dots,SR,Bat_avg,bpb,dot_%,spin_index
A Badoni,493,406,18,28,21,146,121.42857142857143,27.38888888888889,8.285714285714286,35.960591133004925,0.8538342169958146
A Manohar,247,183,9,15,17,73,134.97267759562843,27.444444444444443,5.71875,39.89071038251366,0.9288510481526217
A Raghuvanshi,229,181,7,18,5,54,126.51933701657458,32.714285714285715,7.869565217391305,29.834254143646408,0.8864409448421016
A Zampa,53,54,7,3,2,27,98.14814814814815,7.571428571428571,10.8,50.0,0.7127093722765353
AD Russell,1303,923,50,58,123,482,141.17009750812568,26.06,5.099447513812155,52.22101841820152,0.9774967040041143
AJ Turner,851,593,21,55,37,170,143.50758853288363,40.523809523809526,6.445652173913044,28.66779089376054,1.2539658791675075
AK Markram,1727,1319,52,105,73,394,130.9325246398787,33.21153846153846,7.410112359550562,29.87111448066717,0.9630328921612028
AM Hardie,511,430,21,37,18,159,118.83720930232558,24.333333333333332,7.818181818181818,36.97674418604651,0.8471538480091307
AM Rahane,1022,757,30,84,30,214,135.00660501981505,34.06666666666667,6.640350877192983,28.269484808454425,1.0700637856177502
AR Patel,836,589,24,61,48,219,141.93548387096774,34.833333333333336,5.4036697247706424,37.18166383701188,1.1760801656985782
Abdul Samad,385,312,15,15,24,117,123.3974358974359,25.666666666666668,8.0,37.5,0.859150904252783
Abhishek Sharma,1617,889,41,103,114,243,181.88976377952756,39.4390243902439,4.096774193548387,27.33408323959505,1.679474983395641
Abishek Porel,561,359,19,38,29,103,156.26740947075209,29.526315789473685,5.358208955223881,28.690807799442897,1.4607845131597237
Aniket Verma,137,72,5,4,15,27,190.27777777777777,27.4,3.789473684210526,37.5,0.9988904350044525
Anmolpreet Singh,251,199,9,21,6,59,126.13065326633166,27.88888888888889,7.37037037037037,29.64824120603015,0.8931701019922854
Anuj Rawat,161,168,9,11,5,75,95.83333333333333,17.88888888888889,10.5,44.642857142857146,0.7036945900721365
Ashutosh Sharma,165,115,8,13,9,42,143.47826086956522,20.625,5.2272727272727275,36.52173913043478,0.9126134795874212
Atharva Taide,293,233,12,22,9,80,125.7510729613734,24.416666666666668,7.516129032258065,34.33476394849785,0.8739453989300906
Azmatullah Omarzai,407,315,17,19,20,102,129.20634920634922,23.941176470588236,8.076923076923077,32.38095238095238,0.8886276607845983
B Kumar,96,114,6,8,1,58,84.21052631578948,16.0,12.666666666666666,50.87719298245614,0.6704463208362235
B Sai Sudharsan,1084,753,20,92,30,198,143.95750332005312,54.2,6.172131147540983,26.294820717131476,1.5463681981920745
BA Stokes,485,331,13,41,22,117,146.52567975830814,37.30769230769231,5.253968253968254,35.34743202416919,1.3375270256445084
BJ McMullen,468,319,14,29,28,104,146.70846394984326,33.42857142857143,5.5964912280701755,32.60188087774295,1.2645746051545297
BM Duckett,1458,915,36,163,36,236,159.34426229508196,40.5,4.597989949748744,25.792349726775956,1.654720106831582
C Green,600,415,10,42,33,146,144.57831325301206,60.0,5.533333333333333,35.18072289156626,1.5839425403493155
CJ Green,278,241,13,15,8,77,115.35269709543569,21.384615384615383,10.478260869565217,31.95020746887967,0.763504699198247
CJ Jordan,175,209,18,8,6,115,83.73205741626795,9.722222222222221,14.928571428571429,55.02392344497608,0.6275771211811788
D Brevis,785,558,16,35,58,213,140.6810035842294,49.0625,6.0,38.17204301075269,1.2645942466559565
D Padikkal,879,707,27,71,29,255,124.32814710042433,32.55555555555556,7.07,36.067892503536065,0.9254598449182282
DA Miller,1910,1417,46,107,102,473,134.79181369089625,41.52173913043478,6.779904306220096,33.380381086803105,1.0748035319747817
DAJ Bracewell,134,108,2,7,6,41,124.07407407407408,67.0,8.307692307692308,37.96296296296296,0.8958812826289466
DJ Hooda,702,533,28,30,37,167,131.70731707317074,25.071428571428573,7.955223880597015,31.33208255159475,0.909935163253886
DP Conway,2114,1522,45,201,59,471,138.89618922470433,46.977777777777774,5.8538461538461535,30.946123521681997,1.3450475907549941
DS Airee,546,425,20,40,20,154,128.47058823529412,27.3,7.083333333333333,36.23529411764706,0.9202386955342362
Dhruv Jurel,482,382,18,29,22,135,126.17801047120419,26.77777777777778,7.490196078431373,35.340314136125656,0.898380073697966
F du Plessis,2263,1818,63,144,99,645,124.47744774477448,35.92063492063492,7.481481481481482,35.478547854785475,0.9254188133952118
FH Allen,1187,681,37,86,81,221,174.30249632892804,32.08108108108108,4.077844311377246,32.452276064610864,1.6652394150727945
G Coetzee,118,94,8,5,8,39,125.53191489361703,14.75,7.230769230769231,41.48936170212766,0.805190298144729
GD Phillips,1816,1320,48,99,108,477,137.57575757575756,37.833333333333336,6.3768115942028984,36.13636363636363,1.077301402422861
GF Linde,478,395,33,18,34,180,121.0126582278481,14.484848484848484,7.596153846153846,45.56962025316456,0.8026099583027325
GJ Maxwell,2472,1615,85,178,131,511,153.06501547987617,29.08235294117647,5.226537216828479,31.640866873065015,1.3763501645008525
H Klaasen,2158,1365,51,121,141,404,158.0952380952381,42.31372549019608,5.209923664122138,29.5970695970696,1.6168147171266445
HC Brook,839,671,36,54,30,208,125.03725782414307,23.305555555555557,7.988095238095238,30.99850968703428,0.8796356419849473
HH Pandya,1079,863,22,66,51,302,125.02896871378911,49.04545454545455,7.3760683760683765,34.994206257242176,0.9824092798427124
