striker,inn,runs,balls_faced,outs,avg,SR,Curr_Tm,50s/100s,HS
CH Gayle,29,1497,815,23,65.09,183.68,RCB,9/4,121* (61)
Shubman Gill,32,1484,808,30,49.47,183.66,LSG,12/2,119* (58)
V Suryavanshi,30,1361,849,27,50.41,160.31,PBKS,12/1,109* (55)
GJ Maxwell,30,1287,687,27,47.67,187.34,DC,12/1,143* (64)
Abhishek Sharma,32,1279,661,30,42.63,193.49,MI,10/1,103* (54)
Naman Dhir,31,1208,710,26,46.46,170.14,GT,12/0,94 (44)
Urvil Patel,27,1177,761,22,53.5,154.66,MI,10/0,98 (48)
JP Inglis,31,1174,665,28,41.93,176.54,GT,8/1,130* (66)
KL Rahul,27,1164,700,22,52.91,166.29,SRH,8/2,104* (54)
P Simran Singh,29,1144,680,26,44.0,168.24,SRH,12/0,98* (53)
SV Samson,32,1123,640,32,35.09,175.47,GT,9/0,93 (55)
N Sindhu,30,1092,580,22,49.64,188.28,DC,7/1,105* (49)
Tilak Varma,30,1086,653,28,38.79,166.31,CSK,7/1,111* (54)
Tarang Gohel,29,947,554,24,39.46,170.94,DC,7/0,98* (46)
PWH de Silva,31,928,487,27,34.37,190.55,RCB,7/0,95 (39)
S Arora,27,879,466,21,41.86,188.63,KKR,3/1,110* (56)
S Dube,27,879,548,22,39.95,160.4,RR,7/0,87* (45)
Kartik Sharma,30,869,466,27,32.19,186.48,SRH,5/0,80 (40)
FH Allen,26,867,536,25,34.68,161.75,LSG,4/2,113 (50)
Aniket Verma,25,850,454,23,36.96,187.22,RR,5/0,99 (45)
YBK Jaiswal,29,850,457,23,36.96,186.0,RR,5/1,100* (43)
PD Salt,28,841,520,28,30.04,161.73,RR,7/1,118 (59)
C Green,29,831,543,27,30.78,153.04,KKR,8/0,98* (51)
RG Sharma,30,802,459,26,30.85,174.73,RCB,5/1,103* (47)
R Parag,28,748,461,24,31.17,162.26,GT,3/0,81 (47)
SA Yadav,27,738,435,25,29.52,169.66,DC,8/0,80 (41)
VR Iyer,24,724,370,12,60.33,195.68,SRH,6/0,75* (32)
Ishan Kishan,18,704,452,14,50.29,155.75,KKR,4/1,105 (59)
Priyansh Arya,20,690,396,19,36.32,174.24,RCB,3/1,106* (52)
Sameer Rizvi,29,670,327,16,41.88,204.89,LSG,3/0,94* (39)
J Fraser-McGurk,23,667,360,23,29.0,185.28,KKR,5/0,91 (45)
WG Jacks,27,666,479,24,27.75,139.04,SRH,4/0,71* (31)
N Pooran,25,663,388,20,33.15,170.88,MI,3/0,88* (50)
JM Sharma,32,607,363,24,25.29,167.22,RCB,2/0,61* (33)
Atharva Taide,14,601,364,12,50.08,165.11,RCB,6/0,91 (45)
JC Buttler,22,590,391,16,36.88,150.9,DC,3/0,83 (52)
Tushar Raheja,18,582,330,18,32.33,176.36,MI,3/0,57 (23)
RM Patidar,19,575,312,13,44.23,184.29,RCB,3/1,104* (39)
Abishek Porel,22,573,367,18,31.83,156.13,LSG,2/0,75* (49)
RD Gaikwad,22,563,355,21,26.81,158.59,CSK,2/0,74* (44)
KK Nair,15,560,317,10,56.0,176.66,CSK,3/0,89* (44)
SS Iyer,24,536,366,23,23.3,146.45,KKR,2/0,73 (45)
V Nigam,25,514,277,13,39.54,185.56,GT,1/0,62* (30)
H Klaasen,15,512,342,15,34.13,149.71,CSK,4/0,67 (34)
SP Narine,21,508,340,21,24.19,149.41,PBKS,2/0,58 (26)
GD Phillips,19,467,236,11,42.45,197.88,RR,3/0,59* (29)
BM Duckett,16,467,288,16,29.19,162.15,SRH,4/0,82 (43)
V Kohli,24,462,304,22,21.0,151.97,CSK,1/1,114* (65)
WL Madsen,17,455,299,12,37.92,152.17,KKR,2/0,64* (36)
Shashank Singh,25,453,309,16,28.31,146.6,PBKS,1/0,59* (43)
MR Marsh,13,443,265,9,49.22,167.17,MI,3/0,98* (51)
B Sai Sudharsan,18,438,311,16,27.38,140.84,CSK,3/0,81* (49)
RD Rickelton,17,424,295,17,24.94,143.73,RR,3/0,72 (47)
Abhishek Pathak,14,424,254,12,35.33,166.93,RCB,4/0,89* (41)
SU Parakh,13,392,245,13,30.15,160.0,SRH,4/0,67 (39)
DR Mousley,14,391,273,13,30.08,143.22,LSG,2/0,98* (60)
MJ Owen,17,377,234,17,22.18,161.11,DC,2/0,79 (54)
HH Pandya,23,365,173,13,28.08,210.98,LSG,0/0,46 (26)
R Smaran,18,365,252,17,21.47,144.84,PBKS,1/0,63* (39)
TP Ura,15,364,215,14,26.0,169.3,PBKS,2/0,67 (32)
Tanush Kotian,24,360,162,14,25.71,222.22,CSK,0/0,48 (29)
PHKD Mendis,16,353,216,11,32.09,163.43,PBKS,1/0,66* (34)
KA Pollard,17,349,216,15,23.27,161.57,RR,0/0,44* (24)
N Rana,16,349,250,15,23.27,139.6,PBKS,2/0,74* (51)
TH David,18,322,194,14,23.0,165.98,GT,0/0,45 (23)
AM Rahane,15,322,230,13,24.77,140.0,CSK,1/0,89* (48)
Chirag Jani,20,304,168,15,20.27,180.95,RCB,2/0,73* (41)
Sakibul Gani,17,283,169,13,21.77,167.46,RR,0/0,39 (14)
TL Seifert,7,283,160,7,40.43,176.88,PBKS,2/0,89 (45)
Jay Gohil,15,261,137,7,37.29,190.51,KKR,0/0,42 (20)
Vansh Bedi,14,247,134,9,27.44,184.33,PBKS,1/0,52* (18)
T Stubbs,16,240,178,12,20.0,134.83,CSK,0/0,38 (27)
RR Rossouw,11,232,173,11,21.09,134.1,MI,1/0,57 (40)
Ravi Singh,14,223,148,14,15.93,150.68,,0/0,40 (22)
AB de Villiers,12,210,154,9,23.33,136.36,,2/0,63* (31)
RA Jadeja,11,209,130,9,23.22,160.77,LSG,0/0,42 (29)
BJ McMullen,14,208,147,13,16.0,141.5,,0/0,32 (17)
Nithish Kumar Reddy,14,201,130,9,22.33,154.62,GT,0/0,30* (17)
R Powell,8,197,143,8,24.62,137.76,,0/0,43 (35)
MW Short,9,185,118,9,20.56,156.78,,0/0,39 (20)
JG Bethell,12,183,143,11,16.64,127.97,,0/0,34 (23)
AK Markram,12,171,126,9,19.0,135.71,DC,0/0,32 (25)
Rohan Kunnummal,6,167,105,5,33.4,159.05,MI,1/0,85* (52)
YK Pathan,15,164,147,12,13.67,111.56,,0/0,42 (38)
Karan Shinde,14,160,86,10,16.0,186.05,SRH,0/0,37* (12)
AD Russell,14,155,92,8,19.38,168.48,DC,0/0,23* (13)
KD Karthik,9,155,94,8,19.38,164.89,,0/0,42 (18)
HS Desai,6,153,102,6,25.5,150.0,SRH,1/0,54 (39)
Arshad Khan,13,146,97,10,14.6,150.52,MI,0/0,32* (15)
D Brevis,8,143,93,5,28.6,153.76,GT,1/0,50* (28)
LS Livingstone,14,143,119,8,17.88,120.17,,0/0,31 (25)
D Wiese,12,133,74,10,13.3,179.73,KKR,0/0,47* (15)
Ashutosh Sharma,10,126,86,6,21.0,146.51,GT,0/0,46 (22)
MS Pepper,4,124,100,4,31.0,124.0,PBKS,1/0,50 (40)
Ankit Kumar,9,124,88,9,13.78,140.91,,0/0,31 (20)
Suryansh Shedge,8,123,91,4,30.75,135.16,KKR,0/0,44* (23)
RK Singh,10,121,72,8,15.12,168.06,GT,1/0,50 (17)
F du Plessis,5,108,96,5,21.6,112.5,CSK,1/0,55 (34)
JJ Smit,8,107,72,8,13.38,148.61,PBKS,0/0,44 (23)
BA Stokes,8,105,66,5,21.0,159.09,,0/0,23 (14)
AA Kulkarni,5,100,63,5,20.0,158.73,SRH,1/0,69 (37)
Anmolpreet Singh,9,100,87,7,14.29,114.94,KKR,0/0,28 (22)
Ramandeep Singh,6,100,61,5,20.0,163.93,,0/0,41 (21)
Utkarsh Singh,10,97,70,8,12.12,138.57,PBKS,0/0,31* (22)
JM Coles,14,95,98,12,7.92,96.94,,0/0,21* (12)
Kumar Kushagra,7,94,73,6,15.67,128.77,RR,0/0,49 (38)
SR Dickson,3,94,63,3,31.33,149.21,,0/0,36 (32)
DW Lawrence,7,92,75,5,18.4,122.67,,0/0,42* (34)
MP Stoinis,4,88,72,4,22.0,122.22,SRH,0/0,39 (24)
AGS Gous,4,88,64,4,22.0,137.5,,0/0,42 (34)
Hassan Nawaz,6,87,74,5,17.4,117.57,,1/0,50 (35)
Rituraj Sharma,5,87,54,5,17.4,161.11,DC,0/0,49 (22)
Akhil Singh Rawat,4,86,43,1,86.0,200.0,KKR,0/0,38 (24)
AM Hardie,5,83,76,3,27.67,109.21,,0/0,24 (31)
