bowler,inn,wkts,runs_conceded,balls,Eco,SR,Curr_Tm,3ws/5ws,BBI
Arshdeep Singh,45,88,1645,1012,9.75,11.5,LSG,16/2,6-36 (24)
B Kumar,38,67,1304,804,9.73,12.0,KKR,8/1,6-29 (23)
NT Ellis,29,60,1068,678,9.45,11.3,SRH,12/0,4-27 (24)
Karan Lal,33,59,1075,707,9.12,11.98,RR,8/0,4-25 (18)
PWH de Silva,38,57,1414,870,9.75,15.26,RCB,9/0,4-13 (18)
S Dube,41,53,1307,790,9.93,14.91,RR,6/0,3-11 (16)
AR Ramjani,34,53,1019,769,7.95,14.51,PBKS,7/0,4-22 (24)
JJ Bumrah,30,51,982,645,9.13,12.65,DC,6/2,6-29 (23)
Noor Ahmad,31,49,1057,733,8.65,14.96,MI,9/0,4-23 (24)
JC Archer,29,48,1126,644,10.49,13.42,LSG,8/0,4-23 (24)
Shaheen Shah Afridi,31,48,1174,671,10.5,13.98,DC,4/1,5-36 (24)
MA Starc,24,43,768,498,9.25,11.58,KKR,7/1,5-24 (24)
Tanush Kotian,37,43,1307,814,9.63,18.93,CSK,2/1,5-38 (24)
HJ Manenti,22,42,797,486,9.84,11.57,RCB,5/1,5-41 (24)
A Nagwaswalla,27,41,970,634,9.18,15.46,RR,5/0,4-22 (24)
MP Yadav,29,40,910,579,9.43,14.48,PBKS,3/1,5-28 (24)
JR Hazlewood,26,38,1011,618,9.82,16.26,MI,4/0,4-40 (24)
WG Jacks,46,38,1424,869,9.83,22.87,LSG,3/1,5-26 (23)
Shashank Singh,42,37,1118,690,9.72,18.65,PBKS,4/0,4-28 (24)
KA Maharaj,20,37,635,438,8.7,11.84,RCB,4/1,5-19 (24)
AK Markram,17,35,505,331,9.15,9.46,DC,6/1,6-40 (22)
GF Linde,22,35,802,519,9.27,14.83,GT,5/1,5-35 (24)
Ravi Teja,23,35,816,508,9.64,14.51,MI,4/1,5-33 (18)
CV Varun,24,34,761,504,9.06,14.82,PBKS,4/0,4-7 (12)
C Green,29,33,879,610,8.65,18.48,KKR,2/0,3-17 (16)
Mohammad Ghazanfar,19,33,636,408,9.35,12.36,RR,4/0,4-8 (12)
M Pathirana,22,31,794,461,10.33,14.87,RCB,3/0,4-36 (22)
H Ssenyondo,17,31,534,397,8.07,12.81,LSG,6/0,4-32 (24)
Abrar Ahmed,15,29,557,337,9.92,11.62,RCB,5/0,4-18 (24)
Fazalhaq Farooqi,21,29,649,492,7.91,16.97,CSK,4/0,4-29 (24)
Imran Tahir,17,28,566,400,8.49,14.29,RCB,5/0,4-16 (24)
R Sai Kishore,26,28,1041,599,10.43,21.39,SRH,1/0,3-24 (24)
SP Narine,32,28,1045,688,9.11,24.57,PBKS,1/0,3-28 (18)
YS Chahal,22,27,798,453,10.57,16.78,CSK,3/0,3-31 (15)
MJ Owen,31,26,849,455,11.2,17.5,DC,2/0,3-23 (12)
JJ Smit,17,26,575,385,8.96,14.81,PBKS,4/0,4-30 (24)
A Zampa,19,25,621,433,8.61,17.32,SRH,2/0,3-17 (24)
V Nigam,26,25,935,530,10.58,21.2,GT,2/0,3-26 (18)
LI Meriwala,20,25,643,462,8.35,18.48,PBKS,2/0,4-40 (24)
Harsh Dubey,16,24,464,324,8.59,13.5,DC,2/0,3-28 (18)
TA Boult,21,24,819,500,9.83,20.83,SRH,1/0,3-18 (24)
S Lamichhane,18,24,582,384,9.09,16.0,KKR,4/0,4-36 (23)
SH Johnson,12,23,427,263,9.74,11.43,RCB,4/0,4-20 (21)
LS Livingstone,18,23,643,364,10.6,15.83,KKR,2/0,4-27 (24)
YK Pathan,27,23,609,468,7.81,20.35,,0/1,5-19 (24)
HH Pandya,33,22,986,612,9.67,27.82,SRH,1/1,5-30 (24)
Kuldeep Yadav,22,22,705,477,8.87,21.68,LSG,1/0,4-36 (24)
Ashwin Das,13,20,419,295,8.52,14.75,LSG,4/0,4-20 (13)
Ashutosh Sharma,19,20,548,362,9.08,18.1,GT,3/0,3-15 (18)
Chirag Jani,27,19,715,450,9.53,23.68,RCB,0/0,2-24 (24)
Pulkit Narang,17,19,486,363,8.03,19.11,KKR,2/0,3-6 (12)
AR Patel,17,18,548,378,8.7,21.0,GT,0/0,2-14 (24)
SL Malinga,13,18,471,283,9.99,15.72,,1/0,3-33 (24)
Harshit Rana,12,18,401,273,8.81,15.17,GT,2/1,5-18 (24)
R Shepherd,16,17,651,369,10.59,21.71,,1/0,3-29 (24)
Shahbaz Ahmed,13,17,515,294,10.51,17.29,KKR,1/0,3-40 (24)
Sufiyan Muqeem,8,17,231,185,7.49,10.88,GT,1/0,3-34 (22)
T Natarajan,19,17,701,415,10.13,24.41,RR,1/0,4-20 (15)
SS Ghosh,9,17,346,198,10.48,11.65,RCB,3/0,3-21 (12)
Shivam Shukla,10,15,397,240,9.93,16.0,MI,2/0,3-38 (24)
DS Rathi,11,15,429,264,9.75,17.6,KKR,0/0,2-34 (24)
CH Gayle,13,15,312,182,10.29,12.13,RCB,1/0,3-22 (12)
Akash Vasisht,19,15,654,414,9.48,27.6,DC,1/0,3-13 (24)
Utkarsh Singh,16,15,328,251,7.84,16.73,PBKS,0/0,2-2 (6)
Naseem Shah,15,15,532,360,8.87,24.0,RR,0/0,2-18 (24)
Shadab Khan,18,14,496,356,8.36,25.43,SRH,2/0,3-22 (18)
JA Duffy,9,14,314,200,9.42,14.29,KKR,3/0,3-28 (24)
Washington Sundar,15,14,508,333,9.15,23.79,GT,2/0,4-40 (21)
Arshad Khan,22,14,523,276,11.37,19.71,MI,1/0,3-38 (24)
D Wiese,23,14,691,416,9.97,29.71,KKR,1/0,3-25 (24)
Tanay Thyagarajan,10,14,392,240,9.8,17.14,CSK,0/0,2-24 (24)
GD Phillips,17,13,331,198,10.03,15.23,RR,0/0,2-10 (6)
R Ashwin,9,13,334,194,10.33,14.92,,2/0,4-30 (24)
Mohammad Nabi,13,13,481,306,9.43,23.54,RR,0/0,2-20 (18)
Yuvraj Singh,11,12,421,216,11.69,18.0,,2/0,3-39 (24)
Naveen-ul-Haq,11,12,408,264,9.27,22.0,CSK,1/0,3-21 (24)
Mohammed Shami,11,12,444,247,10.79,20.58,MI,0/0,2-36 (24)
JG Bethell,12,11,405,216,11.25,19.64,GT,0/0,2-33 (18)
DR Sams,10,11,341,210,9.74,19.09,,1/0,3-50 (24)
JM Coles,13,11,403,288,8.4,26.18,MI,2/0,3-34 (24)
Suryansh Shedge,13,11,397,246,9.68,22.36,KKR,1/0,3-17 (18)
