striker,bowl_type,phase,innings,num_inn,runs,balls_faced,outs,avg,SR,Curr_Tm
Abhishek Sharma,Pace,PP,2,21,470,230,8,58.75,204.35,MI
Shubman Gill,Pace,PP,1,24,427,251,12,35.58,170.12,LSG
Sameer Rizvi,Pace,Death,1,20,424,180,7,60.57,235.56,LSG
SV Samson,Pace,PP,2,22,419,233,6,69.83,179.83,GT
KL Rahul,Spin,Middle,1,15,415,245,5,83.0,169.39,SRH
GJ Maxwell,Pace,PP,2,24,412,223,15,27.47,184.75,DC
PD Salt,Spin,PP,2,24,406,231,6,67.67,175.76,RCB
PD Salt,Pace,PP,2,24,399,221,7,57.0,180.54,RCB
JM Sharma,Spin,Middle,2,22,398,225,6,66.33,176.89,RCB
Abhishek Sharma,Spin,PP,1,18,376,201,5,75.2,187.06,MI
SA Yadav,Spin,Middle,2,18,361,216,8,45.12,167.13,DC
V Suryavanshi,Pace,PP,1,21,347,209,6,57.83,166.03,PBKS
Tilak Varma,Pace,PP,1,17,344,210,3,114.67,163.81,CSK
RG Sharma,Pace,Middle,1,14,338,207,2,169.0,163.29,KKR
Shubman Gill,Pace,PP,2,18,334,175,3,111.33,190.86,LSG
PD Salt,Spin,Middle,2,17,331,197,12,27.58,168.02,RCB
RD Gaikwad,Pace,PP,1,20,327,176,4,81.75,185.8,GT
C Green,Pace,Middle,2,13,325,177,3,108.33,183.62,KKR
V Kohli,Pace,PP,2,15,324,173,6,54.0,187.28,RR
V Kohli,Pace,PP,1,19,316,180,12,26.33,175.56,RR
N Pooran,Spin,Middle,1,16,316,201,4,79.0,157.21,MI
JC Buttler,Spin,Middle,1,20,313,212,8,39.12,147.64,LSG
FH Allen,Spin,PP,1,17,306,155,7,43.71,197.42,PBKS
CH Gayle,Pace,PP,2,16,304,192,5,60.8,158.33,CSK
CH Gayle,Pace,PP,1,15,303,168,6,50.5,180.36,CSK
Atharva Taide,Pace,PP,2,14,302,166,6,50.33,181.93,MI
N Pooran,Pace,Middle,2,18,294,188,4,73.5,156.38,MI
Naman Dhir,Pace,Middle,1,15,287,172,3,95.67,166.86,GT
PWH de Silva,Spin,Middle,2,12,287,148,4,71.75,193.92,RCB
V Suryavanshi,Spin,PP,1,17,286,170,5,57.2,168.24,PBKS
Naman Dhir,Spin,Middle,2,18,286,199,6,47.67,143.72,GT
Abhishek Sharma,Pace,PP,1,19,285,137,6,47.5,208.03,MI
S Dube,Spin,Middle,2,13,279,169,5,55.8,165.09,RR
GJ Maxwell,Pace,PP,1,19,278,155,6,46.33,179.35,DC
FH Allen,Pace,PP,1,20,278,183,12,23.17,151.91,PBKS
Tilak Varma,Pace,PP,2,18,276,165,5,55.2,167.27,CSK
P Simran Singh,Pace,PP,2,17,275,155,10,27.5,177.42,SRH
SP Narine,Spin,PP,1,15,272,159,2,136.0,171.07,KKR
SA Yadav,Spin,Middle,1,11,268,143,4,67.0,187.41,DC
Shubman Gill,Spin,PP,2,17,265,126,6,44.17,210.32,LSG
Abhishek Sharma,Spin,Middle,1,13,263,132,10,26.3,199.24,MI
B Sai Sudharsan,Spin,Middle,2,13,262,175,4,65.5,149.71,PBKS
Smaran Ravichandran,Spin,Middle,2,11,261,149,3,87.0,175.17,PBKS
B Sai Sudharsan,Spin,Middle,1,12,260,145,5,52.0,179.31,PBKS
YBK Jaiswal,Pace,Death,1,13,256,99,3,85.33,258.59,RR
Naman Dhir,Pace,Middle,2,18,256,160,7,36.57,160.0,GT
Tarang Gohel,Pace,PP,1,14,255,138,6,42.5,184.78,DC
JP Inglis,Spin,Middle,2,17,250,175,9,27.78,142.86,GT
Urvil Patel,Spin,PP,1,15,250,155,4,62.5,161.29,MI
RG Sharma,Spin,Middle,1,16,249,148,7,35.57,168.24,KKR
Priyansh Arya,Spin,PP,1,14,249,139,7,35.57,179.14,RCB
S Dube,Spin,Middle,1,13,248,162,6,41.33,153.09,RR
SV Samson,Spin,PP,2,17,248,131,6,41.33,189.31,GT
PD Salt,Pace,PP,1,16,245,137,6,40.83,178.83,RCB
RG Sharma,Pace,Death,1,12,244,104,5,48.8,234.62,KKR
Aniket Verma,Spin,Middle,2,12,243,123,8,30.38,197.56,RR
YBK Jaiswal,Pace,Middle,2,16,242,140,5,48.4,172.86,RR
CH Gayle,Spin,PP,2,15,242,146,6,40.33,165.75,CSK
Urvil Patel,Pace,PP,1,16,241,130,3,80.33,185.38,MI
RK Singh,Pace,Death,2,12,240,97,2,120.0,247.42,MI
SP Narine,Spin,PP,2,12,237,124,3,79.0,191.13,KKR
Shubman Gill,Spin,PP,1,17,235,134,8,29.38,175.37,LSG
Priyansh Arya,Pace,PP,2,16,235,127,4,58.75,185.04,RCB
RD Gaikwad,Spin,PP,1,15,234,140,4,58.5,167.14,GT
