bowler,pitch,phase,innings,num_inn,wkts,runs_conceded,balls,Eco,SR,Curr_Tm
Arshdeep Singh,pace,Death,2,12,22,196,129,9.12,5.86,LSG
MA Starc,pace,Death,2,11,19,189,116,9.78,6.11,KKR
JC Archer,pace,Death,2,13,18,224,140,9.6,7.78,LSG
JJ Bumrah,pace,Death,2,9,16,148,103,8.62,6.44,DC
HJ Manenti,pace,Death,2,8,15,138,84,9.86,5.6,RCB
CV Varun,spin,Middle,2,9,15,228,150,9.12,10.0,PBKS
Noor Ahmad,spin,Middle,2,12,14,250,192,7.81,13.71,MI
Karan Lal,spin,Death,2,5,14,69,59,7.02,4.21,RR
JR Hazlewood,pace,Middle,1,8,13,208,138,9.04,10.62,MI
C Green,pace,Middle,1,9,13,290,204,8.53,15.69,KKR
Shaheen Shah Afridi,pace,Death,1,7,13,115,80,8.62,6.15,DC
KA Maharaj,spin,Death,2,10,13,155,79,11.77,6.08,RCB
B Kumar,pace,Death,2,9,13,165,91,10.88,7.0,KKR
AR Ramjani,spin,Middle,1,8,12,118,123,5.76,10.25,PBKS
Arshdeep Singh,pace,PP,2,14,12,298,168,10.64,14.0,LSG
Ravi Teja,pace,Middle,2,7,12,132,102,7.76,8.5,MI
NT Ellis,neutralish,Death,1,9,12,265,144,11.04,12.0,SRH
Ashutosh Sharma,pace,Middle,2,8,12,140,114,7.37,9.5,GT
C Green,pace,Middle,2,12,12,361,256,8.46,21.33,KKR
B Kumar,pace,Death,1,9,12,208,114,10.95,9.5,KKR
MA Starc,pace,Death,1,9,11,242,135,10.76,12.27,KKR
Arshdeep Singh,spin,Death,1,8,11,177,96,11.06,8.73,LSG
Yuvraj Singh,pace,PP,1,7,11,235,126,11.19,11.45,
LI Meriwala,pace,Middle,1,8,11,164,132,7.45,12.0,PBKS
S Dube,pace,Death,2,4,10,80,52,9.23,5.2,RR
AR Ramjani,spin,Middle,2,8,10,154,126,7.33,12.6,PBKS
A Nagwaswalla,pace,Death,1,9,10,83,96,5.19,9.6,RR
MJ Owen,pace,Death,2,7,10,137,65,12.65,6.5,DC
NT Ellis,neutralish,Death,2,5,10,126,66,11.45,6.6,SRH
Fazalhaq Farooqi,pace,Middle,1,6,9,190,144,7.92,16.0,CSK
S Dube,pace,Death,1,7,9,117,83,8.46,9.22,RR
JR Hazlewood,neutralish,Middle,1,6,9,158,102,9.29,11.33,MI
Noor Ahmad,spin,Death,2,9,9,87,67,7.79,7.44,MI
S Lamichhane,spin,Death,1,8,9,130,90,8.67,10.0,KKR
AK Markram,spin,Death,1,7,9,113,71,9.55,7.89,DC
MP Yadav,neutralish,Death,2,3,9,32,29,6.62,3.22,PBKS
SL Malinga,pace,Death,2,7,9,136,73,11.18,8.11,
JM Coles,spin,Middle,2,7,9,234,162,8.67,18.0,MI
Karan Lal,neutralish,Middle,2,5,9,75,66,6.82,7.33,RR
Abrar Ahmed,neutralish,Death,2,5,9,75,41,10.98,4.56,RCB
H Ssenyondo,spin,Middle,1,7,9,95,96,5.94,10.67,LSG
AR Patel,spin,Middle,1,8,9,221,168,7.89,18.67,GT
JJ Bumrah,pace,Death,1,7,8,158,102,9.29,12.75,DC
WG Jacks,pace,Middle,2,14,8,291,180,9.7,22.5,LSG
KA Maharaj,spin,Middle,2,11,8,142,108,7.89,13.5,RCB
PWH de Silva,spin,Death,1,10,8,198,102,11.65,12.75,RCB
Shashank Singh,spin,PP,2,9,8,138,108,7.67,13.5,PBKS
B Kumar,pace,PP,2,12,8,202,144,8.42,18.0,KKR
CV Varun,spin,Middle,1,7,8,189,132,8.59,16.5,PBKS
PWH de Silva,pace,Middle,2,4,8,81,72,6.75,9.0,RCB
Kuldeep Yadav,spin,Middle,2,11,8,197,159,7.43,19.88,LSG
Shashank Singh,spin,Death,2,6,8,95,62,9.19,7.75,PBKS
TA Boult,pace,PP,1,8,8,220,144,9.17,18.0,SRH
JC Archer,neutralish,Death,2,4,8,93,48,11.62,6.0,LSG
M Pathirana,pace,Death,1,5,8,108,60,10.8,7.5,RCB
Tanush Kotian,spin,Middle,1,8,8,118,102,6.94,12.75,CSK
Tanush Kotian,neutralish,Middle,1,5,8,73,60,7.3,7.5,CSK
AR Ramjani,neutralish,Middle,2,4,8,147,96,9.19,12.0,PBKS
MA Starc,pace,PP,2,12,8,142,114,7.47,14.25,KKR
Abrar Ahmed,spin,Death,2,3,7,65,32,12.19,4.57,RCB
HJ Manenti,pace,Death,1,5,7,128,66,11.64,9.43,RCB
GF Linde,spin,Death,2,4,7,62,39,9.54,5.57,GT
Arshdeep Singh,neutralish,Death,2,6,7,103,67,9.22,9.57,LSG
M Pathirana,neutralish,Death,1,5,7,110,52,12.69,7.43,RCB
H Ssenyondo,spin,Death,1,7,7,85,67,7.61,9.57,LSG
LS Livingstone,spin,Death,1,6,7,110,74,8.92,10.57,KKR
CH Gayle,spin,Death,2,4,7,33,32,6.19,4.57,RCB
Ashwin Das,pace,Middle,2,7,7,202,150,8.08,21.43,LSG
S Dube,neutralish,Middle,1,9,7,166,102,9.76,14.57,RR
S Lamichhane,spin,Death,2,4,7,63,37,10.22,5.29,KKR
Shaheen Shah Afridi,pace,Death,2,5,7,104,57,10.95,8.14,DC
Harsh Dubey,spin,Death,1,4,7,57,42,8.14,6.0,DC
SS Ghosh,pace,Death,2,5,7,97,54,10.78,7.71,RCB
YS Chahal,spin,Death,1,7,7,148,85,10.45,12.14,CSK
JJ Bumrah,neutralish,Death,1,4,7,86,54,9.56,7.71,DC
Naseem Shah,pace,Middle,2,9,7,166,108,9.22,15.43,RR
NT Ellis,pace,Death,1,5,7,113,72,9.42,10.29,SRH
Arshdeep Singh,neutralish,PP,2,6,6,105,66,9.55,11.0,LSG
SP Narine,pace,Middle,1,9,6,298,192,9.31,32.0,PBKS
MJ Owen,pace,Death,1,7,6,146,72,12.17,12.0,DC
V Nigam,spin,Middle,2,7,6,143,114,7.53,19.0,GT
SP Narine,pace,Middle,2,7,6,222,156,8.54,26.0,PBKS
B Kumar,pace,PP,1,9,6,158,102,9.29,17.0,KKR
GF Linde,spin,Death,1,7,6,89,66,8.09,11.0,GT
Shashank Singh,spin,Death,1,7,6,125,82,9.15,13.67,PBKS
SH Johnson,pace,Death,1,3,6,21,21,6.0,3.5,RCB
Tanush Kotian,neutralish,PP,1,5,6,130,72,10.83,12.0,CSK
B Kumar,neutralish,Death,2,2,6,41,29,8.48,4.83,KKR
R Sai Kishore,spin,PP,2,8,6,212,114,11.16,19.0,SRH
S Dube,spin,Middle,2,5,6,77,60,7.7,10.0,RR
Suryansh Shedge,pace,Death,1,6,6,178,96,11.12,16.0,KKR
JA Duffy,neutralish,Death,1,2,6,31,24,7.75,4.0,KKR
PWH de Silva,neutralish,Middle,1,4,6,76,60,7.6,10.0,RCB
A Nagwaswalla,neutralish,PP,1,8,6,165,102,9.71,17.0,RR
PWH de Silva,neutralish,Middle,2,3,6,69,42,9.86,7.0,RCB
Noor Ahmad,spin,Middle,1,5,6,65,60,6.5,10.0,MI
LI Meriwala,pace,Middle,2,7,6,178,120,8.9,20.0,PBKS
YK Pathan,spin,Middle,2,5,6,144,114,7.58,19.0,
HH Pandya,pace,Middle,1,6,6,133,102,7.82,17.0,SRH
YK Pathan,spin,Middle,1,5,6,144,114,7.58,19.0,
HH Pandya,pace,Death,1,6,6,94,54,10.44,9.0,SRH
Washington Sundar,spin,PP,1,5,6,91,66,8.27,11.0,GT
A Nagwaswalla,pace,PP,1,9,6,134,102,7.88,17.0,RR
Imran Tahir,spin,Death,1,4,6,32,40,4.8,6.67,RCB
LS Livingstone,spin,Death,2,5,6,76,44,10.36,7.33,KKR
Karan Lal,neutralish,Death,1,7,6,153,84,10.93,14.0,RR
Imran Tahir,spin,PP,1,4,6,60,54,6.67,9.0,RCB
WG Jacks,spin,Middle,2,5,6,44,42,6.29,7.0,LSG
Arshdeep Singh,spin,Death,2,4,5,39,35,6.69,7.0,LSG
JC Archer,pace,Death,1,6,5,149,78,11.46,15.6,LSG
B Kumar,spin,PP,1,5,5,111,72,9.25,14.4,KKR
Ravi Teja,pace,Middle,1,8,5,126,78,9.69,15.6,MI
Mohammad Nabi,spin,Middle,1,5,5,114,72,9.5,14.4,RR
AK Markram,spin,Death,2,4,5,68,36,11.33,7.2,DC
Tanay Thyagarajan,spin,Middle,1,5,5,86,66,7.82,13.2,CSK
T Natarajan,neutralish,Middle,2,3,5,79,51,9.29,10.2,RR
YK Pathan,pace,Middle,2,6,5,130,84,9.29,16.8,
HJ Manenti,pace,PP,2,8,5,106,78,8.15,15.6,RCB
DS Rathi,spin,Middle,1,3,5,25,30,5.0,6.0,KKR
D Wiese,pace,Middle,2,5,5,145,90,9.67,18.0,KKR
Mohammad Ghazanfar,spin,PP,2,7,5,89,48,11.12,9.6,RR
Sufiyan Muqeem,spin,Middle,1,4,5,69,72,5.75,14.4,GT
Akash Vasisht,spin,Middle,1,5,5,136,90,9.07,18.0,DC
WG Jacks,pace,Middle,1,6,5,123,72,10.25,14.4,LSG
LI Meriwala,pace,PP,2,7,5,61,48,7.62,9.6,PBKS
AK Markram,neutralish,Death,2,1,5,11,10,6.6,2.0,DC
AK Markram,spin,Middle,1,6,5,89,66,8.09,13.2,DC
MP Yadav,pace,Death,2,7,5,98,67,8.78,13.4,PBKS
Shadab Khan,spin,Death,2,6,5,76,54,8.44,10.8,SRH
SP Narine,spin,Middle,2,4,5,120,88,8.18,17.6,PBKS
SP Narine,spin,Middle,1,6,5,209,126,9.95,25.2,PBKS
JR Hazlewood,pace,PP,1,6,5,101,48,12.62,9.6,MI
MP Yadav,pace,Death,1,5,5,69,46,9.0,9.2,PBKS
Shaheen Shah Afridi,pace,PP,1,7,5,106,72,8.83,14.4,DC
Chirag Jani,pace,Middle,1,5,5,72,54,8.0,10.8,RCB
Imran Tahir,spin,Middle,2,4,5,69,60,6.9,12.0,RCB
V Nigam,spin,Death,1,6,5,69,42,9.86,8.4,GT
M Pathirana,pace,Middle,2,8,5,111,72,9.25,14.4,RCB
Mohammad Ghazanfar,spin,Death,2,6,5,58,36,9.67,7.2,RR
BA Stokes,neutralish,PP,1,3,5,104,54,11.56,10.8,RR
Karan Lal,neutralish,Death,2,3,5,59,34,10.41,6.8,RR
PWH de Silva,spin,Middle,1,9,5,133,84,9.5,16.8,RCB
A Zampa,spin,Death,2,5,5,93,55,10.15,11.0,SRH
Noor Ahmad,spin,Death,1,5,4,51,42,7.29,10.5,MI
S Dube,neutralish,Death,1,7,4,132,60,13.2,15.0,RR
MA Starc,pace,PP,1,9,4,109,78,8.38,19.5,KKR
Ravi Teja,pace,Death,1,8,4,175,96,10.94,24.0,MI
DAJ Bracewell,pace,PP,2,4,4,112,72,9.33,18.0,
Shahbaz Ahmed,spin,Middle,2,4,4,97,60,9.7,15.0,KKR
A Nagwaswalla,pace,Death,2,4,4,135,59,13.73,14.75,RR
A Nagwaswalla,neutralish,Death,1,8,4,128,71,10.82,17.75,RR
NT Ellis,neutralish,Middle,1,5,4,37,30,7.4,7.5,SRH
A Nagwaswalla,neutralish,Death,2,4,4,81,42,11.57,10.5,RR
Imran Tahir,neutralish,Death,1,2,4,48,30,9.6,7.5,RCB
YK Pathan,neutralish,Middle,1,3,4,60,60,6.0,15.0,
Noor Ahmad,neutralish,Middle,2,4,4,139,78,10.69,19.5,MI
Harshit Rana,pace,Death,2,3,4,19,15,7.6,3.75,GT
Shivam Shukla,spin,Death,2,5,4,72,48,9.0,12.0,MI
JJ Smit,pace,PP,2,4,4,30,24,7.5,6.0,PBKS
SH Johnson,pace,PP,2,4,4,41,48,5.12,12.0,RCB
SH Johnson,pace,Death,2,4,4,68,44,9.27,11.0,RCB
Shashank Singh,spin,PP,1,8,4,142,96,8.88,24.0,PBKS
YS Chahal,spin,Death,2,5,4,65,41,9.51,10.25,CSK
NT Ellis,spin,Middle,2,1,4,22,18,7.33,4.5,SRH
NT Ellis,pace,Middle,1,2,4,7,12,3.5,3.0,SRH
MG Erasmus,spin,PP,1,6,4,105,72,8.75,18.0,
JJ Smit,pace,Middle,2,9,4,242,156,9.31,39.0,PBKS
Harsh Dubey,neutralish,Death,2,2,4,51,24,12.75,6.0,DC
B Kumar,neutralish,Death,1,3,4,60,36,10.0,9.0,KKR
Shashank Singh,pace,PP,1,5,4,110,60,11.0,15.0,PBKS
JJ Smit,pace,Death,1,3,4,25,30,5.0,7.5,PBKS
S Dube,pace,Middle,1,6,4,86,54,9.56,13.5,RR
T Natarajan,pace,Death,1,7,4,83,60,8.3,15.0,RR
Fazalhaq Farooqi,pace,PP,2,2,4,41,36,6.83,9.0,CSK
Tanush Kotian,spin,Middle,2,6,4,173,102,10.18,25.5,CSK
KA Maharaj,spin,PP,2,5,4,33,42,4.71,10.5,RCB
CH Gayle,spin,Death,1,5,4,120,54,13.33,13.5,RCB
Arshdeep Singh,neutralish,Death,1,3,4,59,36,9.83,9.0,LSG
Pulkit Narang,spin,Middle,1,4,4,40,54,4.44,13.5,KKR
Karan Lal,neutralish,Middle,1,7,4,143,84,10.21,21.0,RR
Mohammad Ghazanfar,spin,Middle,1,3,4,49,42,7.0,10.5,RR
Tanush Kotian,spin,PP,1,6,4,146,90,9.73,22.5,CSK
TA Boult,pace,PP,2,4,4,104,72,8.67,18.0,SRH
AR Ramjani,spin,Death,2,5,4,78,52,9.0,13.0,PBKS
Mohammad Ghazanfar,neutralish,Middle,1,5,4,122,72,10.17,18.0,RR
M Siddharth,spin,Death,1,6,4,71,42,10.14,10.5,CSK
R Shepherd,pace,PP,1,6,4,112,66,10.18,16.5,MI
Pulkit Narang,spin,Middle,2,5,4,113,72,9.42,18.0,KKR
M Prasidh Krishna,pace,Middle,2,3,4,133,72,11.08,18.0,KKR
Utkarsh Singh,neutralish,Middle,2,3,4,66,48,8.25,12.0,PBKS
M Prasidh Krishna,pace,Middle,1,7,4,280,162,10.37,40.5,KKR
GF Linde,spin,PP,2,4,4,84,48,10.5,12.0,GT
JC Archer,pace,PP,2,10,4,191,114,10.05,28.5,LSG
TA Boult,neutralish,PP,2,4,4,133,66,12.09,16.5,SRH
Ramandeep Singh,pace,Middle,2,7,4,164,90,10.93,22.5,KKR
RR Patel,spin,Middle,1,5,4,125,84,8.93,21.0,
DR Sams,pace,PP,1,3,4,43,36,7.17,9.0,
WG Jacks,spin,PP,2,4,4,68,42,9.71,10.5,LSG
H Ssenyondo,neutralish,Death,2,3,4,42,30,8.4,7.5,LSG
V Nigam,spin,Middle,1,6,4,177,108,9.83,27.0,GT
R Parag,spin,Middle,2,3,4,26,24,6.5,6.0,GT
PWH de Silva,spin,Middle,2,4,4,57,48,7.12,12.0,RCB
Karan Lal,spin,Death,1,5,4,115,72,9.58,18.0,RR
LS Livingstone,spin,PP,1,6,4,108,60,10.8,15.0,KKR
Akash Vasisht,neutralish,Middle,1,5,4,121,78,9.31,19.5,DC
Arshdeep Singh,spin,PP,1,8,4,154,96,9.62,24.0,LSG
PWH de Silva,spin,PP,1,7,4,105,72,8.75,18.0,RCB
Geet Puri,pace,Death,1,1,4,37,18,12.33,4.5,CSK
R Ashwin,spin,PP,2,3,4,39,30,7.8,7.5,
Arshdeep Singh,pace,Death,1,6,4,112,72,9.33,18.0,LSG
GF Linde,pace,PP,2,3,3,51,36,8.5,12.0,GT
GD Phillips,spin,PP,1,3,3,32,18,10.67,6.0,RR
SP Narine,neutralish,Middle,1,3,3,108,66,9.82,22.0,PBKS
NT Ellis,pace,Death,2,2,3,41,24,10.25,8.0,SRH
GF Linde,neutralish,PP,2,5,3,79,42,11.29,14.0,GT
HV Patel,neutralish,Death,1,3,3,84,36,14.0,12.0,
NT Ellis,neutralish,PP,1,9,3,69,60,6.9,20.0,SRH
GF Linde,spin,PP,1,7,3,75,66,6.82,22.0,GT
Mohit Redkar,neutralish,Middle,1,2,3,75,48,9.38,16.0,
SS Ghosh,pace,Middle,2,3,3,44,30,8.8,10.0,RCB
MP Yadav,neutralish,Middle,2,2,3,24,18,8.0,6.0,PBKS
Pulkit Narang,neutralish,Middle,2,1,3,6,9,4.0,3.0,KKR
Geet Puri,neutralish,Death,1,1,3,9,16,3.38,5.33,CSK
JN Loftie-Eaton,spin,PP,1,3,3,42,36,7.0,12.0,RR
Shadab Khan,spin,PP,2,8,3,65,54,7.22,18.0,SRH
MJ Owen,pace,Middle,1,5,3,99,60,9.9,20.0,DC
Mohammed Shami,pace,PP,2,4,3,87,48,10.88,16.0,MI
R Sai Kishore,spin,Middle,2,9,3,181,96,11.31,32.0,SRH
R Sai Kishore,spin,Death,1,4,3,39,24,9.75,8.0,SRH
S Dube,spin,Middle,1,5,3,102,72,8.5,24.0,RR
Ravi Teja,pace,Death,2,5,3,70,45,9.33,15.0,MI
JJ Bumrah,neutralish,Death,2,5,3,77,41,11.27,13.67,DC
Rasikh Salam,pace,Death,1,3,3,42,30,8.4,10.0,SRH
DJ Bravo,pace,Middle,2,3,3,46,36,7.67,12.0,
MR Marsh,pace,Middle,1,3,3,64,36,10.67,12.0,MI
Noor Ahmad,pace,Middle,2,1,3,26,24,6.5,8.0,MI
DS Rathi,spin,Middle,2,4,3,46,36,7.67,12.0,KKR
JC Archer,pace,Middle,1,3,3,58,36,9.67,12.0,LSG
Ravi Teja,spin,Death,2,2,3,22,18,7.33,6.0,MI
S Dube,neutralish,Death,2,4,3,64,30,12.8,10.0,RR
RD Chahar,spin,Death,1,3,3,75,42,10.71,14.0,
JG Bethell,pace,Middle,1,3,3,69,36,11.5,12.0,GT
HJ Manenti,neutralish,Death,1,3,3,63,36,10.5,12.0,RCB
JJ Smit,neutralish,PP,2,2,3,30,24,7.5,8.0,PBKS
JC Archer,neutralish,PP,2,4,3,47,42,6.71,14.0,LSG
Fazalhaq Farooqi,spin,Middle,2,2,3,39,48,4.88,16.0,CSK
D Wiese,pace,Middle,1,4,3,129,72,10.75,24.0,KKR
R Shepherd,pace,PP,2,4,3,73,36,12.17,12.0,MI
R Shepherd,pace,Middle,1,7,3,113,72,9.42,24.0,MI
S Lamichhane,spin,Middle,1,8,3,66,72,5.5,24.0,KKR
Naveen-ul-Haq,pace,Death,1,6,3,115,78,8.85,26.0,CSK
R Shepherd,pace,Death,1,4,3,36,24,9.0,8.0,MI
Naveen-ul-Haq,neutralish,Death,1,2,3,35,24,8.75,8.0,CSK
Mayank Dagar,spin,Middle,2,3,3,87,54,9.67,18.0,
Fazalhaq Farooqi,neutralish,Middle,1,4,3,122,90,8.13,30.0,CSK
MR Marsh,pace,PP,1,3,3,49,36,8.17,12.0,MI
R Sai Kishore,spin,Middle,1,3,3,89,54,9.89,18.0,SRH
PWH de Silva,neutralish,Death,1,4,3,54,30,10.8,10.0,RCB
SL Malinga,pace,Death,1,2,3,28,18,9.33,6.0,
Mohammad Nabi,spin,Middle,2,3,3,17,24,4.25,8.0,RR
H Ssenyondo,spin,Middle,2,3,3,51,48,6.38,16.0,LSG
Ravi Bishnoi,spin,Death,2,3,3,31,17,10.94,5.67,
Tanush Kotian,neutralish,Middle,2,5,3,122,78,9.38,26.0,CSK
Shashank Singh,pace,PP,2,9,3,222,114,11.68,38.0,PBKS
K Kartikeya,spin,Middle,1,5,3,120,78,9.23,26.0,KKR
Sufiyan Muqeem,spin,Death,2,1,3,0,4,0.0,1.33,GT
AR Patel,spin,Middle,2,4,3,45,36,7.5,12.0,GT
Avesh Khan,neutralish,PP,2,4,3,47,30,9.4,10.0,LSG
Avesh Khan,pace,Death,1,4,3,60,30,12.0,10.0,LSG
AR Patel,neutralish,Middle,1,3,3,61,42,8.71,14.0,GT
Azmatullah Omarzai,pace,Middle,2,4,3,47,48,5.88,16.0,
Karan Lal,spin,Middle,1,5,3,57,42,8.14,14.0,RR
WG Jacks,spin,Death,2,2,3,16,17,5.65,5.67,LSG
WG Jacks,spin,PP,1,8,3,120,84,8.57,28.0,LSG
AK Markram,spin,Middle,2,4,3,49,42,7.0,14.0,DC
Washington Sundar,spin,PP,2,6,3,144,90,9.6,30.0,GT
Shivam Shukla,spin,PP,2,4,3,101,48,12.62,16.0,MI
B Kumar,spin,PP,2,3,3,101,54,11.22,18.0,KKR
YS Chahal,neutralish,Death,1,4,3,45,21,12.86,7.0,CSK
KA Maharaj,neutralish,Death,1,2,3,10,11,5.45,3.67,RCB
Atharva Ankolekar,spin,Death,2,3,3,51,31,9.87,10.33,RR
Swapnil Singh,neutralish,Middle,2,4,3,109,66,9.91,22.0,
Utkarsh Singh,spin,Middle,2,4,3,66,47,8.43,15.67,PBKS
Arshad Khan,neutralish,Middle,1,3,3,48,30,9.6,10.0,MI
KA Pollard,pace,Middle,2,3,3,29,30,5.8,10.0,CSK
M Pathirana,pace,Death,2,6,3,48,37,7.78,12.33,RCB
Arshad Khan,pace,PP,1,3,3,55,30,11.0,10.0,MI
Usman Khan (2),neutralish,Death,2,1,3,6,6,6.0,2.0,
Arshdeep Singh,pace,PP,1,6,3,105,72,8.75,24.0,LSG
V Nigam,neutralish,Death,1,3,3,41,18,13.67,6.0,GT
Ashwin Das,pace,Death,2,2,3,6,7,5.14,2.33,LSG
V Nigam,spin,Death,2,2,3,33,12,16.5,4.0,GT
Abdul Samad,spin,Middle,2,4,3,48,36,8.0,12.0,SRH
M Jansen,pace,Middle,1,2,3,56,30,11.2,10.0,
V Puthur,spin,PP,1,6,3,126,102,7.41,34.0,SRH
LS Livingstone,spin,PP,2,6,3,90,60,9.0,20.0,KKR
AR Ramjani,spin,PP,1,3,3,33,24,8.25,8.0,PBKS
YS Chahal,neutralish,Death,2,5,3,80,38,12.63,12.67,CSK
Tanush Kotian,pace,Middle,1,6,3,187,114,9.84,38.0,CSK
Kuldeep Yadav,spin,Middle,1,4,3,91,60,9.1,20.0,LSG
Khushdil Shah,spin,Middle,1,5,3,51,48,6.38,16.0,
Shaheen Shah Afridi,spin,Death,2,6,3,88,48,11.0,16.0,DC
Khrievitso Kense,spin,PP,1,6,3,79,54,8.78,18.0,MI
Kuldeep Yadav,spin,Death,1,2,3,14,12,7.0,4.0,LSG
JR Hazlewood,pace,Middle,2,5,3,121,84,8.64,28.0,MI
Kuldeep Yadav,spin,PP,1,4,3,37,24,9.25,8.0,LSG
Shakib Al Hasan,spin,PP,2,6,3,72,72,6.0,24.0,
Yudhvir Singh,pace,PP,2,3,3,109,54,12.11,18.0,
A Nagwaswalla,neutralish,PP,2,5,3,97,66,8.82,22.0,RR
C Sakariya,pace,Middle,1,4,3,114,84,8.14,28.0,RR
A Zampa,neutralish,Death,1,3,3,19,18,6.33,6.0,SRH
A Zampa,neutralish,Death,2,4,3,65,36,10.83,12.0,SRH
Yudhvir Singh,pace,PP,1,1,2,21,18,7.0,9.0,
Pulkit Narang,pace,Death,2,2,2,14,12,7.0,6.0,KKR
Abdul Samad,neutralish,Middle,2,4,2,70,42,10.0,21.0,SRH
JA Duffy,spin,Death,1,2,2,24,12,12.0,6.0,KKR
Utkarsh Singh,spin,Middle,1,4,2,76,48,9.5,24.0,PBKS
Abdul Samad,pace,Middle,1,3,2,47,30,9.4,15.0,SRH
JDS Neesham,neutralish,PP,2,2,2,23,24,5.75,12.0,
H Ssenyondo,spin,Death,2,3,2,18,18,6.0,9.0,LSG
JA Duffy,pace,PP,1,2,2,13,18,4.33,9.0,KKR
Abhishek Sharma,spin,Death,2,3,2,42,16,15.75,8.0,MI
Mohammad Ghazanfar,neutralish,PP,1,4,2,41,30,8.2,15.0,RR
JA Duffy,pace,Death,1,2,2,46,30,9.2,15.0,KKR
V Nigam,neutralish,Middle,1,4,2,101,60,10.1,30.0,GT
Mohammed Shami,pace,Death,2,2,2,17,12,8.5,6.0,MI
H Ssenyondo,pace,Death,2,1,2,7,6,7.0,3.0,LSG
V Puthur,spin,Middle,1,2,2,21,12,10.5,6.0,SRH
H Ssenyondo,neutralish,Middle,1,1,2,29,18,9.67,9.0,LSG
Abrar Ahmed,neutralish,Middle,2,4,2,63,54,7.0,27.0,RCB
R Ashwin,spin,Death,1,4,2,50,24,12.5,12.0,
JDS Neesham,pace,Middle,1,4,2,37,24,9.25,12.0,
Imran Tahir,spin,Middle,1,4,2,104,66,9.45,33.0,RCB
Tanush Kotian,pace,Middle,2,2,2,68,36,11.33,18.0,CSK
Akash Vasisht,spin,Middle,2,2,2,50,36,8.33,18.0,DC
Imran Tahir,spin,PP,2,4,2,101,54,11.22,27.0,RCB
R Sai Kishore,pace,Death,1,1,2,33,18,11.0,9.0,SRH
GD Phillips,neutralish,Middle,2,1,2,16,12,8.0,6.0,RR
R Sai Kishore,neutralish,PP,2,4,2,71,42,10.14,21.0,SRH
GD Phillips,neutralish,PP,2,1,2,10,6,10.0,3.0,RR
R Sai Kishore,neutralish,Middle,1,2,2,45,36,7.5,18.0,SRH
R Parag,spin,Middle,1,7,2,105,60,10.5,30.0,GT
R Parag,neutralish,Middle,2,3,2,44,24,11.0,12.0,GT
KK Ahmed,neutralish,PP,1,2,2,69,30,13.8,15.0,
AS Roy,neutralish,PP,1,1,2,34,12,17.0,6.0,RR
