striker,phase,pitch,runs,balls,dots,outs,avg,SR,Curr_Tm
Shubman Gill,PP,pace,1052,608,201,27,38.96,173.03,LSG
KL Rahul,Middle,spin,1024,672,150,17,60.24,152.38,SRH
Abhishek Sharma,PP,pace,960,510,165,23,41.74,188.24,MI
N Pooran,Middle,pace,946,646,173,14,67.57,146.44,MI
P Simran Singh,PP,spin,929,566,191,30,30.97,164.13,SRH
PD Salt,PP,pace,903,539,197,19,47.53,167.53,RCB
PD Salt,PP,spin,873,478,160,17,51.35,182.64,RCB
V Kohli,PP,pace,814,467,179,24,33.92,174.3,RR
SA Yadav,Middle,pace,810,487,111,15,54.0,166.32,DC
RD Gaikwad,PP,pace,782,499,180,22,35.55,156.71,GT
GJ Maxwell,PP,pace,751,440,147,17,44.18,170.68,DC
H Klaasen,Middle,spin,742,516,137,15,49.47,143.8,CSK
SV Samson,PP,pace,733,456,180,13,56.38,160.75,GT
Abhishek Sharma,PP,spin,733,395,107,10,73.3,185.57,MI
Tilak Varma,PP,pace,717,486,223,13,55.15,147.53,CSK
TM Head,PP,pace,708,459,174,18,39.33,154.25,
Shubman Gill,PP,spin,691,440,131,13,53.15,157.05,LSG
C Green,Middle,pace,690,393,96,16,43.12,175.57,KKR
SA Yadav,Middle,spin,689,428,100,18,38.28,160.98,DC
VR Iyer,Middle,spin,676,473,115,14,48.29,142.92,SRH
V Kohli,PP,spin,671,401,123,9,74.56,167.33,RR
Smaran Ravichandran,Middle,spin,660,422,92,12,55.0,156.4,PBKS
GJ Maxwell,PP,spin,650,380,96,12,54.17,171.05,DC
V Suryavanshi,PP,spin,650,401,147,10,65.0,162.09,PBKS
S Dube,Middle,pace,647,423,130,14,46.21,152.96,RR
Naman Dhir,Middle,spin,639,395,68,12,53.25,161.77,GT
SS Iyer,Middle,pace,638,416,111,19,33.58,153.37,LSG
B Sai Sudharsan,Middle,spin,632,403,89,11,57.45,156.82,PBKS
Naman Dhir,Middle,pace,622,421,96,17,36.59,147.74,GT
Tilak Varma,Middle,pace,622,430,135,22,28.27,144.65,CSK
RM Patidar,Middle,spin,617,423,109,20,30.85,145.86,KKR
N Rana,Middle,pace,614,373,102,17,36.12,164.61,PBKS
AM Rahane,Middle,pace,610,418,107,15,40.67,145.93,MI
TM Head,Middle,pace,606,410,98,13,46.62,147.8,
WG Jacks,Middle,pace,603,372,87,16,37.69,162.1,LSG
GJ Maxwell,Middle,pace,601,374,76,12,50.08,160.7,DC
PD Salt,Middle,pace,601,419,107,14,42.93,143.44,RCB
Ishan Kishan,PP,pace,598,396,181,12,49.83,151.01,MI
JM Sharma,Death,pace,574,275,65,9,63.78,208.73,RCB
B Sai Sudharsan,Middle,pace,566,422,122,13,43.54,134.12,PBKS
JC Buttler,Middle,pace,562,357,85,18,31.22,157.42,LSG
KL Rahul,PP,spin,560,392,160,9,62.22,142.86,SRH
Shubman Gill,Middle,pace,557,370,65,7,79.57,150.54,LSG
YBK Jaiswal,Middle,pace,551,347,79,12,45.92,158.79,RR
Priyansh Arya,PP,spin,546,317,118,19,28.74,172.24,RCB
Shubman Gill,Middle,spin,545,354,76,15,36.33,153.95,LSG
P Simran Singh,Middle,spin,538,345,72,16,33.62,155.94,SRH
RG Sharma,Middle,pace,536,338,87,7,76.57,158.58,KKR
FH Allen,PP,spin,536,312,110,16,33.5,171.79,PBKS
SV Samson,PP,spin,535,349,128,14,38.21,153.3,GT
S Dube,Middle,spin,530,374,111,14,37.86,141.71,RR
Tilak Varma,PP,spin,507,279,94,11,46.09,181.72,CSK
GJ Maxwell,Middle,spin,506,323,80,15,33.73,156.66,DC
AM Rahane,Middle,spin,503,338,87,11,45.73,148.82,MI
Abishek Porel,Middle,pace,502,300,68,15,33.47,167.33,RR
P Simran Singh,PP,pace,496,287,98,12,41.33,172.82,SRH
Naman Dhir,Middle,neutralish,496,283,32,7,70.86,175.27,GT
JC Buttler,PP,pace,494,341,137,15,32.93,144.87,LSG
R Parag,Middle,pace,490,319,93,13,37.69,153.61,GT
Sameer Rizvi,Death,pace,489,208,43,8,61.12,235.1,LSG
RK Singh,Death,pace,487,242,44,9,54.11,201.24,MI
Abhishek Sharma,Middle,pace,484,309,73,12,40.33,156.63,MI
N Pooran,Death,pace,481,218,42,18,26.72,220.64,MI
SS Iyer,Middle,spin,480,321,80,14,34.29,149.53,LSG
RD Gaikwad,PP,spin,479,326,125,14,34.21,146.93,GT
FH Allen,PP,pace,478,290,109,16,29.88,164.83,PBKS
Q de Kock,PP,spin,468,328,126,12,39.0,142.68,
VR Iyer,Death,spin,465,247,47,11,42.27,188.26,SRH
RD Rickelton,PP,spin,460,286,112,16,28.75,160.84,LSG
RD Gaikwad,Middle,spin,458,291,59,11,41.64,157.39,GT
JM Sharma,Middle,spin,457,269,66,9,50.78,169.89,RCB
N Pooran,Middle,spin,454,301,83,10,45.4,150.83,MI
JP Inglis,Middle,spin,453,289,53,8,56.62,156.75,GT
GJ Maxwell,PP,neutralish,453,236,62,12,37.75,191.95,DC
SP Narine,PP,spin,452,290,115,7,64.57,155.86,KKR
SP Narine,PP,pace,451,311,154,15,30.07,145.02,KKR
JM Sharma,Middle,pace,449,312,91,12,37.42,143.91,RCB
WG Jacks,PP,spin,441,301,130,13,33.92,146.51,LSG
LS Livingstone,Middle,spin,441,332,112,16,27.56,132.83,KKR
Abhishek Sharma,Middle,spin,441,272,58,17,25.94,162.13,MI
N Sindhu,Middle,pace,441,252,45,10,44.1,175.0,DC
V Kohli,Middle,pace,440,291,60,9,48.89,151.2,RR
SA Yadav,PP,pace,440,244,88,8,55.0,180.33,DC
SV Samson,Middle,spin,438,295,62,13,33.69,148.47,GT
RD Gaikwad,Middle,pace,436,261,61,19,22.95,167.05,GT
CH Gayle,PP,pace,436,257,114,6,72.67,169.65,CSK
T Stubbs,Middle,pace,435,305,82,10,43.5,142.62,CSK
KA Pollard,Death,pace,433,189,30,3,144.33,229.1,CSK
SV Samson,PP,neutralish,433,268,98,10,43.3,161.57,GT
PP Shaw,PP,pace,432,288,127,9,48.0,150.0,MI
Smaran Ravichandran,Middle,pace,432,289,72,14,30.86,149.48,PBKS
Shashank Singh,Death,pace,431,206,35,7,61.57,209.22,PBKS
Shashank Singh,Death,spin,429,216,37,8,53.62,198.61,PBKS
YBK Jaiswal,Death,spin,428,185,34,8,53.5,231.35,RR
RD Rickelton,PP,pace,426,244,87,17,25.06,174.59,LSG
RK Singh,Middle,pace,418,316,76,14,29.86,132.28,MI
WG Jacks,PP,pace,416,265,97,8,52.0,156.98,LSG
SV Samson,Middle,pace,415,311,75,14,29.64,133.44,GT
V Kohli,Middle,spin,402,309,89,17,23.65,130.1,RR
N Sindhu,PP,pace,395,251,106,12,32.92,157.37,DC
MP Stoinis,Middle,pace,395,241,58,10,39.5,163.9,KKR
Aniket Verma,Middle,pace,392,221,50,10,39.2,177.38,RR
