pitch,inning,team,wins,matches,win%
neutralish,1,CSK,0,3,0.0
neutralish,1,DC,3,5,60.0
neutralish,1,GT,1,3,33.33
neutralish,1,KKR,0,1,0.0
neutralish,1,MI,0,1,0.0
neutralish,1,PBKS,0,1,0.0
neutralish,1,RCB,0,1,0.0
neutralish,1,RR,1,2,50.0
neutralish,1,SRH,2,2,100.0
neutralish,2,CSK,1,1,100.0
neutralish,2,DC,1,2,50.0
neutralish,2,GT,1,2,50.0
neutralish,2,KKR,1,2,50.0
neutralish,2,LSG,2,2,100.0
neutralish,2,MI,2,2,100.0
neutralish,2,PBKS,1,1,100.0
neutralish,2,RCB,1,1,100.0
neutralish,2,RR,2,3,66.67
neutralish,2,SRH,0,3,0.0
pace,1,CSK,8,11,72.73
pace,1,DC,3,6,50.0
pace,1,GT,2,7,28.57
pace,1,KKR,7,12,58.33
pace,1,LSG,2,5,40.0
pace,1,MI,3,10,30.0
pace,1,PBKS,3,6,50.0
pace,1,RCB,5,10,50.0
pace,1,RR,1,4,25.0
pace,1,SRH,0,2,0.0
pace,2,CSK,7,8,87.5
pace,2,DC,2,5,40.0
pace,2,GT,2,4,50.0
pace,2,KKR,5,9,55.56
pace,2,LSG,5,11,45.45
pace,2,MI,5,8,62.5
pace,2,PBKS,2,6,33.33
pace,2,RCB,2,7,28.57
pace,2,RR,7,10,70.0
pace,2,SRH,2,5,40.0
spin,1,CSK,2,4,50.0
spin,1,DC,2,4,50.0
spin,1,GT,2,4,50.0
spin,1,KKR,1,3,33.33
spin,1,LSG,3,6,50.0
spin,1,MI,2,5,40.0
spin,1,PBKS,6,9,66.67
spin,1,RCB,1,5,20.0
spin,1,RR,3,8,37.5
spin,1,SRH,10,12,83.33
spin,2,CSK,2,5,40.0
spin,2,DC,5,9,55.56
spin,2,GT,5,8,62.5
spin,2,KKR,0,2,0.0
spin,2,LSG,2,6,33.33
spin,2,MI,1,4,25.0
spin,2,PBKS,4,7,57.14
spin,2,RCB,1,5,20.0
spin,2,RR,3,5,60.0
spin,2,SRH,5,9,55.56
