striker,num_innings,runs,balls,outs,bat_order,bat_avg,bat_sr,team
Priyansh Arya,5,244,145,5,1,48.8,168.28,S.R.H.
RM Patidar,5,236,166,5,3,47.2,142.17,R.R.
J Fraser-McGurk,5,231,143,4,3,57.75,161.54,R.C.B.
Aniket Verma,5,227,117,3,6,75.67,194.02,R.R.
JP Inglis,5,220,132,4,4,55.0,166.67,G.T.
LS Livingstone,5,210,142,5,3,42.0,147.89,S.R.H.
PD Salt,5,197,112,5,1,39.4,175.89,R.C.B.
GJ Maxwell,5,194,105,5,1,38.8,184.76,R.R.
Anmolpreet Singh,5,189,126,5,4,37.8,150.0,C.S.K.
Abhishek Sharma,5,186,111,4,1,46.5,167.57,M.I.
Abishek Porel,5,186,103,3,5,62.0,180.58,D.C.
BM Duckett,5,178,101,5,2,35.6,176.24,C.S.K.
F du Plessis,5,177,142,5,3,35.4,124.65,C.S.K.
R Parag,5,172,91,4,5,43.0,189.01,G.T.
Shubman Gill,5,172,102,5,1,34.4,168.63,L.S.G.
N Sindhu,5,167,109,5,2,33.4,153.21,D.C.
BJ McMullen,5,167,94,4,4,41.75,177.66,D.C.
Ishan Kishan,5,159,116,4,3,39.75,137.07,K.K.R.
KA Pollard,5,157,96,2,6,78.5,163.54,C.S.K.
RR Rossouw,5,156,99,5,3,31.2,157.58,M.I.
JM Bairstow,5,156,104,5,2,31.2,150.0,K.K.R.
Naman Dhir,5,156,92,5,3,31.2,169.57,G.T.
RG Sharma,5,155,103,4,3,38.75,150.49,P.B.K.S.
V Kohli,5,154,104,5,1,30.8,148.08,D.C.
JM Sharma,5,154,88,4,6,38.5,175.0,R.C.B.
SA Yadav,5,150,80,5,3,30.0,187.5,D.C.
AM Rahane,5,150,93,5,4,30.0,161.29,K.K.R.
Smaran Ravichandran,5,145,104,4,3,36.25,139.42,P.B.K.S.
RD Gaikwad,5,144,86,4,3,36.0,167.44,R.C.B.
FH Allen,5,144,92,5,2,28.8,156.52,L.S.G.
MP Stoinis,5,144,95,3,6,48.0,151.58,P.B.K.S.
Q de Kock,5,143,108,4,1,35.75,132.41,P.B.K.S.
V Suryavanshi,5,140,106,5,5,28.0,132.08,P.B.K.S.
SP Narine,5,140,69,5,2,28.0,202.9,L.S.G.
YBK Jaiswal,5,139,76,3,5,46.33,182.89,R.R.
C Green,5,139,71,3,7,46.33,195.77,R.C.B.
AK Markram,5,138,90,1,7,138.0,153.33,S.R.H.
WL Madsen,2,138,74,0,5,138.0,186.49,M.I.
B Sai Sudharsan,5,136,84,5,2,27.2,161.9,R.C.B.
H Klaasen,5,136,89,5,3,27.2,152.81,P.B.K.S.
