striker,num_innings,runs,balls,outs,bat_avg,bat_sr,team
Shubman Gill,5,293,185,3,97.67,158.38,L.S.G.
JP Inglis,5,281,142,5,56.2,197.89,G.T.
P Simran Singh,5,265,171,5,53.0,154.97,S.R.H.
Abhishek Sharma,5,257,134,5,51.4,191.79,M.I.
SS Iyer,5,255,162,3,85.0,157.41,L.S.G.
V Kohli,5,251,164,4,62.75,153.05,D.C.
Ishan Kishan,5,238,157,5,47.6,151.59,M.I.
SV Samson,5,209,136,5,41.8,153.68,G.T.
PD Salt,5,204,124,5,40.8,164.52,R.C.B.
V Suryavanshi,5,201,117,4,50.25,171.79,P.B.K.S.
PHKD Mendis,5,191,91,3,63.67,209.89,S.R.H.
BJ McMullen,5,187,98,5,37.4,190.82,R.R.
Smaran Ravichandran,5,182,120,4,45.5,151.67,P.B.K.S.
DP Conway,5,180,120,5,36.0,150.0,P.B.K.S.
R Parag,5,179,90,4,44.75,198.89,G.T.
Naman Dhir,5,175,97,3,58.33,180.41,G.T.
GJ Maxwell,5,174,110,4,43.5,158.18,R.R.
Ishaan Gadekar,3,171,117,3,57.0,146.15,R.C.B.
Aniket Verma,5,170,88,5,34.0,193.18,R.R.
N Pooran,5,167,89,2,83.5,187.64,M.I.
CH Gayle,3,156,101,3,52.0,154.46,C.S.K.
AM Rahane,5,156,108,5,31.2,144.44,M.I.
RD Rickelton,5,145,85,4,36.25,170.59,L.S.G.
KL Rahul,5,143,91,5,28.6,157.14,S.R.H.
BM Duckett,5,143,108,5,28.6,132.41,P.B.K.S.
VR Iyer,5,141,109,2,70.5,129.36,S.R.H.
TM Head,5,139,97,5,27.8,143.3,M.I.
H Klaasen,5,138,97,5,27.6,142.27,C.S.K.
SA Yadav,5,137,80,5,27.4,171.25,D.C.
BA Stokes,5,136,93,4,34.0,146.24,L.S.G.
WG Jacks,5,126,79,4,31.5,159.49,L.S.G.
Dhruv Jurel,5,119,95,4,29.75,125.26,R.C.B.
Abishek Porel,5,118,81,5,23.6,145.68,D.C.
Tilak Varma,5,118,79,5,23.6,149.37,C.S.K.
Priyansh Arya,5,117,72,3,39.0,162.5,S.R.H.
B Sai Sudharsan,5,117,85,5,23.4,137.65,C.S.K.
Rahul Singh,4,115,77,4,28.75,149.35,R.C.B.
MP Stoinis,5,115,78,4,28.75,147.44,G.T.
LG Pretorius,5,113,93,5,22.6,121.51,R.R.
Sikandar Raza,5,113,77,4,28.25,146.75,M.I.
Q de Kock,5,111,82,5,22.2,135.37,K.K.R.
JM Sharma,5,109,64,3,36.33,170.31,R.C.B.
MJ Owen,3,107,70,1,107.0,152.86,D.C.
KA Pollard,5,105,59,4,26.25,177.97,C.S.K.
AK Markram,5,105,59,4,26.25,177.97,D.C.
Atharva Taide,2,102,59,2,51.0,172.88,M.I.
MA Agarwal,5,101,55,3,33.67,183.64,R.R.
RD Gaikwad,5,100,73,5,20.0,136.99,G.T.
N Rana,5,99,64,4,24.75,154.69,P.B.K.S.
S Dube,5,99,67,4,24.75,147.76,R.R.
Shashank Singh,5,98,57,3,32.67,171.93,P.B.K.S.
C Green,5,98,55,1,98.0,178.18,K.K.R.
RG Sharma,5,96,64,4,24.0,150.0,K.K.R.
FH Allen,5,95,57,5,19.0,166.67,P.B.K.S.
KD Karthik,5,94,57,4,23.5,164.91,R.C.B.
RK Singh,5,94,60,5,18.8,156.67,M.I.
Jay Gohil,5,94,50,2,47.0,188.0,L.S.G.
RK Bhui,5,93,59,3,31.0,157.63,P.B.K.S.
J Fraser-McGurk,5,93,54,5,18.6,172.22,K.K.R.
R Powell,5,89,55,5,17.8,161.82,K.K.R.
GD Phillips,5,85,38,2,42.5,223.68,G.T.
AD Russell,5,84,40,1,84.0,210.0,D.C.
N Sindhu,5,83,54,5,16.6,153.7,D.C.
RM Patidar,5,83,71,5,16.6,116.9,K.K.R.
LS Livingstone,5,81,57,5,16.2,142.11,R.C.B.
SP Narine,5,80,52,5,16.0,153.85,K.K.R.
DS Airee,5,79,55,5,15.8,143.64,R.C.B.
TH David,5,76,56,4,19.0,135.71,R.R.
Arshad Khan,5,75,27,3,25.0,277.78,R.R.
Shahbaz Ahmed,5,75,52,4,18.75,144.23,G.T.
JG Bethell,5,75,53,3,25.0,141.51,S.R.H.
RA Tripathi,5,73,70,5,14.6,104.29,K.K.R.
AR Patel,5,73,49,5,14.6,148.98,C.S.K.
Abdul Samad,5,72,43,2,36.0,167.44,L.S.G.
RA Bawa,5,71,41,3,23.67,173.17,S.R.H.
R Ashwin,5,71,43,3,23.67,165.12,
HH Pandya,5,70,42,1,70.0,166.67,M.I.
RR Pant,5,69,51,5,13.8,135.29,G.T.
WL Madsen,5,69,53,3,23.0,130.19,M.I.
DJ Hooda,5,69,38,4,17.25,181.58,L.S.G.
Urvil Patel,5,63,39,4,15.75,161.54,D.C.
RA Jadeja,5,62,34,2,31.0,182.35,R.C.B.
MS Dhoni,5,61,55,4,15.25,110.91,K.K.R.
Nithish Kumar Reddy,5,61,45,2,30.5,135.56,S.R.H.
Kartik Sharma,5,61,49,4,15.25,124.49,S.R.H.
RR Rossouw,5,61,38,2,30.5,160.53,S.R.H.
D Padikkal,2,59,45,2,29.5,131.11,K.K.R.
JR Hazlewood,5,56,44,3,18.67,127.27,R.R.
KH Pandya,5,55,45,5,11.0,122.22,S.R.H.
Sameer Rizvi,5,53,24,2,26.5,220.83,L.S.G.
PP Shaw,5,51,43,5,10.2,118.6,R.C.B.
KK Nair,3,49,41,2,24.5,119.51,G.T.
JC Buttler,5,45,41,4,11.25,109.76,L.S.G.
M Markande,5,45,57,2,22.5,78.95,S.R.H.
JL Smith,1,45,28,1,45.0,160.71,K.K.R.
Azmatullah Omarzai,5,44,26,4,11.0,169.23,S.R.H.
Salman Nizar,3,42,29,2,21.0,144.83,R.R.
T Stubbs,5,42,36,3,14.0,116.67,C.S.K.
YBK Jaiswal,5,40,28,5,8.0,142.86,R.R.
HV Patel,5,38,44,5,7.6,86.36,R.R.
N Wadhera,5,37,33,4,9.25,112.12,K.K.R.
Washington Sundar,5,37,22,4,9.25,168.18,P.B.K.S.
SH Johnson,4,36,23,3,12.0,156.52,K.K.R.
R Sai Kishore,3,36,23,2,18.0,156.52,M.I.
Yuvraj Chaudhary,4,35,26,4,8.75,134.62,R.C.B.
TA Boult,5,34,25,3,11.33,136.0,M.I.
Bhanu Pania,3,34,33,3,11.33,103.03,K.K.R.
PWH de Silva,4,33,22,1,33.0,150.0,P.B.K.S.
Suryansh Shedge,5,32,33,5,6.4,96.97,C.S.K.
Harpreet Brar,5,32,29,3,10.67,110.34,P.B.K.S.
VG Arora,5,31,17,2,15.5,182.35,K.K.R.
MA Starc,5,31,32,3,10.33,96.88,K.K.R.
Akash Vasisht,5,30,19,4,7.5,157.89,D.C.
M Shahrukh Khan,5,30,32,5,6.0,93.75,G.T.
JC Archer,5,30,36,3,10.0,83.33,L.S.G.
Rashid Khan,5,30,25,3,10.0,120.0,G.T.
Ramandeep Singh,5,30,18,2,15.0,166.67,L.S.G.
MK Lomror,5,30,27,4,7.5,111.11,S.R.H.
Avesh Khan,5,29,21,4,7.25,138.1,G.T.
PJ Cummins,5,29,26,3,9.67,111.54,R.R.
Shakib Al Hasan,5,28,20,4,7.0,140.0,P.B.K.S.
