venue,phase,innings,run_rate,strike_rate,bowl_strike_rate,bpb,dot_%
CSK,death,1,10.18,169.65,11.38,4.46,31.99
CSK,death,2,11.46,191.03,10.02,3.74,31.75
CSK,middle,1,8.7,145.0,22.83,6.86,25.96
CSK,middle,2,9.12,152.01,20.11,6.68,28.27
CSK,pp,1,9.7,161.64,23.14,3.83,40.87
CSK,pp,2,9.61,160.19,23.87,4.0,45.06
CSK_2,death,1,9.77,162.8,10.63,4.71,41.58
CSK_2,death,2,10.63,177.21,10.36,4.34,39.68
CSK_2,middle,1,8.23,137.15,20.57,6.22,38.89
CSK_2,middle,2,8.91,148.43,21.49,5.93,33.71
CSK_2,pp,1,9.45,157.47,26.18,3.79,52.43
CSK_2,pp,2,8.19,136.46,24.0,4.61,52.78
DC,death,1,11.8,196.59,16.13,3.52,25.59
DC,death,2,11.47,191.09,9.92,3.89,28.81
DC,middle,1,9.61,160.12,23.82,5.59,26.88
DC,middle,2,9.31,155.19,26.34,6.63,22.93
DC,pp,1,10.4,173.29,27.0,3.56,37.08
DC,pp,2,11.26,187.59,31.3,3.3,33.98
DC_2,death,1,9.03,150.56,10.68,6.07,44.19
DC_2,death,2,11.42,190.36,8.95,3.86,32.49
DC_2,middle,1,8.99,149.81,17.87,5.83,32.84
DC_2,middle,2,9.07,151.23,25.58,5.23,34.36
DC_2,pp,1,8.98,149.74,23.88,4.44,51.57
DC_2,pp,2,8.19,136.42,18.0,5.06,53.4
GT,death,1,11.6,193.38,11.04,3.64,27.92
GT,death,2,11.66,194.37,11.47,3.82,27.45
GT,middle,1,9.45,157.53,24.36,5.77,22.28
GT,middle,2,9.58,159.65,24.9,5.9,22.09
GT,pp,1,10.02,166.94,27.69,3.87,36.67
GT,pp,2,10.78,179.68,26.67,3.55,33.89
GT_2,death,1,10.04,167.34,10.11,4.73,36.86
GT_2,death,2,9.97,166.18,10.54,4.95,37.47
GT_2,middle,1,7.79,129.76,19.42,7.9,35.12
GT_2,middle,2,8.33,138.8,16.28,6.92,35.13
GT_2,pp,1,8.01,133.44,27.77,4.98,48.35
GT_2,pp,2,8.34,139.07,27.71,5.22,48.14
KKR,death,1,9.76,162.69,10.99,4.51,35.65
KKR,death,2,9.98,166.38,8.06,4.41,36.65
KKR,middle,1,8.9,148.34,21.52,6.19,28.27
KKR,middle,2,8.63,143.77,19.81,7.04,28.92
KKR,pp,1,8.98,149.71,21.6,4.17,45.86
KKR,pp,2,8.7,144.98,25.65,4.43,45.76
KKR_2,death,1,10.75,179.18,12.19,4.34,38.17
KKR_2,death,2,12.21,203.49,22.9,3.95,25.33
KKR_2,middle,1,8.2,136.73,15.8,6.06,33.64
KKR_2,middle,2,8.71,145.09,25.04,6.13,31.28
KKR_2,pp,1,9.24,153.94,19.64,3.93,54.4
KKR_2,pp,2,9.85,164.12,18.78,3.72,47.92
LSG,death,1,10.31,171.76,13.28,4.31,31.43
LSG,death,2,10.44,174.05,10.91,4.36,27.83
LSG,middle,1,9.23,153.79,23.2,6.08,25.71
LSG,middle,2,9.06,151.05,22.81,6.87,25.48
LSG,pp,1,9.51,158.52,24.13,4.14,41.53
LSG,pp,2,9.66,160.97,24.4,4.14,37.61
LSG_2,death,1,9.5,158.28,10.03,5.21,40.3
LSG_2,death,2,8.4,140.0,11.07,6.07,42.69
LSG_2,middle,1,7.39,123.25,21.49,8.22,37.82
LSG_2,middle,2,7.4,123.38,20.14,7.83,38.65
LSG_2,pp,1,7.35,122.53,18.51,6.06,50.99
LSG_2,pp,2,8.15,135.78,18.24,5.1,50.44
MI,death,1,10.81,180.12,13.04,4.01,31.47
MI,death,2,11.31,188.5,10.87,3.7,31.78
MI,middle,1,8.98,149.67,25.95,6.51,27.39
MI,middle,2,8.8,146.62,22.26,7.01,28.22
MI,pp,1,9.8,163.4,24.8,3.88,38.98
MI,pp,2,10.34,172.4,23.74,3.57,39.74
MI_2,death,1,11.06,184.35,11.39,3.97,37.02
MI_2,death,2,10.38,172.95,8.62,3.83,38.16
MI_2,middle,1,9.49,158.23,17.36,5.17,34.16
MI_2,middle,2,9.72,161.93,20.25,5.28,30.45
MI_2,pp,1,10.78,179.63,32.4,3.34,44.44
MI_2,pp,2,8.69,144.75,18.0,4.76,48.15
PBKS,death,1,10.12,168.69,14.53,4.7,28.15
PBKS,death,2,9.59,159.87,9.01,4.79,39.81
PBKS,middle,1,8.33,138.84,20.33,7.07,29.21
PBKS,middle,2,8.57,142.8,16.31,6.87,30.88
PBKS,pp,1,8.93,148.88,21.88,4.43,42.7
PBKS,pp,2,8.48,141.26,19.24,4.95,45.03
PBKS_2,death,1,13.25,220.77,16.96,3.15,29.49
PBKS_2,death,2,12.02,200.36,11.2,3.18,42.14
PBKS_2,middle,1,8.92,148.69,22.03,5.59,33.98
PBKS_2,middle,2,8.91,148.58,18.0,5.8,36.04
PBKS_2,pp,1,8.96,149.4,26.53,4.27,47.02
PBKS_2,pp,2,8.83,147.22,18.72,4.11,53.21
RCB,death,1,11.43,190.45,12.9,3.63,31.52
RCB,death,2,10.93,182.24,9.87,4.06,31.34
RCB,middle,1,9.06,151.04,19.31,5.89,28.36
RCB,middle,2,8.89,148.16,20.18,6.75,28.49
RCB,pp,1,9.79,163.19,21.74,3.87,38.85
RCB,pp,2,9.99,166.49,21.94,3.83,39.97
RCB_2,death,1,11.49,191.43,10.04,3.97,32.76
RCB_2,death,2,9.61,160.23,10.55,5.07,37.62
RCB_2,middle,1,9.22,153.61,20.47,5.9,28.92
RCB_2,middle,2,9.08,151.34,19.97,5.77,32.6
RCB_2,pp,1,9.49,158.08,24.63,4.17,44.37
RCB_2,pp,2,9.61,160.12,20.43,4.1,44.24
RR,death,1,11.67,194.53,13.18,3.61,30.51
RR,death,2,10.98,183.07,9.9,4.25,30.18
RR,middle,1,9.08,151.28,19.49,6.04,28.09
RR,middle,2,9.2,153.41,20.09,6.38,26.39
RR,pp,1,10.04,167.26,24.89,3.69,38.85
RR,pp,2,10.46,174.36,24.89,3.71,34.32
RR_2,death,1,10.6,176.6,11.1,4.86,44.89
RR_2,death,2,9.69,161.48,13.18,5.23,39.19
RR_2,middle,1,7.95,132.5,22.0,7.04,40.23
RR_2,middle,2,7.95,132.49,18.67,7.56,39.01
RR_2,pp,1,8.77,146.19,22.77,4.62,53.7
RR_2,pp,2,9.19,153.17,20.28,4.61,50.11
SRH,death,1,10.92,181.96,13.54,4.01,27.48
SRH,death,2,10.44,173.95,9.65,4.49,29.25
SRH,middle,1,9.01,150.11,22.65,6.51,24.96
SRH,middle,2,8.83,147.16,23.28,7.4,23.96
SRH,pp,1,9.91,165.13,27.53,4.03,36.58
SRH,pp,2,10.14,168.97,29.25,3.97,37.31
SRH_2,death,1,9.97,166.18,10.71,5.53,31.55
SRH_2,death,2,9.45,157.51,9.81,5.5,34.13
SRH_2,middle,1,8.31,138.52,21.27,7.29,30.87
SRH_2,middle,2,8.36,139.4,19.55,7.26,32.13
SRH_2,pp,1,9.06,151.05,21.56,4.53,44.98
SRH_2,pp,2,9.02,150.39,20.57,4.61,43.59
