position,runs,balls,fours,sixes,dots,striker,outs,SR,Bat_avg,bpb,dot_%,Curr_Tm
1,2463,1600,232,78,431,Shubman Gill,53,153.94,46.47,5.16,26.94,LSG
1,2302,1319,227,90,321,GJ Maxwell,52,174.53,44.27,4.16,24.34,RR
3,1946,1136,195,72,284,SA Yadav,38,171.3,51.21,4.25,25.0,DC
4,1912,1156,138,95,290,N Pooran,42,165.4,45.52,4.96,25.09,MI
2,1606,959,150,64,251,P Simran Singh,44,167.47,36.5,4.48,26.17,SRH
1,1538,883,148,61,225,Abhishek Sharma,30,174.18,51.27,4.22,25.48,MI
2,1481,891,137,67,273,RD Rickelton,49,166.22,30.22,4.37,30.64,LSG
3,1409,935,122,64,311,Tilak Varma,37,150.7,38.08,5.03,33.26,CSK
2,1374,868,131,48,250,V Kohli,31,158.29,44.32,4.85,28.8,DC
5,1363,700,115,67,139,YBK Jaiswal,24,194.71,56.79,3.85,19.86,RR
2,1362,865,135,52,273,PD Salt,36,157.46,37.83,4.63,31.56,RCB
4,1301,833,106,57,236,SS Iyer,38,156.18,34.24,5.11,28.33,LSG
4,1268,783,86,49,194,Smaran Ravichandran,37,161.94,34.27,5.8,24.78,PBKS
2,1240,775,112,46,220,SV Samson,26,160.0,47.69,4.91,28.39,GT
3,1237,712,105,42,115,Naman Dhir,24,173.74,51.54,4.84,16.15,GT
3,1235,845,109,41,261,AM Rahane,33,146.15,37.42,5.63,30.89,MI
2,1215,733,112,50,212,FH Allen,37,165.76,32.84,4.52,28.92,PBKS
3,1199,857,105,39,275,RM Patidar,41,139.91,29.24,5.95,32.09,KKR
3,1175,709,101,57,210,WG Jacks,35,165.73,33.57,4.49,29.62,LSG
4,1152,730,76,64,227,S Dube,29,157.81,39.72,5.21,31.1,RR
3,1111,796,81,55,278,LS Livingstone,33,139.57,33.67,5.85,34.92,KKR
1,1083,733,116,31,243,TM Head,32,147.75,33.84,4.99,33.15,GT
1,1027,614,108,36,173,V Suryavanshi,29,167.26,35.41,4.26,28.18,PBKS
6,1013,583,72,50,125,Shashank Singh,18,173.76,56.28,4.78,21.44,PBKS
2,921,599,98,28,197,B Sai Sudharsan,25,153.76,36.84,4.75,32.89,CSK
1,905,544,93,34,167,PD Salt,26,166.36,34.81,4.28,30.7,RCB
1,902,628,104,18,216,SV Samson,28,143.63,32.21,5.15,34.39,GT
5,876,459,73,47,92,JM Sharma,15,190.85,58.4,3.82,20.04,RCB
4,865,504,64,35,98,JP Inglis,19,171.63,45.53,5.09,19.44,GT
5,865,517,66,35,127,JC Buttler,27,167.31,32.04,5.12,24.56,LSG
2,856,520,78,35,137,RD Gaikwad,19,164.62,45.05,4.6,26.35,GT
1,829,525,93,27,168,RD Gaikwad,22,157.9,37.68,4.38,32.0,GT
4,781,510,58,30,121,KL Rahul,19,153.14,41.11,5.8,23.73,SRH
1,770,451,73,34,140,Priyansh Arya,23,170.73,33.48,4.21,31.04,SRH
2,743,520,58,31,179,Q de Kock,23,142.88,32.3,5.84,34.42,
5,734,409,51,42,99,R Parag,21,179.46,34.95,4.4,24.21,GT
3,720,460,64,30,131,KL Rahul,15,156.52,48.0,4.89,28.48,SRH
1,708,441,60,33,141,CH Gayle,17,160.54,41.65,4.74,31.97,CSK
4,701,471,67,23,139,VR Iyer,15,148.83,46.73,5.23,29.51,SRH
1,700,454,72,20,139,DP Conway,18,154.19,38.89,4.93,30.62,PBKS
1,695,475,67,30,185,Ishan Kishan,23,146.32,30.22,4.9,38.95,MI
5,690,392,64,31,97,Abishek Porel,16,176.02,43.12,4.13,24.74,DC
2,685,421,81,18,137,Tilak Varma,19,162.71,36.05,4.25,32.54,CSK
3,683,395,69,27,119,S Dube,13,172.91,52.54,4.11,30.13,RR
3,679,404,75,19,104,RD Gaikwad,22,168.07,30.86,4.3,25.74,GT
3,671,459,50,28,148,B Sai Sudharsan,23,146.19,29.17,5.88,32.24,CSK
1,665,406,57,30,129,N Sindhu,21,163.79,31.67,4.67,31.77,DC
6,664,361,49,37,73,Sameer Rizvi,13,183.93,51.08,4.2,20.22,LSG
2,659,384,72,24,105,Abhishek Sharma,19,171.61,34.68,4.0,27.34,MI
2,658,428,78,17,137,TM Head,17,153.74,38.71,4.51,32.01,GT
1,635,406,58,26,124,P Simran Singh,17,156.4,37.35,4.83,30.54,SRH
1,633,421,65,25,141,Q de Kock,23,150.36,27.52,4.68,33.49,
4,629,354,60,18,55,Naman Dhir,14,177.68,44.93,4.54,15.54,GT
1,623,407,74,18,143,V Kohli,22,153.07,28.32,4.42,35.14,DC
4,612,361,57,25,85,T Stubbs,10,169.53,61.2,4.4,23.55,CSK
5,587,377,50,19,87,RK Singh,16,155.7,36.69,5.46,23.08,MI
4,585,373,54,26,119,C Green,23,156.84,25.43,4.66,31.9,KKR
6,580,331,42,33,101,JM Sharma,17,175.23,34.12,4.41,30.51,RCB
5,550,307,40,27,54,VR Iyer,10,179.15,55.0,4.58,17.59,SRH
5,549,359,36,23,94,H Klaasen,14,152.92,39.21,6.08,26.18,CSK
4,546,294,39,32,64,Aniket Verma,9,185.71,60.67,4.14,21.77,RR
1,530,309,46,26,91,BM Duckett,16,171.52,33.12,4.29,29.45,RCB
2,522,319,50,20,79,JP Inglis,12,163.64,43.5,4.56,24.76,GT
5,519,382,32,22,126,T Stubbs,19,135.86,27.32,7.07,32.98,CSK
5,511,363,43,15,118,Dhruv Jurel,15,140.77,34.07,6.26,32.51,RCB
4,509,289,46,23,75,BJ McMullen,15,176.12,33.93,4.19,25.95,RR
1,494,333,43,22,109,KL Rahul,11,148.35,44.91,5.12,32.73,SRH
4,493,318,33,23,89,Urvil Patel,13,155.03,37.92,5.68,27.99,MI
2,483,299,51,18,103,JC Buttler,14,161.54,34.5,4.33,34.45,LSG
4,481,303,30,26,87,Nithish Kumar Reddy,17,158.75,28.29,5.41,28.71,SRH
3,472,345,46,19,143,Ishan Kishan,18,136.81,26.22,5.31,41.45,MI
1,461,332,51,12,120,PP Shaw,13,138.86,35.46,5.27,36.14,RCB
7,456,320,32,20,106,Washington Sundar,19,142.5,24.0,6.15,33.12,PBKS
4,452,295,36,19,91,AM Rahane,17,153.22,26.59,5.36,30.85,MI
1,449,321,46,19,133,SP Narine,14,139.88,32.07,4.94,41.43,KKR
3,447,256,48,18,70,Aniket Verma,12,174.61,37.25,3.88,27.34,RR
3,444,300,38,14,86,SS Iyer,11,148.0,40.36,5.77,28.67,LSG
2,439,365,29,21,152,F du Plessis,20,120.27,21.95,7.3,41.64,GT
3,437,263,47,17,80,N Rana,11,166.16,39.73,4.11,30.42,PBKS
6,434,217,44,19,53,Abishek Porel,11,200.0,39.45,3.44,24.42,DC
2,433,276,44,16,100,PP Shaw,15,156.88,28.87,4.6,36.23,RCB
2,417,220,42,17,66,N Sindhu,11,189.55,37.91,3.73,30.0,DC
2,416,285,48,12,92,JM Bairstow,13,145.96,32.0,4.75,32.28,
2,413,272,30,21,94,SP Narine,11,151.84,37.55,5.33,34.56,KKR
