striker,bowler,runs_scored,balls_bowled,outs,4s,6s,bat_sr,bowl_eco,dot%
Shubman Gill,TA Boult,87,48,4,14,1,181.25,11.0,27.08
GJ Maxwell,JJ Bumrah,78,46,4,9,3,169.57,10.17,32.61
Naman Dhir,YS Chahal,77,38,4,7,3,202.63,12.32,15.79
SS Iyer,B Kumar,63,35,4,8,2,180.0,10.8,22.86
P Simran Singh,Washington Sundar,58,31,4,5,4,187.1,11.23,25.81
KL Rahul,CV Varun,54,47,4,2,3,114.89,6.89,38.3
KL Rahul,Arshdeep Singh,53,33,4,4,3,160.61,9.82,39.39
Shubman Gill,JR Hazlewood,52,37,4,5,3,140.54,8.59,48.65
WG Jacks,AK Markram,47,22,4,1,4,213.64,12.82,31.82
B Sai Sudharsan,JR Hazlewood,39,29,4,3,1,134.48,8.07,34.48
SV Samson,T Natarajan,28,27,4,3,1,103.7,6.22,55.56
Ishan Kishan,Avesh Khan,28,22,4,1,2,127.27,7.64,36.36
N Pooran,M Pathirana,124,66,3,18,3,187.88,11.36,30.3
RD Gaikwad,T Natarajan,81,37,3,10,4,213.16,13.46,26.32
Abdul Samad,B Kumar,76,40,3,5,6,190.0,11.4,32.5
Aniket Verma,JC Archer,69,37,3,4,6,186.49,11.35,32.43
PD Salt,Shashank Singh,69,37,3,5,4,186.49,11.35,21.62
P Simran Singh,Sandeep Sharma,67,40,3,6,2,167.5,10.35,30.0
GJ Maxwell,Kuldeep Yadav,64,33,3,7,3,193.94,11.64,24.24
SV Samson,Mayank Dagar,62,39,3,8,0,158.97,9.54,20.51
YBK Jaiswal,MA Starc,62,30,3,8,3,206.67,12.6,26.67
GJ Maxwell,Avesh Khan,57,43,3,4,2,132.56,8.23,34.88
KL Rahul,T Natarajan,57,32,3,6,4,178.12,10.69,43.75
P Simran Singh,M Siddharth,56,34,3,3,3,164.71,10.06,35.29
F du Plessis,TA Boult,55,37,3,6,2,148.65,9.24,37.84
R Parag,M Pathirana,55,23,3,3,5,239.13,14.61,21.74
GJ Maxwell,Arshdeep Singh,51,31,3,8,1,164.52,10.06,38.71
BJ McMullen,M Pathirana,50,25,3,6,2,200.0,12.24,32.0
PD Salt,Mohammad Ghazanfar,49,33,3,5,1,148.48,9.09,30.3
RK Singh,B Kumar,49,27,3,5,2,181.48,10.89,22.22
RD Rickelton,R Sai Kishore,47,36,3,6,1,130.56,7.83,47.22
Urvil Patel,M Pathirana,44,24,3,5,2,183.33,11.0,29.17
SA Yadav,JR Hazlewood,43,31,3,3,3,138.71,8.32,48.39
B Sai Sudharsan,Rasikh Salam,43,30,3,4,2,143.33,8.6,43.33
JP Inglis,SP Narine,42,32,3,4,0,131.25,7.88,21.88
N Pooran,JC Archer,42,26,3,6,1,161.54,9.69,42.31
P Simran Singh,YS Chahal,39,30,3,1,2,130.0,8.0,26.67
RD Gaikwad,MA Starc,36,24,3,5,1,150.0,9.0,37.5
VR Iyer,YS Chahal,34,28,3,5,0,117.24,7.71,44.83
Tilak Varma,RA Jadeja,34,20,3,3,2,170.0,10.2,35.0
T Stubbs,M Prasidh Krishna,33,26,3,6,0,126.92,7.62,46.15
Ashutosh Sharma,M Prasidh Krishna,33,24,3,2,2,137.5,8.25,29.17
LS Livingstone,YS Chahal,32,30,3,1,3,106.67,6.6,56.67
Tilak Varma,JC Archer,31,29,3,3,1,106.9,6.62,51.72
KL Rahul,A Zampa,30,20,3,1,2,150.0,9.0,30.0
B Sai Sudharsan,JJ Bumrah,29,28,3,1,2,103.57,6.43,46.43
Q de Kock,Rashid Khan,27,29,3,3,0,93.1,6.0,51.72
V Suryavanshi,R Sai Kishore,26,20,3,4,1,130.0,8.1,60.0
MP Stoinis,AR Patel,25,20,3,3,0,125.0,7.8,35.0
SV Samson,Shashank Singh,17,21,3,3,0,80.95,4.86,61.9
PD Salt,TA Boult,125,79,2,13,4,158.23,9.65,29.11
RM Patidar,Washington Sundar,112,59,2,13,5,189.83,11.49,25.42
Abhishek Sharma,Arshdeep Singh,109,61,2,15,4,178.69,10.72,32.79
Abhishek Sharma,JR Hazlewood,101,50,2,7,9,202.0,12.36,36.0
Shubman Gill,HH Pandya,101,45,2,13,5,224.44,13.6,24.44
RD Rickelton,M Prasidh Krishna,95,46,2,8,5,206.52,12.52,15.22
KL Rahul,SP Narine,92,66,2,9,2,139.39,8.73,34.85
SV Samson,M Prasidh Krishna,92,53,2,11,2,173.58,10.64,24.53
Naman Dhir,M Prasidh Krishna,88,49,2,10,1,179.59,10.9,18.37
PD Salt,Arshdeep Singh,85,45,2,12,2,188.89,11.47,24.44
SV Samson,RA Jadeja,83,48,2,6,4,172.92,10.75,29.17
S Dube,SP Narine,81,41,2,6,6,197.56,12.0,29.27
PD Salt,JJ Bumrah,78,48,2,10,2,162.5,9.75,27.08
V Suryavanshi,Arshdeep Singh,76,34,2,8,4,223.53,13.94,26.47
RD Gaikwad,Mohammad Nabi,75,41,2,10,2,182.93,10.98,19.51
YBK Jaiswal,C Green,74,32,2,6,4,231.25,13.88,12.5
RD Gaikwad,R Sai Kishore,73,42,2,7,3,173.81,10.43,33.33
Abhishek Sharma,M Prasidh Krishna,72,51,2,5,2,141.18,8.59,21.57
Abhishek Sharma,Shashank Singh,72,46,2,10,1,156.52,9.39,34.78
Abishek Porel,B Kumar,72,37,2,7,3,194.59,12.0,18.92
RG Sharma,Suryansh Shedge,71,37,2,3,5,191.89,11.68,24.32
Tilak Varma,Arshdeep Singh,69,35,2,11,1,197.14,12.17,31.43
Q de Kock,Arshdeep Singh,69,31,2,9,3,222.58,13.94,35.48
GJ Maxwell,Rashid Khan,68,35,2,5,3,194.29,11.66,8.57
N Sindhu,B Kumar,67,27,2,2,7,248.15,14.89,22.22
Priyansh Arya,WG Jacks,66,35,2,7,2,188.57,11.49,25.71
RD Gaikwad,JJ Bumrah,65,35,2,7,2,185.71,11.31,17.14
N Rana,Avesh Khan,65,33,2,11,2,196.97,11.82,36.36
GJ Maxwell,TA Boult,64,35,2,8,1,182.86,11.14,22.86
P Simran Singh,Arshdeep Singh,63,36,2,6,3,170.27,10.83,32.43
RR Rossouw,AR Patel,61,38,2,6,1,160.53,9.95,23.68
S Dube,Rasikh Salam,61,31,2,4,4,196.77,12.0,22.58
S Dube,AK Markram,60,27,2,6,3,222.22,13.56,22.22
PP Shaw,M Prasidh Krishna,59,31,2,8,2,190.32,12.0,41.94
Ishan Kishan,Arshdeep Singh,58,46,2,6,2,126.09,7.7,45.65
AM Rahane,M Pathirana,58,43,2,7,1,134.88,8.09,30.23
Tilak Varma,MA Starc,56,45,2,5,3,124.44,7.6,48.89
B Sai Sudharsan,Mohammad Nabi,56,33,2,6,1,169.7,10.36,15.15
GJ Maxwell,T Natarajan,55,34,2,9,0,161.76,9.71,23.53
AM Rahane,Avesh Khan,55,23,2,6,3,239.13,14.35,26.09
V Kohli,HH Pandya,54,36,2,5,2,150.0,9.0,33.33
V Kohli,DS Rathi,54,28,2,5,2,192.86,11.57,17.86
B Sai Sudharsan,Avesh Khan,52,31,2,4,3,167.74,10.06,25.81
RD Gaikwad,GJ Maxwell,52,28,2,6,1,185.71,11.14,10.71
Aniket Verma,B Kumar,52,27,2,4,4,192.59,11.56,37.04
N Pooran,AR Patel,51,29,2,5,3,175.86,10.55,27.59
PD Salt,B Kumar,51,27,2,8,1,188.89,11.33,33.33
S Dube,MP Yadav,51,25,2,5,3,204.0,12.48,32.0
Shubman Gill,B Kumar,50,34,2,7,1,147.06,8.82,38.24
Naman Dhir,Karan Lal,48,28,2,3,2,171.43,10.71,17.86
Abishek Porel,JJ Bumrah,48,23,2,2,4,208.7,12.52,17.39
Shubman Gill,Shakib Al Hasan,48,20,2,2,5,240.0,14.4,35.0
RG Sharma,JJ Bumrah,47,25,2,5,2,188.0,11.76,40.0
S Dube,TA Boult,46,38,2,5,1,121.05,7.26,42.11
Abhishek Sharma,Mohammed Siraj,46,29,2,4,2,158.62,9.52,31.03
P Simran Singh,M Pathirana,46,29,2,3,2,158.62,9.52,24.14
RD Gaikwad,JR Hazlewood,45,36,2,2,2,125.0,7.83,30.56
GJ Maxwell,Shashank Singh,45,32,2,5,2,140.62,8.62,46.88
GJ Maxwell,C Green,45,30,2,3,2,150.0,9.6,36.67
VR Iyer,Arshdeep Singh,45,27,2,4,2,166.67,10.22,25.93
YBK Jaiswal,WG Jacks,45,27,2,3,2,166.67,10.44,25.93
YBK Jaiswal,JC Archer,45,25,2,3,3,180.0,10.8,28.0
V Suryavanshi,SP Narine,45,24,2,6,1,187.5,11.5,16.67
Naman Dhir,C Green,44,33,2,3,1,129.41,8.18,32.35
Shubman Gill,Fazalhaq Farooqi,44,30,2,5,1,146.67,9.2,43.33
JC Buttler,Karan Lal,44,26,2,1,4,169.23,10.15,23.08
SA Yadav,C Sakariya,44,25,2,4,2,176.0,10.8,24.0
SS Iyer,M Pathirana,44,25,2,7,1,176.0,10.8,36.0
SV Samson,Fazalhaq Farooqi,43,35,2,7,0,122.86,7.37,40.0
SV Samson,JJ Bumrah,43,33,2,3,1,130.3,8.0,24.24
TM Head,M Prasidh Krishna,43,28,2,7,0,153.57,9.64,39.29
Abhishek Sharma,MA Starc,43,26,2,3,3,165.38,10.85,46.15
SA Yadav,AR Patel,43,26,2,3,2,165.38,10.15,26.92
DJ Hooda,Jagjit Singh,43,22,2,4,3,195.45,11.73,36.36
Abhishek Sharma,M Pathirana,42,27,2,3,2,155.56,9.33,29.63
RD Gaikwad,Shashank Singh,42,26,2,6,1,161.54,9.69,34.62
TM Head,MA Starc,42,22,2,5,1,182.61,12.27,30.43
PD Salt,Kuldeep Yadav,41,28,2,4,1,146.43,8.79,32.14
V Kohli,Shashank Singh,40,29,2,6,1,137.93,8.48,48.28
JP Inglis,C Green,40,23,2,3,1,173.91,10.43,17.39
VR Iyer,MA Starc,40,23,2,3,3,173.91,10.43,30.43
SV Samson,PJ Cummins,40,20,2,5,1,200.0,12.6,35.0
V Kohli,WG Jacks,40,20,2,6,1,200.0,12.0,20.0
BJ McMullen,Naseem Shah,39,37,2,1,1,105.41,6.49,48.65
Shubman Gill,MA Starc,39,32,2,4,2,118.18,7.5,51.52
WG Jacks,Kuldeep Yadav,39,28,2,5,1,139.29,8.36,39.29
WG Jacks,Shakib Al Hasan,39,25,2,4,2,156.0,9.36,44.0
RM Patidar,Rashid Khan,39,23,2,1,4,169.57,10.17,30.43
FH Allen,C Sakariya,39,22,2,1,2,177.27,10.64,9.09
LS Livingstone,Shahbaz Ahmed,39,22,2,1,4,177.27,10.64,31.82
Priyansh Arya,Arshdeep Singh,38,32,2,4,1,118.75,7.12,37.5
V Kohli,Naveen-ul-Haq,38,29,2,5,0,131.03,7.86,31.03
Tilak Varma,Ravi Bishnoi,38,27,2,3,1,140.74,9.33,37.04
Naman Dhir,Kuldeep Yadav,38,22,2,4,1,172.73,10.36,13.64
SS Iyer,Kuldeep Yadav,36,28,2,5,0,128.57,8.14,39.29
Tilak Varma,HH Pandya,36,25,2,4,0,144.0,8.64,24.0
N Sindhu,R Shepherd,35,31,2,3,1,112.9,6.77,35.48
RD Gaikwad,A Zampa,35,26,2,3,2,134.62,8.31,46.15
PD Salt,Tanush Kotian,35,23,2,1,2,152.17,9.39,30.43
PD Salt,Swapnil Singh,35,22,2,2,2,159.09,9.82,31.82
JP Inglis,YS Chahal,35,21,2,3,2,166.67,10.0,23.81
Q de Kock,Harpreet Brar,34,27,2,3,1,125.93,7.56,25.93
AM Rahane,Suryansh Shedge,33,30,2,3,1,110.0,6.6,43.33
TM Head,Mohammad Nabi,33,29,2,6,0,113.79,7.24,62.07
Nithish Kumar Reddy,YS Chahal,33,25,2,1,2,126.92,8.16,26.92
TM Head,M Jansen,33,23,2,6,0,143.48,8.61,34.78
Q de Kock,M Pathirana,33,22,2,5,0,150.0,9.0,36.36
JC Buttler,M Pathirana,33,21,2,3,1,157.14,9.71,19.05
B Sai Sudharsan,NT Ellis,33,20,2,3,2,165.0,9.9,45.0
CH Gayle,B Kumar,32,23,2,3,2,139.13,8.35,43.48
Naman Dhir,JJ Bumrah,32,23,2,2,1,139.13,8.35,17.39
JP Inglis,GJ Maxwell,32,21,2,1,2,152.38,9.14,33.33
RD Gaikwad,Washington Sundar,32,21,2,2,1,152.38,9.71,28.57
N Sindhu,PJ Cummins,31,22,2,2,0,140.91,8.73,27.27
JM Sharma,Mohammad Nabi,31,20,2,3,1,155.0,9.3,20.0
LS Livingstone,Noor Ahmad,30,27,2,4,0,111.11,6.89,48.15
N Pooran,GJ Maxwell,30,22,2,1,2,136.36,8.18,27.27
FH Allen,HH Pandya,29,25,2,4,1,116.0,7.68,68.0
Tilak Varma,JR Hazlewood,29,24,2,4,1,120.83,7.75,66.67
RD Gaikwad,I Sharma,29,20,2,2,1,145.0,8.7,20.0
N Pooran,Mustafizur Rahman,28,22,2,1,3,127.27,7.64,54.55
RD Rickelton,DS Rathi,28,22,2,4,0,127.27,7.64,36.36
JP Inglis,M Pathirana,28,21,2,1,2,133.33,8.0,33.33
YBK Jaiswal,Shahbaz Ahmed,28,20,2,1,2,140.0,8.4,30.0
Priyansh Arya,V Puthur,27,27,2,3,1,100.0,6.22,66.67
JP Inglis,WG Jacks,27,23,2,3,0,117.39,7.3,30.43
LS Livingstone,Washington Sundar,27,21,2,2,1,128.57,8.0,42.86
Nithish Kumar Reddy,HH Pandya,27,21,2,2,1,128.57,7.71,38.1
S Dube,Kuldeep Yadav,27,21,2,3,1,128.57,8.0,42.86
RD Gaikwad,Tanush Kotian,26,21,2,2,1,123.81,7.43,28.57
C Green,AR Patel,25,22,2,2,0,113.64,6.82,27.27
SS Iyer,TA Boult,25,22,2,1,1,113.64,6.82,40.91
TM Head,HV Patel,25,21,2,2,1,119.05,7.43,47.62
AR Patel,LS Livingstone,25,20,2,5,0,125.0,7.5,50.0
P Simran Singh,Shashank Singh,24,32,2,3,0,75.0,4.5,62.5
Q de Kock,T Natarajan,24,24,2,2,0,100.0,6.25,41.67
RG Sharma,Rasikh Salam,24,23,2,3,0,104.35,6.26,39.13
Tilak Varma,KK Ahmed,24,22,2,1,2,109.09,6.82,54.55
WG Jacks,HH Pandya,24,20,2,2,1,120.0,7.2,35.0
RG Sharma,KH Pandya,23,23,2,2,0,100.0,6.26,39.13
Nithish Kumar Reddy,JJ Bumrah,23,22,2,2,0,104.55,6.27,36.36
