partners,runs,balls,outs,fours,sixes,SR,Bat_avg,bpb,50s/100s
KL Rahul  - P Simran Singh,1700,1099,44,121,81,154.69,38.64,5.44,11/3
Shubman Gill  - WG Jacks,1682,1062,43,148,69,158.38,39.12,4.89,7/4
P Simran Singh  - Priyansh Arya,1546,895,43,168,59,172.74,35.95,3.94,7/4
SA Yadav  - V Kohli,1538,967,37,146,52,159.05,41.57,4.88,9/2
Naman Dhir  - SV Samson,1441,875,34,136,39,164.69,42.38,5.0,8/3
CH Gayle  - Tilak Varma,1370,830,35,168,40,165.06,39.14,3.99,11/2
KL Rahul  - VR Iyer,1357,864,31,111,47,157.06,43.77,5.47,9/3
GJ Maxwell  - S Dube,1356,804,32,101,65,168.66,42.38,4.84,8/2
GJ Maxwell  - RD Rickelton,1352,754,27,123,60,179.31,50.07,4.12,8/4
JP Inglis  - Naman Dhir,1348,764,27,118,45,176.44,49.93,4.69,9/3
PD Salt  - RD Gaikwad,1325,811,34,141,44,163.38,38.97,4.38,7/3
Abhishek Sharma  - N Pooran,1309,790,24,91,63,165.7,54.54,5.13,4/5
N Sindhu  - V Kohli,1290,749,36,140,44,172.23,35.83,4.07,7/2
DP Conway  - SV Samson,1237,781,29,124,36,158.39,42.66,4.88,8/2
RD Rickelton  - Shubman Gill,1233,708,29,137,39,174.15,42.52,4.02,5/3
SS Iyer  - Shubman Gill,1175,732,32,111,45,160.52,36.72,4.69,7/1
N Sindhu  - SA Yadav,1088,582,27,101,46,186.94,40.3,3.96,8/1
JP Inglis  - SV Samson,1080,634,24,104,42,170.35,45.0,4.34,5/3
RD Gaikwad  - SV Samson,1078,642,28,133,27,167.91,38.5,4.01,10/1
FH Allen  - V Suryavanshi,1076,618,36,139,30,174.11,29.89,3.66,6/2
TM Head  - Tilak Varma,1060,649,27,112,36,163.33,39.26,4.39,6/2
S Dube  - YBK Jaiswal,1055,599,30,75,46,176.13,35.17,4.95,9/1
Naman Dhir  - R Parag,1015,593,21,74,44,171.16,48.33,5.03,3/4
Abhishek Sharma  - PP Shaw,983,571,24,104,32,172.15,40.96,4.2,4/2
AM Rahane  - JC Buttler,908,567,23,71,35,160.14,39.48,5.35,6/1
GJ Maxwell  - YBK Jaiswal,864,497,23,90,29,173.84,37.57,4.18,3/1
BJ McMullen  - GJ Maxwell,835,509,24,102,22,164.05,34.79,4.1,6/1
B Sai Sudharsan  - Tilak Varma,813,504,20,84,24,161.31,40.65,4.67,6/1
Aniket Verma  - YBK Jaiswal,773,419,16,60,39,184.49,48.31,4.23,4/2
Tarang Gohel  - V Kohli,759,434,20,96,23,174.88,37.95,3.65,-/-
JP Inglis  - RD Gaikwad,746,473,18,72,20,157.72,41.44,5.14,4/2
JP Inglis  - R Parag,740,391,20,49,40,189.26,37.0,4.39,-/-
SS Iyer  - WG Jacks,727,503,27,63,26,144.53,26.93,5.65,-/-
B Sai Sudharsan  - RD Gaikwad,726,456,14,61,29,159.21,51.86,5.07,4/3
Aniket Verma  - S Dube,718,420,18,60,31,170.95,39.89,4.62,4/1
Ishan Kishan  - JC Buttler,716,457,24,78,24,156.67,29.83,4.48,5/1
LS Livingstone  - P Simran Singh,711,445,19,71,25,159.78,37.42,4.64,2/2
Aniket Verma  - GJ Maxwell,710,411,19,74,28,172.75,37.37,4.03,6/1
Abishek Porel  - N Sindhu,695,365,10,55,33,190.41,69.5,4.15,2/2
Naman Dhir  - RD Gaikwad,679,386,16,64,20,175.91,42.44,4.6,1/3
BM Duckett  - P Simran Singh,672,397,15,65,23,169.27,44.8,4.51,4/1
T Stubbs  - Tilak Varma,671,432,7,61,25,155.32,95.86,5.02,3/3
MP Stoinis  - SP Narine,666,423,18,73,22,157.45,37.0,4.45,3/2
FH Allen  - Shubman Gill,657,402,14,69,21,163.43,46.93,4.47,4/2
C Green  - RG Sharma,632,351,16,55,24,180.06,39.5,4.44,4/1
PD Salt  - PWH de Silva,627,330,11,76,22,190.0,57.0,3.37,4/1
N Pooran  - PP Shaw,627,388,11,58,22,161.6,57.0,4.85,4/2
AM Rahane  - Ishan Kishan,623,374,20,56,29,166.58,31.15,4.4,2/1
BM Duckett  - KL Rahul,606,371,10,49,20,163.34,60.6,5.38,2/2
JM Sharma  - PD Salt,592,351,9,33,30,168.66,65.78,5.57,4/1
Abishek Porel  - SA Yadav,581,334,17,49,26,173.95,34.18,4.45,5/1
KL Rahul  - LS Livingstone,578,388,18,47,24,148.97,32.11,5.46,4/1
F du Plessis  - TM Head,567,437,30,58,12,129.75,18.9,6.24,1/1
KL Rahul  - Priyansh Arya,562,351,17,59,15,160.11,33.06,4.74,3/1
PD Salt  - Rahul Singh,561,355,14,60,19,158.03,40.07,4.49,-/-
RD Rickelton  - RM Patidar,559,341,16,49,28,163.93,34.94,4.43,2/1
RM Patidar  - S Dube,556,377,12,31,24,147.48,46.33,6.85,-/-
Abishek Porel  - V Kohli,554,330,15,43,23,167.88,36.93,5.0,3/1
BA Stokes  - SS Iyer,519,322,10,40,22,161.18,51.9,5.19,3/1
N Pooran  - WL Madsen,518,294,12,30,29,176.19,43.17,4.98,3/1
BM Duckett  - TM Head,508,304,14,54,19,167.11,36.29,4.16,3/1
Dhruv Jurel  - SS Iyer,508,323,9,35,20,157.28,56.44,5.87,3/1
RM Patidar  - SP Narine,507,344,13,45,17,147.38,39.0,5.55,-/-
Abhishek Sharma  - Urvil Patel,503,287,10,63,14,175.26,50.3,3.73,-/-
H Klaasen  - Shashank Singh,494,317,12,29,22,155.84,41.17,6.22,-/-
F du Plessis  - Tilak Varma,493,353,15,36,24,139.66,32.87,5.88,3/1
JC Buttler  - Shubman Gill,492,295,10,48,14,166.78,49.2,4.76,2/2
N Rana  - Smaran Ravichandran,489,324,16,48,11,150.93,30.56,5.49,-/-
SA Yadav  - Urvil Patel,485,311,16,53,10,155.95,30.31,4.94,-/-
BJ McMullen  - S Dube,482,275,10,46,18,175.27,48.2,4.3,-/-
BJ McMullen  - V Kohli,477,296,10,42,21,161.15,47.7,4.7,-/-
LS Livingstone  - Priyansh Arya,471,290,7,32,20,162.41,67.29,5.58,4/1
AM Rahane  - N Pooran,469,257,10,40,23,182.49,46.9,4.08,3/1
F du Plessis  - T Stubbs,468,309,7,34,18,151.46,66.86,5.94,2/1
JC Buttler  - WG Jacks,466,279,9,39,18,167.03,51.78,4.89,-/-
Abhishek Sharma  - Ishan Kishan,464,264,10,50,20,175.76,46.4,3.77,5/1
B Sai Sudharsan  - PD Salt,464,282,18,55,15,164.54,25.78,4.03,-/-
Smaran Ravichandran  - V Suryavanshi,460,278,16,43,15,165.47,28.75,4.79,1/1
SA Yadav  - Tarang Gohel,456,243,10,55,12,187.65,45.6,3.63,1/1
N Pooran  - RR Rossouw,456,280,11,35,18,162.86,41.45,5.28,-/-
KA Pollard  - Tilak Varma,446,282,12,35,17,158.16,37.17,5.42,2/1
RD Rickelton  - WG Jacks,444,280,12,42,15,158.57,37.0,4.91,2/1
GJ Maxwell  - RM Patidar,443,268,13,41,16,165.3,34.08,4.7,1/1
Q de Kock  - RG Sharma,440,288,13,36,21,152.78,33.85,5.05,-/-
Abhishek Sharma  - Atharva Taide,429,226,9,53,12,189.82,47.67,3.48,2/2
Nithish Kumar Reddy  - VR Iyer,426,263,12,36,14,161.98,35.5,5.26,-/-
AB de Villiers  - YBK Jaiswal,412,201,7,32,25,204.98,58.86,3.53,1/2
AM Rahane  - Abhishek Sharma,411,266,11,40,10,154.51,37.36,5.32,1/1
BA Stokes  - Shubman Gill,410,272,21,46,10,150.74,19.52,4.86,-/-
Abhishek Sharma  - B Sai Sudharsan,395,265,14,35,17,149.06,28.21,5.1,2/1
Q de Kock  - V Suryavanshi,391,266,10,39,13,146.99,39.1,5.12,3/1
Dhruv Jurel  - JM Sharma,391,240,10,30,16,162.92,39.1,5.22,-/-
N Sindhu  - Urvil Patel,390,225,10,33,19,173.33,39.0,4.33,1/1
B Sai Sudharsan  - H Klaasen,389,249,9,39,9,156.22,43.22,5.19,2/1
H Klaasen  - RG Sharma,388,232,9,31,20,167.24,43.11,4.55,-/-
JM Sharma  - RK Singh,385,228,8,20,19,168.86,48.12,5.85,-/-
MR Marsh  - Priyansh Arya,382,196,5,34,18,194.9,76.4,3.77,4/1
Abdul Samad  - Sameer Rizvi,382,228,13,26,20,167.54,29.38,4.96,-/-
MP Stoinis  - Q de Kock,381,236,12,44,13,161.44,31.75,4.14,-/-
BJ McMullen  - SA Yadav,381,223,9,25,18,170.85,42.33,5.19,-/-
HH Pandya  - N Pooran,375,232,14,30,16,161.64,26.79,5.04,-/-
B Sai Sudharsan  - KA Pollard,374,249,11,30,8,150.2,34.0,6.55,-/-
LS Livingstone  - VR Iyer,374,246,10,18,22,152.03,37.4,6.15,1/1
Dhruv Jurel  - PD Salt,373,232,10,40,15,160.78,37.3,4.22,-/-
Shashank Singh  - Smaran Ravichandran,371,233,19,31,12,159.23,19.53,5.42,-/-
HH Pandya  - RK Singh,358,171,9,31,21,209.36,39.78,3.29,-/-
Naman Dhir  - Nithish Kumar Reddy,357,210,11,25,17,170.0,32.45,5.0,-/-
P Simran Singh  - VR Iyer,356,190,12,33,14,187.37,29.67,4.04,-/-
SS Iyer  - Sameer Rizvi,352,204,12,34,14,172.55,29.33,4.25,-/-
AM Rahane  - N Rana,350,241,10,25,15,145.23,35.0,6.02,-/-
SP Narine  - Shubman Gill,346,211,11,29,16,163.98,31.45,4.69,1/1
GD Phillips  - R Parag,344,196,9,26,17,175.51,38.22,4.56,-/-
DJ Hooda  - SV Samson,342,248,7,34,9,137.9,48.86,5.77,2/1
B Sai Sudharsan  - T Stubbs,342,210,7,23,18,162.86,48.86,5.12,1/1
C Green  - RM Patidar,342,212,14,24,15,161.32,24.43,5.44,-/-
B Sai Sudharsan  - CH Gayle,339,253,19,22,13,133.99,17.84,7.23,-/-
Ishan Kishan  - JM Bairstow,334,215,7,37,11,155.35,47.71,4.48,2/1
Chirag Jani  - Shashank Singh,332,189,8,32,10,175.66,41.5,4.5,1/1
C Green  - PD Salt,331,219,12,30,15,151.14,27.58,4.87,-/-
Abdul Samad  - SS Iyer,330,203,6,32,12,162.56,55.0,4.61,1/1
LG Pretorius  - SV Samson,329,215,7,29,13,153.02,47.0,5.12,2/1
FH Allen  - N Rana,319,191,13,30,14,167.02,24.54,4.34,-/-
T Stubbs  - TM Head,317,203,5,30,8,156.16,63.4,5.34,-/-
AM Rahane  - MK Pandey,313,219,12,24,14,142.92,26.08,5.76,0/1
Hassan Nawaz  - PWH de Silva,310,167,5,26,15,185.63,62.0,4.07,1/1
N Pooran  - TM Head,307,198,7,20,12,155.05,43.86,6.19,-/-
JC Buttler  - N Rana,305,175,8,26,13,174.29,38.12,4.49,-/-
H Klaasen  - RR Pant,303,203,10,27,11,149.26,30.3,5.34,0/1
N Sindhu  - Tarang Gohel,297,159,10,29,12,186.79,29.7,3.88,-/-
Urvil Patel  - V Kohli,295,191,8,18,15,154.45,36.88,5.79,0/1
Abishek Porel  - Urvil Patel,295,148,9,22,17,199.32,32.78,3.79,-/-
Ashutosh Sharma  - B Sai Sudharsan,293,172,12,22,12,170.35,24.42,5.06,-/-
N Wadhera  - RG Sharma,292,196,7,23,13,148.98,41.71,5.44,2/1
H Klaasen  - Q de Kock,290,206,10,26,13,140.78,29.0,5.28,-/-
JC Buttler  - Sameer Rizvi,288,192,10,19,7,150.0,28.8,7.38,1/1
PHKD Mendis  - VR Iyer,287,165,8,17,18,173.94,35.88,4.71,1/1
C Green  - MP Stoinis,284,167,8,32,8,170.06,35.5,4.18,-/-
AD Russell  - Abishek Porel,284,151,9,15,22,188.08,31.56,4.08,-/-
AR Patel  - KA Pollard,283,194,8,22,9,145.88,35.38,6.26,-/-
KA Pollard  - T Stubbs,282,147,6,25,14,191.84,47.0,3.77,-/-
Ishaan Gadekar  - PD Salt,277,186,6,29,9,148.92,46.17,4.89,-/-
Jay Gohil  - Sameer Rizvi,275,141,4,20,14,195.04,68.75,4.15,-/-
Nithish Kumar Reddy  - P Simran Singh,274,147,5,15,17,186.39,54.8,4.59,2/1
AM Rahane  - Urvil Patel,271,177,4,29,6,153.11,67.75,5.06,-/-
GD Phillips  - Naman Dhir,270,160,11,16,15,168.75,24.55,5.16,-/-
KL Rahul  - PHKD Mendis,269,165,8,25,12,163.03,33.62,4.46,-/-
AM Rahane  - R Powell,268,163,6,18,14,164.42,44.67,5.09,-/-
Sikandar Raza  - Urvil Patel,266,173,7,16,12,153.76,38.0,6.18,-/-
GJ Maxwell  - MJ Owen,263,159,5,23,8,165.41,52.6,5.13,1/1
Dhruv Jurel  - Shubman Gill,262,181,3,24,3,144.75,87.33,6.7,1/1
Q de Kock  - Smaran Ravichandran,262,164,5,17,12,159.76,52.4,5.66,2/1
Q de Kock  - SP Narine,261,207,7,28,8,126.09,37.29,5.75,-/-
Shashank Singh  - TH David,259,147,6,17,13,176.19,43.17,4.9,-/-
KL Rahul  - MR Marsh,259,163,4,24,7,158.9,64.75,5.26,0/1
Q de Kock  - Shashank Singh,257,166,9,29,8,154.82,28.56,4.49,-/-
FH Allen  - Smaran Ravichandran,253,167,7,15,9,151.5,36.14,6.96,0/1
N Pooran  - RK Singh,253,150,9,15,17,168.67,28.11,4.69,-/-
DS Airee  - JM Sharma,251,133,7,26,13,188.72,35.86,3.41,-/-
Abhishek Sharma  - RR Rossouw,251,150,5,17,10,167.33,50.2,5.56,1/1
SA Yadav  - Sikandar Raza,251,153,2,19,14,164.05,125.5,4.64,2/1
DJ Hooda  - DP Conway,250,165,7,26,5,151.52,35.71,5.32,-/-
RG Sharma  - RR Pant,249,159,6,27,9,156.6,41.5,4.42,-/-
Abdul Samad  - Shubman Gill,248,151,6,22,7,164.24,41.33,5.21,1/1
J Fraser-McGurk  - SP Narine,247,148,6,30,9,166.89,41.17,3.79,-/-
CH Gayle  - H Klaasen,245,145,5,8,15,168.97,49.0,6.3,-/-
AK Markram  - KL Rahul,245,169,6,17,10,144.97,40.83,6.26,-/-
FH Allen  - SP Narine,241,151,6,21,8,159.6,40.17,5.21,-/-
JC Buttler  - SS Iyer,239,138,11,18,12,173.19,21.73,4.6,-/-
Sameer Rizvi  - WG Jacks,238,150,7,13,11,158.67,34.0,6.25,-/-
AB de Villiers  - S Dube,238,132,4,18,12,180.3,59.5,4.4,1/1
GJ Maxwell  - RA Tripathi,237,166,5,21,8,142.77,47.4,5.72,0/1
DP Conway  - Naman Dhir,237,144,4,20,7,164.58,59.25,5.33,1/1
BJ McMullen  - YBK Jaiswal,233,120,5,25,8,194.17,46.6,3.64,-/-
H Klaasen  - Smaran Ravichandran,232,151,6,14,9,153.64,38.67,6.57,-/-
N Rana  - V Suryavanshi,231,150,8,20,13,154.0,28.88,4.55,-/-
R Parag  - RD Gaikwad,230,155,7,19,9,148.39,32.86,5.54,-/-
Ashutosh Sharma  - RK Singh,230,136,6,14,10,169.12,38.33,5.67,-/-
Abdul Samad  - JC Buttler,229,141,8,23,7,162.41,28.62,4.7,-/-
MR Marsh  - P Simran Singh,227,127,8,30,5,178.74,28.38,3.63,-/-
Abishek Porel  - MJ Owen,227,119,5,19,11,190.76,45.4,3.97,-/-
Mohammad Nabi  - Sameer Rizvi,226,127,7,18,14,177.95,32.29,3.97,-/-
RD Rickelton  - YBK Jaiswal,224,163,6,17,9,137.42,37.33,6.27,0/1
DP Conway  - JP Inglis,222,158,4,18,8,140.51,55.5,6.08,0/1
C Green  - SP Narine,217,139,9,20,6,156.12,24.11,5.35,-/-
JM Sharma  - PWH de Silva,214,118,4,18,9,181.36,53.5,4.37,0/1
AB de Villiers  - BJ McMullen,214,142,5,19,8,150.7,42.8,5.26,-/-
RG Sharma  - RM Patidar,213,120,8,16,11,177.5,26.62,4.44,-/-
AK Markram  - VR Iyer,213,124,5,25,5,171.77,42.6,4.13,-/-
AR Patel  - T Stubbs,212,130,4,18,9,163.08,53.0,4.81,-/-
DA Miller  - S Dube,210,144,5,13,13,145.83,42.0,5.54,0/1
N Rana  - Shashank Singh,203,111,6,15,9,182.88,33.83,4.62,-/-
Abhishek Sharma  - TM Head,203,115,3,31,2,176.52,67.67,3.48,-/-
Aniket Verma  - RM Patidar,199,117,3,15,11,170.09,66.33,4.5,1/1
Ishan Kishan  - MK Pandey,199,131,4,18,9,151.91,49.75,4.85,0/1
JM Sharma  - RA Jadeja,199,106,3,14,11,187.74,66.33,4.24,-/-
T Stubbs  - VR Iyer,199,110,3,11,11,180.91,66.33,5.0,-/-
PD Salt  - PP Shaw,198,148,10,25,4,133.78,19.8,5.1,-/-
DP Conway  - FH Allen,197,125,3,17,8,157.6,65.67,5.0,-/-
MJ Owen  - SA Yadav,197,126,9,15,5,156.35,21.89,6.3,-/-
KL Rahul  - Nithish Kumar Reddy,197,133,4,15,4,148.12,49.25,7.0,-/-
AR Patel  - TM Head,196,139,6,18,9,141.01,32.67,5.15,-/-
Abhishek Sharma  - WL Madsen,196,135,4,17,6,145.19,49.0,5.87,-/-
DA Warner  - SA Yadav,196,121,2,21,6,161.98,98.0,4.48,1/1
PP Shaw  - RR Rossouw,196,133,6,13,6,147.37,32.67,7.0,-/-
AR Patel  - F du Plessis,192,147,5,21,1,130.61,38.4,6.68,-/-
Shashank Singh  - TP Ura,192,111,6,15,7,172.97,32.0,5.05,-/-
RD Gaikwad  - TM Head,191,114,4,25,4,167.54,47.75,3.93,0/1
B Sai Sudharsan  - RK Singh,189,140,8,10,7,135.0,23.62,8.24,-/-
Q de Kock  - RM Patidar,188,130,7,21,5,144.62,26.86,5.0,0/1
