bowler,phase,pitch,runs_conceded,balls,wkts,dots,eco,SR,Curr_Tm
B Kumar,Death,pace,747,424,46,123,10.57,9.22,KKR
CV Varun,Middle,spin,841,575,41,177,8.78,14.02,PBKS
YS Chahal,Death,spin,440,284,39,90,9.3,7.28,RCB
MA Starc,Death,pace,674,367,39,105,11.02,9.41,KKR
JJ Bumrah,Middle,pace,638,491,38,149,7.8,12.92,DC
C Green,Middle,pace,844,606,37,169,8.36,16.38,KKR
JJ Bumrah,Death,pace,458,291,31,88,9.44,9.39,DC
Kuldeep Yadav,Middle,spin,899,639,29,172,8.44,22.03,SRH
M Pathirana,Death,pace,496,303,29,88,9.82,10.45,RCB
JC Archer,Death,pace,541,305,28,91,10.64,10.89,LSG
LS Livingstone,Death,spin,467,290,28,87,9.66,10.36,KKR
MA Starc,PP,pace,760,492,27,211,9.27,18.22,KKR
AK Markram,Death,spin,352,215,27,71,9.82,7.96,DC
T Natarajan,Middle,pace,385,282,26,84,8.19,10.85,CSK
Mohammad Nabi,Death,spin,373,240,26,81,9.32,9.23,LSG
MP Yadav,Death,pace,456,270,25,95,10.13,10.8,PBKS
TA Boult,PP,pace,838,558,25,229,9.01,22.32,MI
Suryansh Shedge,Middle,pace,474,378,24,144,7.52,15.75,CSK
Washington Sundar,PP,spin,556,402,24,149,8.3,16.75,PBKS
PJ Cummins,Middle,pace,494,342,24,105,8.67,14.25,
HH Pandya,Middle,pace,719,498,24,149,8.66,20.75,MI
M Pathirana,Middle,pace,508,348,23,114,8.76,15.13,RCB
Washington Sundar,Middle,spin,478,351,22,105,8.17,15.95,PBKS
Akash Vasisht,Middle,spin,433,330,22,95,7.87,15.0,DC
Shakib Al Hasan,PP,spin,444,354,21,149,7.53,16.86,PBKS
AR Patel,Middle,spin,456,348,21,92,7.86,16.57,CSK
WG Jacks,Death,spin,362,247,21,88,8.79,11.76,LSG
HH Pandya,Death,pace,327,196,21,56,10.01,9.33,MI
Arshdeep Singh,PP,pace,666,450,21,179,8.88,21.43,LSG
SP Narine,Middle,spin,535,398,21,110,8.07,18.95,KKR
S Lamichhane,Death,spin,281,155,21,47,10.88,7.38,DC
Suryansh Shedge,Death,pace,482,253,21,67,11.43,12.05,CSK
A Zampa,Middle,spin,522,366,20,101,8.56,18.3,RR
Karan Lal,Death,spin,104,90,20,34,6.93,4.5,RR
AK Markram,Middle,spin,500,354,20,98,8.47,17.7,DC
Mohammad Ghazanfar,Middle,spin,486,348,20,92,8.38,17.4,SRH
Arshdeep Singh,Death,pace,400,248,20,70,9.68,12.4,LSG
