bowler,venue,runs_conceded,wkts,dots,Eco,SR,overs,Curr_Tm
B Kumar,KKR,1492,73,313,9.75,12.58,153.0,KKR
M Pathirana,RCB,1185,70,271,9.12,11.14,130.0,RCB
CV Varun,PBKS,1178,65,262,8.63,12.6,136.3,PBKS
MA Starc,KKR,1284,61,282,9.99,12.64,128.3,KKR
Arshdeep Singh,LSG,1580,58,352,9.31,17.55,169.4,LSG
Fazalhaq Farooqi,CSK,1027,49,264,8.27,15.2,124.1,CSK
Suryansh Shedge,CSK,1076,49,245,8.92,14.78,120.4,CSK
Washington Sundar,PBKS,1066,46,262,8.17,17.02,130.3,PBKS
T Natarajan,CSK,1039,44,225,9.22,15.36,112.4,CSK
Shashank Singh,PBKS,662,42,237,7.74,12.21,85.3,PBKS
JJ Bumrah,MI,649,40,152,8.5,11.45,76.2,DC
JC Archer,LSG,814,38,170,9.56,13.45,85.1,LSG
Kuldeep Yadav,SRH,1350,35,258,8.74,26.49,154.3,SRH
WG Jacks,LSG,943,33,175,8.95,19.15,105.2,LSG
Shakib Al Hasan,PBKS,830,33,221,8.36,18.06,99.2,
C Green,KKR,637,33,147,7.8,14.85,81.4,KKR
HH Pandya,MI,1182,32,224,9.26,23.94,127.4,MI
JR Hazlewood,RR,1025,32,188,9.58,20.06,107.0,RR
TA Boult,MI,1125,32,240,9.59,22.0,117.2,MI
KA Maharaj,SRH,669,32,134,9.72,12.91,68.5,SRH
AR Patel,CSK,1126,31,174,9.81,22.23,114.5,CSK
A Zampa,SRH,618,31,154,7.89,15.16,78.2,SRH
Karan Lal,RR,663,31,109,9.54,13.45,69.3,RR
Mohammad Ghazanfar,SRH,667,29,119,8.66,15.93,77.0,SRH
GJ Maxwell,RR,1042,28,161,9.77,22.86,106.4,DC
MP Yadav,CSK,520,28,128,9.31,11.96,55.5,PBKS
LS Livingstone,SRH,737,26,107,10.5,16.19,70.1,KKR
AK Markram,SRH,562,26,104,9.39,13.81,59.5,DC
S Dube,RR,571,25,103,9.93,13.8,57.3,RR
MJ Owen,DC,569,25,71,11.05,12.36,51.3,DC
YS Chahal,RCB,777,24,106,10.43,18.62,74.3,RCB
Ravi Bishnoi,PBKS,620,24,161,7.97,19.46,77.5,GT
Shahbaz Ahmed,LSG,663,22,103,9.9,18.27,67.0,LSG
Mohammad Nabi,LSG,432,22,67,9.6,12.27,45.0,LSG
PWH de Silva,RCB,511,22,97,9.64,14.45,53.0,RCB
NT Ellis,SRH,384,22,64,9.6,10.91,40.0,SRH
Mayank Dagar,RR,511,22,88,9.61,14.5,53.1,LSG
M Prasidh Krishna,DC,744,22,145,8.55,23.73,87.0,RR
AR Ramjani,PBKS,371,21,96,7.62,13.9,48.4,PBKS
Tanush Kotian,SRH,493,21,79,9.48,14.86,52.0,CSK
Rashid Khan,GT,823,21,137,9.35,25.14,88.0,MI
Tanush Kotian,CSK,703,20,95,9.76,21.6,72.0,CSK
JJ Bumrah,RCB,356,20,85,8.54,12.5,41.4,DC
LI Meriwala,DC,437,20,94,8.74,15.0,50.0,DC
A Nagwaswalla,RR,413,20,121,8.63,14.35,47.5,RR
KH Pandya,SRH,845,20,173,8.71,29.1,97.0,RR
Shaheen Shah Afridi,MI,427,19,94,9.67,13.95,44.1,MI
Ashutosh Sharma,RCB,546,19,127,8.95,19.26,61.0,RCB
SP Narine,KKR,551,18,98,8.75,21.0,63.0,KKR
GF Linde,GT,344,18,91,8.71,13.17,39.3,GT
Noor Ahmad,MI,304,18,79,8.44,12.0,36.0,MI
Avesh Khan,GT,573,18,104,10.23,18.67,56.0,GT
Jagjit Singh,CSK,492,17,127,8.56,20.29,57.3,SRH
RA Jadeja,DC,654,17,110,9.62,24.0,68.0,SRH
AR Patel,PBKS,150,17,61,6.47,8.18,23.1,CSK
AK Markram,DC,296,16,54,8.71,12.75,34.0,DC
JJ Bumrah,DC,520,16,73,9.4,20.75,55.2,DC
YS Chahal,SRH,196,16,58,7.69,9.56,25.3,RCB
DS Rathi,KKR,430,15,81,8.43,20.4,51.0,KKR
R Shepherd,GT,797,15,79,12.68,25.13,62.5,GT
R Sai Kishore,GT,462,15,88,9.09,20.33,50.5,MI
DAJ Bracewell,MI,318,15,67,9.54,13.33,33.2,
SS Ghosh,MI,335,15,68,9.48,14.13,35.2,MI
HV Patel,PBKS,267,14,49,9.89,11.57,27.0,GT
Mustafizur Rahman,DC,457,14,82,9.72,20.14,47.0,
SP Narine,LSG,541,14,93,9.17,25.29,59.0,KKR
Arshdeep Singh,RR,302,14,51,10.35,12.5,29.1,LSG
Swapnil Singh,RR,367,13,65,9.74,17.38,37.4,CSK
S Lamichhane,DC,445,13,60,11.17,18.38,39.5,DC
Sandeep Sharma,RR,616,13,102,10.13,28.08,60.5,
JC Archer,GT,309,13,58,9.71,14.69,31.5,LSG
Harsh Dubey,RR,246,13,48,9.46,12.0,26.0,RCB
AD Russell,DC,782,13,89,11.73,30.77,66.4,DC
Harsh Dubey,RCB,268,13,51,8.93,13.85,30.0,RCB
Abrar Ahmed,GT,230,12,29,10.78,10.67,21.2,
YS Chahal,GT,184,12,35,9.95,9.25,18.3,RCB
R Ashwin,KKR,506,12,104,8.3,30.5,61.0,KKR
JR Hazlewood,CSK,234,12,60,8.67,13.5,27.0,RR
Akash Vasisht,SRH,170,12,50,7.39,11.5,23.0,SRH
PJ Cummins,MI,309,12,90,8.35,18.5,37.0,
Khrievitso Kense,RCB,386,12,79,8.77,22.0,44.0,RCB
PHKD Mendis,SRH,421,12,65,10.75,19.58,39.1,DC
VG Arora,KKR,392,12,88,8.62,22.75,45.3,KKR
Noor Ahmad,GT,340,12,48,9.44,18.0,36.0,MI
Rasikh Salam,GT,682,12,62,11.18,30.5,61.0,MI
Avesh Khan,RCB,296,12,87,8.71,17.0,34.0,GT
Sikandar Raza,MI,178,12,51,8.09,11.0,22.0,
C Sakariya,SRH,309,11,54,9.0,18.73,34.2,SRH
LS Livingstone,PBKS,117,11,48,6.88,9.27,17.0,KKR
M Markande,PBKS,388,11,99,8.26,25.64,47.0,
Shahbaz Ahmed,SRH,213,11,43,10.14,11.45,21.0,LSG
JC Archer,KKR,70,11,35,6.36,6.0,11.0,LSG
Abhishek Sharma,MI,233,11,41,9.2,13.82,25.2,MI
Ashwani Kumar,RR,357,11,24,13.22,14.73,27.0,RR
JC Archer,MI,206,11,54,9.36,12.0,22.0,LSG
Yash Thakur,CSK,394,11,71,9.49,22.64,41.3,MI
Shadab Khan,SRH,267,11,73,7.85,18.55,34.0,SRH
B Kumar,MI,182,11,46,8.95,11.09,20.2,KKR
A Zampa,LSG,303,11,61,8.66,19.09,35.0,SRH
Naseem Shah,LSG,296,10,62,9.25,19.2,32.0,
Harshit Rana,KKR,270,10,68,9.47,17.1,28.3,KKR
Imran Tahir,CSK,192,10,60,8.0,14.4,24.0,CSK
C Green,RCB,424,10,64,10.6,24.0,40.0,KKR
BA Stokes,LSG,325,10,57,9.03,21.6,36.0,RR
Washington Sundar,SRH,129,10,27,9.21,8.4,14.0,PBKS
Z Khan,KKR,211,10,55,8.33,15.2,25.2,
SM Curran,KKR,379,10,84,9.24,24.6,41.0,
MA Starc,RR,186,10,36,10.43,10.7,17.5,KKR
Swapnil Singh,GT,249,10,49,9.22,16.2,27.0,CSK
Sikandar Raza,DC,387,10,63,9.25,25.1,41.5,
B Kumar,RR,245,10,44,11.14,13.2,22.0,KKR
Arshdeep Singh,SRH,232,10,45,9.67,14.4,24.0,LSG
NT Ellis,LSG,239,10,39,9.96,14.4,24.0,SRH
A Zampa,RR,204,10,44,8.62,14.2,23.4,SRH
M Pathirana,RR,188,10,30,9.56,11.8,19.4,RCB
HJ Manenti,CSK,186,9,45,9.3,13.33,20.0,CSK
MP Yadav,PBKS,305,9,50,10.89,18.67,28.0,PBKS
Mohammad Nabi,GT,358,9,58,9.18,26.0,39.0,LSG
PWH de Silva,DC,330,9,66,8.92,24.67,37.0,RCB
JA Duffy,GT,189,9,46,9.78,12.89,19.2,GT
Ravi Bishnoi,LSG,346,9,83,9.11,25.33,38.0,GT
V Puthur,DC,171,9,45,8.14,14.0,21.0,DC
Rasikh Salam,KKR,140,9,50,7.3,12.78,19.1,MI
Ashwin Das,LSG,126,9,29,8.89,9.44,14.1,LSG
LS Livingstone,CSK,117,9,22,9.75,8.0,12.0,KKR
JC Archer,RR,295,9,34,12.83,15.33,23.0,LSG
MA Starc,MI,99,9,40,7.33,9.0,13.3,KKR
Abdul Samad,LSG,287,9,43,9.57,20.0,30.0,LSG
MA Starc,CSK,143,9,37,8.94,10.67,16.0,KKR
J Anderson,MI,205,9,41,10.6,12.89,19.2,
M Siddharth,CSK,306,9,59,10.2,20.0,30.0,CSK
JR Hazlewood,DC,102,8,22,8.5,9.0,12.0,RR
Arshad Khan,RR,409,8,46,11.69,26.25,35.0,DC
NT Ellis,GT,173,8,40,9.61,13.5,18.0,SRH
A Nortje,RCB,403,8,48,10.94,27.62,36.5,
Noor Ahmad,SRH,224,8,41,9.33,18.0,24.0,MI
M Siddharth,PBKS,142,8,53,7.1,15.0,20.0,CSK
Karan Lal,MI,101,8,19,8.42,9.0,12.0,RR
YS Chahal,PBKS,181,8,33,9.53,14.25,19.0,RCB
R Shepherd,MI,131,8,32,8.19,12.0,16.0,GT
B Kumar,RCB,168,8,28,10.61,11.88,15.5,KKR
Arshdeep Singh,MI,252,8,43,10.8,17.5,23.2,LSG
Arshdeep Singh,PBKS,139,8,25,10.69,9.75,13.0,LSG
AJ Tye,DC,120,8,26,10.0,9.0,12.0,
JJ Smit,PBKS,95,8,16,9.34,7.62,10.1,PBKS
TA Boult,CSK,285,8,61,8.95,23.88,31.5,MI
R Shepherd,KKR,90,8,35,7.5,9.0,12.0,GT
DS Rathi,RCB,164,8,40,8.2,15.0,20.0,KKR
R Sai Kishore,MI,482,8,45,12.05,30.0,40.0,MI
Rashid Khan,RR,250,8,40,10.87,17.25,23.0,MI
Naveen-ul-Haq,SRH,128,8,33,7.11,13.5,18.0,SRH
DS Rathi,DC,145,8,35,9.06,12.0,16.0,KKR
Shahbaz Ahmed,GT,324,8,33,12.0,20.25,27.0,LSG
Ravi Teja,LSG,200,8,32,9.52,15.75,21.0,RCB
Ravi Teja,MI,120,8,32,8.57,10.5,14.0,RCB
Karan Lal,GT,99,7,18,8.25,10.29,12.0,RR
Naveen-ul-Haq,KKR,99,7,33,8.25,10.29,12.0,SRH
NT Ellis,DC,180,7,20,11.25,13.71,16.0,SRH
B Kumar,CSK,181,7,39,9.13,17.0,19.5,KKR
V Nigam,GT,244,7,39,9.38,22.29,26.0,GT
Kuldeep Yadav,GT,169,7,26,9.39,15.43,18.0,SRH
Naveen-ul-Haq,DC,141,7,27,8.81,13.71,16.0,SRH
Utkarsh Singh,PBKS,165,7,41,7.56,18.71,21.5,PBKS
Kuldeep Yadav,CSK,46,7,22,5.87,6.71,7.5,SRH
S Dube,GT,144,7,26,10.29,12.0,14.0,RR
Mohammed Shami,GT,264,7,43,9.78,23.14,27.0,LSG
T Natarajan,RCB,59,7,17,8.43,6.0,7.0,CSK
Noor Ahmad,LSG,95,7,27,8.64,9.43,11.0,MI
YK Pathan,RCB,53,7,24,6.62,6.86,8.0,KKR
TA Boult,PBKS,269,7,59,9.33,24.71,28.5,MI
Mohammed Shami,MI,233,7,56,8.32,24.0,28.0,LSG
Mohammed Siraj,MI,312,7,58,10.06,26.57,31.0,
Arshdeep Singh,CSK,162,7,31,10.12,13.71,16.0,LSG
JR Hazlewood,KKR,239,7,31,11.95,17.14,20.0,RR
WG Jacks,RCB,69,7,19,8.81,6.71,7.5,LSG
AK Markram,PBKS,129,7,31,9.21,12.0,14.0,DC
DAJ Bracewell,RCB,179,7,39,9.42,16.29,19.0,
Shaheen Shah Afridi,KKR,58,7,22,7.73,6.43,7.3,MI
KK Ahmed,GT,290,7,60,9.72,25.57,29.5,RR
M Theekshana,RR,162,7,38,9.0,15.43,18.0,
WG Jacks,RR,188,7,28,9.89,16.29,19.0,LSG
M Siddharth,SRH,212,7,54,8.83,20.57,24.0,CSK
R Ashwin,PBKS,77,7,25,7.7,8.57,10.0,KKR
LS Livingstone,RCB,238,7,38,9.78,20.86,24.2,KKR
Tanush Kotian,DC,52,7,15,6.5,6.86,8.0,CSK
Zeeshan Ansari,LSG,151,7,22,10.07,12.86,15.0,SRH
HH Pandya,RCB,135,7,29,8.44,13.71,16.0,MI
M Prasidh Krishna,KKR,139,7,32,8.69,13.71,16.0,RR
Harshit Rana,CSK,208,7,52,8.0,22.29,26.0,KKR
R Parag,GT,326,7,30,10.19,27.43,32.0,GT
Imran Tahir,SRH,103,7,36,8.58,10.29,12.0,CSK
Mohammad Ghazanfar,PBKS,137,7,25,9.13,12.86,15.0,SRH
Arshad Khan,DC,214,7,37,10.7,17.14,20.0,DC
MP Yadav,KKR,87,7,37,8.03,9.29,10.5,PBKS
MP Yadav,DC,95,7,21,8.38,9.71,11.2,PBKS
YS Chahal,RR,238,7,37,10.13,20.14,23.3,RCB
MP Yadav,MI,190,7,22,11.88,13.71,16.0,PBKS
MP Yadav,SRH,87,7,21,7.91,9.43,11.0,PBKS
JG Bethell,RR,209,7,27,11.0,16.29,19.0,RR
KH Pandya,PBKS,163,7,34,8.58,16.29,19.0,RR
HH Pandya,CSK,264,7,27,11.56,19.57,22.5,MI
Suryansh Shedge,KKR,186,7,37,9.3,17.14,20.0,CSK
HH Pandya,KKR,74,6,42,5.29,14.0,14.0,MI
NT Ellis,RCB,87,6,26,8.7,10.0,10.0,SRH
M Pathirana,PBKS,106,6,31,9.09,11.67,11.4,RCB
