striker,franchise,runs,outs,avg,SR,50s/100s,high_score
RD Gaikwad,GT,1555,32,48.59,173.36,12/1,106* (53)
RD Gaikwad,RCB,1347,41,32.85,154.12,8/1,106* (66)
B Sai Sudharsan,CSK,1189,35,33.97,144.82,8/2,131 (66)
B Sai Sudharsan,MI,371,14,26.5,133.94,3/0,77 (46)
B Sai Sudharsan,RCB,927,27,34.33,149.28,7/0,86 (55)
JP Inglis,CSK,0,1,0.0,0.0,0/0,0 (1)
JP Inglis,GT,2134,50,42.68,168.03,16/1,100 (54)
TM Head,CSK,1456,41,35.51,152.94,13/0,98* (66)
TM Head,GT,104,6,17.33,140.54,0/0,37 (35)
TM Head,MI,405,11,36.82,147.27,3/0,92 (48)
AM Rahane,KKR,1417,38,37.29,151.07,11/1,102* (67)
AM Rahane,MI,487,20,24.35,138.35,1/0,85 (55)
JM Sharma,RCB,1787,37,48.3,181.05,13/0,80 (51)
JM Sharma,RR,104,8,13.0,133.33,0/0,28 (17)
RM Patidar,CSK,256,14,18.29,148.84,0/0,43 (17)
RM Patidar,KKR,783,31,25.26,135.7,4/0,90 (53)
RM Patidar,RR,814,24,33.92,142.81,5/0,64 (43)
JC Buttler,KKR,1132,35,32.34,161.48,6/1,100* (51)
JC Buttler,LSG,679,28,24.25,159.76,3/0,92 (59)
RD Rickelton,KKR,29,3,9.67,145.0,0/0,12 (7)
RD Rickelton,LSG,671,26,25.81,161.3,6/0,82* (51)
RD Rickelton,RR,1045,30,34.83,160.52,7/0,92 (64)
RG Sharma,KKR,892,26,34.31,180.2,5/0,78* (40)
RG Sharma,PBKS,750,28,26.79,141.78,2/0,85* (47)
Ishan Kishan,KKR,1076,38,28.32,145.21,7/0,89 (51)
Ishan Kishan,MI,555,20,27.75,147.21,2/0,95 (60)
FH Allen,LSG,536,13,41.23,158.58,4/1,120* (52)
FH Allen,MI,165,8,20.62,161.76,1/0,57 (32)
FH Allen,PBKS,928,33,28.12,169.34,7/0,89* (51)
SP Narine,KKR,1043,34,30.68,147.94,7/0,82 (52)
SP Narine,LSG,543,18,30.17,164.55,3/0,91 (41)
SP Narine,RR,40,3,13.33,95.24,0/0,16 (18)
H Klaasen,CSK,498,14,35.57,149.55,4/0,75* (43)
H Klaasen,PBKS,1116,32,34.88,142.53,5/1,100 (62)
N Rana,KKR,788,26,30.31,167.66,3/0,56 (28)
N Rana,PBKS,797,26,30.65,163.66,3/1,114 (51)
C Green,KKR,966,30,32.2,171.28,4/1,114* (57)
C Green,RCB,602,20,30.1,160.96,1/0,66* (34)
R Parag,GT,1400,43,32.56,175.0,6/0,86 (48)
R Parag,MI,144,7,20.57,115.2,1/0,69* (52)
BJ McMullen,DC,560,16,35.0,159.54,3/0,62 (37)
BJ McMullen,RR,938,28,33.5,159.8,7/0,96* (53)
T Stubbs,CSK,1279,30,42.63,154.47,9/0,83* (44)
T Stubbs,SRH,134,6,22.33,142.55,0/0,39 (23)
Urvil Patel,DC,1022,32,31.94,156.27,6/0,79 (43)
Urvil Patel,MI,369,8,46.12,163.27,1/1,105* (63)
Q de Kock,KKR,275,10,27.5,122.77,3/0,63 (42)
Q de Kock,PBKS,1105,37,29.86,153.69,9/0,78* (45)
MP Stoinis,GT,8,2,4.0,133.33,0/0,6 (3)
MP Stoinis,KKR,623,14,44.5,162.66,3/2,103* (55)
MP Stoinis,PBKS,716,27,26.52,144.06,4/0,73* (48)
LS Livingstone,KKR,49,2,24.5,96.08,0/0,27 (31)
LS Livingstone,RCB,138,9,15.33,130.19,1/0,54 (39)
LS Livingstone,SRH,1139,34,33.5,141.49,7/0,97* (58)
RK Singh,MI,720,19,37.89,153.52,3/0,75* (39)
RK Singh,RCB,603,16,37.69,157.03,1/0,60* (37)
PP Shaw,MI,1028,31,33.16,152.98,7/0,93* (59)
PP Shaw,RCB,259,12,21.58,122.17,2/0,71 (54)
DP Conway,GT,1053,28,37.61,155.08,9/1,117 (62)
DP Conway,PBKS,184,9,20.44,117.95,0/0,42 (31)
BM Duckett,CSK,373,14,26.64,162.17,3/0,74 (45)
BM Duckett,PBKS,166,7,23.71,141.88,1/0,55 (41)
BM Duckett,RCB,7,2,3.5,63.64,0/0,5 (4)
BM Duckett,SRH,657,10,65.7,167.18,5/1,110 (55)
Sameer Rizvi,LSG,1163,22,52.86,185.78,6/0,77* (39)
Sameer Rizvi,SRH,15,1,15.0,107.14,0/0,13* (11)
Dhruv Jurel,LSG,667,17,39.24,149.89,4/0,66* (45)
Dhruv Jurel,RCB,481,20,24.05,141.89,1/0,77 (46)
Nithish Kumar Reddy,GT,539,21,25.67,146.07,0/0,46* (27)
Nithish Kumar Reddy,SRH,585,19,30.79,156.0,2/0,64* (33)
F du Plessis,CSK,969,32,30.28,127.0,6/1,107 (66)
F du Plessis,GT,1,1,1.0,50.0,0/0,1 (2)
AK Markram,DC,245,13,18.85,151.23,0/0,30* (16)
AK Markram,SRH,559,16,34.94,148.28,1/0,50 (32)
RR Rossouw,MI,554,15,36.93,159.2,6/0,86* (50)
RR Rossouw,SRH,214,9,23.78,169.84,2/0,63* (33)
N Wadhera,KKR,429,21,20.43,134.91,0/0,43 (34)
N Wadhera,LSG,117,3,39.0,134.48,0/0,39 (23)
N Wadhera,RR,137,7,19.57,161.18,1/0,61 (39)
Rahul Singh,MI,131,5,26.2,161.73,1/0,50* (28)
Rahul Singh,RCB,546,20,27.3,154.67,2/0,68 (31)
PHKD Mendis,KKR,163,2,81.5,173.4,1/0,88* (46)
PHKD Mendis,SRH,463,16,28.94,163.03,2/0,81 (43)
RR Pant,GT,98,3,32.67,166.1,0/0,23 (19)
RR Pant,KKR,131,7,18.71,135.05,1/0,58 (42)
RR Pant,PBKS,353,14,25.21,140.64,3/0,67 (34)
RR Pant,RR,28,3,9.33,107.69,0/0,11 (8)
BA Stokes,LSG,609,27,22.56,146.75,4/0,90 (49)
BA Stokes,SRH,0,2,0.0,0.0,0/0,0* (1)
Ashutosh Sharma,RCB,555,25,22.2,151.64,3/0,80 (39)
Ashutosh Sharma,SRH,17,2,8.5,106.25,0/0,14 (13)
PWH de Silva,DC,91,3,30.33,135.82,0/0,43* (31)
PWH de Silva,PBKS,17,0,,188.89,0/0,10* (7)
PWH de Silva,RCB,442,9,49.11,188.89,3/0,86 (47)
DJ Hooda,DC,20,2,10.0,117.65,0/0,11 (10)
DJ Hooda,GT,502,20,25.1,142.61,2/0,63 (39)
Atharva Taide,MI,356,9,39.56,158.93,2/0,66 (43)
Atharva Taide,RR,145,5,29.0,152.63,1/0,69 (34)
