bowler,franchise,wkts,Eco,SR,overs,3fers/5fers,best_performance
JJ Bumrah,DC,27,9.09,16.44,74.0,3/1,5-33 (24)
JJ Bumrah,MI,61,9.12,14.98,152.2,10/0,4-35 (23)
JJ Bumrah,RCB,16,8.24,19.75,52.4,2/0,4-26 (22)
JC Archer,GT,10,8.36,26.4,44.0,0/0,2-24 (24)
JC Archer,LSG,80,10.38,12.9,172.0,12/2,5-17 (24)
MP Yadav,CSK,31,9.04,13.71,70.5,3/0,4-29 (24)
MP Yadav,PBKS,45,10.12,11.98,89.5,7/1,5-28 (24)
MP Yadav,RR,2,8.36,33.0,11.0,0/0,1-20 (24)
YS Chahal,CSK,4,8.39,28.25,18.5,1/0,3-22 (18)
YS Chahal,RCB,67,10.05,15.4,172.0,9/2,7-23 (21)
Tanush Kotian,CSK,51,9.05,17.53,149.0,2/1,5-23 (24)
Tanush Kotian,SRH,19,9.6,14.84,47.0,1/0,3-28 (18)
A Zampa,LSG,12,8.31,28.33,56.4,0/0,2-21 (22)
A Zampa,RR,19,9.72,15.21,48.1,1/0,3-31 (24)
A Zampa,SRH,37,7.76,14.65,90.2,4/0,3-3 (11)
AK Markram,DC,30,8.99,13.97,69.5,5/0,4-37 (24)
AK Markram,SRH,37,9.97,12.81,79.0,5/0,4-28 (24)
NT Ellis,LSG,20,9.85,15.9,53.0,0/1,5-47 (24)
NT Ellis,SRH,46,9.35,12.57,96.2,6/1,6-28 (20)
TA Boult,MI,54,9.21,22.24,200.1,4/0,4-15 (20)
TA Boult,PBKS,12,8.91,30.42,60.5,1/0,3-24 (24)
LS Livingstone,KKR,16,10.1,11.81,31.3,2/0,4-27 (24)
LS Livingstone,RCB,11,10.03,16.91,31.0,1/0,3-13 (12)
LS Livingstone,SRH,36,9.73,16.36,98.1,2/0,3-12 (11)
C Green,KKR,45,8.72,15.96,119.4,2/1,5-28 (24)
C Green,RCB,12,9.84,27.5,55.0,0/0,1-8 (6)
SP Narine,KKR,37,9.21,23.24,143.2,2/0,3-28 (18)
SP Narine,LSG,19,8.74,26.58,84.1,2/0,3-26 (24)
SP Narine,RR,0,9.56,inf,16.0,0/0,0-37 (24)
Mohammad Nabi,GT,24,8.81,16.75,67.0,2/0,3-24 (24)
Mohammad Nabi,LSG,30,8.88,15.6,78.0,2/0,4-31 (24)
GJ Maxwell,DC,1,13.5,96.0,16.0,0/0,1-32 (12)
GJ Maxwell,RR,49,9.73,24.14,197.1,5/0,3-23 (24)
Noor Ahmad,GT,14,9.86,18.86,44.0,2/0,3-31 (24)
Noor Ahmad,KKR,9,8.95,13.33,20.0,2/0,4-23 (24)
Noor Ahmad,MI,25,9.0,16.32,68.0,5/0,3-19 (24)
Noor Ahmad,RCB,2,9.4,45.0,15.0,0/0,1-24 (18)
M Prasidh Krishna,DC,41,8.93,27.78,189.5,3/0,4-37 (24)
M Prasidh Krishna,MI,8,10.84,33.0,44.0,1/0,3-49 (24)
PWH de Silva,DC,13,8.51,33.23,72.0,1/0,3-24 (24)
PWH de Silva,PBKS,2,8.38,24.0,8.0,0/0,1-23 (18)
PWH de Silva,RCB,34,9.59,14.29,81.0,5/0,4-13 (18)
Rasikh Salam,GT,39,10.3,20.26,131.4,6/0,4-21 (18)
Rasikh Salam,LSG,7,9.62,13.71,16.0,1/0,3-24 (24)
Rasikh Salam,MI,2,5.25,12.0,4.0,0/0,2-21 (24)
R Sai Kishore,GT,22,8.97,20.41,74.5,0/0,2-20 (24)
R Sai Kishore,MI,24,10.75,23.42,93.4,0/0,2-25 (24)
R Sai Kishore,RR,1,10.58,55.0,9.1,0/0,1-29 (18)
Ravi Bishnoi,GT,7,9.73,17.0,19.5,1/0,3-41 (24)
Ravi Bishnoi,LSG,13,9.95,27.23,59.0,0/0,2-22 (24)
Ravi Bishnoi,PBKS,27,7.97,20.85,93.5,2/0,3-14 (11)
Shahbaz Ahmed,GT,16,10.73,15.38,41.0,2/0,3-29 (24)
Shahbaz Ahmed,LSG,31,9.78,19.35,100.0,3/0,4-33 (24)
Avesh Khan,DC,4,9.04,34.5,23.0,0/0,2-36 (24)
Avesh Khan,GT,32,10.82,16.91,90.1,4/0,3-21 (12)
Avesh Khan,PBKS,1,10.57,42.0,7.0,0/0,1-39 (24)
Avesh Khan,RCB,9,9.03,26.0,39.0,0/0,2-22 (24)
Rashid Khan,GT,44,9.22,22.11,162.1,4/0,4-47 (24)
Rashid Khan,RR,2,9.74,57.0,19.0,0/0,1-37 (24)
Mohammad Ghazanfar,CSK,6,9.07,14.0,14.0,0/1,5-29 (24)
Mohammad Ghazanfar,GT,8,9.56,21.5,28.4,1/0,4-23 (18)
Mohammad Ghazanfar,SRH,31,9.27,16.45,85.0,3/0,4-29 (24)
RA Jadeja,DC,31,9.48,25.39,131.1,2/0,4-23 (24)
RA Jadeja,RCB,11,9.96,29.45,54.0,0/0,2-15 (12)
RA Jadeja,SRH,3,11.68,38.0,19.0,0/0,2-54 (24)
KA Maharaj,RR,4,8.64,16.5,11.0,0/0,2-29 (18)
KA Maharaj,SRH,38,9.15,13.08,82.5,4/0,4-53 (24)
HV Patel,GT,6,11.2,20.0,20.0,0/0,2-38 (24)
HV Patel,PBKS,31,9.27,16.94,87.3,1/0,3-29 (18)
HV Patel,RR,4,9.74,46.5,31.0,0/0,2-42 (24)
PJ Cummins,MI,16,8.42,18.75,50.0,2/0,4-18 (24)
PJ Cummins,PBKS,9,10.28,24.0,36.0,0/0,2-26 (24)
PJ Cummins,RR,12,9.4,23.5,47.0,0/0,2-24 (24)
KH Pandya,RR,2,10.8,30.0,10.0,0/0,1-29 (24)
