bowler,innings,pitch,runs_conceded,balls,wkts,dots,Eco,SR,Curr_Tm
B Kumar,2,pace,1277,789,70,290,9.71,11.27,KKR
MA Starc,2,pace,1155,733,66,304,9.45,11.11,MI
JJ Bumrah,1,pace,1248,806,62,226,9.29,13.0,DC
M Pathirana,1,pace,1149,688,58,217,10.02,11.86,CSK
AK Markram,2,spin,885,580,57,177,9.16,10.18,DC
B Kumar,1,pace,1015,635,52,222,9.59,12.21,KKR
JJ Bumrah,2,pace,850,615,51,195,8.29,12.06,DC
JC Archer,2,pace,1086,671,50,224,9.71,13.42,DC
CV Varun,2,spin,877,597,50,203,8.81,11.94,PBKS
Arshdeep Singh,2,pace,1019,624,49,225,9.8,12.73,LSG
Suryansh Shedge,2,pace,890,607,47,233,8.8,12.91,KKR
JR Hazlewood,1,pace,1070,690,47,210,9.3,14.68,MI
KA Maharaj,2,spin,799,540,45,197,8.88,12.0,RCB
A Zampa,2,spin,810,591,45,193,8.22,13.13,SRH
HJ Manenti,2,pace,601,350,43,123,10.3,8.14,RCB
Arshdeep Singh,1,pace,1162,744,42,242,9.37,17.71,LSG
Noor Ahmad,2,spin,764,553,40,194,8.29,13.82,KKR
Washington Sundar,2,spin,735,507,40,168,8.7,12.68,RCB
HH Pandya,1,pace,1162,740,40,208,9.42,18.5,LSG
NT Ellis,1,pace,841,522,39,175,9.67,13.38,SRH
MA Starc,1,pace,906,574,39,210,9.47,14.72,MI
YS Chahal,1,spin,777,498,38,137,9.36,13.11,KKR
T Natarajan,1,pace,673,477,38,176,8.47,12.55,RR
Karan Lal,2,spin,436,317,38,102,8.25,8.34,RR
AK Markram,1,spin,930,545,37,127,10.24,14.73,DC
SS Ghosh,2,pace,644,378,36,117,10.22,10.5,RCB
C Green,2,pace,1014,674,36,188,9.03,18.72,KKR
CV Varun,1,spin,909,630,35,184,8.66,18.0,PBKS
LS Livingstone,2,spin,705,460,35,159,9.2,13.14,PBKS
Mohammad Ghazanfar,1,spin,559,420,34,136,7.99,12.35,RR
NT Ellis,1,neutralish,605,372,34,119,9.76,10.94,SRH
Tanush Kotian,1,spin,900,576,33,182,9.38,17.45,CSK
Fazalhaq Farooqi,1,pace,723,492,33,150,8.82,14.91,GT
M Pathirana,2,pace,839,573,33,196,8.79,17.36,CSK
Mohammad Ghazanfar,2,spin,677,426,33,123,9.54,12.91,RR
Kuldeep Yadav,1,spin,841,582,33,179,8.67,17.64,LSG
Rasikh Salam,1,pace,751,446,33,130,10.1,13.52,SRH
Shashank Singh,2,spin,559,412,32,186,8.14,12.88,PBKS
Harsh Dubey,2,spin,556,354,32,117,9.42,11.06,DC
Rasikh Salam,2,pace,914,524,32,135,10.47,16.38,SRH
Tanush Kotian,2,spin,741,460,31,127,9.67,14.84,CSK
Shashank Singh,1,spin,740,452,31,173,9.82,14.58,PBKS
T Natarajan,2,pace,861,507,31,134,10.19,16.35,RR
MP Yadav,2,pace,822,480,30,148,10.28,16.0,KKR
Fazalhaq Farooqi,2,pace,660,480,30,202,8.25,16.0,GT
MP Yadav,1,pace,780,466,30,158,10.04,15.53,KKR
Shaheen Shah Afridi,1,pace,488,296,30,101,9.89,9.87,DC
Kuldeep Yadav,2,spin,1117,817,30,259,8.2,27.23,LSG
Mohammad Nabi,1,spin,664,402,29,103,9.91,13.86,
AR Patel,1,spin,648,447,29,130,8.7,15.41,PBKS
TA Boult,2,pace,725,483,29,176,9.01,16.66,
GF Linde,1,spin,576,410,29,147,8.43,14.14,GT
PWH de Silva,1,spin,872,570,29,171,9.18,19.66,RCB
Arshdeep Singh,1,spin,946,570,28,172,9.96,20.36,LSG
Shahbaz Ahmed,2,spin,689,414,27,134,9.99,15.33,KKR
M Siddharth,1,spin,802,540,27,202,8.91,20.0,GT
Ravi Bishnoi,2,spin,730,520,27,191,8.42,19.26,SRH
R Sai Kishore,2,spin,917,516,26,125,10.66,19.85,GT
Ravi Teja,2,pace,530,351,26,116,9.06,13.5,PBKS
Shahbaz Ahmed,1,spin,477,318,26,100,9.0,12.23,KKR
DS Rathi,2,spin,718,459,26,137,9.39,17.65,LSG
LS Livingstone,1,spin,868,512,25,133,10.17,20.48,PBKS
Washington Sundar,1,spin,795,558,25,170,8.55,22.32,RCB
HJ Manenti,1,pace,481,271,25,78,10.65,10.84,RCB
YS Chahal,2,spin,532,337,25,117,9.47,13.48,KKR
Harshit Rana,2,pace,575,381,24,136,9.06,15.88,
Suryansh Shedge,1,pace,673,426,24,118,9.48,17.75,KKR
JJ Smit,1,pace,409,312,24,118,7.87,13.0,PBKS
R Shepherd,1,pace,553,360,24,123,9.22,15.0,SRH
S Lamichhane,1,spin,620,396,24,127,9.39,16.5,MI
H Ssenyondo,1,spin,281,235,24,103,7.17,9.79,LSG
JC Archer,1,pace,757,444,24,129,10.23,18.5,DC
AR Ramjani,1,spin,393,303,24,134,7.78,12.62,PBKS
TA Boult,1,pace,1011,666,24,233,9.11,27.75,
Ashutosh Sharma,2,pace,559,416,24,150,8.06,17.33,GT
JJ Smit,2,pace,617,390,23,89,9.49,16.96,PBKS
Ravi Teja,1,pace,623,402,23,119,9.3,17.48,PBKS
WG Jacks,1,spin,718,474,23,154,9.09,20.61,RR
WG Jacks,2,spin,444,317,23,107,8.4,13.78,RR
A Zampa,1,spin,709,516,23,175,8.24,22.43,SRH
